caseid,task,start_timestamp,end_timestamp,resource
0,Start,2012-02-13 20:34:51.0,2012-02-13 20:34:51.0,SYSTEM
2,Start,2012-02-13 21:06:48.577,2012-02-13 21:06:48.577,SYSTEM
5,Start,2012-02-13 21:24:34.011,2012-02-13 21:24:34.011,SYSTEM
8,Start,2012-02-14 00:10:21.325,2012-02-14 00:10:21.325,SYSTEM
9,Start,2012-02-14 00:14:53.929,2012-02-14 00:14:53.929,SYSTEM
13,Start,2012-02-14 00:48:37.582,2012-02-14 00:48:37.582,SYSTEM
15,Start,2012-02-14 01:03:52.624,2012-02-14 01:03:52.624,SYSTEM
16,Start,2012-02-14 01:11:53.491,2012-02-14 01:11:53.491,SYSTEM
17,Start,2012-02-14 02:45:44.81,2012-02-14 02:45:44.81,SYSTEM
18,Start,2012-02-14 03:23:33.663,2012-02-14 03:23:33.663,SYSTEM
20,Start,2012-02-14 03:57:53.759,2012-02-14 03:57:53.759,SYSTEM
20,End,2012-02-14 03:57:53.759,2012-02-14 03:57:53.759,SYSTEM
22,Start,2012-02-14 04:20:31.345,2012-02-14 04:20:31.345,SYSTEM
25,Start,2012-02-14 05:48:30.906,2012-02-14 05:48:30.906,SYSTEM
26,Start,2012-02-14 06:02:36.935,2012-02-14 06:02:36.935,SYSTEM
32,Start,2012-02-14 07:17:22.482,2012-02-14 07:17:22.482,SYSTEM
32,End,2012-02-14 07:17:22.482,2012-02-14 07:17:22.482,SYSTEM
24,W_Completeren aanvraag,2012-02-14 05:45:34.408,2012-02-14 09:00:00.687,Role 1
24,Start,2012-02-14 09:00:00.687,2012-02-14 09:00:00.687,SYSTEM
0,W_Beoordelen fraude,2012-02-13 20:34:51.0,2012-02-14 09:00:02.73,Role 3
0,End,2012-02-14 09:00:02.73,2012-02-14 09:00:02.73,SYSTEM
23,W_Completeren aanvraag,2012-02-14 05:40:25.261,2012-02-14 09:00:04.208,Role 1
25,W_Completeren aanvraag,2012-02-14 05:48:30.906,2012-02-14 09:00:04.807,Role 1
16,W_Nabellen offertes,2012-02-14 01:11:53.491,2012-02-14 09:00:04.863,Role 1
8,W_Beoordelen fraude,2012-02-14 00:10:21.325,2012-02-14 09:00:05.776,Role 3
8,End,2012-02-14 09:00:05.776,2012-02-14 09:00:05.776,SYSTEM
24,W_Nabellen offertes,2012-02-14 09:00:00.687,2012-02-14 09:00:12.092,Role 1
28,W_Completeren aanvraag,2012-02-14 06:18:44.333,2012-02-14 09:00:13.891,Role 1
24,W_Valideren aanvraag,2012-02-14 09:00:12.092,2012-02-14 09:00:14.938,Role 2
