caseid,task,start_timestamp,end_timestamp,resource
0,Start,2012-02-14 09:00:00.0,2012-02-14 09:00:00.0,SYSTEM
0,W_Completeren aanvraag,2012-02-14 09:00:00.0,2012-02-14 09:00:18.453,Role 1
0,W_Nabellen offertes,2012-02-14 09:00:18.453,2012-02-14 09:00:29.933,Role 1
0,W_Valideren aanvraag,2012-02-14 09:00:29.933,2012-02-14 09:00:29.933,SYSTEM
0,End,2012-02-14 09:00:29.933,2012-02-14 09:00:29.933,SYSTEM
1,Start,2012-02-14 09:52:28.964,2012-02-14 09:52:28.964,SYSTEM
1,W_Afhandelen leads,2012-02-14 09:52:28.964,2012-02-14 09:56:04.207,Role 1
2,Start,2012-02-14 09:56:27.133,2012-02-14 09:56:27.133,SYSTEM
1,W_Completeren aanvraag,2012-02-14 09:56:04.207,2012-02-14 09:58:01.758,Role 1
1,W_Completeren aanvraag,2012-02-14 09:58:01.758,2012-02-14 09:58:02.469,Role 1
1,W_Nabellen offertes,2012-02-14 09:58:02.469,2012-02-14 09:58:03.529,Role 1
1,W_Valideren aanvraag,2012-02-14 09:58:03.529,2012-02-14 09:58:03.529,SYSTEM
1,W_Nabellen incomplete dossiers,2012-02-14 09:58:03.529,2012-02-14 09:59:14.289,Role 1
1,W_Valideren aanvraag,2012-02-14 09:59:14.289,2012-02-14 09:59:14.289,SYSTEM
1,End,2012-02-14 09:59:14.289,2012-02-14 09:59:14.289,SYSTEM
2,W_Afhandelen leads,2012-02-14 09:56:27.133,2012-02-14 10:08:02.866,Role 1
2,W_Completeren aanvraag,2012-02-14 10:08:02.866,2012-02-14 10:08:28.085,Role 1
3,Start,2012-02-14 10:11:49.167,2012-02-14 10:11:49.167,SYSTEM
2,W_Completeren aanvraag,2012-02-14 10:08:28.085,2012-02-14 10:42:27.378,Role 1
2,W_Nabellen offertes,2012-02-14 10:42:27.378,2012-02-14 10:42:55.357,Role 1
2,W_Valideren aanvraag,2012-02-14 10:42:55.357,2012-02-14 10:42:55.357,SYSTEM
2,End,2012-02-14 10:42:55.357,2012-02-14 10:42:55.357,SYSTEM
4,Start,2012-02-14 10:44:19.356,2012-02-14 10:44:19.356,SYSTEM
4,W_Afhandelen leads,2012-02-14 10:44:19.356,2012-02-14 10:51:03.922,Role 1
4,End,2012-02-14 10:51:03.922,2012-02-14 10:51:03.922,SYSTEM
3,W_Completeren aanvraag,2012-02-14 10:11:49.167,2012-02-14 11:12:26.265,Role 1
3,W_Completeren aanvraag,2012-02-14 11:12:26.265,2012-02-14 11:13:46.749,Role 1
3,W_Completeren aanvraag,2012-02-14 11:13:46.749,2012-02-14 11:14:55.576,Role 1
3,W_Completeren aanvraag,2012-02-14 11:14:55.576,2012-02-14 11:14:57.795,Role 1
3,W_Nabellen offertes,2012-02-14 11:14:57.795,2012-02-14 11:16:22.226,Role 1
3,W_Valideren aanvraag,2012-02-14 11:16:22.226,2012-02-14 11:16:22.226,SYSTEM
3,W_Nabellen incomplete dossiers,2012-02-14 11:16:22.226,2012-02-14 11:18:25.342,Role 1
3,W_Valideren aanvraag,2012-02-14 11:18:25.342,2012-02-14 11:18:25.342,SYSTEM
3,End,2012-02-14 11:18:25.342,2012-02-14 11:18:25.342,SYSTEM
5,Start,2012-02-14 11:18:25.403,2012-02-14 11:18:25.403,SYSTEM
5,W_Beoordelen fraude,2012-02-14 11:18:25.403,2012-02-14 11:18:44.708,Role 3
5,W_Afhandelen leads,2012-02-14 11:18:44.708,2012-02-14 11:20:36.22,Role 1
5,W_Completeren aanvraag,2012-02-14 11:20:36.22,2012-02-14 11:20:45.783,Role 1
5,W_Completeren aanvraag,2012-02-14 11:20:45.783,2012-02-14 11:21:48.706,Role 1
6,Start,2012-02-14 11:23:59.218,2012-02-14 11:23:59.218,SYSTEM
6,W_Completeren aanvraag,2012-02-14 11:23:59.218,2012-02-14 11:25:02.705,Role 1
6,W_Nabellen offertes,2012-02-14 11:25:02.705,2012-02-14 11:27:32.99,Role 1
6,W_Valideren aanvraag,2012-02-14 11:27:32.99,2012-02-14 11:27:32.99,SYSTEM
6,W_Nabellen incomplete dossiers,2012-02-14 11:27:32.99,2012-02-14 11:28:09.939,Role 1
6,W_Valideren aanvraag,2012-02-14 11:28:09.939,2012-02-14 11:28:09.939,SYSTEM
6,End,2012-02-14 11:28:09.939,2012-02-14 11:28:09.939,SYSTEM
7,Start,2012-02-14 11:43:46.023,2012-02-14 11:43:46.023,SYSTEM
7,W_Afhandelen leads,2012-02-14 11:43:46.023,2012-02-14 11:44:37.554,Role 1
7,End,2012-02-14 11:44:37.554,2012-02-14 11:44:37.554,SYSTEM
8,Start,2012-02-14 11:50:50.69,2012-02-14 11:50:50.69,SYSTEM
8,W_Afhandelen leads,2012-02-14 11:50:50.69,2012-02-14 11:52:50.21,Role 1
8,End,2012-02-14 11:52:50.21,2012-02-14 11:52:50.21,SYSTEM
5,W_Completeren aanvraag,2012-02-14 11:21:48.706,2012-02-14 13:05:26.42,Role 1
9,Start,2012-02-14 13:11:33.672,2012-02-14 13:11:33.672,SYSTEM
9,W_Beoordelen fraude,2012-02-14 13:11:33.672,2012-02-14 13:11:33.765,Role 3
5,W_Nabellen offertes,2012-02-14 13:05:26.42,2012-02-14 13:12:29.421,Role 1
5,W_Valideren aanvraag,2012-02-14 13:12:29.421,2012-02-14 13:12:29.421,SYSTEM
5,End,2012-02-14 13:12:29.421,2012-02-14 13:12:29.421,SYSTEM
9,W_Afhandelen leads,2012-02-14 13:11:33.765,2012-02-14 13:12:46.334,Role 1
9,End,2012-02-14 13:12:46.334,2012-02-14 13:12:46.334,SYSTEM
