caseid,task,start_timestamp,end_timestamp,resource
0,Start,2012-02-14 09:00:00.0,2012-02-14 09:00:00.0,SYSTEM
0,W_Completeren aanvraag,2012-02-14 09:00:00.0,2012-02-14 09:00:02.175,Role 1
0,W_Nabellen offertes,2012-02-14 09:00:02.175,2012-02-14 09:01:36.672,Role 1
0,W_Valideren aanvraag,2012-02-14 09:01:36.672,2012-02-14 09:01:36.672,SYSTEM
0,End,2012-02-14 09:01:36.672,2012-02-14 09:01:36.672,SYSTEM
1,Start,2012-02-14 09:22:46.921,2012-02-14 09:22:46.921,SYSTEM
1,W_Beoordelen fraude,2012-02-14 09:22:46.921,2012-02-14 09:23:06.368,Role 3
2,Start,2012-02-14 09:28:36.739,2012-02-14 09:28:36.739,SYSTEM
2,W_Completeren aanvraag,2012-02-14 09:28:36.739,2012-02-14 09:28:50.486,Role 1
2,W_Nabellen offertes,2012-02-14 09:28:50.486,2012-02-14 09:31:54.446,Role 1
2,W_Valideren aanvraag,2012-02-14 09:31:54.446,2012-02-14 09:31:54.446,SYSTEM
2,W_Nabellen incomplete dossiers,2012-02-14 09:31:54.446,2012-02-14 09:32:03.323,Role 1
2,W_Valideren aanvraag,2012-02-14 09:32:03.323,2012-02-14 09:32:03.323,SYSTEM
1,W_Afhandelen leads,2012-02-14 09:23:06.368,2012-02-14 09:36:57.0,Role 1
2,W_Nabellen incomplete dossiers,2012-02-14 09:32:03.323,2012-02-14 09:39:13.136,Role 1
2,W_Valideren aanvraag,2012-02-14 09:39:13.136,2012-02-14 09:39:13.136,SYSTEM
2,End,2012-02-14 09:39:13.136,2012-02-14 09:39:13.136,SYSTEM
3,Start,2012-02-14 09:40:28.112,2012-02-14 09:40:28.112,SYSTEM
3,W_Afhandelen leads,2012-02-14 09:40:28.112,2012-02-14 09:42:49.426,Role 1
3,End,2012-02-14 09:42:49.426,2012-02-14 09:42:49.426,SYSTEM
4,Start,2012-02-14 09:44:40.048,2012-02-14 09:44:40.048,SYSTEM
4,W_Completeren aanvraag,2012-02-14 09:44:40.048,2012-02-14 09:54:52.281,Role 1
4,W_Completeren aanvraag,2012-02-14 09:54:52.281,2012-02-14 09:55:40.152,Role 1
4,W_Completeren aanvraag,2012-02-14 09:55:40.152,2012-02-14 09:55:53.677,Role 1
5,Start,2012-02-14 10:06:49.564,2012-02-14 10:06:49.564,SYSTEM
5,W_Beoordelen fraude,2012-02-14 10:06:49.564,2012-02-14 10:07:07.964,Role 3
5,W_Afhandelen leads,2012-02-14 10:07:07.964,2012-02-14 10:11:54.156,Role 1
5,End,2012-02-14 10:11:54.156,2012-02-14 10:11:54.156,SYSTEM
6,Start,2012-02-14 10:25:45.097,2012-02-14 10:25:45.097,SYSTEM
6,W_Afhandelen leads,2012-02-14 10:25:45.097,2012-02-14 10:28:15.795,Role 1
6,W_Completeren aanvraag,2012-02-14 10:28:15.795,2012-02-14 10:28:41.001,Role 1
7,Start,2012-02-14 10:28:50.666,2012-02-14 10:28:50.666,SYSTEM
7,W_Completeren aanvraag,2012-02-14 10:28:50.666,2012-02-14 10:28:57.95,Role 1
7,W_Nabellen offertes,2012-02-14 10:28:57.95,2012-02-14 10:29:06.686,Role 1
7,W_Valideren aanvraag,2012-02-14 10:29:06.686,2012-02-14 10:29:06.686,SYSTEM
7,End,2012-02-14 10:29:06.686,2012-02-14 10:29:06.686,SYSTEM
1,W_Completeren aanvraag,2012-02-14 09:36:57.0,2012-02-14 10:29:10.141,Role 1
6,W_Completeren aanvraag,2012-02-14 10:28:41.001,2012-02-14 10:29:13.246,Role 1
1,W_Nabellen offertes,2012-02-14 10:29:10.141,2012-02-14 10:33:43.5,Role 1
1,W_Valideren aanvraag,2012-02-14 10:33:43.5,2012-02-14 10:33:43.5,SYSTEM
1,W_Nabellen incomplete dossiers,2012-02-14 10:33:43.5,2012-02-14 10:33:45.674,Role 1
1,W_Valideren aanvraag,2012-02-14 10:33:45.674,2012-02-14 10:33:45.674,SYSTEM
1,End,2012-02-14 10:33:45.674,2012-02-14 10:33:45.674,SYSTEM
6,W_Completeren aanvraag,2012-02-14 10:29:13.246,2012-02-14 10:35:11.264,Role 1
6,W_Completeren aanvraag,2012-02-14 10:35:11.264,2012-02-14 10:35:43.944,Role 1
6,W_Nabellen offertes,2012-02-14 10:35:43.944,2012-02-14 10:36:02.551,Role 1
6,W_Valideren aanvraag,2012-02-14 10:36:02.551,2012-02-14 10:36:02.551,SYSTEM
6,W_Nabellen incomplete dossiers,2012-02-14 10:36:02.551,2012-02-14 10:36:03.976,Role 1
6,W_Valideren aanvraag,2012-02-14 10:36:03.976,2012-02-14 10:36:03.976,SYSTEM
6,W_Nabellen incomplete dossiers,2012-02-14 10:36:03.976,2012-02-14 10:36:26.064,Role 1
6,W_Valideren aanvraag,2012-02-14 10:36:26.064,2012-02-14 10:36:26.064,SYSTEM
6,W_Nabellen incomplete dossiers,2012-02-14 10:36:26.064,2012-02-14 10:36:31.211,Role 1
6,W_Valideren aanvraag,2012-02-14 10:36:31.211,2012-02-14 10:36:31.211,SYSTEM
6,End,2012-02-14 10:36:31.211,2012-02-14 10:36:31.211,SYSTEM
8,Start,2012-02-14 10:53:44.201,2012-02-14 10:53:44.201,SYSTEM
8,W_Completeren aanvraag,2012-02-14 10:53:44.201,2012-02-14 11:02:18.685,Role 1
8,W_Completeren aanvraag,2012-02-14 11:02:18.685,2012-02-14 11:06:49.028,Role 1
8,W_Nabellen offertes,2012-02-14 11:06:49.028,2012-02-14 11:07:03.44,Role 1
8,W_Valideren aanvraag,2012-02-14 11:07:03.44,2012-02-14 11:07:03.44,SYSTEM
8,W_Nabellen incomplete dossiers,2012-02-14 11:07:03.44,2012-02-14 11:16:47.63,Role 1
8,W_Valideren aanvraag,2012-02-14 11:16:47.63,2012-02-14 11:16:47.63,SYSTEM
