caseid,task,start_timestamp,end_timestamp,resource
0,Start,2016-05-18 21:56:02.0,2016-05-18 21:56:02.0,SYSTEM
0,Traer informacion estudiante - banner,2016-05-18 21:56:02.0,2016-05-18 21:56:02.0,Role 1
0,Radicar Solicitud Homologacion,2016-05-18 21:56:02.0,2016-05-18 22:13:37.646,Role 1
0,Cancelar Solicitud,2016-05-18 22:13:37.646,2016-05-18 22:13:37.646,SYSTEM
0,End,2016-05-18 22:13:37.646,2016-05-18 22:13:37.646,SYSTEM
0,Notificacion estudiante cancelacion soli,2016-05-18 22:13:37.646,2016-05-18 22:13:37.646,SYSTEM
1,Start,2016-05-18 23:39:00.767,2016-05-18 23:39:00.767,SYSTEM
1,Traer informacion estudiante - banner,2016-05-18 23:39:00.767,2016-05-18 23:39:00.767,Role 1
1,Radicar Solicitud Homologacion,2016-05-18 23:39:00.767,2016-05-18 23:51:44.454,Role 1
1,Cancelar Solicitud,2016-05-18 23:51:44.454,2016-05-18 23:51:44.454,SYSTEM
1,End,2016-05-18 23:51:44.454,2016-05-18 23:51:44.454,SYSTEM
1,Notificacion estudiante cancelacion soli,2016-05-18 23:51:44.454,2016-05-18 23:51:44.454,SYSTEM
2,Start,2016-05-19 00:43:18.101,2016-05-19 00:43:18.101,SYSTEM
2,Traer informacion estudiante - banner,2016-05-19 00:43:18.101,2016-05-19 00:43:18.101,Role 1
2,Radicar Solicitud Homologacion,2016-05-19 00:43:18.101,2016-05-19 00:43:42.388,Role 1
2,Cancelar Solicitud,2016-05-19 00:43:42.388,2016-05-19 00:43:42.388,SYSTEM
2,End,2016-05-19 00:43:42.388,2016-05-19 00:43:42.388,SYSTEM
2,Notificacion estudiante cancelacion soli,2016-05-19 00:43:42.388,2016-05-19 00:43:42.388,SYSTEM
3,Start,2016-05-19 14:08:05.226,2016-05-19 14:08:05.226,SYSTEM
3,Traer informacion estudiante - banner,2016-05-19 14:08:05.226,2016-05-19 16:00:00.0,Role 1
3,Radicar Solicitud Homologacion,2016-05-19 16:00:00.0,2016-05-19 16:02:30.781,Role 1
3,Cancelar Solicitud,2016-05-19 16:02:30.781,2016-05-19 16:02:30.781,SYSTEM
3,End,2016-05-19 16:02:30.781,2016-05-19 16:02:30.781,SYSTEM
3,Notificacion estudiante cancelacion soli,2016-05-19 16:02:30.781,2016-05-19 16:02:30.781,SYSTEM
4,Start,2016-05-19 19:47:55.028,2016-05-19 19:47:55.028,SYSTEM
4,Traer informacion estudiante - banner,2016-05-19 19:47:55.028,2016-05-19 19:47:55.028,Role 1
4,Radicar Solicitud Homologacion,2016-05-19 19:47:55.028,2016-05-19 19:51:34.025,Role 1
4,Cancelar Solicitud,2016-05-19 19:51:34.025,2016-05-19 19:51:34.025,SYSTEM
4,End,2016-05-19 19:51:34.025,2016-05-19 19:51:34.025,SYSTEM
4,Notificacion estudiante cancelacion soli,2016-05-19 19:51:34.025,2016-05-19 19:51:34.025,SYSTEM
5,Start,2016-05-20 02:18:32.082,2016-05-20 02:18:32.082,SYSTEM
5,Traer informacion estudiante - banner,2016-05-20 02:18:32.082,2016-05-20 02:18:32.082,Role 1
5,Radicar Solicitud Homologacion,2016-05-20 02:18:32.082,2016-05-20 16:05:29.102,Role 1
5,Cancelar Solicitud,2016-05-20 16:05:29.102,2016-05-20 16:05:29.102,SYSTEM
5,End,2016-05-20 16:05:29.102,2016-05-20 16:05:29.102,SYSTEM
5,Notificacion estudiante cancelacion soli,2016-05-20 16:05:29.102,2016-05-20 16:05:29.102,SYSTEM
6,Start,2016-05-20 21:52:51.002,2016-05-20 21:52:51.002,SYSTEM
6,Traer informacion estudiante - banner,2016-05-20 21:52:51.002,2016-05-20 21:52:51.002,Role 1
6,Radicar Solicitud Homologacion,2016-05-20 21:52:51.002,2016-05-20 21:53:56.804,Role 1
6,Cancelar Solicitud,2016-05-20 21:53:56.804,2016-05-20 21:53:56.804,SYSTEM
6,End,2016-05-20 21:53:56.804,2016-05-20 21:53:56.804,SYSTEM
6,Notificacion estudiante cancelacion soli,2016-05-20 21:53:56.804,2016-05-20 21:53:56.804,SYSTEM
7,Start,2016-05-21 14:18:11.285,2016-05-21 14:18:11.285,SYSTEM
7,Traer informacion estudiante - banner,2016-05-21 14:18:11.285,2016-05-21 14:18:11.285,Role 1
8,Start,2016-05-21 18:30:03.553,2016-05-21 18:30:03.553,SYSTEM
9,Start,2016-05-21 18:32:45.165,2016-05-21 18:32:45.165,SYSTEM
10,Start,2016-05-23 22:09:35.804,2016-05-23 22:09:35.804,SYSTEM
11,Start,2016-05-24 02:58:22.333,2016-05-24 02:58:22.333,SYSTEM
12,Start,2016-05-24 04:16:23.846,2016-05-24 04:16:23.846,SYSTEM
8,Traer informacion estudiante - banner,2016-05-21 18:30:03.553,2016-05-24 18:00:00.0,Role 1
9,Traer informacion estudiante - banner,2016-05-21 18:32:45.165,2016-05-24 18:00:00.0,Role 1
10,Traer informacion estudiante - banner,2016-05-23 22:09:35.804,2016-05-24 18:00:00.0,Role 1
11,Traer informacion estudiante - banner,2016-05-24 02:58:22.333,2016-05-24 18:00:00.0,Role 1
12,Traer informacion estudiante - banner,2016-05-24 04:16:23.846,2016-05-24 18:00:00.0,Role 1
10,Radicar Solicitud Homologacion,2016-05-24 18:00:00.0,2016-05-24 18:00:05.039,Role 1
10,Cancelar Solicitud,2016-05-24 18:00:05.039,2016-05-24 18:00:05.039,SYSTEM
10,End,2016-05-24 18:00:05.039,2016-05-24 18:00:05.039,SYSTEM
10,Notificacion estudiante cancelacion soli,2016-05-24 18:00:05.039,2016-05-24 18:00:05.039,SYSTEM
12,Radicar Solicitud Homologacion,2016-05-24 18:00:00.0,2016-05-24 18:00:19.205,Role 1
12,Cancelar Solicitud,2016-05-24 18:00:19.205,2016-05-24 18:00:19.205,SYSTEM
12,End,2016-05-24 18:00:19.205,2016-05-24 18:00:19.205,SYSTEM
12,Notificacion estudiante cancelacion soli,2016-05-24 18:00:19.205,2016-05-24 18:00:19.205,SYSTEM
7,Radicar Solicitud Homologacion,2016-05-21 14:18:11.285,2016-05-24 18:00:29.5,Role 1
7,Cancelar Solicitud,2016-05-24 18:00:29.5,2016-05-24 18:00:29.5,SYSTEM
7,End,2016-05-24 18:00:29.5,2016-05-24 18:00:29.5,SYSTEM
7,Notificacion estudiante cancelacion soli,2016-05-24 18:00:29.5,2016-05-24 18:00:29.5,SYSTEM
8,Radicar Solicitud Homologacion,2016-05-24 18:00:00.0,2016-05-24 18:00:55.838,Role 1
8,Cancelar Solicitud,2016-05-24 18:00:55.838,2016-05-24 18:00:55.838,SYSTEM
8,End,2016-05-24 18:00:55.838,2016-05-24 18:00:55.838,SYSTEM
8,Notificacion estudiante cancelacion soli,2016-05-24 18:00:55.838,2016-05-24 18:00:55.838,SYSTEM
9,Radicar Solicitud Homologacion,2016-05-24 18:00:00.0,2016-05-24 18:05:27.946,Role 1
9,Cancelar Solicitud,2016-05-24 18:05:27.946,2016-05-24 18:05:27.946,SYSTEM
9,End,2016-05-24 18:05:27.946,2016-05-24 18:05:27.946,SYSTEM
9,Notificacion estudiante cancelacion soli,2016-05-24 18:05:27.946,2016-05-24 18:05:27.946,SYSTEM
11,Radicar Solicitud Homologacion,2016-05-24 18:00:00.0,2016-05-24 18:12:10.553,Role 1
11,Cancelar Solicitud,2016-05-24 18:12:10.553,2016-05-24 18:12:10.553,SYSTEM
11,End,2016-05-24 18:12:10.553,2016-05-24 18:12:10.553,SYSTEM
11,Notificacion estudiante cancelacion soli,2016-05-24 18:12:10.553,2016-05-24 18:12:10.553,SYSTEM
13,Start,2016-05-24 22:03:00.494,2016-05-24 22:03:00.494,SYSTEM
13,Traer informacion estudiante - banner,2016-05-24 22:03:00.494,2016-05-25 20:00:00.0,Role 1
13,Radicar Solicitud Homologacion,2016-05-25 20:00:00.0,2016-05-25 20:06:04.988,Role 1
13,Cancelar Solicitud,2016-05-25 20:06:04.988,2016-05-25 20:06:04.988,SYSTEM
13,End,2016-05-25 20:06:04.988,2016-05-25 20:06:04.988,SYSTEM
13,Notificacion estudiante cancelacion soli,2016-05-25 20:06:04.988,2016-05-25 20:06:04.988,SYSTEM
14,Start,2016-05-29 00:22:35.626,2016-05-29 00:22:35.626,SYSTEM
15,Start,2016-05-29 03:31:25.419,2016-05-29 03:31:25.419,SYSTEM
16,Start,2016-05-29 16:07:11.619,2016-05-29 16:07:11.619,SYSTEM
17,Start,2016-05-29 17:49:07.696,2016-05-29 17:49:07.696,SYSTEM
18,Start,2016-05-29 20:31:52.9,2016-05-29 20:31:52.9,SYSTEM
19,Start,2016-05-30 18:19:46.63,2016-05-30 18:19:46.63,SYSTEM
20,Start,2016-05-30 23:16:11.417,2016-05-30 23:16:11.417,SYSTEM
21,Start,2016-05-30 23:18:00.845,2016-05-30 23:18:00.845,SYSTEM
15,Traer informacion estudiante - banner,2016-05-29 03:31:25.419,2016-05-31 18:00:00.0,Role 1
16,Traer informacion estudiante - banner,2016-05-29 16:07:11.619,2016-05-31 18:00:00.0,Role 1
17,Traer informacion estudiante - banner,2016-05-29 17:49:07.696,2016-05-31 18:00:00.0,Role 1
18,Traer informacion estudiante - banner,2016-05-29 20:31:52.9,2016-05-31 18:00:00.0,Role 1
19,Traer informacion estudiante - banner,2016-05-30 18:19:46.63,2016-05-31 18:00:00.0,Role 1
20,Traer informacion estudiante - banner,2016-05-30 23:16:11.417,2016-05-31 18:00:00.0,Role 1
21,Traer informacion estudiante - banner,2016-05-30 23:18:00.845,2016-05-31 18:00:00.0,Role 1
16,Radicar Solicitud Homologacion,2016-05-31 18:00:00.0,2016-05-31 18:00:04.801,Role 1
