caseid,task,start_timestamp,end_timestamp,resource
0,Rework Milling,2012-03-13 07:00:00.0,2012-03-13 07:00:00.0,SYSTEM
0,Start,2012-03-13 07:00:00.0,2012-03-13 07:00:00.0,SYSTEM
0,Turning & Milling Q.C.,2012-03-13 07:00:00.0,2012-03-13 08:42:36.902,Role 3
0,Laser Marking,2012-03-13 08:42:36.902,2012-03-13 11:02:56.123,Role 6
0,Final Inspection Q.C.,2012-03-13 11:02:56.123,2012-03-13 12:51:49.517,Role 3
0,Round Grinding,2012-03-13 12:51:49.517,2012-03-13 16:55:21.8,Role 2
0,Final Inspection Q.C.,2012-03-13 16:55:21.8,2012-03-13 17:07:50.0,Role 3
0,Packing,2012-03-13 17:07:50.0,2012-03-13 18:07:50.0,Role 5
0,Final Inspection Q.C.,2012-03-13 18:07:50.0,2012-03-13 19:41:01.11,Role 3
0,Round Grinding,2012-03-13 19:41:01.11,2012-03-13 22:16:11.95,Role 2
0,Laser Marking,2012-03-13 22:16:11.95,2012-03-13 23:36:10.78,Role 6
0,Lapping,2012-03-13 23:36:10.78,2012-03-13 23:58:06.352,Role 6
0,Laser Marking,2012-03-13 23:58:06.352,2012-03-14 00:40:30.137,Role 6
0,Flat Grinding,2012-03-14 00:40:30.137,2012-03-14 01:09:34.039,Role 6
0,Lapping,2012-03-14 01:09:34.039,2012-03-14 01:10:50.876,Role 6
0,Round Grinding,2012-03-14 01:10:50.876,2012-03-14 01:25:34.106,Role 2
0,Final Inspection Q.C.,2012-03-14 01:25:34.106,2012-03-14 02:04:50.919,Role 3
0,Round Grinding,2012-03-14 02:04:50.919,2012-03-14 04:10:00.039,Role 2
0,Final Inspection Q.C.,2012-03-14 04:10:00.039,2012-03-14 06:29:54.402,Role 3
0,Round Grinding,2012-03-14 06:29:54.402,2012-03-14 08:29:55.973,Role 2
0,Packing,2012-03-14 08:29:55.973,2012-03-14 09:29:55.973,Role 5
0,Final Inspection Q.C.,2012-03-14 09:29:55.973,2012-03-14 09:50:45.932,Role 3
0,Round Grinding,2012-03-14 09:50:45.932,2012-03-14 13:28:57.076,Role 2
1,Start,2012-03-14 14:08:00.0,2012-03-14 14:08:00.0,SYSTEM
1,Turning & Milling Q.C.,2012-03-14 14:08:00.0,2012-03-14 14:29:25.397,Role 3
1,Round Grinding,2012-03-14 14:29:25.397,2012-03-14 18:00:31.557,Role 2
0,Lapping,2012-03-14 13:28:57.076,2012-03-14 18:02:31.064,Role 6
0,Turning Rework,2012-03-14 18:02:31.064,2012-03-14 18:02:31.064,SYSTEM
0,Lapping,2012-03-14 18:02:31.064,2012-03-14 18:27:15.992,Role 6
0,Turning Rework,2012-03-14 18:27:15.992,2012-03-14 18:27:15.992,SYSTEM
1,Packing,2012-03-14 18:00:31.557,2012-03-14 19:00:31.557,Role 5
0,Lapping,2012-03-14 18:27:15.992,2012-03-14 19:11:54.565,Role 6
0,Round Grinding,2012-03-14 19:11:54.565,2012-03-14 21:44:03.72,Role 2
0,Turning & Milling Q.C.,2012-03-14 21:44:03.72,2012-03-14 22:09:27.315,Role 3
0,Nitration Q.C.,2012-03-14 22:09:27.315,2012-03-14 22:12:27.315,Role 3
0,Laser Marking,2012-03-14 22:12:27.315,2012-03-15 00:19:06.382,Role 6
0,Lapping,2012-03-15 00:19:06.382,2012-03-15 00:25:28.972,Role 6
0,Turning Rework,2012-03-15 00:25:28.972,2012-03-15 07:00:00.0,SYSTEM
1,Round  Q.C.,2012-03-14 19:00:31.557,2012-03-15 07:00:00.0,SYSTEM
1,Packing,2012-03-15 07:00:00.0,2012-03-15 08:00:00.0,Role 5
0,Lapping,2012-03-15 07:00:00.0,2012-03-15 08:56:13.028,Role 6
0,Final Inspection Q.C.,2012-03-15 08:56:13.028,2012-03-15 11:37:37.111,Role 3
0,Packing,2012-03-15 11:37:37.111,2012-03-15 12:37:37.111,Role 5
0,Round  Q.C.,2012-03-15 12:37:37.111,2012-03-15 14:00:00.0,SYSTEM
1,Fix,2012-03-15 08:00:00.0,2012-03-15 14:00:00.0,SYSTEM
0,Packing,2012-03-15 14:00:00.0,2012-03-15 15:00:00.0,Role 5
1,Packing,2012-03-15 14:00:00.0,2012-03-15 15:00:00.0,Role 5
0,Final Inspection Q.C.,2012-03-15 15:00:00.0,2012-03-15 16:47:54.033,Role 3
0,Packing,2012-03-15 16:47:54.033,2012-03-15 17:47:54.033,Role 5
0,Round  Q.C.,2012-03-15 17:47:54.033,2012-03-16 07:00:00.0,SYSTEM
1,Round  Q.C.,2012-03-15 15:00:00.0,2012-03-16 07:00:00.0,SYSTEM
0,Packing,2012-03-16 07:00:00.0,2012-03-16 08:00:00.0,Role 5
1,Packing,2012-03-16 07:00:00.0,2012-03-16 08:00:00.0,Role 5
0,Final Inspection Q.C.,2012-03-16 08:00:00.0,2012-03-16 08:43:20.195,Role 3
0,End,2012-03-16 08:43:20.195,2012-03-16 13:00:00.0,SYSTEM
1,Round  Q.C.,2012-03-16 08:00:00.0,2012-03-16 13:00:00.0,SYSTEM
1,Packing,2012-03-16 13:00:00.0,2012-03-16 14:00:00.0,Role 5
1,Fix,2012-03-16 14:00:00.0,2012-03-16 14:00:00.0,SYSTEM
1,Packing,2012-03-16 14:00:00.0,2012-03-16 15:00:00.0,Role 5
1,End,2012-03-16 15:00:00.0,2012-03-16 17:00:00.0,SYSTEM
2,Rework Milling,2012-03-17 18:16:00.0,2012-03-17 18:16:00.0,SYSTEM
2,Start,2012-03-17 18:16:00.0,2012-03-17 18:16:00.0,SYSTEM
2,Milling Q.C.,2012-03-17 18:16:00.0,2012-03-17 18:16:00.0,SYSTEM
2,Packing,2012-03-17 18:16:00.0,2012-03-17 19:16:00.0,Role 5
2,End,2012-03-17 19:16:00.0,2012-03-19 16:00:00.0,SYSTEM
3,Rework Milling,2012-03-20 21:22:00.0,2012-03-20 21:22:00.0,SYSTEM
3,Start,2012-03-20 21:22:00.0,2012-03-20 21:22:00.0,SYSTEM
3,Turning,2012-03-20 21:22:00.0,2012-03-20 21:22:00.0,SYSTEM
3,Turning Q.C.,2012-03-20 21:22:00.0,2012-03-20 21:22:00.0,SYSTEM
