caseid,task,start_timestamp,end_timestamp,resource
0,Create Purchase Requisition,2011-06-21 00:00:00.0,2011-06-21 09:17:45.006,Role 1
0,Start,2011-06-21 09:17:45.006,2011-06-21 09:17:45.006,SYSTEM
0,Create Purchase Requisition,2011-06-21 09:17:45.006,2011-06-21 09:26:27.707,Role 1
0,Start,2011-06-21 09:26:27.707,2011-06-21 10:00:00.0,SYSTEM
0,Analyze Purchase Requisition,2011-06-21 10:00:00.0,2011-06-21 10:00:52.488,Role 4
0,Amend Purchase Requisition,2011-06-21 10:00:52.488,2011-06-21 10:29:52.488,Role 1
0,Analyze Purchase Requisition,2011-06-21 10:29:52.488,2011-06-21 10:33:16.231,Role 4
0,Create Request for Quotation,2011-06-21 10:33:16.231,2011-06-21 10:36:53.106,Role 4
0,Analyze Request for Quotation,2011-06-21 10:36:53.106,2011-06-21 10:39:34.782,Role 3
0,Amend Request for Quotation,2011-06-21 10:39:34.782,2011-06-21 11:10:57.333,Role 1
0,Analyze Request for Quotation,2011-06-21 11:10:57.333,2011-06-21 11:16:53.833,Role 3
0,Send Request for Quotation to Supplier,2011-06-21 11:16:53.833,2011-06-21 11:21:58.688,Role 3
0,Create Quotation comparison Map,2011-06-21 11:21:58.688,2011-06-21 11:43:24.778,Role 3
0,Analyze Quotation Comparison Map,2011-06-21 11:43:24.778,2011-06-21 12:58:40.044,Role 1
0,Choose best option,2011-06-21 12:58:40.044,2011-06-21 12:58:40.044,Role 1
0,Settle Conditions With Supplier,2011-06-21 12:58:40.044,2011-06-22 11:45:24.97,Role 3
0,Create Purchase Order,2011-06-22 11:45:24.97,2011-06-22 11:55:59.251,Role 3
0,Confirm Purchase Order,2011-06-22 11:55:59.251,2011-06-22 12:43:51.063,Role 2
1,Create Purchase Requisition,2011-06-26 02:20:19.744,2011-06-27 09:19:36.598,Role 1
1,Start,2011-06-27 09:19:36.598,2011-06-27 09:19:36.598,SYSTEM
1,Create Purchase Requisition,2011-06-27 09:19:36.598,2011-06-27 09:46:03.187,Role 1
1,Start,2011-06-27 09:46:03.187,2011-06-27 09:46:03.187,SYSTEM
1,Create Purchase Requisition,2011-06-27 09:46:03.187,2011-06-27 10:40:04.434,Role 1
1,Start,2011-06-27 10:40:04.434,2011-06-27 10:40:04.434,SYSTEM
1,Analyze Purchase Requisition,2011-06-27 10:40:04.434,2011-06-27 11:01:41.852,Role 4
1,Create Request for Quotation,2011-06-27 11:01:41.852,2011-06-27 11:13:56.357,Role 4
1,Analyze Request for Quotation,2011-06-27 11:13:56.357,2011-06-27 11:35:40.456,Role 3
1,Send Request for Quotation to Supplier,2011-06-27 11:35:40.456,2011-06-27 11:53:38.989,Role 3
1,Create Quotation comparison Map,2011-06-27 11:53:38.989,2011-06-27 12:49:48.575,Role 3
1,Analyze Quotation Comparison Map,2011-06-27 12:49:48.575,2011-06-27 13:57:49.76,Role 1
1,Choose best option,2011-06-27 13:57:49.76,2011-06-27 13:57:49.76,Role 1
0,Deliver Goods Services,2011-06-22 12:43:51.063,2011-06-27 14:17:58.753,Role 2
0,Release Purchase Order,2011-06-27 14:17:58.753,2011-06-27 14:18:58.753,Role 1
0,Approve Purchase Order for payment,2011-06-27 14:18:58.753,2011-06-27 14:19:58.753,Role 3
0,Send Invoice,2011-06-27 14:19:58.753,2011-06-27 14:19:58.753,Role 2
0,Release Supplier's Invoice,2011-06-27 14:19:58.753,2011-06-27 14:22:43.12,Role 5
0,Settle Dispute With Supplier,2011-06-27 14:22:43.12,2011-06-27 14:47:36.557,Role 5
0,Authorize Supplier's Invoice payment,2011-06-27 14:47:36.557,2011-06-27 14:47:36.557,Role 5
0,Pay Invoice,2011-06-27 14:47:36.557,2011-06-27 14:56:49.717,Role 5
0,End,2011-06-27 14:56:49.717,2011-06-27 14:56:49.717,SYSTEM
1,Settle Conditions With Supplier,2011-06-27 13:57:49.76,2011-06-27 14:57:33.567,Role 3
1,Create Purchase Order,2011-06-27 14:57:33.567,2011-06-27 15:00:10.091,Role 3
1,Confirm Purchase Order,2011-06-27 15:00:10.091,2011-06-27 15:49:40.336,Role 2
1,Deliver Goods Services,2011-06-27 15:49:40.336,2011-06-28 14:25:04.334,Role 2
1,Release Purchase Order,2011-06-28 14:25:04.334,2011-06-28 14:26:04.334,Role 1
1,Approve Purchase Order for payment,2011-06-28 14:26:04.334,2011-06-28 14:27:04.334,Role 3
1,Send Invoice,2011-06-28 14:27:04.334,2011-06-28 14:27:04.334,Role 2
1,Release Supplier's Invoice,2011-06-28 14:27:04.334,2011-06-28 14:30:11.683,Role 5
1,Authorize Supplier's Invoice payment,2011-06-28 14:30:11.683,2011-06-28 14:30:11.683,Role 5
1,Pay Invoice,2011-06-28 14:30:11.683,2011-06-28 14:34:58.359,Role 5
1,End,2011-06-28 14:34:58.359,2011-06-28 14:34:58.359,SYSTEM
2,Create Purchase Requisition,2011-07-03 20:44:34.331,2011-07-04 09:37:31.903,Role 1
2,Start,2011-07-04 09:37:31.903,2011-07-04 09:37:31.903,SYSTEM
2,Analyze Purchase Requisition,2011-07-04 09:37:31.903,2011-07-04 09:38:29.134,Role 4
2,Create Request for Quotation,2011-07-04 09:38:29.134,2011-07-04 09:40:42.439,Role 4
2,Analyze Request for Quotation,2011-07-04 09:40:42.439,2011-07-04 09:54:57.593,Role 3
2,Amend Request for Quotation,2011-07-04 09:54:57.593,2011-07-04 09:58:17.072,Role 1
2,Analyze Request for Quotation,2011-07-04 09:58:17.072,2011-07-04 10:21:14.483,Role 3
2,Amend Request for Quotation,2011-07-04 10:21:14.483,2011-07-04 10:23:21.258,Role 1
2,Analyze Request for Quotation,2011-07-04 10:23:21.258,2011-07-04 11:40:48.616,Role 3
2,Send Request for Quotation to Supplier,2011-07-04 11:40:48.616,2011-07-04 11:55:34.908,Role 3
3,Create Purchase Requisition,2011-07-05 12:11:59.216,2011-07-05 13:03:33.206,Role 1
3,Start,2011-07-05 13:03:33.206,2011-07-05 13:03:33.206,SYSTEM
3,Create Purchase Requisition,2011-07-05 13:03:33.206,2011-07-05 14:06:21.257,Role 1
3,Start,2011-07-05 14:06:21.257,2011-07-05 14:06:21.257,SYSTEM
3,Create Purchase Requisition,2011-07-05 14:06:21.257,2011-07-05 14:40:01.106,Role 1
3,Start,2011-07-05 14:40:01.106,2011-07-05 14:40:01.106,SYSTEM
3,Create Purchase Requisition,2011-07-05 14:40:01.106,2011-07-05 14:43:53.884,Role 1
3,Start,2011-07-05 14:43:53.884,2011-07-05 14:43:53.884,SYSTEM
3,Analyze Purchase Requisition,2011-07-05 14:43:53.884,2011-07-05 14:53:26.962,Role 4
3,Create Request for Quotation,2011-07-05 14:53:26.962,2011-07-05 14:53:54.266,Role 4
3,Analyze Request for Quotation,2011-07-05 14:53:54.266,2011-07-05 14:57:08.783,Role 3
3,Send Request for Quotation to Supplier,2011-07-05 14:57:08.783,2011-07-05 15:03:37.502,Role 3
3,Create Quotation comparison Map,2011-07-05 15:03:37.502,2011-07-05 15:21:57.315,Role 3
3,Analyze Quotation Comparison Map,2011-07-05 15:21:57.315,2011-07-05 15:33:04.126,Role 1
3,Choose best option,2011-07-05 15:33:04.126,2011-07-05 15:33:04.126,Role 1
2,Create Quotation comparison Map,2011-07-04 11:55:34.908,2011-07-06 13:20:26.949,Role 3
2,Analyze Quotation Comparison Map,2011-07-06 13:20:26.949,2011-07-06 13:52:19.144,Role 1
2,Choose best option,2011-07-06 13:52:19.144,2011-07-06 13:52:19.144,Role 1
3,Settle Conditions With Supplier,2011-07-05 15:33:04.126,2011-07-07 11:05:25.878,Role 3
3,Create Purchase Order,2011-07-07 11:05:25.878,2011-07-07 11:37:07.547,Role 3
3,Confirm Purchase Order,2011-07-07 11:37:07.547,2011-07-07 11:42:57.588,Role 2
4,Start,2011-07-07 14:13:43.013,2011-07-07 14:13:43.013,SYSTEM
4,Create Purchase Requisition,2011-07-07 14:13:43.013,2011-07-07 15:16:18.166,Role 1
4,Start,2011-07-07 15:16:18.166,2011-07-07 15:16:18.166,SYSTEM
4,Create Purchase Requisition,2011-07-07 15:16:18.166,2011-07-07 15:18:12.331,Role 1
4,Start,2011-07-07 15:18:12.331,2011-07-07 15:18:12.331,SYSTEM
4,Create Purchase Requisition,2011-07-07 15:18:12.331,2011-07-07 15:25:59.537,Role 1
4,Start,2011-07-07 15:25:59.537,2011-07-07 15:25:59.537,SYSTEM
4,Analyze Purchase Requisition,2011-07-07 15:25:59.537,2011-07-07 15:26:15.694,Role 4
4,Create Request for Quotation,2011-07-07 15:26:15.694,2011-07-07 15:28:26.856,Role 4
4,Analyze Request for Quotation,2011-07-07 15:28:26.856,2011-07-07 16:19:34.597,Role 3
4,Amend Request for Quotation,2011-07-07 16:19:34.597,2011-07-07 16:33:34.162,Role 1
4,Analyze Request for Quotation,2011-07-07 16:33:34.162,2011-07-07 16:48:24.403,Role 3
4,Send Request for Quotation to Supplier,2011-07-07 16:48:24.403,2011-07-08 09:17:02.691,Role 3
4,Create Quotation comparison Map,2011-07-08 09:17:02.691,2011-07-08 09:29:58.313,Role 3
4,Analyze Quotation Comparison Map,2011-07-08 09:29:58.313,2011-07-08 09:45:15.418,Role 1
4,Choose best option,2011-07-08 09:45:15.418,2011-07-08 09:45:15.418,Role 1
4,Settle Conditions With Supplier,2011-07-08 09:45:15.418,2011-07-08 10:03:34.757,Role 3
4,Create Purchase Order,2011-07-08 10:03:34.757,2011-07-08 10:15:07.656,Role 3
