caseid,task,start_timestamp,end_timestamp,resource
0,Start,2022-07-05 13:59:38.0,2022-07-05 13:59:38.0,SYSTEM
0,A_SUBMITTED,2022-07-05 13:59:38.0,2022-07-05 14:07:09.949,SYSTEM
0,A_PARTLYSUBMITTED,2022-07-05 14:07:09.949,2022-07-05 14:40:53.536,SYSTEM
0,W_Fix_incomplete_submission,2022-07-05 14:40:53.536,2022-07-05 15:02:40.215,SYSTEM
0,A_PREACCEPTED,2022-07-05 15:02:40.215,2022-07-05 15:03:16.91,SYSTEM
0,W_Complete_preaccepted_appl,2022-07-05 15:03:16.91,2022-07-05 15:09:16.783,SYSTEM
0,A_ACCEPTED,2022-07-05 15:09:16.783,2022-07-05 15:21:12.818,SYSTEM
0,A_FINALIZED,2022-07-05 15:21:12.818,2022-07-05 15:30:07.864,SYSTEM
0,O_SELECTED,2022-07-05 15:30:07.864,2022-07-05 15:39:17.235,SYSTEM
0,O_CREATED,2022-07-05 15:39:17.235,2022-07-05 15:47:02.284,SYSTEM
1,Start,2022-07-05 16:01:35.354,2022-07-05 16:01:35.354,SYSTEM
1,A_SUBMITTED,2022-07-05 16:01:35.354,2022-07-05 16:39:47.689,SYSTEM
2,Start,2022-07-05 16:48:14.664,2022-07-05 16:48:14.664,SYSTEM
2,A_SUBMITTED,2022-07-05 16:48:14.664,2022-07-05 16:49:44.678,SYSTEM
2,A_PARTLYSUBMITTED,2022-07-05 16:49:44.678,2022-07-05 16:59:33.298,SYSTEM
2,W_Fix_incomplete_submission,2022-07-05 16:59:33.298,2022-07-05 17:06:07.016,SYSTEM
1,A_PARTLYSUBMITTED,2022-07-05 16:39:47.689,2022-07-05 17:12:17.809,SYSTEM
0,O_SENT,2022-07-05 15:47:02.284,2022-07-05 17:26:30.712,SYSTEM
1,W_Fix_incomplete_submission,2022-07-05 17:12:17.809,2022-07-05 17:27:49.805,SYSTEM
1,A_PREACCEPTED,2022-07-05 17:27:49.805,2022-07-05 17:47:37.374,SYSTEM
1,W_Complete_preaccepted_appl,2022-07-05 17:47:37.374,2022-07-05 17:53:27.867,SYSTEM
0,W_Call_after_offer,2022-07-05 17:26:30.712,2022-07-05 17:59:32.415,SYSTEM
1,A_ACCEPTED,2022-07-05 17:53:27.867,2022-07-05 18:07:49.009,SYSTEM
3,Start,2022-07-05 18:14:59.769,2022-07-05 18:14:59.769,SYSTEM
0,O_SENT_BACK,2022-07-05 17:59:32.415,2022-07-05 18:30:24.777,SYSTEM
0,W_Assess_application,2022-07-05 18:30:24.777,2022-07-05 18:31:52.147,SYSTEM
3,A_SUBMITTED,2022-07-05 18:14:59.769,2022-07-05 18:33:26.193,SYSTEM
2,A_PREACCEPTED,2022-07-05 17:06:07.016,2022-07-05 18:34:24.731,SYSTEM
0,W_Call_missing_information,2022-07-05 18:31:52.147,2022-07-05 18:34:25.742,SYSTEM
2,W_Complete_preaccepted_appl,2022-07-05 18:34:24.731,2022-07-05 18:41:48.65,SYSTEM
0,O_ACCEPTED,2022-07-05 18:34:25.742,2022-07-05 19:05:27.275,SYSTEM
