caseid,task,user,end_timestamp,start_timestamp
1600,A_SUBMITTED,D,2022-07-05 14:36:32,2022-07-05 13:59:39
1600,A_PARTLYSUBMITTED,E,2022-07-05 14:37:13,2022-07-05 14:36:33
1601,A_SUBMITTED,E,2022-07-05 17:40:06,2022-07-05 16:44:11
1601,A_PARTLYSUBMITTED,E,2022-07-05 18:10:06,2022-07-05 17:40:07
1602,A_SUBMITTED,D,2022-07-05 20:39:31,2022-07-05 19:30:25
1602,A_PARTLYSUBMITTED,E,2022-07-05 21:18:19,2022-07-05 20:39:32
1603,A_SUBMITTED,D,2022-07-05 22:28:40,2022-07-05 22:19:28
1603,A_PARTLYSUBMITTED,E,2022-07-05 22:45:50,2022-07-05 22:28:41
1604,A_SUBMITTED,E,2022-07-06 01:35:10,2022-07-06 00:59:04
1604,A_PARTLYSUBMITTED,D,2022-07-06 02:04:19,2022-07-06 01:35:11
1605,A_SUBMITTED,E,2022-07-06 05:05:43,2022-07-06 03:44:55
1605,A_PARTLYSUBMITTED,D,2022-07-06 06:03:51,2022-07-06 05:27:12
1606,A_SUBMITTED,E,2022-07-06 06:50:58,2022-07-06 06:34:50
1606,A_PARTLYSUBMITTED,D,2022-07-06 07:37:43,2022-07-06 06:50:59
1607,A_SUBMITTED,D,2022-07-06 10:32:52,2022-07-06 09:17:13
1607,A_PARTLYSUBMITTED,D,2022-07-06 12:23:54,2022-07-06 11:06:15
1608,A_SUBMITTED,E,2022-07-06 13:57:15,2022-07-06 12:26:18
1608,A_PARTLYSUBMITTED,E,2022-07-06 15:12:00,2022-07-06 14:36:08
1609,A_SUBMITTED,E,2022-07-06 16:48:24,2022-07-06 15:12:00
1609,A_PARTLYSUBMITTED,E,2022-07-06 16:50:37,2022-07-06 16:48:25
1610,A_SUBMITTED,D,2022-07-06 19:08:22,2022-07-06 17:42:19
1610,A_PARTLYSUBMITTED,E,2022-07-06 19:19:55,2022-07-06 19:19:30
1611,A_SUBMITTED,E,2022-07-06 21:51:38,2022-07-06 20:28:45
1611,A_PARTLYSUBMITTED,E,2022-07-06 22:22:30,2022-07-06 21:51:39
1612,A_SUBMITTED,E,2022-07-07 00:39:13,2022-07-06 23:14:53
1612,A_PARTLYSUBMITTED,D,2022-07-07 01:26:01,2022-07-07 00:39:14
1613,A_SUBMITTED,D,2022-07-07 03:30:37,2022-07-07 02:01:38
1613,A_PARTLYSUBMITTED,E,2022-07-07 04:38:31,2022-07-07 03:58:34
1614,A_SUBMITTED,E,2022-07-07 06:01:18,2022-07-07 04:48:10
1614,A_PARTLYSUBMITTED,E,2022-07-07 07:16:27,2022-07-07 06:01:19
1615,A_SUBMITTED,D,2022-07-07 08:20:31,2022-07-07 07:34:42
1615,A_PARTLYSUBMITTED,E,2022-07-07 09:01:01,2022-07-07 08:20:32
1616,A_SUBMITTED,E,2022-07-07 11:48:52,2022-07-07 10:22:24
1616,A_PARTLYSUBMITTED,E,2022-07-07 13:13:08,2022-07-07 12:13:27
1617,A_SUBMITTED,D,2022-07-07 14:34:19,2022-07-07 13:38:54
1617,A_PARTLYSUBMITTED,D,2022-07-07 15:19:22,2022-07-07 14:34:20
1618,A_SUBMITTED,E,2022-07-07 16:53:28,2022-07-07 15:58:51
1618,A_PARTLYSUBMITTED,E,2022-07-07 17:24:08,2022-07-07 16:53:29
1619,A_SUBMITTED,D,2022-07-07 19:16:03,2022-07-07 18:45:13
1619,A_PARTLYSUBMITTED,E,2022-07-07 19:33:44,2022-07-07 19:16:04
1620,A_SUBMITTED,D,2022-07-07 22:42:52,2022-07-07 21:45:35
1620,A_PARTLYSUBMITTED,D,2022-07-07 23:37:58,2022-07-07 22:48:14
1621,A_SUBMITTED,E,2022-07-08 01:39:15,2022-07-08 00:19:29
1621,A_PARTLYSUBMITTED,D,2022-07-08 02:07:13,2022-07-08 01:39:16
1622,A_SUBMITTED,E,2022-07-08 03:28:49,2022-07-08 03:06:21
1622,A_PARTLYSUBMITTED,E,2022-07-08 03:44:16,2022-07-08 03:28:50
1623,A_SUBMITTED,E,2022-07-08 07:20:54,2022-07-08 06:30:42
1623,A_PARTLYSUBMITTED,E,2022-07-08 08:26:11,2022-07-08 08:08:49
1624,A_SUBMITTED,E,2022-07-08 09:39:51,2022-07-08 08:42:09
1624,A_PARTLYSUBMITTED,E,2022-07-08 10:30:39,2022-07-08 09:39:52
1625,A_SUBMITTED,D,2022-07-08 12:36:44,2022-07-08 11:30:27
1625,A_PARTLYSUBMITTED,E,2022-07-08 13:10:56,2022-07-08 12:36:45
1626,A_SUBMITTED,E,2022-07-08 15:34:03,2022-07-08 14:20:44
1626,A_PARTLYSUBMITTED,E,2022-07-08 16:10:28,2022-07-08 15:34:04
1627,A_SUBMITTED,D,2022-07-08 18:23:03,2022-07-08 17:02:18
1627,A_PARTLYSUBMITTED,E,2022-07-08 19:14:50,2022-07-08 18:48:23
1628,A_SUBMITTED,E,2022-07-08 20:29:37,2022-07-08 19:53:47
1628,A_PARTLYSUBMITTED,D,2022-07-08 20:54:54,2022-07-08 20:36:29
1629,A_SUBMITTED,E,2022-07-08 23:38:29,2022-07-08 22:40:35
1629,A_PARTLYSUBMITTED,E,2022-07-09 00:47:34,2022-07-08 23:38:30
1600,W_Assess_fraud,A,2022-07-09 00:48:29,2022-07-09 00:13:23
1600,A_PREACCEPTED,E,2022-07-09 01:57:17,2022-07-09 00:48:30
1630,A_SUBMITTED,E,2022-07-09 02:46:47,2022-07-09 01:57:17
1630,A_PARTLYSUBMITTED,D,2022-07-09 03:54:42,2022-07-09 03:02:04
1601,W_Assess_fraud,A,2022-07-09 05:18:58,2022-07-09 05:04:37
