caseid,task,start_timestamp,end_timestamp,resource
0,Start,2021-01-20 11:12:04.0,2021-01-20 11:12:04.0,SYSTEM
0,B,2021-01-20 11:12:04.0,2021-01-20 11:19:35.525,Role 5
0,G,2021-01-20 11:19:35.525,2021-01-20 11:29:57.345,Role 5
0,F,2021-01-20 11:29:57.345,2021-01-20 11:30:11.634,Role 5
0,D,2021-01-20 11:30:11.634,2021-01-20 11:36:02.729,Role 5
0,H,2021-01-20 11:36:02.729,2021-01-20 11:54:55.318,Role 5
0,C,2021-01-20 11:54:55.318,2021-01-20 11:57:21.179,Role 5
0,E,2021-01-20 11:57:21.179,2021-01-20 12:07:05.982,Role 5
0,I,2021-01-20 12:07:05.982,2021-01-20 12:08:05.982,Role 5
1,Start,2021-01-20 12:11:51.348,2021-01-20 12:11:51.348,SYSTEM
2,Start,2021-01-20 12:21:36.084,2021-01-20 12:21:36.084,SYSTEM
0,J,2021-01-20 12:08:05.982,2021-01-20 15:49:14.187,Role 5
1,B,2021-01-20 15:49:14.187,2021-01-20 15:56:14.119,Role 5
2,A,2021-01-20 15:56:14.119,2021-01-20 16:04:47.869,Role 5
3,A,2021-01-20 16:04:47.869,2021-01-20 16:05:33.402,Role 5
0,K,2021-01-20 16:05:33.402,2021-01-20 16:05:35.402,Role 5
1,G,2021-01-20 16:05:35.402,2021-01-20 16:08:26.3,Role 5
2,B,2021-01-20 16:08:26.3,2021-01-20 16:29:57.847,Role 5
3,B,2021-01-20 16:29:57.847,2021-01-20 16:33:19.405,Role 5
0,L,2021-01-20 16:33:19.405,2021-01-20 16:47:53.835,Role 5
0,End,2021-01-20 16:47:53.835,2021-01-20 16:47:53.835,SYSTEM
1,F,2021-01-20 16:47:53.835,2021-01-20 16:52:22.932,Role 5
2,G,2021-01-20 16:52:22.932,2021-01-20 16:52:29.704,Role 5
3,G,2021-01-20 16:52:29.704,2021-01-20 17:05:22.273,Role 5
1,D,2021-01-20 17:05:22.273,2021-01-20 17:23:46.808,Role 5
2,F,2021-01-20 17:23:46.808,2021-01-20 17:25:59.257,Role 5
3,F,2021-01-20 17:25:59.257,2021-01-20 17:28:35.645,Role 5
1,H,2021-01-20 17:28:35.645,2021-01-20 17:37:40.962,Role 5
2,D,2021-01-20 17:37:40.962,2021-01-20 17:45:58.922,Role 5
3,D,2021-01-20 17:45:58.922,2021-01-20 17:52:45.139,Role 5
4,A,2021-01-20 17:52:45.139,2021-01-20 17:54:56.093,Role 5
1,C,2021-01-20 17:54:56.093,2021-01-20 17:56:40.458,Role 5
2,H,2021-01-20 17:56:40.458,2021-01-20 18:16:49.853,Role 5
3,H,2021-01-20 18:16:49.853,2021-01-20 18:20:02.54,Role 5
4,B,2021-01-20 18:20:02.54,2021-01-20 18:23:30.544,Role 5
1,E,2021-01-20 18:23:30.544,2021-01-20 18:26:05.725,Role 5
2,C,2021-01-20 18:26:05.725,2021-01-20 18:26:46.938,Role 5
3,C,2021-01-20 18:26:46.938,2021-01-20 18:26:49.327,Role 5
4,G,2021-01-20 18:26:49.327,2021-01-20 18:27:42.565,Role 5
1,I,2021-01-20 18:27:42.565,2021-01-20 18:28:42.565,Role 5
5,Start,2021-01-20 18:32:25.437,2021-01-20 18:32:25.437,SYSTEM
2,E,2021-01-20 18:28:42.565,2021-01-20 18:33:13.614,Role 5
3,E,2021-01-20 18:33:13.614,2021-01-20 18:36:45.997,Role 5
4,F,2021-01-20 18:36:45.997,2021-01-20 18:38:53.726,Role 5
1,J,2021-01-20 18:38:53.726,2021-01-20 18:48:39.777,Role 5
5,B,2021-01-20 18:48:39.777,2021-01-20 18:53:03.205,Role 5
2,I,2021-01-20 18:53:03.205,2021-01-20 18:54:03.205,Role 5
3,I,2021-01-20 18:54:03.205,2021-01-20 18:55:03.205,Role 5
4,D,2021-01-20 18:55:03.205,2021-01-20 19:12:41.072,Role 5
1,P,2021-01-20 19:12:41.072,2021-01-20 19:12:50.25,Role 5
5,G,2021-01-20 19:12:50.25,2021-01-20 19:21:27.579,Role 5
6,Start,2021-01-20 20:38:37.941,2021-01-20 20:38:37.941,SYSTEM
2,J,2021-01-20 19:21:27.579,2021-01-20 20:41:15.4,Role 5
1,Q,2021-01-20 19:12:50.25,2021-01-20 20:49:07.765,Role 2
3,J,2021-01-20 20:41:15.4,2021-01-20 21:19:52.526,Role 5
4,H,2021-01-20 21:19:52.526,2021-01-20 21:40:14.255,Role 5
5,F,2021-01-20 21:40:14.255,2021-01-20 21:42:56.695,Role 5
8,Start,2021-01-20 21:53:59.78,2021-01-20 21:53:59.78,SYSTEM
6,B,2021-01-20 21:42:56.695,2021-01-20 22:02:24.402,Role 5
2,K,2021-01-20 22:02:24.402,2021-01-20 22:02:26.402,Role 5
7,A,2021-01-20 22:02:26.402,2021-01-20 22:19:37.528,Role 5
3,P,2021-01-20 22:19:37.528,2021-01-20 22:26:57.332,Role 5
4,C,2021-01-20 22:26:57.332,2021-01-20 22:39:22.691,Role 5
5,D,2021-01-20 22:39:22.691,2021-01-20 22:45:54.566,Role 5
8,B,2021-01-20 22:45:54.566,2021-01-20 22:51:16.983,Role 5
6,G,2021-01-20 22:51:16.983,2021-01-20 22:52:54.55,Role 5
9,Start,2021-01-20 22:56:55.343,2021-01-20 22:56:55.343,SYSTEM
2,M,2021-01-20 22:52:54.55,2021-01-20 22:59:09.551,Role 5
2,U,2021-01-20 22:59:09.551,2021-01-20 23:05:00.267,Role 4
7,B,2021-01-20 22:59:09.551,2021-01-20 23:08:38.76,Role 5
4,E,2021-01-20 23:08:38.76,2021-01-20 23:17:10.741,Role 5
5,H,2021-01-20 23:17:10.741,2021-01-20 23:20:24.061,Role 5
1,R,2021-01-20 20:49:07.765,2021-01-20 23:25:44.443,Role 2
1,S,2021-01-20 23:25:44.443,2021-01-20 23:27:24.503,Role 2
8,G,2021-01-20 23:20:24.061,2021-01-20 23:29:42.576,Role 5
1,T,2021-01-20 23:27:24.503,2021-01-20 23:30:24.204,Role 2
1,End,2021-01-20 23:30:24.204,2021-01-20 23:30:24.204,SYSTEM
10,Start,2021-01-20 23:32:30.732,2021-01-20 23:32:30.732,SYSTEM
6,F,2021-01-20 23:29:42.576,2021-01-20 23:34:36.759,Role 5
2,V,2021-01-20 23:05:00.267,2021-01-20 23:48:18.342,Role 4
2,X,2021-01-20 23:48:18.342,2021-01-20 23:49:53.411,Role 4
9,A,2021-01-20 23:34:36.759,2021-01-21 00:02:54.099,Role 5
7,G,2021-01-21 00:02:54.099,2021-01-21 00:05:23.198,Role 5
4,I,2021-01-21 00:05:23.198,2021-01-21 00:06:23.198,Role 5
5,C,2021-01-21 00:06:23.198,2021-01-21 00:09:44.718,Role 5
8,F,2021-01-21 00:09:44.718,2021-01-21 00:16:00.091,Role 5
10,B,2021-01-21 00:16:00.091,2021-01-21 00:26:47.202,Role 5
6,D,2021-01-21 00:26:47.202,2021-01-21 00:37:13.632,Role 5
9,B,2021-01-21 00:37:13.632,2021-01-21 00:40:07.155,Role 5
7,F,2021-01-21 00:40:07.155,2021-01-21 00:40:34.836,Role 5
4,J,2021-01-21 00:40:34.836,2021-01-21 01:16:18.909,Role 5
5,E,2021-01-21 01:16:18.909,2021-01-21 01:18:13.245,Role 5
8,D,2021-01-21 01:18:13.245,2021-01-21 01:18:58.924,Role 5
10,G,2021-01-21 01:18:58.924,2021-01-21 01:21:44.353,Role 5
6,H,2021-01-21 01:21:44.353,2021-01-21 01:25:22.562,Role 5
9,G,2021-01-21 01:25:22.562,2021-01-21 01:31:04.62,Role 5
7,D,2021-01-21 01:31:04.62,2021-01-21 01:42:55.42,Role 5
4,K,2021-01-21 01:42:55.42,2021-01-21 01:42:57.42,Role 5
5,I,2021-01-21 01:42:57.42,2021-01-21 01:43:57.42,Role 5
11,Start,2021-01-21 01:45:40.207,2021-01-21 01:45:40.207,SYSTEM
8,H,2021-01-21 01:43:57.42,2021-01-21 01:52:51.748,Role 5
10,F,2021-01-21 01:52:51.748,2021-01-21 01:53:05.719,Role 5
6,C,2021-01-21 01:53:05.719,2021-01-21 01:55:16.239,Role 5
9,F,2021-01-21 01:55:16.239,2021-01-21 01:58:12.121,Role 5
2,R,2021-01-20 23:49:53.411,2021-01-21 04:33:28.716,Role 2
2,S,2021-01-21 04:33:28.716,2021-01-21 04:34:53.547,Role 2
2,T,2021-01-21 04:34:53.547,2021-01-21 04:35:28.252,Role 2
2,End,2021-01-21 04:35:28.252,2021-01-21 04:35:28.252,SYSTEM
7,H,2021-01-21 01:58:12.121,2021-01-21 04:49:48.101,Role 5
4,O,2021-01-21 04:49:48.101,2021-01-21 05:30:36.056,Role 5
4,BB,2021-01-21 05:30:36.056,2021-01-21 05:31:52.068,Role 1
4,CC,2021-01-21 05:31:52.068,2021-01-21 05:36:32.166,Role 1
4,DD,2021-01-21 05:36:32.166,2021-01-21 05:52:28.021,Role 1
5,J,2021-01-21 05:30:36.056,2021-01-21 06:01:12.835,Role 5
3,Q,2021-01-20 22:26:57.332,2021-01-21 06:02:23.023,Role 2
11,B,2021-01-21 06:01:12.835,2021-01-21 06:09:26.044,Role 5
12,A,2021-01-21 06:09:26.044,2021-01-21 06:11:14.857,Role 5
15,Start,2021-01-21 06:12:56.531,2021-01-21 06:12:56.531,SYSTEM
8,C,2021-01-21 06:11:14.857,2021-01-21 06:19:57.285,Role 5
10,D,2021-01-21 06:19:57.285,2021-01-21 06:21:32.172,Role 5
3,R,2021-01-21 06:02:23.023,2021-01-21 06:32:38.499,Role 2
3,S,2021-01-21 06:32:38.499,2021-01-21 06:34:21.984,Role 2
3,T,2021-01-21 06:34:21.984,2021-01-21 06:35:13.939,Role 2
6,E,2021-01-21 06:21:32.172,2021-01-21 06:39:44.016,Role 5
9,D,2021-01-21 06:39:44.016,2021-01-21 06:56:04.049,Role 5
7,C,2021-01-21 06:56:04.049,2021-01-21 06:57:35.275,Role 5
13,A,2021-01-21 06:57:35.275,2021-01-21 06:57:45.607,Role 5
5,P,2021-01-21 06:57:45.607,2021-01-21 06:58:30.072,Role 5
11,G,2021-01-21 06:58:30.072,2021-01-21 07:01:23.904,Role 5
14,A,2021-01-21 07:01:23.904,2021-01-21 07:04:02.433,Role 5
12,B,2021-01-21 07:04:02.433,2021-01-21 07:04:18.26,Role 5
5,Q,2021-01-21 06:58:30.072,2021-01-21 07:06:18.661,Role 2
15,A,2021-01-21 07:04:18.26,2021-01-21 07:15:26.031,Role 5
8,E,2021-01-21 07:15:26.031,2021-01-21 07:17:20.35,Role 5
10,H,2021-01-21 07:17:20.35,2021-01-21 07:22:51.674,Role 5
3,I,2021-01-21 07:22:51.674,2021-01-21 07:23:51.674,Role 5
6,I,2021-01-21 07:23:51.674,2021-01-21 07:24:51.674,Role 5
9,H,2021-01-21 07:24:51.674,2021-01-21 07:47:24.411,Role 5
7,E,2021-01-21 07:47:24.411,2021-01-21 08:01:16.233,Role 5
13,B,2021-01-21 08:01:16.233,2021-01-21 08:16:14.231,Role 5
11,F,2021-01-21 08:16:14.231,2021-01-21 08:16:47.169,Role 5
14,B,2021-01-21 08:16:47.169,2021-01-21 08:18:21.368,Role 5
12,G,2021-01-21 08:18:21.368,2021-01-21 08:19:26.73,Role 5
15,B,2021-01-21 08:19:26.73,2021-01-21 08:23:20.651,Role 5
8,I,2021-01-21 08:23:20.651,2021-01-21 08:24:20.651,Role 5
4,R,2021-01-21 05:52:28.021,2021-01-21 08:26:17.386,Role 2
10,C,2021-01-21 08:24:20.651,2021-01-21 08:37:40.772,Role 5
3,J,2021-01-21 08:37:40.772,2021-01-21 08:40:20.981,Role 5
4,S,2021-01-21 08:26:17.386,2021-01-21 08:56:42.905,Role 2
4,T,2021-01-21 08:56:42.905,2021-01-21 09:21:47.134,Role 2
4,End,2021-01-21 09:21:47.134,2021-01-21 09:21:47.134,SYSTEM
6,J,2021-01-21 08:40:20.981,2021-01-21 10:42:15.85,Role 5
9,C,2021-01-21 10:42:15.85,2021-01-21 10:44:33.396,Role 5
7,I,2021-01-21 10:44:33.396,2021-01-21 10:45:33.396,Role 5
13,G,2021-01-21 10:45:33.396,2021-01-21 10:46:43.802,Role 5
11,D,2021-01-21 10:46:43.802,2021-01-21 10:48:14.888,Role 5
14,G,2021-01-21 10:48:14.888,2021-01-21 10:53:46.885,Role 5
12,F,2021-01-21 10:53:46.885,2021-01-21 10:57:32.093,Role 5
15,G,2021-01-21 10:57:32.093,2021-01-21 11:03:30.464,Role 5
8,J,2021-01-21 11:03:30.464,2021-01-21 11:04:19.441,Role 5
10,E,2021-01-21 11:04:19.441,2021-01-21 11:06:11.17,Role 5
3,P,2021-01-21 11:06:11.17,2021-01-21 11:08:22.221,Role 5
6,P,2021-01-21 11:08:22.221,2021-01-21 11:18:19.555,Role 5
9,E,2021-01-21 11:18:19.555,2021-01-21 11:21:27.594,Role 5
7,J,2021-01-21 11:21:27.594,2021-01-21 12:01:33.755,Role 5
13,F,2021-01-21 12:01:33.755,2021-01-21 12:03:29.294,Role 5
11,H,2021-01-21 12:03:29.294,2021-01-21 12:06:46.066,Role 5
14,F,2021-01-21 12:06:46.066,2021-01-21 12:07:23.041,Role 5
12,D,2021-01-21 12:07:23.041,2021-01-21 12:25:56.456,Role 5
3,Q,2021-01-21 11:08:22.221,2021-01-21 12:25:56.815,Role 2
6,Q,2021-01-21 11:18:19.555,2021-01-21 12:26:10.704,Role 2
15,F,2021-01-21 12:25:56.456,2021-01-21 12:26:45.785,Role 5
8,K,2021-01-21 12:26:45.785,2021-01-21 12:26:47.785,Role 5
10,I,2021-01-21 12:26:47.785,2021-01-21 12:27:47.785,Role 5
9,I,2021-01-21 12:27:47.785,2021-01-21 12:28:47.785,Role 5
7,P,2021-01-21 12:28:47.785,2021-01-21 12:36:55.705,Role 5
3,R,2021-01-21 12:25:56.815,2021-01-21 12:47:19.834,Role 2
16,A,2021-01-21 12:36:55.705,2021-01-21 12:53:23.266,Role 5
13,D,2021-01-21 12:53:23.266,2021-01-21 12:55:18.882,Role 5
6,R,2021-01-21 12:26:10.704,2021-01-21 12:57:34.371,Role 2
3,S,2021-01-21 12:57:34.371,2021-01-21 12:58:31.166,Role 2
11,C,2021-01-21 12:55:18.882,2021-01-21 12:59:14.491,Role 5
6,S,2021-01-21 12:58:31.166,2021-01-21 13:05:11.82,Role 2
14,D,2021-01-21 12:59:14.491,2021-01-21 13:05:41.315,Role 5
3,T,2021-01-21 13:05:11.82,2021-01-21 13:11:40.132,Role 2
6,T,2021-01-21 13:11:40.132,2021-01-21 13:11:43.567,Role 2
7,Q,2021-01-21 12:47:19.834,2021-01-21 13:14:01.096,Role 2
12,H,2021-01-21 13:05:41.315,2021-01-21 13:26:44.995,Role 5
15,D,2021-01-21 13:26:44.995,2021-01-21 13:44:41.296,Role 5
8,L,2021-01-21 13:44:41.296,2021-01-21 13:53:15.843,Role 5
8,End,2021-01-21 13:53:15.843,2021-01-21 13:53:15.843,SYSTEM
10,J,2021-01-21 13:53:15.843,2021-01-21 14:03:59.64,Role 5
9,J,2021-01-21 14:03:59.64,2021-01-21 14:12:20.072,Role 5
16,B,2021-01-21 14:12:20.072,2021-01-21 14:28:39.077,Role 5
13,H,2021-01-21 14:28:39.077,2021-01-21 14:36:06.874,Role 5
11,E,2021-01-21 14:36:06.874,2021-01-21 14:40:13.993,Role 5
14,H,2021-01-21 14:40:13.993,2021-01-21 14:43:42.473,Role 5
3,I,2021-01-21 14:43:42.473,2021-01-21 14:44:42.473,Role 5
6,I,2021-01-21 14:44:42.473,2021-01-21 14:45:42.473,Role 5
17,A,2021-01-21 14:45:42.473,2021-01-21 14:47:18.223,Role 5
12,C,2021-01-21 14:47:18.223,2021-01-21 14:52:01.139,Role 5
5,R,2021-01-21 07:06:18.661,2021-01-21 15:02:50.837,Role 2
15,H,2021-01-21 14:52:01.139,2021-01-21 15:05:36.712,Role 5
5,S,2021-01-21 15:02:50.837,2021-01-21 15:16:42.81,Role 2
