caseid,task,start_timestamp,end_timestamp,resource
0,Prescription received,2019-05-14 09:32:45.0,2019-05-14 11:00:00.0,Role 2
1,Prescription received,2019-05-14 11:00:00.0,2019-05-14 11:00:00.0,Role 2
1,Start,2019-05-14 11:00:00.0,2019-05-14 11:00:00.0,SYSTEM
1,Process drop-off,2019-05-14 11:00:00.0,2019-05-14 11:01:40.432,Role 1
0,Process drop-off,2019-05-14 11:00:00.0,2019-05-14 11:01:42.932,Role 1
0,Enter prescription details,2019-05-14 11:01:42.932,2019-05-14 11:01:46.725,Role 1
0,Check if refill is allowed,2019-05-14 11:01:46.725,2019-05-14 11:01:46.725,Role 3
0,Check DUR,2019-05-14 11:01:46.725,2019-05-14 11:01:46.725,Role 3
1,Enter prescription details,2019-05-14 11:01:40.432,2019-05-14 11:01:57.363,Role 1
1,Check if refill is allowed,2019-05-14 11:01:57.363,2019-05-14 11:01:57.363,Role 3
0,Resolve DUR manually,2019-05-14 11:01:46.725,2019-05-14 11:05:07.275,Role 4
0,Check Insurance,2019-05-14 11:05:07.275,2019-05-14 11:05:07.275,Role 3
1,Contact customer /  doctor,2019-05-14 11:05:07.275,2019-05-14 11:15:10.592,Role 4
1,Check Insurance,2019-05-14 11:15:10.592,2019-05-14 11:15:10.592,Role 3
2,Start,2019-05-14 11:16:30.919,2019-05-14 11:16:30.919,SYSTEM
1,Resolve insurance issues manually,2019-05-14 11:15:10.592,2019-05-14 11:18:02.239,Role 1
2,Process drop-off,2019-05-14 11:16:30.919,2019-05-14 11:18:02.584,Role 1
1,Pack the drugs (Production),2019-05-14 11:18:02.239,2019-05-14 11:18:15.293,Role 1
1,Check for Quality Assurance,2019-05-14 11:18:15.293,2019-05-14 11:19:10.996,Role 4
1,Pick-up,2019-05-14 11:19:10.996,2019-05-14 11:19:39.242,Role 1
1,End,2019-05-14 11:19:39.242,2019-05-14 11:19:39.242,SYSTEM
2,Enter prescription details,2019-05-14 11:18:02.584,2019-05-14 11:20:53.908,Role 1
2,Check if refill is allowed,2019-05-14 11:20:53.908,2019-05-14 11:20:53.908,Role 3
0,Pack the drugs (Production),2019-05-14 11:05:07.275,2019-05-14 11:26:17.823,Role 1
0,Check for Quality Assurance,2019-05-14 11:26:17.823,2019-05-14 11:27:19.075,Role 4
0,Pick-up,2019-05-14 11:27:19.075,2019-05-14 11:27:53.497,Role 1
0,Prescription fulfilled,2019-05-14 11:27:53.497,2019-05-14 11:27:53.497,Role 2
0,End,2019-05-14 11:27:53.497,2019-05-14 11:27:53.497,SYSTEM
2,Contact Doctor about refill,2019-05-14 11:20:53.908,2019-05-14 12:27:47.867,Role 1
2,Check DUR,2019-05-14 12:27:47.867,2019-05-14 12:27:47.867,Role 3
2,Check Insurance,2019-05-14 12:27:47.867,2019-05-14 12:27:47.867,Role 3
2,Resolve insurance issues manually,2019-05-14 12:27:47.867,2019-05-14 12:29:11.748,Role 1
2,Pack the drugs (Production),2019-05-14 12:29:11.748,2019-05-14 12:30:00.848,Role 1
2,Check for Quality Assurance,2019-05-14 12:30:00.848,2019-05-14 12:30:52.662,Role 4
2,Pick-up,2019-05-14 12:30:52.662,2019-05-14 13:03:26.431,Role 1
2,End,2019-05-14 13:03:26.431,2019-05-14 13:03:26.431,SYSTEM
3,Prescription received,2019-05-14 15:32:09.905,2019-05-14 15:32:09.905,Role 2
3,Start,2019-05-14 15:32:09.905,2019-05-14 15:32:09.905,SYSTEM
3,Process drop-off,2019-05-14 15:32:09.905,2019-05-14 15:33:40.732,Role 1
3,Enter prescription details,2019-05-14 15:33:40.732,2019-05-14 15:33:42.047,Role 1
3,Check if refill is allowed,2019-05-14 15:33:42.047,2019-05-14 15:33:42.047,Role 3
4,Prescription received,2019-05-14 16:09:58.768,2019-05-14 16:09:58.768,Role 2
4,Start,2019-05-14 16:09:58.768,2019-05-14 16:09:58.768,SYSTEM
4,Process drop-off,2019-05-14 16:09:58.768,2019-05-14 16:11:31.251,Role 1
4,Enter prescription details,2019-05-14 16:11:31.251,2019-05-14 16:11:33.622,Role 1
4,Check if refill is allowed,2019-05-14 16:11:33.622,2019-05-14 16:11:33.622,Role 3
4,Check DUR,2019-05-14 16:11:33.622,2019-05-14 16:11:33.622,Role 3
4,Check Insurance,2019-05-14 16:11:33.622,2019-05-14 16:11:33.622,Role 3
4,Resolve insurance issues manually,2019-05-14 16:11:33.622,2019-05-14 16:17:25.578,Role 1
4,Pack the drugs (Production),2019-05-14 16:17:25.578,2019-05-14 16:17:43.821,Role 1
4,Check for Quality Assurance,2019-05-14 16:17:43.821,2019-05-14 16:18:53.648,Role 4
4,Pick-up,2019-05-14 16:18:53.648,2019-05-14 16:20:17.702,Role 1
4,End,2019-05-14 16:20:17.702,2019-05-14 16:20:17.702,SYSTEM
4,Prescription fulfilled,2019-05-14 16:20:17.702,2019-05-14 16:20:17.702,Role 2
4,End,2019-05-14 16:20:17.702,2019-05-14 16:20:17.702,SYSTEM
5,Prescription received,2019-05-14 16:41:40.457,2019-05-14 16:41:40.457,Role 2
5,Start,2019-05-14 16:41:40.457,2019-05-14 16:41:40.457,SYSTEM
5,Process drop-off,2019-05-14 16:41:40.457,2019-05-14 16:43:00.46,Role 1
5,Enter prescription details,2019-05-14 16:43:00.46,2019-05-14 16:43:33.809,Role 1
5,Check if refill is allowed,2019-05-14 16:43:33.809,2019-05-14 16:43:33.809,Role 3
6,Prescription received,2019-05-14 16:55:18.551,2019-05-14 16:55:18.551,Role 2
6,Process drop-off,2019-05-14 16:55:18.551,2019-05-14 16:56:58.744,Role 1
6,Enter prescription details,2019-05-14 16:56:58.744,2019-05-14 16:57:06.654,Role 1
6,Check if refill is allowed,2019-05-14 16:57:06.654,2019-05-14 16:57:06.654,Role 3
6,Check DUR,2019-05-14 16:57:06.654,2019-05-14 16:57:06.654,Role 3
6,Resolve DUR manually,2019-05-14 16:57:06.654,2019-05-14 16:57:30.159,Role 4
6,Check Insurance,2019-05-14 16:57:30.159,2019-05-14 16:57:30.159,Role 3
3,Contact Doctor about refill,2019-05-14 15:33:42.047,2019-05-14 16:57:51.718,Role 1
3,Check DUR,2019-05-14 16:57:51.718,2019-05-14 16:57:51.718,Role 3
3,Check Insurance,2019-05-14 16:57:51.718,2019-05-14 16:57:51.718,Role 3
3,Resolve insurance issues manually,2019-05-14 16:57:51.718,2019-05-14 17:01:10.737,Role 1
3,Pack the drugs (Production),2019-05-14 17:01:10.737,2019-05-14 17:01:45.108,Role 1
3,Check for Quality Assurance,2019-05-14 17:01:45.108,2019-05-14 17:02:46.915,Role 4
3,Pick-up,2019-05-14 17:02:46.915,2019-05-14 17:04:00.823,Role 1
3,Prescription fulfilled,2019-05-14 17:04:00.823,2019-05-14 17:04:00.823,Role 2
5,Contact Doctor about refill,2019-05-14 16:43:33.809,2019-05-14 17:19:40.031,Role 1
5,Check DUR,2019-05-14 17:19:40.031,2019-05-14 17:19:40.031,Role 3
5,Resolve DUR manually,2019-05-14 17:19:40.031,2019-05-14 17:23:07.612,Role 4
5,Check Insurance,2019-05-14 17:23:07.612,2019-05-14 17:23:07.612,Role 3
5,Resolve insurance issues manually,2019-05-14 17:23:07.612,2019-05-14 17:24:44.058,Role 1
5,Pack the drugs (Production),2019-05-14 17:24:44.058,2019-05-14 17:27:05.241,Role 1
6,Pack the drugs (Production),2019-05-14 16:57:30.159,2019-05-14 17:27:23.058,Role 1
5,Check for Quality Assurance,2019-05-14 17:27:05.241,2019-05-14 17:28:06.657,Role 4
5,Pick-up,2019-05-14 17:28:06.657,2019-05-14 17:28:08.262,Role 1
5,Prescription fulfilled,2019-05-14 17:28:08.262,2019-05-14 17:28:08.262,Role 2
6,Check for Quality Assurance,2019-05-14 17:28:06.657,2019-05-14 17:29:07.292,Role 4
6,Pick-up,2019-05-14 17:29:07.292,2019-05-14 17:29:54.114,Role 1
6,Prescription fulfilled,2019-05-14 17:29:54.114,2019-05-14 17:29:54.114,Role 2
3,End,2019-05-14 17:04:00.823,2019-05-15 09:00:00.0,SYSTEM
5,End,2019-05-14 17:28:08.262,2019-05-15 09:00:00.0,SYSTEM
6,End,2019-05-14 17:29:54.114,2019-05-15 09:00:00.0,SYSTEM
8,Start,2019-05-15 10:55:12.865,2019-05-15 10:55:12.865,SYSTEM
7,Prescription received,2019-05-15 10:29:58.611,2019-05-15 11:00:00.0,Role 2
7,Start,2019-05-15 11:00:00.0,2019-05-15 11:00:00.0,SYSTEM
7,Prescription received,2019-05-15 11:00:00.0,2019-05-15 11:00:00.0,Role 2
8,Process drop-off,2019-05-15 10:55:12.865,2019-05-15 11:01:21.23,Role 1
8,Enter prescription details,2019-05-15 11:01:21.23,2019-05-15 11:01:28.181,Role 1
8,Check if refill is allowed,2019-05-15 11:01:28.181,2019-05-15 11:01:28.181,Role 3
7,Process drop-off,2019-05-15 11:00:00.0,2019-05-15 11:01:33.77,Role 1
7,Enter prescription details,2019-05-15 11:01:33.77,2019-05-15 11:02:03.792,Role 1
7,Check if refill is allowed,2019-05-15 11:02:03.792,2019-05-15 11:02:03.792,Role 3
7,Check DUR,2019-05-15 11:02:03.792,2019-05-15 11:02:03.792,Role 3
7,Check Insurance,2019-05-15 11:02:03.792,2019-05-15 11:02:03.792,Role 3
7,Resolve insurance issues manually,2019-05-15 11:02:03.792,2019-05-15 11:03:57.568,Role 1
7,Pack the drugs (Production),2019-05-15 11:03:57.568,2019-05-15 11:12:19.534,Role 1
7,Check for Quality Assurance,2019-05-15 11:12:19.534,2019-05-15 11:13:20.016,Role 4
7,Pick-up,2019-05-15 11:13:20.016,2019-05-15 11:13:55.123,Role 1
7,Prescription fulfilled,2019-05-15 11:13:55.123,2019-05-15 11:13:55.123,Role 2
7,End,2019-05-15 11:13:55.123,2019-05-15 11:13:55.123,SYSTEM
8,Contact Doctor about refill,2019-05-15 11:01:28.181,2019-05-15 11:17:35.954,Role 1
8,Check DUR,2019-05-15 11:17:35.954,2019-05-15 11:17:35.954,Role 3
8,Check Insurance,2019-05-15 11:17:35.954,2019-05-15 11:17:35.954,Role 3
8,Resolve insurance issues manually,2019-05-15 11:17:35.954,2019-05-15 11:20:44.045,Role 1
8,Pack the drugs (Production),2019-05-15 11:20:44.045,2019-05-15 11:21:23.885,Role 1
8,Check for Quality Assurance,2019-05-15 11:21:23.885,2019-05-15 11:22:24.26,Role 4
8,Pick-up,2019-05-15 11:22:24.26,2019-05-15 11:22:49.872,Role 1
8,End,2019-05-15 11:22:49.872,2019-05-15 11:22:49.872,SYSTEM
9,Prescription received,2019-05-15 11:30:39.271,2019-05-15 11:30:39.271,Role 2
9,Process drop-off,2019-05-15 11:30:39.271,2019-05-15 11:32:26.212,Role 1
9,Enter prescription details,2019-05-15 11:32:26.212,2019-05-15 11:47:28.718,Role 1
9,Check if refill is allowed,2019-05-15 11:47:28.718,2019-05-15 11:47:28.718,Role 3
9,Contact customer /  doctor,2019-05-15 11:47:28.718,2019-05-15 11:54:51.814,Role 4
9,Check Insurance,2019-05-15 11:54:51.814,2019-05-15 11:54:51.814,Role 3
9,Resolve insurance issues manually,2019-05-15 11:54:51.814,2019-05-15 11:58:29.417,Role 1
9,Pack the drugs (Production),2019-05-15 11:58:29.417,2019-05-15 12:07:02.095,Role 1
9,Check for Quality Assurance,2019-05-15 12:07:02.095,2019-05-15 12:08:02.969,Role 4
9,Pick-up,2019-05-15 12:08:02.969,2019-05-15 12:17:39.39,Role 1
9,End,2019-05-15 12:17:39.39,2019-05-15 12:17:39.39,SYSTEM
9,Prescription fulfilled,2019-05-15 12:17:39.39,2019-05-15 12:17:39.39,Role 2
9,End,2019-05-15 12:17:39.39,2019-05-15 12:17:39.39,SYSTEM
10,Start,2019-05-15 13:19:56.559,2019-05-15 13:19:56.559,SYSTEM
10,Process drop-off,2019-05-15 13:19:56.559,2019-05-15 13:21:37.677,Role 1
10,Enter prescription details,2019-05-15 13:21:37.677,2019-05-15 13:21:41.614,Role 1
10,Check if refill is allowed,2019-05-15 13:21:41.614,2019-05-15 13:21:41.614,Role 3
10,Check DUR,2019-05-15 13:21:41.614,2019-05-15 13:21:41.614,Role 3
10,Resolve DUR manually,2019-05-15 13:21:41.614,2019-05-15 13:22:06.834,Role 4
10,Check Insurance,2019-05-15 13:22:06.834,2019-05-15 13:22:06.834,Role 3
10,Resolve insurance issues manually,2019-05-15 13:22:06.834,2019-05-15 13:22:37.93,Role 1
10,Pack the drugs (Production),2019-05-15 13:22:37.93,2019-05-15 13:34:38.658,Role 1
10,Check for Quality Assurance,2019-05-15 13:34:38.658,2019-05-15 13:35:41.854,Role 4
10,Pick-up,2019-05-15 13:35:41.854,2019-05-15 13:36:02.509,Role 1
10,End,2019-05-15 13:36:02.509,2019-05-15 13:36:02.509,SYSTEM
10,Prescription fulfilled,2019-05-15 13:36:02.509,2019-05-15 13:36:02.509,Role 2
10,End,2019-05-15 13:36:02.509,2019-05-15 13:36:02.509,SYSTEM
11,Prescription received,2019-05-15 15:41:07.558,2019-05-15 15:41:07.558,Role 2
11,Process drop-off,2019-05-15 15:41:07.558,2019-05-15 15:42:32.307,Role 1
11,Enter prescription details,2019-05-15 15:42:32.307,2019-05-15 15:42:43.821,Role 1
11,Check if refill is allowed,2019-05-15 15:42:43.821,2019-05-15 15:42:43.821,Role 3
11,Contact Doctor about refill,2019-05-15 15:42:43.821,2019-05-15 15:51:23.329,Role 1
11,Check DUR,2019-05-15 15:51:23.329,2019-05-15 15:51:23.329,Role 3
11,Resolve DUR manually,2019-05-15 15:51:23.329,2019-05-15 15:53:30.525,Role 4
11,Check Insurance,2019-05-15 15:53:30.525,2019-05-15 15:53:30.525,Role 3
11,Resolve insurance issues manually,2019-05-15 15:53:30.525,2019-05-15 15:54:22.832,Role 1
11,Pack the drugs (Production),2019-05-15 15:54:22.832,2019-05-15 15:54:26.12,Role 1
11,Check for Quality Assurance,2019-05-15 15:54:26.12,2019-05-15 15:55:28.361,Role 4
11,Pick-up,2019-05-15 15:55:28.361,2019-05-15 15:56:02.655,Role 1
11,Prescription fulfilled,2019-05-15 15:56:02.655,2019-05-15 15:56:02.655,Role 2
11,End,2019-05-15 15:56:02.655,2019-05-15 15:56:02.655,SYSTEM
11,Prescription fulfilled,2019-05-15 15:56:02.655,2019-05-15 15:56:02.655,Role 2
11,End,2019-05-15 15:56:02.655,2019-05-15 15:56:02.655,SYSTEM
11,Prescription fulfilled,2019-05-15 15:56:02.655,2019-05-15 15:56:02.655,Role 2
11,End,2019-05-15 15:56:02.655,2019-05-15 15:56:02.655,SYSTEM
12,Prescription received,2019-05-15 16:35:37.034,2019-05-15 16:35:37.034,Role 2
12,Process drop-off,2019-05-15 16:35:37.034,2019-05-15 16:37:25.713,Role 1
12,Enter prescription details,2019-05-15 16:37:25.713,2019-05-15 16:38:00.277,Role 1
