caseid,task,start:timestamp,time:timestamp,role,st_wip,st_tsk_wip,queue
1,W_Afhandelen leads,2012-02-13 20:34:51,2012-02-13 20:34:51,Role 1,290,1.517955278238281,-1
2,W_Completeren aanvraag,2012-02-13 20:34:51,2012-02-13 20:34:51,Role 1,291,2.0151291657420343,-1
1,W_Completeren aanvraag,2012-02-13 20:34:51,2012-02-13 20:34:51,Role 1,291,3.0151291657420343,-1
2,W_Completeren aanvraag,2012-02-13 20:34:51,2012-02-13 20:34:51,Role 1,291,3.0151291657420343,-1
1,W_Completeren aanvraag,2012-02-13 20:34:51,2012-02-13 20:34:51,Role 1,291,3.0151291657420343,-1
2,W_Completeren aanvraag,2012-02-13 20:34:51,2012-02-13 20:34:51,Role 1,291,3.0151291657420343,-1
1,W_Nabellen offertes,2012-02-13 20:34:51,2012-02-13 20:34:51,Role 1,291,2.496599527458326,-1
2,W_Nabellen offertes,2012-02-13 20:34:51,2012-02-13 20:34:51,Role 1,291,2.496599527458326,-1
1,W_Valideren aanvraag,2012-02-13 20:34:51,2012-02-13 20:34:51,Role 2,291,3.288837834662629,-1
2,W_Valideren aanvraag,2012-02-13 20:34:51,2012-02-13 20:34:51,Role 2,291,3.288837834662629,-1
1,W_Nabellen incomplete dossiers,2012-02-13 20:34:51,2012-02-13 20:34:51,Role 1,291,2.5609409061835082,-1
2,W_Nabellen incomplete dossiers,2012-02-13 20:34:51,2012-02-13 20:34:51,Role 1,291,2.5609409061835082,-1
1,W_Valideren aanvraag,2012-02-13 20:34:51,2012-02-13 20:34:51,Role 2,291,3.288837834662629,-1
2,W_Valideren aanvraag,2012-02-13 20:34:51,2012-02-13 20:34:51,Role 2,291,3.288837834662629,-1
