caseid,task,start:timestamp,time:timestamp,role,st_wip,st_tsk_wip,queue
1,A_SUBMITTED,2022-07-05 13:59:38,2022-07-05 13:59:38,Role 1,101,2.1719995445228877,-1
2,A_SUBMITTED,2022-07-05 13:59:38,2022-07-05 13:59:38,Role 1,102,2.1719995445228877,-1
1,A_PARTLYSUBMITTED,2022-07-05 13:59:38,2022-07-05 13:59:38,Role 1,102,2.118281712593942,-1
2,A_PARTLYSUBMITTED,2022-07-05 13:59:38,2022-07-05 13:59:38,Role 1,102,2.118281712593942,-1
1,W_Fix_incomplete_submission,2022-07-05 13:59:38,2022-07-05 13:59:38,Role 2,102,2.0219483033477568,-1
2,W_Fix_incomplete_submission,2022-07-05 13:59:38,2022-07-05 13:59:38,Role 2,102,2.0219483033477568,-1
1,A_PREACCEPTED,2022-07-05 13:59:38,2022-07-05 13:59:38,Role 1,102,2.1032794352083806,-1
2,A_PREACCEPTED,2022-07-05 13:59:38,2022-07-05 13:59:38,Role 1,102,2.1032794352083806,-1
1,W_Complete_preaccepted_appl,2022-07-05 13:59:38,2022-07-05 13:59:38,Role 2,102,2.222870644500114,-1
2,W_Complete_preaccepted_appl,2022-07-05 13:59:38,2022-07-05 13:59:38,Role 2,102,2.222870644500114,-1
1,A_CANCELLED,2022-07-05 13:59:38,2022-07-05 13:59:38,Role 1,102,2.0089102710088818,-1
2,A_CANCELLED,2022-07-05 13:59:38,2022-07-05 13:59:38,Role 1,102,2.0089102710088818,-1
