caseid,task,start:timestamp,time:timestamp,role,st_wip,st_tsk_wip,queue
1,A,2021-01-20 11:12:04,2021-01-20 11:12:04,Role 5,4,1.0445657116871305,-1
1,B,2021-01-20 11:12:04,2021-01-20 11:12:04,Role 5,4,1.0419198809376162,-1
1,G,2021-01-20 11:12:04,2021-01-20 11:12:04,Role 5,4,1.0396461201372524,-1
1,F,2021-01-20 11:12:04,2021-01-20 11:12:04,Role 5,4,1.0357600562239033,-1
1,D,2021-01-20 11:12:04,2021-01-20 11:12:04,Role 5,4,1.0403075778246311,-1
1,H,2021-01-20 11:12:04,2021-01-20 11:12:04,Role 5,4,1.042085245359461,-1
1,C,2021-01-20 11:12:04,2021-01-20 11:12:04,Role 5,4,1.0371243127041216,-1
1,E,2021-01-20 11:12:04,2021-01-20 11:12:04,Role 5,4,1.0420025631485386,-1
1,I,2021-01-20 11:12:04,2021-01-20 11:12:04,Role 5,4,1.0633759146719584,-1
1,J,2021-01-20 11:12:04,2021-01-20 11:12:04,Role 5,4,1.2759932200587043,-1
1,K,2021-01-20 11:12:04,2021-01-20 11:12:04,Role 5,4,1.0538261193104304,-1
1,M,2021-01-20 11:12:04,2021-01-20 11:12:04,Role 5,4,1.0135598825912604,-1
1,U,2021-01-20 11:12:04,2021-01-20 11:12:04,Role 4,4,1.0243912522220844,-1
1,V,2021-01-20 11:12:04,2021-01-20 11:12:04,Role 4,4,1.1108768448468311,-1
1,X,2021-01-20 11:12:04,2021-01-20 11:12:04,Role 4,4,1.0176526520319154,-1
1,R,2021-01-20 11:12:04,2021-01-20 11:12:04,Role 2,4,1.4074992765306544,-1
1,S,2021-01-20 11:12:04,2021-01-20 11:12:04,Role 2,4,1.0754888585720783,-1
1,T,2021-01-20 11:12:04,2021-01-20 11:12:04,Role 2,4,1.0771425027905246,-1
1,I,2021-01-20 11:12:04,2021-01-20 11:12:04,Role 5,4,1.0633759146719584,-1
1,J,2021-01-20 11:12:04,2021-01-20 11:12:04,Role 5,4,1.2759932200587043,-1
1,P,2021-01-20 11:12:04,2021-01-20 11:12:04,Role 5,4,1.0059944602918682,-1
1,Q,2021-01-20 11:12:04,2021-01-20 11:12:04,Role 2,4,1.0528339327793625,-1
1,R,2021-01-20 11:12:04,2021-01-20 11:12:04,Role 2,4,1.4074992765306544,-1
