caseid,task,start:timestamp,time:timestamp,role,st_wip,st_tsk_wip,queue
1,Prescription received,2019-05-14 10:34:42.285000,2019-05-14 10:34:42.285000,Role 1,568,2.0,-1
2,Prescription received,2019-05-14 10:34:42.285000,2019-05-14 10:34:42.285000,Role 1,569,2.0,-1
1,Process drop-off,2019-05-14 10:34:42.285000,2019-05-14 10:34:42.285000,Role 1,569,2.338485965616673,-1
2,Process drop-off,2019-05-14 10:34:42.285000,2019-05-14 10:34:42.285000,Role 1,569,2.338485965616673,-1
1,Enter prescription details,2019-05-14 10:34:42.285000,2019-05-14 10:34:42.285000,Role 1,569,2.4815308245428334,-1
2,Enter prescription details,2019-05-14 10:34:42.285000,2019-05-14 10:34:42.285000,Role 1,569,2.4815308245428334,-1
1,Check if refill is allowed,2019-05-14 10:34:42.285000,2019-05-14 10:34:42.285000,Role 2,569,1.0,-1
2,Check Insurance,2019-05-14 10:34:42.285000,2019-05-14 10:34:42.285000,Role 2,569,1.0,-1
1,Check DUR,2019-05-14 10:34:42.285000,2019-05-14 10:34:42.285000,Role 2,569,2.0,-1
2,Check DUR,2019-05-14 10:34:42.285000,2019-05-14 10:34:42.285000,Role 2,569,2.0,-1
1,Pack the drugs (Production),2019-05-14 10:34:42.285000,2019-05-14 10:34:42.285000,Role 1,569,1.566083877796839,-1
2,Check Insurance,2019-05-14 10:34:42.285000,2019-05-14 10:34:42.285000,Role 2,569,1.0,-1
1,Check for Quality Assurance,2019-05-14 10:34:42.285000,2019-05-14 10:34:42.285000,Role 3,569,1.240774537358105,-1
2,Resolve insurance issues manually,2019-05-14 10:34:42.285000,2019-05-14 10:34:42.285000,Role 1,569,1.0644048618461874,-1
1,Pick-up,2019-05-14 10:34:42.285000,2019-05-14 10:34:42.285000,Role 1,569,1.4510895353505857,-1
2,Pack the drugs (Production),2019-05-14 10:34:42.285000,2019-05-14 10:34:42.285000,Role 1,569,1.566083877796839,-1
1,Prescription fulfilled,2019-05-14 10:34:42.285000,2019-05-14 10:34:42.285000,Role 1,569,1.0,-1
2,Check for Quality Assurance,2019-05-14 10:34:42.285000,2019-05-14 10:34:42.285000,Role 3,569,1.240774537358105,-1
2,Pick-up,2019-05-14 10:34:42.285000,2019-05-14 10:34:42.285000,Role 1,568,1.4510895353505857,-1
2,Prescription fulfilled,2019-05-14 10:34:42.285000,2019-05-14 10:34:42.285000,Role 1,568,1.0,-1
