caseid,task,resource,role,time:timestamp,pr_instances,tsk_start_inst,rp_start_oc,start:timestamp
Case3,W_Completeren aanvraag,res_5d866c24-2393-457b-9d37-ee9cd693ade3,Role 1,2012-02-13 20:43:01,290,1,0.0,2012-02-13 20:40:12
Case4,W_Afhandelen leads,res_5860f49a-979a-4a18-a4b5-bcd6424ce265,Role 1,2012-02-13 20:52:09,291,1,0.0,2012-02-13 20:49:18
Case5,W_Afhandelen leads,res_9279e461-d156-4099-a9ce-12b8df0b6e5b,Role 1,2012-02-13 21:19:12,292,1,0.0,2012-02-13 21:16:21
Case1,W_Afhandelen leads,res_b12c490c-4fcc-49b4-99eb-cd7c1493c143,Role 1,2012-02-13 21:29:43,292,1,0.0,2012-02-13 21:26:52
Case2,W_Completeren aanvraag,res_3d88161e-1230-40c3-bf0c-62bba5522cbd,Role 1,2012-02-13 21:37:37,292,1,0.0,2012-02-13 21:34:48
Case11,W_Completeren aanvraag,res_8f16a582-2b11-4008-b918-78bf9b41ce1a,Role 1,2012-02-13 21:44:19,293,1,0.0,2012-02-13 21:41:30
Case6,W_Completeren aanvraag,res_0e7b3a0b-62c0-4323-b9a0-db355c0a77aa,Role 1,2012-02-13 21:47:54,294,1,0.0,2012-02-13 21:45:05
Case8,W_Nabellen offertes,res_3d88161e-1230-40c3-bf0c-62bba5522cbd,Role 1,2012-02-13 21:58:06,294,0,0.0,2012-02-13 21:55:16
Case9,W_Afhandelen leads,res_ba8d586c-147b-4652-bdb5-53f8b393a927,Role 1,2012-02-13 22:11:28,294,1,0.0,2012-02-13 22:08:37
Case10,W_Completeren aanvraag,res_2f5ed6e0-27ac-4939-807a-a5ffb9c034f9,Role 1,2012-02-13 22:35:51,295,1,0.0,2012-02-13 22:33:02
Case14,W_Afhandelen leads,res_2641729f-e413-4e5b-adb4-9fb9ca4c2b8c,Role 1,2012-02-13 22:53:34,296,1,0.0,2012-02-13 22:50:43
Case15,W_Afhandelen leads,res_5d866c24-2393-457b-9d37-ee9cd693ade3,Role 1,2012-02-13 22:54:38,297,2,0.030303030303030304,2012-02-13 22:51:49
Case12,W_Completeren aanvraag,res_5d866c24-2393-457b-9d37-ee9cd693ade3,Role 1,2012-02-13 22:56:23,298,1,0.06060606060606061,2012-02-13 22:53:33
Case11,W_Completeren aanvraag,res_5d866c24-2393-457b-9d37-ee9cd693ade3,Role 1,2012-02-13 22:56:43,298,2,0.06060606060606061,2012-02-13 22:54:11
Case13,W_Completeren aanvraag,res_68f96f9c-f334-4622-9d0a-84bf3c5c5a99,Role 1,2012-02-13 23:14:18,299,1,0.0,2012-02-13 23:11:30
Case3,W_Nabellen offertes,res_5860f49a-979a-4a18-a4b5-bcd6424ce265,Role 1,2012-02-13 23:24:04,299,0,0.0,2012-02-13 23:21:37
Case4,W_Nabellen offertes,res_efc70853-6040-459f-a524-9053c57f430e,Role 1,2012-02-13 23:33:48,299,0,0.0,2012-02-13 23:31:20
