caseid,task,resource,role,time:timestamp,pr_instances,tsk_start_inst,rp_start_oc,start:timestamp
Case4,W_Beoordelen fraude,res_31747c0f-9277-42d5-a451-259f95b1db72,Role 6,2012-02-13 20:40:05,290,0,0.0,2012-02-13 20:37:13
Case5,W_Completeren aanvraag,res_31747c0f-9277-42d5-a451-259f95b1db72,Role 1,2012-02-13 20:41:11,291,1,0.0,2012-02-13 20:38:22
Case6,W_Afhandelen leads,res_1e42aba7-0961-4ce4-bdee-590b73b61564,Role 1,2012-02-13 20:47:20,292,1,0.0,2012-02-13 20:44:29
Case2,W_Afhandelen leads,res_1e42aba7-0961-4ce4-bdee-590b73b61564,Role 1,2012-02-13 20:49:53,293,2,0.030303030303030304,2012-02-13 20:47:03
Case1,W_Beoordelen fraude,res_1e42aba7-0961-4ce4-bdee-590b73b61564,Role 6,2012-02-13 20:50:05,294,0,0.0,2012-02-13 20:47:13
Case3,W_Completeren aanvraag,res_a26d83f9-6f33-425b-a544-3752996d7f9f,Role 1,2012-02-13 21:06:30,294,1,0.0,2012-02-13 21:03:41
Case7,W_Completeren aanvraag,res_13385f25-8723-48fc-b7ee-1f5b53ee6e9f,Role 1,2012-02-13 21:40:39,295,1,0.0,2012-02-13 21:37:50
Case4,W_Afhandelen leads,res_3b543b91-058c-43dc-bc49-920eda67ddc7,Role 1,2012-02-13 21:43:23,295,1,0.0,2012-02-13 21:40:53
Case1,W_Afhandelen leads,res_4b91212b-749b-40c9-917e-560a63dbd36e,Role 1,2012-02-13 21:53:24,294,1,0.0,2012-02-13 21:50:54
Case5,W_Completeren aanvraag,res_4b91212b-749b-40c9-917e-560a63dbd36e,Role 1,2012-02-13 21:53:32,294,1,0.030303030303030304,2012-02-13 21:50:58
Case6,W_Completeren aanvraag,res_4b91212b-749b-40c9-917e-560a63dbd36e,Role 1,2012-02-13 21:58:51,294,1,0.0,2012-02-13 21:56:16
Case3,W_Completeren aanvraag,res_39a967de-2445-4528-9994-b648a39e0629,Role 1,2012-02-13 22:18:59,294,1,0.0,2012-02-13 22:16:25
Case8,W_Beoordelen fraude,res_1e42aba7-0961-4ce4-bdee-590b73b61564,Role 6,2012-02-13 22:22:15,295,0,0.0,2012-02-13 22:19:23
Case7,W_Completeren aanvraag,res_519165e3-c34e-4225-a6e2-1ef548735aeb,Role 1,2012-02-13 22:53:09,295,1,0.0,2012-02-13 22:50:36
Case11,W_Completeren aanvraag,res_3b543b91-058c-43dc-bc49-920eda67ddc7,Role 1,2012-02-13 23:12:13,296,1,0.0,2012-02-13 23:09:25
Case9,W_Completeren aanvraag,res_1e42aba7-0961-4ce4-bdee-590b73b61564,Role 1,2012-02-13 23:16:57,297,1,0.0,2012-02-13 23:14:09
Case10,W_Beoordelen fraude,res_1e42aba7-0961-4ce4-bdee-590b73b61564,Role 6,2012-02-13 23:17:16,298,0,0.0,2012-02-13 23:14:24
Case1,W_Completeren aanvraag,res_8347e22c-3340-40c7-aaae-3605e321d670,Role 1,2012-02-13 23:22:12,298,1,0.0,2012-02-13 23:19:51
Case8,W_Afhandelen leads,res_13385f25-8723-48fc-b7ee-1f5b53ee6e9f,Role 1,2012-02-13 23:25:34,298,1,0.0,2012-02-13 23:23:05
