caseid,task,resource,role,time:timestamp,pr_instances,tsk_start_inst,rp_start_oc,start:timestamp
Case2,W_Beoordelen fraude,res_35815a33-00b6-487e-9ff3-f53aca3ebcdc,Role 6,2012-02-13 21:24:49,290,0,0.0,2012-02-13 21:21:57
Case1,W_Completeren aanvraag,res_35815a33-00b6-487e-9ff3-f53aca3ebcdc,Role 1,2012-02-13 21:26:41,291,1,0.0,2012-02-13 21:23:52
Case3,W_Beoordelen fraude,res_82b8ea7a-475f-432f-9c5e-757aac810eb0,Role 6,2012-02-13 21:35:09,292,0,0.0,2012-02-13 21:32:17
Case4,W_Beoordelen fraude,res_82b8ea7a-475f-432f-9c5e-757aac810eb0,Role 6,2012-02-13 22:07:17,293,0,0.0,2012-02-13 22:04:25
Case2,W_Afhandelen leads,res_e4110c06-60ab-4728-be12-69fe3db79d17,Role 1,2012-02-13 22:28:07,293,1,0.0,2012-02-13 22:25:37
Case3,W_Afhandelen leads,res_d0d31656-3325-48b0-b23f-6e0ca6dee05a,Role 1,2012-02-13 22:38:26,293,1,0.0,2012-02-13 22:35:57
Case8,W_Completeren aanvraag,res_d0d31656-3325-48b0-b23f-6e0ca6dee05a,Role 1,2012-02-13 22:44:04,294,1,0.0,2012-02-13 22:41:15
Case5,W_Afhandelen leads,res_9f2ff6e0-c344-4261-85db-10bd4b1c44d5,Role 1,2012-02-13 23:04:28,295,1,0.0,2012-02-13 23:01:37
Case7,W_Completeren aanvraag,res_9f2ff6e0-c344-4261-85db-10bd4b1c44d5,Role 1,2012-02-13 23:04:56,296,1,0.030303030303030304,2012-02-13 23:02:07
Case4,W_Afhandelen leads,res_75c87481-721a-4372-a229-77179322e8a0,Role 1,2012-02-13 23:10:35,296,1,0.0,2012-02-13 23:08:06
Case6,W_Beoordelen fraude,res_82b8ea7a-475f-432f-9c5e-757aac810eb0,Role 6,2012-02-13 23:24:19,297,0,0.0,2012-02-13 23:21:27
Case9,W_Completeren aanvraag,res_44c43e80-3ee2-482b-88e8-d2ae181165af,Role 1,2012-02-13 23:56:01,298,1,0.0,2012-02-13 23:53:13
Case8,W_Completeren aanvraag,res_44c43e80-3ee2-482b-88e8-d2ae181165af,Role 1,2012-02-13 23:56:30,298,2,0.030303030303030304,2012-02-13 23:53:59
