caseid,task,resource,role,time:timestamp,pr_instances,tsk_start_inst,start:timestamp
Case10,W_Handle leads,res_2c8c58dd-7b98-4acd-b667-4d33300e54dc,Role 1,2016-10-24 09:13:04,1030,0,2016-10-24 09:12:55
Case1,W_Handle leads,res_ef233ec8-acd7-429c-89a0-4016d5bac504,Role 1,2016-10-24 09:18:34,1032,0,2016-10-24 09:18:25
Case3,W_Complete application,res_ef233ec8-acd7-429c-89a0-4016d5bac504,Role 1,2016-10-24 09:18:45,1031,1,2016-10-24 09:16:33
Case9,W_Handle leads,res_343e5dfa-2159-425c-9b05-6d3bdb366816,Role 1,2016-10-24 09:19:30,1033,0,2016-10-24 09:19:21
Case3,W_Shortened completion,res_343e5dfa-2159-425c-9b05-6d3bdb366816,Role 1,2016-10-24 09:19:54,1032,0,2016-10-24 09:18:50
Case8,W_Handle leads,res_ea0507b5-7374-4491-882d-eb40caf12d4d,Role 1,2016-10-24 09:22:11,1034,0,2016-10-24 09:22:02
Case6,W_Handle leads,res_0fdba713-f90e-42a7-a716-c58707bd3b25,Role 1,2016-10-24 09:29:06,1035,0,2016-10-24 09:28:57
Case4,W_Complete application,res_1cd24165-73f2-4931-bec6-61850014066e,Role 1,2016-10-24 09:35:24,1036,1,2016-10-24 09:33:12
Case2,W_Complete application,res_6b524ede-cab9-47a1-ba88-f6f4408089d4,Role 1,2016-10-24 09:35:38,1037,2,2016-10-24 09:33:26
Case4,W_Shortened completion,res_6b524ede-cab9-47a1-ba88-f6f4408089d4,Role 1,2016-10-24 09:36:32,1037,0,2016-10-24 09:35:29
Case10,W_Complete application,res_6b524ede-cab9-47a1-ba88-f6f4408089d4,Role 1,2016-10-24 09:36:51,1037,3,2016-10-24 09:34:22
Case1,W_Complete application,res_3ead89b4-52e1-4792-8349-9f264e52df07,Role 1,2016-10-24 09:41:00,1037,1,2016-10-24 09:38:34
Case9,W_Complete application,res_3ead89b4-52e1-4792-8349-9f264e52df07,Role 1,2016-10-24 09:41:57,1037,2,2016-10-24 09:39:29
Case8,W_Complete application,res_f59c94d6-ae42-476f-bf68-4aab1f226e75,Role 1,2016-10-24 09:45:51,1037,1,2016-10-24 09:43:25
Case6,W_Complete application,res_ef233ec8-acd7-429c-89a0-4016d5bac504,Role 1,2016-10-24 09:52:45,1037,1,2016-10-24 09:50:19
