caseid,task,resource,role,time:timestamp,pr_instances,tsk_start_inst,start:timestamp
Case1,Traer informacion estudiante - banner,res_be8c4964-4af8-489a-a3d2-b1ed4e6c687b,Role 1,2016-05-18 22:07:15,43,0,2016-05-18 22:06:58
Case2,Traer informacion estudiante - banner,res_d64641c4-0ebc-4c74-bc64-72d62c2b9259,Role 1,2016-05-18 23:08:04,44,0,2016-05-18 23:07:46
Case3,Traer informacion estudiante - banner,res_202f8bde-9390-4499-9cf7-6627cc2a16a0,Role 1,2016-05-19 00:13:49,45,0,2016-05-19 00:13:19
Case1,Radicar Solicitud Homologacion,res_faf2b45b-8346-481d-9ea1-ca0ea505a5bc,Role 1,2016-05-19 00:26:51,45,0,2016-05-19 00:22:03
Case2,Radicar Solicitud Homologacion,res_8c322f12-fbca-4aab-8abb-4117670c651e,Role 1,2016-05-19 01:25:59,45,0,2016-05-19 01:21:12
Case4,Traer informacion estudiante - banner,res_d312a3b9-7413-490a-9b58-14d111d2a784,Role 1,2016-05-19 01:47:02,46,0,2016-05-19 01:46:34
Case5,Traer informacion estudiante - banner,res_15f8390e-9386-4974-96f6-4b25d433fba9,Role 1,2016-05-19 01:57:35,47,0,2016-05-19 01:57:07
Case6,Traer informacion estudiante - banner,res_e8c19913-9d7a-4fae-863a-8d1a1a44e70c,Role 1,2016-05-19 03:18:35,48,0,2016-05-19 03:18:08
Case7,Traer informacion estudiante - banner,res_195f79a2-4290-4b49-95c9-192b9e4da2a3,Role 1,2016-05-19 04:20:49,49,0,2016-05-19 04:20:23
Case8,Traer informacion estudiante - banner,res_91d63168-7096-4f78-b8f4-f94357318d4c,Role 1,2016-05-19 05:05:51,50,0,2016-05-19 05:05:25
Case1,Cancelar Solicitud,res_ab7e4b0e-b21c-4837-9e01-42db2d0d9ee5,Role 2,2016-05-19 05:51:08,50,0,2016-05-19 05:48:56
Case2,Cancelar Solicitud,res_478d21a9-23c9-4b68-aa20-6b2033181844,Role 2,2016-05-19 06:45:32,50,0,2016-05-19 06:43:29
Case3,Radicar Solicitud Homologacion,res_65245d0e-31b7-45c9-96c9-d9c343d484b4,Role 1,2016-05-19 07:53:01,50,0,2016-05-19 07:43:51
Case9,Traer informacion estudiante - banner,res_093350c6-746f-4291-915b-058959c394ed,Role 1,2016-05-19 08:30:24,51,0,2016-05-19 08:30:00
Case4,Radicar Solicitud Homologacion,res_fd6c4a5e-fc5d-4d57-973b-4d5197cf08e0,Role 1,2016-05-19 09:20:44,51,0,2016-05-19 09:11:55
Case5,Radicar Solicitud Homologacion,res_fd6c4a5e-fc5d-4d57-973b-4d5197cf08e0,Role 1,2016-05-19 09:25:11,51,1,2016-05-19 09:17:21
Case10,Radicar Solicitud Homologacion,res_2465cd0d-d6d5-4a97-8de0-3a656cf32b5b,Role 1,2016-05-19 10:26:32,52,0,2016-05-19 10:26:07
Case6,Radicar Solicitud Homologacion,res_d312a3b9-7413-490a-9b58-14d111d2a784,Role 1,2016-05-19 10:41:53,52,0,2016-05-19 10:33:17
Case7,Radicar Solicitud Homologacion,res_ddff4168-3c1d-41c7-a138-a866d2169ab5,Role 1,2016-05-19 11:38:56,52,0,2016-05-19 11:30:30
Case8,Radicar Solicitud Homologacion,res_727ab276-0c43-48b4-8c16-a524d5586297,Role 1,2016-05-19 12:18:54,52,0,2016-05-19 12:10:33
Case11,Traer informacion estudiante - banner,res_8a2ba61e-f9df-4454-9e5c-9ad912efb66f,Role 1,2016-05-19 14:11:06,53,0,2016-05-19 14:10:44
Case12,Traer informacion estudiante - banner,res_02363515-6473-4631-8c2e-29144d7a16da,Role 1,2016-05-19 15:08:39,54,0,2016-05-19 15:08:16
Case9,Radicar Solicitud Homologacion,res_21988b53-1cc1-4f4e-b906-a8007606c54a,Role 1,2016-05-19 15:37:55,54,0,2016-05-19 15:30:10
Case13,Traer informacion estudiante - banner,res_ff1c5484-cda7-482e-bb14-05c63b32c359,Role 1,2016-05-19 16:42:45,55,0,2016-05-19 16:42:22
Case14,Traer informacion estudiante - banner,res_ac673585-8935-433a-8f80-7afa1ca63eaa,Role 1,2016-05-19 17:37:18,56,0,2016-05-19 17:36:55
Case15,Traer informacion estudiante - banner,res_c62d9b21-2eb2-4eca-9342-e723a283dc74,Role 1,2016-05-19 18:30:20,57,0,2016-05-19 18:29:57
Case10,Cancelar Solicitud,res_4d26e66f-32f3-42e6-9ac1-6104ed474f04,Role 2,2016-05-19 19:11:00,57,0,2016-05-19 19:06:09
Case16,Traer informacion estudiante - banner,res_67e57b69-c14d-4c63-ab03-5d095657ab50,Role 1,2016-05-19 19:26:37,58,0,2016-05-19 19:26:13
Case11,Radicar Solicitud Homologacion,res_d64641c4-0ebc-4c74-bc64-72d62c2b9259,Role 1,2016-05-19 21:08:12,58,0,2016-05-19 21:01:08
Case17,Traer informacion estudiante - banner,res_d6448141-8f47-4a5a-b37b-045c900683a8,Role 1,2016-05-19 21:43:10,59,0,2016-05-19 21:42:46
