caseid,task,resource,role,time:timestamp,pr_instances,tsk_start_inst,start:timestamp
Case1,Turning & Milling,res_cb6d6bdc-31fc-4ebc-be8c-58989af19d27,Role 1,2012-03-13 03:30:21,12,1,2012-03-13 00:12:58
Case2,Turning & Milling Q.C.,res_2af289b3-e58e-4d40-805c-206cc2e5c2fb,Role 3,2012-03-13 05:05:40,13,0,2012-03-13 01:40:15
Case1,Turning & Milling Q.C.,res_21718dd4-a67d-44ce-9bbf-60e6d311abf4,Role 3,2012-03-13 05:34:44,14,1,2012-03-13 03:30:23
Case3,Turning & Milling,res_e55b493c-aceb-4175-8139-877d92c7a4bb,Role 1,2012-03-13 06:32:50,14,2,2012-03-13 02:59:54
Case1,Turning & Milling,res_49bde5f4-e777-4657-a38a-0eb21b0e5917,Role 1,2012-03-13 06:33:43,16,3,2012-03-13 05:34:46
Case2,Round Grinding,res_259cc275-c298-40cc-901d-d584f09b7b47,Role 2,2012-03-13 07:25:43,15,0,2012-03-13 05:05:42
Case4,Turning & Milling,res_4f4a1193-0ebe-493c-b49c-08f8843bb4e7,Role 1,2012-03-13 08:29:11,15,2,2012-03-13 04:48:25
Case3,Turning & Milling Q.C.,res_f603b7b3-0248-4a3c-9d03-7c1dd024dd8b,Role 3,2012-03-13 08:45:40,16,0,2012-03-13 06:32:52
Case5,Rework Milling,res_49bde5f4-e777-4657-a38a-0eb21b0e5917,Role 1,2012-03-13 09:04:52,16,0,2012-03-13 05:16:34
Case2,Final Inspection Q.C.,res_e55b493c-aceb-4175-8139-877d92c7a4bb,Role 3,2012-03-13 10:14:33,18,0,2012-03-13 08:50:54
Case4,Turning & Milling Q.C.,res_cb6d6bdc-31fc-4ebc-be8c-58989af19d27,Role 3,2012-03-13 10:41:10,18,1,2012-03-13 08:29:13
Case6,Milling Q.C.,res_cb6d6bdc-31fc-4ebc-be8c-58989af19d27,Role 1,2012-03-13 10:45:06,17,0,2012-03-13 06:49:51
Case3,Turn & Mill. & Screw Assem,res_523568f6-1534-4346-9f20-41e293705b5b,Role 1,2012-03-13 11:03:20,18,0,2012-03-13 09:26:32
Case7,Change Version,res_4f4a1193-0ebe-493c-b49c-08f8843bb4e7,Role 1,2012-03-13 11:27:42,18,0,2012-03-13 07:34:06
Case5,Milling Q.C.,res_4e123582-3e02-49a1-8775-df0cc5b17230,Role 1,2012-03-13 11:28:05,18,1,2012-03-13 09:04:54
Case1,Milling,res_4e123582-3e02-49a1-8775-df0cc5b17230,Role 1,2012-03-13 11:51:35,18,0,2012-03-13 11:18:13
Case6,Packing,res_cb6d6bdc-31fc-4ebc-be8c-58989af19d27,Role 5,2012-03-13 13:27:14,18,0,2012-03-13 10:45:08
Case7,Final Inspection Q.C.,res_02f35018-afba-4437-8cb7-42378925fa28,Role 3,2012-03-13 13:55:14,18,0,2012-03-13 11:27:44
Case4,Laser Marking,res_02f35018-afba-4437-8cb7-42378925fa28,Role 4,2012-03-13 14:06:23,18,0,2012-03-13 12:30:21
Case8,Turning,res_4f4a1193-0ebe-493c-b49c-08f8843bb4e7,Role 1,2012-03-13 14:30:41,18,0,2012-03-13 10:34:23
Case5,Packing,res_4f4a1193-0ebe-493c-b49c-08f8843bb4e7,Role 5,2012-03-13 16:25:01,21,0,2012-03-13 14:42:54
Case9,Rework Milling,res_02f35018-afba-4437-8cb7-42378925fa28,Role 1,2012-03-13 16:49:04,19,0,2012-03-13 12:36:17
Case8,Turning Q.C.,res_f603b7b3-0248-4a3c-9d03-7c1dd024dd8b,Role 1,2012-03-13 17:14:44,21,0,2012-03-13 14:30:43
Case1,Final Inspection Q.C.,res_49bde5f4-e777-4657-a38a-0eb21b0e5917,Role 3,2012-03-13 17:21:55,22,0,2012-03-13 17:06:14
Case11,Turning & Milling,res_21718dd4-a67d-44ce-9bbf-60e6d311abf4,Role 1,2012-03-13 17:47:31,21,2,2012-03-13 14:12:07
Case10,Turning & Milling,res_259cc275-c298-40cc-901d-d584f09b7b47,Role 1,2012-03-13 18:00:14,20,1,2012-03-13 13:51:11
Case3,Turning & Milling Q.C.,res_f603b7b3-0248-4a3c-9d03-7c1dd024dd8b,Role 3,2012-03-13 18:15:45,22,1,2012-03-13 17:15:59
Case12,Rework Milling,res_f603b7b3-0248-4a3c-9d03-7c1dd024dd8b,Role 1,2012-03-13 19:01:42,22,1,2012-03-13 15:12:41
Case8,Turning & Milling,res_011cbe00-b460-4501-836e-bbc792208614,Role 1,2012-03-13 19:19:58,22,4,2012-03-13 17:31:56
Case9,Turning & Milling Q.C.,res_011cbe00-b460-4501-836e-bbc792208614,Role 3,2012-03-13 19:36:45,22,0,2012-03-13 16:49:06
Case13,Turning & Milling,res_2af289b3-e58e-4d40-805c-206cc2e5c2fb,Role 1,2012-03-13 20:15:20,22,3,2012-03-13 16:36:45
Case4,Round Grinding,res_49bde5f4-e777-4657-a38a-0eb21b0e5917,Role 2,2012-03-13 20:22:53,24,0,2012-03-13 19:06:39
Case11,Laser Marking,res_49bde5f4-e777-4657-a38a-0eb21b0e5917,Role 4,2012-03-13 20:38:15,22,0,2012-03-13 17:47:33
Case10,Turning & Milling Q.C.,res_49bde5f4-e777-4657-a38a-0eb21b0e5917,Role 3,2012-03-13 20:50:44,24,2,2012-03-13 18:00:16
Case6,Final Inspection Q.C.,res_2af289b3-e58e-4d40-805c-206cc2e5c2fb,Role 3,2012-03-13 21:47:16,24,0,2012-03-13 19:40:14
Case14,Turning & Milling,res_2af289b3-e58e-4d40-805c-206cc2e5c2fb,Role 1,2012-03-13 21:51:41,23,4,2012-03-13 17:58:59
Case12,Turning & Milling Q.C.,res_bcf29add-2358-4f50-a180-a0ec917035e8,Role 3,2012-03-13 21:51:52,24,2,2012-03-13 19:01:44
Case15,Rework Milling,res_bcf29add-2358-4f50-a180-a0ec917035e8,Role 1,2012-03-13 22:10:25,24,1,2012-03-13 18:00:15
Case13,Turning & Milling Q.C.,res_70f73bcc-48ab-4f27-8ad6-1255dd974cfe,Role 3,2012-03-13 22:59:07,26,2,2012-03-13 20:15:22
Case1,Round Grinding,res_70f73bcc-48ab-4f27-8ad6-1255dd974cfe,Role 2,2012-03-13 23:33:44,27,1,2012-03-13 22:54:43
Case16,Turning & Milling,res_bcf29add-2358-4f50-a180-a0ec917035e8,Role 1,2012-03-13 23:42:15,25,3,2012-03-13 19:55:23
Case17,Turning & Milling,res_f603b7b3-0248-4a3c-9d03-7c1dd024dd8b,Role 1,2012-03-13 23:56:31,26,4,2012-03-13 20:11:34
Case14,Laser Marking,res_5e29f63a-492d-4d90-996f-a36b419ad6cd,Role 4,2012-03-14 00:34:27,27,0,2012-03-13 21:51:43
Case7,Round Grinding,res_5e29f63a-492d-4d90-996f-a36b419ad6cd,Role 2,2012-03-14 00:38:06,27,0,2012-03-13 22:19:44
Case18,Rework Milling,res_5e29f63a-492d-4d90-996f-a36b419ad6cd,Role 1,2012-03-14 00:59:22,27,1,2012-03-13 21:10:15
Case15,Turning & Milling,res_23341194-5cf9-46b9-89f3-00a51a6142e8,Role 1,2012-03-14 01:10:58,27,3,2012-03-13 22:10:27
Case11,Lapping,res_5e29f63a-492d-4d90-996f-a36b419ad6cd,Role 4,2012-03-14 02:13:53,27,0,2012-03-13 23:40:08
Case16,Turning & Milling Q.C.,res_4323168a-c449-4e17-b209-e02821b125b9,Role 3,2012-03-14 03:01:52,27,0,2012-03-13 23:42:17
Case17,Turning,res_4323168a-c449-4e17-b209-e02821b125b9,Role 1,2012-03-14 03:02:21,27,0,2012-03-13 23:56:33
Case18,Change Version,res_cb6d6bdc-31fc-4ebc-be8c-58989af19d27,Role 1,2012-03-14 03:36:25,29,0,2012-03-14 00:59:24
Case10,Stress Relief,res_4e123582-3e02-49a1-8775-df0cc5b17230,Role 1,2012-03-14 04:10:17,30,0,2012-03-14 01:35:16
Case19,Turning,res_4e123582-3e02-49a1-8775-df0cc5b17230,Role 1,2012-03-14 04:32:23,28,1,2012-03-13 23:57:56
Case9,Flat Grinding,res_02f35018-afba-4437-8cb7-42378925fa28,Role 4,2012-03-14 04:56:01,30,0,2012-03-14 02:40:04
Case20,Turning & Milling,res_02f35018-afba-4437-8cb7-42378925fa28,Role 1,2012-03-14 05:04:33,29,2,2012-03-14 00:18:30
Case14,Lapping,res_49bde5f4-e777-4657-a38a-0eb21b0e5917,Role 4,2012-03-14 05:17:19,30,0,2012-03-14 02:56:22
Case21,Turning & Milling,res_49bde5f4-e777-4657-a38a-0eb21b0e5917,Role 1,2012-03-14 05:40:12,30,3,2012-03-14 01:09:39
Case18,Final Inspection Q.C.,res_49bde5f4-e777-4657-a38a-0eb21b0e5917,Role 3,2012-03-14 06:01:28,31,0,2012-03-14 04:37:16
Case1,Final Inspection Q.C.,res_259cc275-c298-40cc-901d-d584f09b7b47,Role 3,2012-03-14 06:30:43,33,1,2012-03-14 06:00:05
Case3,Turning & Milling,res_21718dd4-a67d-44ce-9bbf-60e6d311abf4,Role 1,2012-03-14 06:58:20,32,2,2012-03-14 06:06:53
Case15,Turning & Milling Q.C.,res_5e29f63a-492d-4d90-996f-a36b419ad6cd,Role 3,2012-03-14 07:04:34,31,0,2012-03-14 03:54:17
Case20,Turning & Milling Q.C.,res_5e29f63a-492d-4d90-996f-a36b419ad6cd,Role 3,2012-03-14 07:39:24,32,1,2012-03-14 05:04:35
Case20,Nitration Q.C.,res_4e123582-3e02-49a1-8775-df0cc5b17230,Role 3,2012-03-14 07:44:56,32,0,2012-03-14 07:39:26
Case20,Laser Marking,res_4323168a-c449-4e17-b209-e02821b125b9,Role 4,2012-03-14 07:44:58,32,0,2012-03-14 07:44:58
Case6,Grinding Rework,res_e55b493c-aceb-4175-8139-877d92c7a4bb,Role 2,2012-03-14 07:49:31,31,0,2012-03-14 06:33:22
Case21,Milling,res_4323168a-c449-4e17-b209-e02821b125b9,Role 1,2012-03-14 08:07:29,32,0,2012-03-14 05:40:14
Case8,Change Version,res_f603b7b3-0248-4a3c-9d03-7c1dd024dd8b,Role 1,2012-03-14 08:08:15,31,0,2012-03-14 06:55:34
Case22,Rework Milling,res_f603b7b3-0248-4a3c-9d03-7c1dd024dd8b,Role 1,2012-03-14 08:14:28,31,0,2012-03-14 03:28:49
Case21,Final Inspection Q.C.,res_bcf29add-2358-4f50-a180-a0ec917035e8,Role 3,2012-03-14 08:19:35,33,0,2012-03-14 08:07:31
Case19,Turning Q.C.,res_4224f546-557c-4000-8d73-b9382f3292ca,Role 1,2012-03-14 08:39:07,31,0,2012-03-14 04:32:25
Case12,Stress Relief,res_4224f546-557c-4000-8d73-b9382f3292ca,Role 1,2012-03-14 08:39:18,31,0,2012-03-14 06:47:03
Case4,Laser Marking,res_4e123582-3e02-49a1-8775-df0cc5b17230,Role 4,2012-03-14 09:07:15,33,0,2012-03-14 07:58:13
Case20,Round Grinding,res_8beacac7-47f4-434b-815a-8ff54d5d3013,Role 2,2012-03-14 09:24:57,34,0,2012-03-14 09:24:57
Case23,Turning & Milling,res_8beacac7-47f4-434b-815a-8ff54d5d3013,Role 1,2012-03-14 09:29:38,32,3,2012-03-14 04:40:46
Case11,Laser Marking,res_f603b7b3-0248-4a3c-9d03-7c1dd024dd8b,Role 4,2012-03-14 10:23:48,33,1,2012-03-14 08:15:20
Case24,Rework Milling,res_f603b7b3-0248-4a3c-9d03-7c1dd024dd8b,Role 1,2012-03-14 10:24:04,33,1,2012-03-14 05:42:08
Case22,Milling Q.C.,res_2b095117-28ad-4219-a67d-e47aa96f0394,Role 1,2012-03-14 10:43:46,33,0,2012-03-14 08:14:30
