caseid,task,resource,role,time:timestamp,pr_instances,tsk_start_inst,rp_start_oc,start:timestamp
Case1,Create Purchase Requisition,res_19319563-911f-48e6-844a-e48d13c36e73,Role 1,2011-06-20 18:58:39,41,0,0.0,2011-06-20 18:50:28
Case1,Create Purchase Requisition,res_843db694-093c-40db-8ea9-6d4cc0d8eb28,Role 1,2011-06-20 19:23:04,41,0,0.0,2011-06-20 19:06:42
Case2,Create Purchase Requisition,res_736d9ee8-6061-4e4f-8bdc-7ef63825d398,Role 1,2011-06-20 20:26:36,42,0,0.0,2011-06-20 20:18:30
Case3,Create Purchase Requisition,res_aec75836-3c84-4c26-99e3-acb44fd6e7ee,Role 1,2011-06-20 21:47:45,43,0,0.0,2011-06-20 21:39:43
Case4,Create Purchase Requisition,res_e4fe6bf4-d022-4312-9d6d-4852b610f373,Role 1,2011-06-20 21:57:29,44,0,0.0,2011-06-20 21:49:27
Case3,Create Purchase Requisition,res_e4fe6bf4-d022-4312-9d6d-4852b610f373,Role 1,2011-06-20 22:10:55,44,1,0.07142857142857142,2011-06-20 21:56:49
Case5,Create Purchase Requisition,res_866f5543-caff-4035-b1cb-eaf3ad683b9b,Role 1,2011-06-21 01:14:30,45,0,0.0,2011-06-21 01:05:17
Case6,Create Purchase Requisition,res_12bbf4fa-415f-463d-b425-ebfc67fe3fd7,Role 1,2011-06-21 02:17:49,46,0,0.0,2011-06-21 02:08:39
Case6,Create Purchase Requisition,res_e4fe6bf4-d022-4312-9d6d-4852b610f373,Role 1,2011-06-21 03:31:26,46,0,0.0,2011-06-21 02:52:37
Case7,Create Purchase Requisition,res_12bbf4fa-415f-463d-b425-ebfc67fe3fd7,Role 1,2011-06-21 04:22:16,47,0,0.0,2011-06-21 04:13:10
Case6,Create Purchase Requisition,res_63993ffc-194f-4568-85d7-9689b531a457,Role 1,2011-06-21 05:09:37,47,0,0.0,2011-06-21 04:40:17
Case7,Create Purchase Requisition,res_63993ffc-194f-4568-85d7-9689b531a457,Role 1,2011-06-21 05:15:20,47,1,0.07142857142857142,2011-06-21 04:57:25
Case8,Create Purchase Requisition,res_19319563-911f-48e6-844a-e48d13c36e73,Role 1,2011-06-21 05:39:00,48,0,0.0,2011-06-21 05:29:56
Case9,Analyze Purchase Requisition,res_77ce8754-b6e9-4822-a66b-0a1b2fae27ca,Role 3,2011-06-21 05:47:46,49,0,0.0,2011-06-21 05:45:10
Case10,Analyze Purchase Requisition,res_77ce8754-b6e9-4822-a66b-0a1b2fae27ca,Role 3,2011-06-21 07:42:53,50,0,0.0,2011-06-21 07:40:34
Case9,Create Request for Quotation,res_77ce8754-b6e9-4822-a66b-0a1b2fae27ca,Role 3,2011-06-21 08:36:26,50,0,0.0,2011-06-21 08:20:02
Case10,Amend Purchase Requisition,res_77ce8754-b6e9-4822-a66b-0a1b2fae27ca,Role 1,2011-06-21 08:37:56,50,0,0.0,2011-06-21 08:20:02
Case11,Analyze Purchase Requisition,res_fd010ba3-b329-4c24-8b0d-3d9dc839e213,Role 3,2011-06-21 09:05:32,51,0,0.0,2011-06-21 09:03:24
Case11,Amend Purchase Requisition,res_19319563-911f-48e6-844a-e48d13c36e73,Role 1,2011-06-21 10:01:12,51,0,0.0,2011-06-21 09:43:33
Case12,Create Purchase Requisition,res_12bbf4fa-415f-463d-b425-ebfc67fe3fd7,Role 1,2011-06-21 10:33:55,52,0,0.0,2011-06-21 10:24:58
Case13,Create Purchase Requisition,res_5183323c-565d-4485-9e5d-1b7635220b6f,Role 1,2011-06-21 11:39:25,53,0,0.0,2011-06-21 11:30:29
