caseid,task,resource,role,time:timestamp,pr_instances,tsk_start_inst,start:timestamp
Case1,A_SUBMITTED,res_c6ea3587-9ffe-49de-a995-08fa27f5b065,Role 1,2022-07-05 16:28:23,101,0,2022-07-05 15:54:41
Case2,A_SUBMITTED,res_c6ea3587-9ffe-49de-a995-08fa27f5b065,Role 1,2022-07-05 16:49:47,102,1,2022-07-05 16:15:51
Case1,A_PARTLYSUBMITTED,res_4f7a0d99-21ed-4361-bb05-6fa774493726,Role 1,2022-07-05 17:33:04,102,0,2022-07-05 17:12:30
Case3,A_SUBMITTED,res_4f7a0d99-21ed-4361-bb05-6fa774493726,Role 1,2022-07-05 17:47:53,103,0,2022-07-05 17:14:06
Case2,A_PARTLYSUBMITTED,res_4f7a0d99-21ed-4361-bb05-6fa774493726,Role 1,2022-07-05 17:53:39,103,0,2022-07-05 17:33:58
Case4,A_SUBMITTED,res_4f7a0d99-21ed-4361-bb05-6fa774493726,Role 1,2022-07-05 18:34:38,104,0,2022-07-05 18:00:54
Case3,A_PARTLYSUBMITTED,res_4f7a0d99-21ed-4361-bb05-6fa774493726,Role 1,2022-07-05 18:51:51,104,0,2022-07-05 18:31:59
Case4,A_PARTLYSUBMITTED,res_c6ea3587-9ffe-49de-a995-08fa27f5b065,Role 1,2022-07-05 19:39:11,104,0,2022-07-05 19:18:43
Case5,A_SUBMITTED,res_c6ea3587-9ffe-49de-a995-08fa27f5b065,Role 1,2022-07-05 20:06:45,105,0,2022-07-05 19:32:51
Case5,A_PARTLYSUBMITTED,res_c6ea3587-9ffe-49de-a995-08fa27f5b065,Role 1,2022-07-05 21:10:42,106,0,2022-07-05 20:50:52
Case6,A_SUBMITTED,res_c6ea3587-9ffe-49de-a995-08fa27f5b065,Role 1,2022-07-05 21:20:11,106,0,2022-07-05 20:46:22
Case6,A_PARTLYSUBMITTED,res_4f7a0d99-21ed-4361-bb05-6fa774493726,Role 1,2022-07-05 22:24:25,107,0,2022-07-05 22:04:17
Case7,A_SUBMITTED,res_4f7a0d99-21ed-4361-bb05-6fa774493726,Role 1,2022-07-05 22:29:10,107,0,2022-07-05 21:55:19
Case7,A_PARTLYSUBMITTED,res_4f7a0d99-21ed-4361-bb05-6fa774493726,Role 1,2022-07-05 23:33:33,107,0,2022-07-05 23:13:14
