caseid,task,resource,role,time:timestamp,pr_instances,tsk_start_inst,start:timestamp
Case1,B,res_753fac05-a88e-4dd4-b44b-e930b9a84925,Role 5,2021-01-20 11:26:29,4,0,2021-01-20 11:20:13
Case1,G,res_753fac05-a88e-4dd4-b44b-e930b9a84925,Role 5,2021-01-20 12:37:02,4,0,2021-01-20 12:32:39
Case2,B,res_753fac05-a88e-4dd4-b44b-e930b9a84925,Role 5,2021-01-20 12:43:18,5,0,2021-01-20 12:37:01
Case1,F,res_753fac05-a88e-4dd4-b44b-e930b9a84925,Role 5,2021-01-20 13:50:04,5,0,2021-01-20 13:48:30
Case1,D,res_753fac05-a88e-4dd4-b44b-e930b9a84925,Role 5,2021-01-20 13:56:29,5,0,2021-01-20 13:50:09
Case1,H,res_753fac05-a88e-4dd4-b44b-e930b9a84925,Role 5,2021-01-20 14:04:58,5,0,2021-01-20 13:57:13
Case1,C,res_753fac05-a88e-4dd4-b44b-e930b9a84925,Role 5,2021-01-20 14:09:16,5,0,2021-01-20 14:05:54
Case2,G,res_753fac05-a88e-4dd4-b44b-e930b9a84925,Role 5,2021-01-20 14:13:46,6,0,2021-01-20 14:09:28
Case3,A,res_753fac05-a88e-4dd4-b44b-e930b9a84925,Role 5,2021-01-20 14:14:02,6,0,2021-01-20 14:07:45
Case1,E,res_753fac05-a88e-4dd4-b44b-e930b9a84925,Role 5,2021-01-20 14:15:01,6,0,2021-01-20 14:10:30
Case1,I,res_753fac05-a88e-4dd4-b44b-e930b9a84925,Role 5,2021-01-20 14:17:34,6,0,2021-01-20 14:16:43
Case4,A,res_753fac05-a88e-4dd4-b44b-e930b9a84925,Role 5,2021-01-20 14:24:23,7,0,2021-01-20 14:18:06
Case3,B,res_753fac05-a88e-4dd4-b44b-e930b9a84925,Role 5,2021-01-20 15:30:30,7,0,2021-01-20 15:26:13
Case2,F,res_753fac05-a88e-4dd4-b44b-e930b9a84925,Role 5,2021-01-20 15:32:17,7,0,2021-01-20 15:30:56
Case2,D,res_753fac05-a88e-4dd4-b44b-e930b9a84925,Role 5,2021-01-20 15:38:40,7,0,2021-01-20 15:32:17
Case2,H,res_753fac05-a88e-4dd4-b44b-e930b9a84925,Role 5,2021-01-20 15:47:10,7,0,2021-01-20 15:39:00
Case2,C,res_753fac05-a88e-4dd4-b44b-e930b9a84925,Role 5,2021-01-20 15:50:26,7,0,2021-01-20 15:47:16
Case2,E,res_753fac05-a88e-4dd4-b44b-e930b9a84925,Role 5,2021-01-20 15:55:23,7,0,2021-01-20 15:50:29
Case2,I,res_753fac05-a88e-4dd4-b44b-e930b9a84925,Role 5,2021-01-20 15:57:31,8,0,2021-01-20 15:56:48
Case5,B,res_753fac05-a88e-4dd4-b44b-e930b9a84925,Role 5,2021-01-20 15:58:37,8,0,2021-01-20 15:52:20
Case1,J,res_753fac05-a88e-4dd4-b44b-e930b9a84925,Role 5,2021-01-20 16:08:25,8,0,2021-01-20 16:01:29
Case4,B,res_753fac05-a88e-4dd4-b44b-e930b9a84925,Role 5,2021-01-20 16:24:12,8,0,2021-01-20 16:19:48
Case3,G,res_753fac05-a88e-4dd4-b44b-e930b9a84925,Role 5,2021-01-20 16:40:19,8,0,2021-01-20 16:38:58
Case3,F,res_753fac05-a88e-4dd4-b44b-e930b9a84925,Role 5,2021-01-20 16:46:42,8,0,2021-01-20 16:40:19
Case3,D,res_753fac05-a88e-4dd4-b44b-e930b9a84925,Role 5,2021-01-20 16:54:44,8,0,2021-01-20 16:46:42
Case6,A,res_753fac05-a88e-4dd4-b44b-e930b9a84925,Role 5,2021-01-20 16:57:53,9,0,2021-01-20 16:51:36
Case3,H,res_753fac05-a88e-4dd4-b44b-e930b9a84925,Role 5,2021-01-20 16:57:55,9,0,2021-01-20 16:54:44
Case3,C,res_753fac05-a88e-4dd4-b44b-e930b9a84925,Role 5,2021-01-20 17:02:48,9,0,2021-01-20 16:57:55
Case3,E,res_753fac05-a88e-4dd4-b44b-e930b9a84925,Role 5,2021-01-20 17:03:38,9,0,2021-01-20 17:02:48
