caseid,task,resource,role,time:timestamp,pr_instances,tsk_start_inst,start:timestamp
Case16,Prescription received,res_17da92c9-d713-476c-be03-6ea1bc86ab49,Role 1,2019-05-14 09:37:48,568,0,2019-05-14 09:36:18
Case4,Process drop-off,res_fc2e6fa0-f9f9-4b5f-9c6e-f358b7575424,Role 1,2019-05-14 09:39:32,569,0,2019-05-14 09:38:13
Case11,Process drop-off,res_17da92c9-d713-476c-be03-6ea1bc86ab49,Role 1,2019-05-14 09:41:41,570,0,2019-05-14 09:40:22
Case7,Process drop-off,res_17da92c9-d713-476c-be03-6ea1bc86ab49,Role 1,2019-05-14 09:42:50,571,1,2019-05-14 09:41:17
Case19,Prescription received,res_17da92c9-d713-476c-be03-6ea1bc86ab49,Role 1,2019-05-14 09:49:03,572,0,2019-05-14 09:47:33
Case9,Prescription received,res_7aeca971-3bd8-4faf-89c4-9f197dc77bef,Role 1,2019-05-14 09:57:06,573,0,2019-05-14 09:55:36
Case17,Prescription received,res_fc2e6fa0-f9f9-4b5f-9c6e-f358b7575424,Role 1,2019-05-14 10:00:09,574,0,2019-05-14 09:58:39
Case12,Process drop-off,res_7aeca971-3bd8-4faf-89c4-9f197dc77bef,Role 1,2019-05-14 10:01:59,575,0,2019-05-14 10:00:39
Case1,Prescription received,res_17da92c9-d713-476c-be03-6ea1bc86ab49,Role 1,2019-05-14 10:04:04,576,0,2019-05-14 10:02:34
Case5,Prescription received,res_fc2e6fa0-f9f9-4b5f-9c6e-f358b7575424,Role 1,2019-05-14 10:07:13,577,0,2019-05-14 10:05:43
Case2,Prescription received,res_fc2e6fa0-f9f9-4b5f-9c6e-f358b7575424,Role 1,2019-05-14 10:08:04,578,1,2019-05-14 10:06:33
Case21,Prescription received,res_fc2e6fa0-f9f9-4b5f-9c6e-f358b7575424,Role 1,2019-05-14 10:10:12,579,0,2019-05-14 10:08:42
Case13,Process drop-off,res_17da92c9-d713-476c-be03-6ea1bc86ab49,Role 1,2019-05-14 10:14:04,580,0,2019-05-14 10:12:43
Case20,Prescription received,res_fc2e6fa0-f9f9-4b5f-9c6e-f358b7575424,Role 1,2019-05-14 10:19:37,581,0,2019-05-14 10:18:07
Case18,Prescription received,res_17da92c9-d713-476c-be03-6ea1bc86ab49,Role 1,2019-05-14 10:22:40,582,0,2019-05-14 10:21:10
Case10,Prescription received,res_fc2e6fa0-f9f9-4b5f-9c6e-f358b7575424,Role 1,2019-05-14 10:25:31,583,0,2019-05-14 10:24:01
Case6,Process drop-off,res_17da92c9-d713-476c-be03-6ea1bc86ab49,Role 1,2019-05-14 10:28:08,584,0,2019-05-14 10:26:47
Case8,Prescription received,res_17da92c9-d713-476c-be03-6ea1bc86ab49,Role 1,2019-05-14 10:28:49,585,0,2019-05-14 10:27:19
Case3,Prescription received,res_17da92c9-d713-476c-be03-6ea1bc86ab49,Role 1,2019-05-14 10:30:16,586,1,2019-05-14 10:28:45
Case15,Process drop-off,res_7aeca971-3bd8-4faf-89c4-9f197dc77bef,Role 1,2019-05-14 10:31:38,587,0,2019-05-14 10:30:17
Case14,Prescription received,res_7aeca971-3bd8-4faf-89c4-9f197dc77bef,Role 1,2019-05-14 10:32:38,588,0,2019-05-14 10:31:08
