caseid,task,start:timestamp,time:timestamp,role,st_wip,st_tsk_wip,queue
1,W_Complete application,2016-10-24 09:12:03,2016-10-24 09:14:16,Role 1,1030,2.498928708536092,-1
2,W_Handle leads,2016-10-24 09:14:20,2016-10-24 09:14:31,Role 1,1031,1.0447971031033731,-1
2,W_Complete application,2016-10-24 09:14:36,2016-10-24 09:17:02,Role 1,1031,2.498928708536092,-1
4,W_Handle leads,2016-10-24 09:18:08,2016-10-24 09:18:19,Role 1,1033,1.0447971031033731,-1
3,W_Complete application,2016-10-24 09:16:24,2016-10-24 09:18:36,Role 1,1032,3.498928708536092,-1
4,W_Complete application,2016-10-24 09:18:24,2016-10-24 09:20:50,Role 1,1033,3.498928708536092,-1
6,W_Handle leads,2016-10-24 09:27:56,2016-10-24 09:28:08,Role 1,1035,1.0447971031033731,-1
5,W_Complete application,2016-10-24 09:27:56,2016-10-24 09:30:07,Role 1,1034,2.498928708536092,-1
6,W_Complete application,2016-10-24 09:28:13,2016-10-24 09:30:39,Role 1,1035,3.498928708536092,-1
7,W_Complete application,2016-10-24 09:30:13,2016-10-24 09:32:24,Role 1,1036,3.498928708536092,-1
