caseid,task,role,start_timestamp,end_timestamp,dur_raw,dur,wait_raw,wait
Case0000,W_Afhandelen leads,Role 4,2012-02-15 00:19:27.110,2012-02-15 00:29:27.110,0.0024691056460142136,600.0,0.015255941078066826,39250.0
Case0000,W_Completeren aanvraag,Role 1,2012-02-15 13:15:45.110,2012-02-15 13:17:38.110,0.0004659276455640793,113.0,0.01787140592932701,45978.0
Case0000,W_Completeren aanvraag,Role 1,2012-02-16 06:10:50.110,2012-02-16 06:10:50.110,0.0,0.0,0.02362927235662937,60792.0
Case0000,W_Nabellen offertes,Role 1,2012-02-17 01:36:12.110,2012-02-17 01:36:12.110,0.0,0.0,0.027177929878234863,69922.0
Case0001,W_Afhandelen leads,Role 1,2012-02-15 00:19:27.110,2012-02-15 00:29:27.110,0.0024691056460142136,600.0,0.015255941078066826,39250.0
Case0001,W_Afhandelen leads,end,2012-02-15 13:04:22.110,2012-02-15 13:08:05.110,0.0009165452793240547,223.0,0.017605796456336975,45295.0
Case0001,W_Completeren aanvraag,Role 1,2012-02-16 11:26:28.110,2012-02-16 11:26:28.110,0.0,0.0,0.031213121488690376,80303.0
Case0001,W_Completeren aanvraag,Role 1,2012-02-17 10:03:19.110,2012-02-17 10:07:17.110,0.0009772861376404762,238.0,0.03164356201887131,81411.0
Case0001,W_Nabellen offertes,Role 1,2012-02-18 07:41:04.110,2012-02-18 07:48:26.110,0.001817395444959402,442.0,0.030172696337103844,77627.0
Case0001,W_Nabellen offertes,Role 1,2012-02-19 05:16:50.110,2012-02-19 05:27:11.110,0.0025515398010611534,621.0,0.030047273263335228,77304.0
Case0001,W_Valideren aanvraag,Role 1,2012-02-20 01:44:08.110,2012-02-20 01:52:23.110,0.002033763565123081,495.0,0.02838119864463806,73017.0
Case0001,W_Completeren aanvraag,Role 1,2012-02-20 18:23:29.110,2012-02-20 18:25:21.110,0.00046234438195824623,112.0,0.02311389334499836,59466.0
Case0001,W_Nabellen offertes,Role 1,2012-02-21 10:55:32.110,2012-02-21 10:55:32.110,0.0,0.0,0.023092683404684067,59411.0
Case0001,W_Nabellen offertes,Role 1,2012-02-22 04:30:58.110,2012-02-22 04:30:58.110,0.0,0.0,0.024614237248897552,63326.0
Case0001,W_Nabellen offertes,end,2012-02-22 22:24:53.110,2012-02-22 22:24:53.110,0.0,0.0,0.0250452421605587,64435.0
Case0001,W_Nabellen offertes,Role 1,2012-02-23 18:42:06.110,2012-02-23 18:46:48.110,0.0011583976447582245,282.0,0.02838718891143799,73033.0
Case0001,W_Nabellen offertes,end,2012-02-24 17:18:09.110,2012-02-24 17:25:29.110,0.0018077702261507511,440.0,0.03151537850499153,81081.0
Case0001,W_Nabellen offertes,Role 2,2012-02-25 17:33:09.110,2012-02-25 17:46:25.110,0.0032722949981689453,796.0,0.03376153111457825,86860.0
Case0001,W_Nabellen offertes,Role 2,2012-02-26 16:48:20.110,2012-02-26 17:03:27.110,0.0037311501801013947,907.0,0.03222830221056938,82915.0
Case0002,W_Afhandelen leads,Role 2,2012-02-15 00:19:27.110,2012-02-15 00:29:27.110,0.0024691056460142136,600.0,0.015255941078066826,39250.0
Case0003,W_Afhandelen leads,Role 1,2012-02-15 00:19:27.110,2012-02-15 00:29:27.110,0.0024691056460142136,600.0,0.015255941078066826,39250.0
Case0004,W_Completeren aanvraag,Role 1,2012-02-15 00:19:27.110,2012-02-15 00:29:27.110,0.0024691056460142136,600.0,0.015255941078066826,39250.0
Case0005,W_Completeren aanvraag,Role 1,2012-02-15 00:19:27.110,2012-02-15 00:29:27.110,0.0024691056460142136,600.0,0.015255941078066826,39250.0
Case0005,W_Completeren aanvraag,end,2012-02-15 10:08:37.110,2012-02-15 10:08:37.110,0.0,0.0,0.01350705698132515,34750.0
Case0006,W_Afhandelen leads,Role 1,2012-02-15 00:19:27.110,2012-02-15 00:29:27.110,0.0024691056460142136,600.0,0.015255941078066826,39250.0
Case0006,W_Completeren aanvraag,end,2012-02-15 13:04:22.110,2012-02-15 13:08:05.110,0.0009165452793240547,223.0,0.017605796456336975,45295.0
Case0006,W_Afhandelen leads,Role 1,2012-02-16 09:37:40.110,2012-02-16 09:37:40.110,0.0,0.0,0.028675753623247147,73775.0
Case0006,W_Completeren aanvraag,Role 1,2012-02-17 12:34:41.110,2012-02-17 12:44:09.110,0.002334780991077423,568.0,0.03771109879016876,97021.0
Case0006,W_Completeren aanvraag,Role 1,2012-02-18 10:25:41.110,2012-02-18 10:32:08.110,0.0015928195789456367,387.0,0.03035362996160984,78092.0
Case0006,W_Valideren aanvraag,Role 1,2012-02-19 06:19:48.110,2012-02-19 06:30:39.110,0.0026772785931825638,651.0,0.027698244899511337,71260.0
Case0006,W_Nabellen offertes,Role 1,2012-02-20 00:20:20.110,2012-02-20 00:30:24.110,0.002484884113073349,604.0,0.024946555495262146,64181.0
Case0006,W_Nabellen offertes,Role 1,2012-02-20 19:29:10.110,2012-02-20 19:35:04.110,0.0014576315879821777,354.0,0.026557663455605507,68326.0
Case0006,W_Nabellen offertes,Role 1,2012-02-21 14:19:14.110,2012-02-21 14:19:14.110,0.0,0.0,0.02621701918542385,67450.0
Case0006,W_Nabellen offertes,Role 1,2012-02-22 09:00:43.110,2012-02-22 09:00:43.110,0.0,0.0,0.02615445852279663,67289.0
Case0007,W_Afhandelen leads,Role 1,2012-02-15 00:19:27.110,2012-02-15 00:29:27.110,0.0024691056460142136,600.0,0.015255941078066826,39250.0
Case0008,W_Completeren aanvraag,Role 1,2012-02-15 00:19:27.110,2012-02-15 00:29:27.110,0.0024691056460142136,600.0,0.015255941078066826,39250.0
Case0009,W_Completeren aanvraag,Role 1,2012-02-15 00:19:27.110,2012-02-15 00:29:27.110,0.0024691056460142136,600.0,0.015255941078066826,39250.0
Case0009,W_Nabellen incomplete dossiers,Role 1,2012-02-15 10:08:37.110,2012-02-15 10:08:37.110,0.0,0.0,0.01350705698132515,34750.0
Case0009,W_Completeren aanvraag,Role 1,2012-02-16 04:09:45.110,2012-02-16 04:09:45.110,0.0,0.0,0.025213666260242462,64868.0
Case0009,W_Nabellen offertes,Role 1,2012-02-17 00:09:23.110,2012-02-17 00:09:23.110,0.0,0.0,0.02797730267047882,71978.0
Case0009,W_Completeren aanvraag,Role 1,2012-02-17 22:14:36.110,2012-02-17 22:14:36.110,0.0,0.0,0.030905960127711296,79513.0
Case0009,W_Completeren aanvraag,Role 1,2012-02-18 17:23:06.110,2012-02-18 17:23:06.110,0.0,0.0,0.02678460069000721,68910.0
Case0009,W_Completeren aanvraag,Role 1,2012-02-19 11:57:10.110,2012-02-19 11:57:10.110,0.0,0.0,0.025981727987527847,66844.0
Case0010,W_Afhandelen leads,end,2012-02-15 00:19:27.110,2012-02-15 00:29:27.110,0.0024691056460142136,600.0,0.015255941078066826,39250.0
Case0011,W_Afhandelen leads,Role 1,2012-02-15 00:19:27.110,2012-02-15 00:29:27.110,0.0024691056460142136,600.0,0.015255941078066826,39250.0
Case0012,W_Completeren aanvraag,Role 1,2012-02-15 00:19:27.110,2012-02-15 00:29:27.110,0.0024691056460142136,600.0,0.015255941078066826,39250.0
Case0012,W_Completeren aanvraag,Role 1,2012-02-15 10:08:37.110,2012-02-15 10:08:37.110,0.0,0.0,0.01350705698132515,34750.0
Case0012,W_Completeren aanvraag,Role 1,2012-02-16 03:22:31.110,2012-02-16 03:22:31.110,0.0,0.0,0.02411188930273056,62034.0
Case0012,W_Nabellen offertes,Role 1,2012-02-16 23:49:02.110,2012-02-16 23:49:02.110,0.0,0.0,0.028604062274098396,73591.0
Case0012,W_Completeren aanvraag,Role 1,2012-02-17 22:02:56.110,2012-02-17 22:02:56.110,0.0,0.0,0.03110833652317524,80034.0
Case0012,W_Nabellen offertes,Role 1,2012-02-18 17:19:52.110,2012-02-18 17:19:52.110,0.0,0.0,0.026981251314282417,69416.0
Case0012,W_Nabellen offertes,Role 1,2012-02-19 13:50:04.110,2012-02-19 13:50:04.110,0.0,0.0,0.02869001217186451,73812.0
Case0012,W_Completeren aanvraag,Role 1,2012-02-20 09:58:26.110,2012-02-20 09:58:26.110,0.0,0.0,0.028181012719869614,72502.0
Case0012,W_Nabellen offertes,Role 1,2012-02-21 03:04:02.110,2012-02-21 03:04:02.110,0.0,0.0,0.023918455466628075,61536.0
Case0012,W_Nabellen offertes,Role 1,2012-02-21 21:27:58.110,2012-02-21 21:27:58.110,0.0,0.0,0.025745248422026634,66236.0
Case0012,W_Completeren aanvraag,Role 1,2012-02-22 15:47:37.110,2012-02-22 15:47:37.110,0.0,0.0,0.025645384564995766,65979.0
Case0012,W_Valideren aanvraag,Role 1,2012-02-23 07:30:49.110,2012-02-23 07:30:49.110,0.0,0.0,0.02199684828519821,56592.0
Case0012,W_Nabellen offertes,Role 1,2012-02-23 22:12:58.110,2012-02-23 22:12:58.110,0.0,0.0,0.020572882145643234,52929.0
Case0012,W_Nabellen offertes,Role 2,2012-02-24 14:59:11.110,2012-02-24 14:59:11.110,0.0,0.0,0.02346627227962017,60373.0
Case0013,W_Completeren aanvraag,Role 1,2012-02-15 00:19:27.110,2012-02-15 00:29:27.110,0.0024691056460142136,600.0,0.015255941078066826,39250.0
Case0013,W_Completeren aanvraag,end,2012-02-15 10:08:37.110,2012-02-15 10:08:37.110,0.0,0.0,0.01350705698132515,34750.0
Case0013,W_Completeren aanvraag,Role 1,2012-02-16 06:30:07.110,2012-02-16 06:30:07.110,0.0,0.0,0.028487127274274826,73290.0
Case0013,W_Nabellen offertes,end,2012-02-17 06:39:44.110,2012-02-17 06:50:03.110,0.002546750009059906,619.0,0.03380728140473366,86977.0
Case0014,W_Afhandelen leads,Role 1,2012-02-15 00:19:27.110,2012-02-15 00:29:27.110,0.0024691056460142136,600.0,0.015255941078066826,39250.0
Case0015,W_Afhandelen leads,Role 1,2012-02-15 00:19:27.110,2012-02-15 00:29:27.110,0.0024691056460142136,600.0,0.015255941078066826,39250.0
