caseid,task,role,start_timestamp,end_timestamp,dur_raw,dur,wait_raw,wait
Case0000,W_Afhandelen leads,Role 1,2012-02-15 00:19:27.110,2012-02-15 00:29:27.110,0.0024691056460142136,600.0,0.015255941078066826,39250.0
Case0000,W_Completeren aanvraag,Role 1,2012-02-15 13:04:22.110,2012-02-15 13:08:05.110,0.0009165452793240547,223.0,0.017605796456336975,45295.0
Case0000,W_Nabellen offertes,Role 1,2012-02-16 04:56:20.110,2012-02-16 04:56:20.110,0.0,0.0,0.022114671766757965,56895.0
Case0000,W_Completeren aanvraag,Role 2,2012-02-17 01:30:58.110,2012-02-17 01:30:58.110,0.0,0.0,0.028793325647711754,74078.0
Case0000,W_Completeren aanvraag,end,2012-02-17 19:17:34.110,2012-02-17 19:17:34.110,0.0,0.0,0.024874741211533546,63996.0
Case0000,W_Nabellen offertes,Role 1,2012-02-18 16:51:29.110,2012-02-18 16:53:06.110,0.000399700365960598,97.0,0.030175941064953804,77635.0
Case0000,W_Completeren aanvraag,end,2012-02-19 17:15:08.110,2012-02-19 17:25:41.110,0.0026044081896543503,633.0,0.03409665450453758,87722.0
Case0000,W_Completeren aanvraag,Role 1,2012-02-20 17:41:38.110,2012-02-20 17:53:58.110,0.0030434001237154007,740.0,0.03395475074648857,87357.0
Case0000,W_Nabellen offertes,Role 1,2012-02-21 17:30:21.110,2012-02-21 17:48:39.110,0.004516554065048695,1098.0,0.033032145351171494,84983.0
Case0000,W_Completeren aanvraag,Role 1,2012-02-22 16:14:56.110,2012-02-22 16:34:08.110,0.004738111048936844,1152.0,0.03139740228652954,80777.0
Case0000,W_Completeren aanvraag,Role 1,2012-02-23 11:03:59.110,2012-02-23 11:20:36.110,0.004099172540009022,997.0,0.025883274152874947,66591.0
Case0000,W_Nabellen offertes,Role 1,2012-02-24 04:39:17.110,2012-02-24 04:52:36.110,0.0032841861248016357,799.0,0.024223461747169495,62321.0
Case0000,W_Completeren aanvraag,Role 2,2012-02-24 22:37:20.110,2012-02-24 22:44:36.110,0.0017935289070010185,436.0,0.024831026792526245,63884.0
Case0000,W_Nabellen offertes,Role 4,2012-02-25 13:16:29.110,2012-02-25 13:17:42.110,0.0003000982105731964,73.0,0.02033352479338646,52313.0
Case0000,W_Valideren aanvraag,Role 1,2012-02-26 04:37:17.110,2012-02-26 04:38:34.110,0.0003170771524310112,77.0,0.021446049213409424,55175.0
Case0000,W_Nabellen incomplete dossiers,Role 1,2012-02-26 18:10:17.110,2012-02-26 18:10:17.110,0.0,0.0,0.0189304631203413,48703.0
Case0000,W_Valideren aanvraag,Role 2,2012-02-27 09:02:02.110,2012-02-27 09:02:02.110,0.0,0.0,0.020796999335289,53505.0
Case0000,W_Nabellen incomplete dossiers,end,2012-02-27 21:23:26.110,2012-02-27 21:23:26.110,0.0,0.0,0.017290327697992325,44484.0
Case0000,W_Nabellen incomplete dossiers,Role 1,2012-02-28 13:54:31.110,2012-02-28 13:59:43.110,0.001281222328543663,312.0,0.02311367727816105,59465.0
Case0000,W_Nabellen incomplete dossiers,Role 1,2012-02-29 09:22:00.110,2012-02-29 09:30:44.110,0.0021555349230766296,524.0,0.02710617333650589,69737.0
Case0000,W_Nabellen incomplete dossiers,Role 1,2012-03-01 04:41:45.110,2012-03-01 04:52:24.110,0.0026277080178260803,639.0,0.026843354105949402,69061.0
Case0000,W_Nabellen incomplete dossiers,end,2012-03-01 22:51:55.110,2012-03-01 23:02:22.110,0.00257819052785635,627.0,0.025175845250487328,64771.0
Case0000,W_Valideren aanvraag,Role 1,2012-03-02 19:12:26.110,2012-03-02 19:22:42.110,0.0025317277759313583,616.0,0.02822044864296913,72604.0
Case0001,W_Afhandelen leads,Role 1,2012-02-15 00:19:27.110,2012-02-15 00:29:27.110,0.0024691056460142136,600.0,0.015255941078066826,39250.0
Case0002,W_Afhandelen leads,Role 1,2012-02-15 00:19:27.110,2012-02-15 00:29:27.110,0.0024691056460142136,600.0,0.015255941078066826,39250.0
Case0002,W_Nabellen offertes,Role 1,2012-02-15 13:04:22.110,2012-02-15 13:08:05.110,0.0009165452793240547,223.0,0.017605796456336975,45295.0
Case0003,W_Afhandelen leads,Role 1,2012-02-15 00:19:27.110,2012-02-15 00:29:27.110,0.0024691056460142136,600.0,0.015255941078066826,39250.0
Case0004,W_Completeren aanvraag,Role 1,2012-02-15 00:19:27.110,2012-02-15 00:29:27.110,0.0024691056460142136,600.0,0.015255941078066826,39250.0
Case0005,W_Afhandelen leads,Role 1,2012-02-15 00:19:27.110,2012-02-15 00:29:27.110,0.0024691056460142136,600.0,0.015255941078066826,39250.0
Case0006,W_Completeren aanvraag,Role 1,2012-02-15 00:19:27.110,2012-02-15 00:29:27.110,0.0024691056460142136,600.0,0.015255941078066826,39250.0
Case0006,W_Completeren aanvraag,Role 1,2012-02-15 10:08:37.110,2012-02-15 10:08:37.110,0.0,0.0,0.01350705698132515,34750.0
Case0006,W_Completeren aanvraag,Role 1,2012-02-16 03:22:31.110,2012-02-16 03:22:31.110,0.0,0.0,0.02411188930273056,62034.0
Case0006,W_Nabellen offertes,Role 1,2012-02-16 23:49:02.110,2012-02-16 23:49:02.110,0.0,0.0,0.028604062274098396,73591.0
Case0006,W_Nabellen offertes,Role 1,2012-02-17 22:02:56.110,2012-02-17 22:02:56.110,0.0,0.0,0.03110833652317524,80034.0
Case0006,W_Nabellen offertes,Role 2,2012-02-18 19:53:42.110,2012-02-18 19:53:42.110,0.0,0.0,0.0305690448731184,78646.0
Case0006,W_Completeren aanvraag,Role 1,2012-02-19 15:48:41.110,2012-02-19 15:48:41.110,0.0,0.0,0.02786869928240776,71699.0
Case0006,W_Nabellen offertes,Role 1,2012-02-20 09:06:51.110,2012-02-20 09:06:51.110,0.0,0.0,0.024211429059505463,62290.0
Case0006,W_Nabellen offertes,Role 1,2012-02-21 03:31:57.110,2012-02-21 03:31:57.110,0.0,0.0,0.02577265538275242,66306.0
Case0006,W_Completeren aanvraag,Role 1,2012-02-21 21:56:11.110,2012-02-21 21:56:11.110,0.0,0.0,0.02575238235294819,66254.0
Case0006,W_Nabellen offertes,end,2012-02-22 13:38:40.110,2012-02-22 13:38:40.110,0.0,0.0,0.021979914978146553,56549.0
Case0006,W_Nabellen offertes,Role 1,2012-02-23 09:31:05.110,2012-02-23 09:36:08.110,0.0012454940006136894,303.0,0.027808798477053642,71545.0
Case0006,W_Nabellen offertes,Role 1,2012-02-24 07:40:45.110,2012-02-24 07:48:50.110,0.0019936664029955864,485.0,0.030891811475157738,79477.0
Case0006,W_Nabellen offertes,Role 2,2012-02-25 04:54:49.110,2012-02-25 05:04:12.110,0.0023156534880399704,563.0,0.02952445112168789,75959.0
Case0006,W_Nabellen incomplete dossiers,end,2012-02-25 23:43:15.110,2012-02-25 23:54:33.110,0.002787928096950054,678.0,0.026097726076841354,67143.0
Case0006,W_Nabellen incomplete dossiers,Role 1,2012-02-26 20:05:54.110,2012-02-26 20:15:20.110,0.0023272130638360977,566.0,0.028250524774193764,72681.0
Case0006,W_Nabellen incomplete dossiers,Role 1,2012-02-27 17:21:47.110,2012-02-27 17:32:59.110,0.002763204276561737,672.0,0.029535317793488503,75987.0
Case0006,W_Nabellen incomplete dossiers,Role 1,2012-02-28 12:45:50.110,2012-02-28 12:59:33.110,0.0033836383372545242,823.0,0.026886193081736565,69171.0
Case0006,W_Nabellen incomplete dossiers,Role 1,2012-02-29 06:34:35.110,2012-02-29 06:47:17.110,0.0031331758946180344,762.0,0.024604784324765205,63302.0
Case0006,W_Valideren aanvraag,Role 2,2012-02-29 23:40:32.110,2012-02-29 23:50:29.110,0.0024551283568143845,597.0,0.02363026887178421,60795.0
Case0006,W_Valideren aanvraag,Role 1,2012-03-01 13:30:15.110,2012-03-01 13:35:26.110,0.0012791259214282036,311.0,0.019118253141641617,49186.0
Case0006,W_Nabellen incomplete dossiers,Role 1,2012-03-02 03:46:15.110,2012-03-02 03:46:15.110,0.0,0.0,0.01984223537147045,51049.0
Case0006,W_Nabellen incomplete dossiers,end,2012-03-02 19:05:30.110,2012-03-02 19:05:30.110,0.0,0.0,0.021438399329781532,55155.0
Case0007,W_Afhandelen leads,Role 1,2012-02-15 00:19:27.110,2012-02-15 00:29:27.110,0.0024691056460142136,600.0,0.015255941078066826,39250.0
Case0007,W_Afhandelen leads,Role 1,2012-02-15 13:04:22.110,2012-02-15 13:08:05.110,0.0009165452793240547,223.0,0.017605796456336975,45295.0
Case0007,W_Completeren aanvraag,end,2012-02-16 08:23:42.110,2012-02-16 08:25:07.110,0.0003476673737168312,85.0,0.02695065177977085,69337.0
Case0007,W_Afhandelen leads,Role 1,2012-02-17 06:50:06.110,2012-02-17 06:50:06.110,0.0,0.0,0.03136675804853439,80699.0
Case0007,W_Completeren aanvraag,Role 1,2012-02-18 10:08:22.110,2012-02-18 10:15:45.110,0.0018214345909655094,443.0,0.03820670396089554,98296.0
Case0007,W_Completeren aanvraag,end,2012-02-19 07:14:56.110,2012-02-19 07:22:32.110,0.0018744179978966713,456.0,0.02936580218374729,75551.0
Case0007,W_Nabellen offertes,Role 1,2012-02-20 07:16:57.110,2012-02-20 07:29:48.110,0.0031718825921416283,771.0,0.03345264494419098,86065.0
Case0008,W_Afhandelen leads,Role 1,2012-02-15 00:19:27.110,2012-02-15 00:29:27.110,0.0024691056460142136,600.0,0.015255941078066826,39250.0
Case0008,W_Afhandelen leads,Role 1,2012-02-15 13:04:22.110,2012-02-15 13:08:05.110,0.0009165452793240547,223.0,0.017605796456336975,45295.0
Case0008,W_Completeren aanvraag,Role 1,2012-02-16 08:23:42.110,2012-02-16 08:25:07.110,0.0003476673737168312,85.0,0.02695065177977085,69337.0
Case0008,W_Completeren aanvraag,Role 1,2012-02-17 02:44:56.110,2012-02-17 02:44:56.110,0.0,0.0,0.025649115443229675,65989.0
Case0008,W_Afhandelen leads,Role 1,2012-02-17 21:48:14.110,2012-02-17 21:48:14.110,0.0,0.0,0.02666322886943817,68598.0
Case0008,W_Nabellen offertes,Role 1,2012-02-18 19:21:31.110,2012-02-18 19:21:31.110,0.0,0.0,0.03016120381653309,77597.0
Case0009,W_Completeren aanvraag,Role 1,2012-02-15 00:19:27.110,2012-02-15 00:29:27.110,0.0024691056460142136,600.0,0.015255941078066826,39250.0
Case0009,W_Completeren aanvraag,Role 1,2012-02-15 10:08:37.110,2012-02-15 10:08:37.110,0.0,0.0,0.01350705698132515,34750.0
Case0009,W_Completeren aanvraag,Role 1,2012-02-16 03:22:31.110,2012-02-16 03:22:31.110,0.0,0.0,0.02411188930273056,62034.0
Case0009,W_Completeren aanvraag,Role 1,2012-02-16 23:49:02.110,2012-02-16 23:49:02.110,0.0,0.0,0.028604062274098396,73591.0
Case0009,W_Nabellen offertes,Role 1,2012-02-17 20:19:44.110,2012-02-17 20:19:44.110,0.0,0.0,0.02870165929198265,73842.0
Case0009,W_Nabellen offertes,Role 1,2012-02-18 17:43:02.110,2012-02-18 17:43:02.110,0.0,0.0,0.029928380623459816,76998.0
Case0009,W_Nabellen offertes,Role 1,2012-02-19 14:39:08.110,2012-02-19 14:39:08.110,0.0,0.0,0.029293900355696678,75366.0
Case0009,W_Nabellen offertes,Role 1,2012-02-20 11:09:35.110,2012-02-20 11:09:35.110,0.0,0.0,0.028695743530988693,73827.0
Case0009,W_Nabellen offertes,Role 1,2012-02-21 07:06:14.110,2012-02-21 07:06:14.110,0.0,0.0,0.027907663956284523,71799.0
Case0009,W_Completeren aanvraag,Role 1,2012-02-22 02:28:44.110,2012-02-22 02:28:44.110,0.0,0.0,0.027111152186989784,69750.0
Case0009,W_Afhandelen leads,Role 1,2012-02-22 18:35:42.110,2012-02-22 18:35:42.110,0.0,0.0,0.02255120687186718,58018.0
Case0009,W_Completeren aanvraag,Role 1,2012-02-23 13:34:16.110,2012-02-23 13:34:16.110,0.0,0.0,0.026553016155958176,68314.0
Case0009,W_Nabellen offertes,Role 2,2012-02-24 04:53:25.110,2012-02-24 04:53:25.110,0.0,0.0,0.02143603190779686,55149.0
Case0010,W_Afhandelen leads,Role 1,2012-02-15 00:19:27.110,2012-02-15 00:29:27.110,0.0024691056460142136,600.0,0.015255941078066826,39250.0
Case0010,W_Completeren aanvraag,Role 1,2012-02-15 13:04:22.110,2012-02-15 13:08:05.110,0.0009165452793240547,223.0,0.017605796456336975,45295.0
Case0010,W_Completeren aanvraag,Role 1,2012-02-16 04:56:20.110,2012-02-16 04:56:20.110,0.0,0.0,0.022114671766757965,56895.0
Case0010,W_Completeren aanvraag,Role 1,2012-02-16 23:55:57.110,2012-02-16 23:55:57.110,0.0,0.0,0.026577439159154892,68377.0
Case0010,W_Nabellen offertes,Role 1,2012-02-17 19:22:30.110,2012-02-17 19:22:30.110,0.0,0.0,0.027205489575862885,69993.0
Case0010,W_Nabellen offertes,Role 1,2012-02-18 16:08:10.110,2012-02-18 16:08:10.110,0.0,0.0,0.02905086986720562,74740.0
Case0010,W_Nabellen offertes,Role 1,2012-02-19 12:43:06.110,2012-02-19 12:43:06.110,0.0,0.0,0.02880035527050495,74096.0
Case0010,W_Nabellen offertes,end,2012-02-20 09:01:45.110,2012-02-20 09:01:45.110,0.0,0.0,0.02842083014547825,73119.0
Case0010,W_Afhandelen leads,Role 2,2012-02-21 06:57:37.110,2012-02-21 07:01:11.110,0.0008800812065601349,214.0,0.03068803809583187,78952.0
Case0011,W_Afhandelen leads,Role 1,2012-02-15 00:19:27.110,2012-02-15 00:29:27.110,0.0024691056460142136,600.0,0.015255941078066826,39250.0
Case0012,W_Afhandelen leads,Role 1,2012-02-15 00:19:27.110,2012-02-15 00:29:27.110,0.0024691056460142136,600.0,0.015255941078066826,39250.0
Case0012,W_Afhandelen leads,Role 2,2012-02-15 13:04:22.110,2012-02-15 13:08:05.110,0.0009165452793240547,223.0,0.017605796456336975,45295.0
Case0012,W_Nabellen offertes,Role 2,2012-02-16 07:47:15.110,2012-02-16 07:49:22.110,0.0005241762846708298,127.0,0.026100698858499527,67150.0
Case0013,W_Completeren aanvraag,Role 1,2012-02-15 00:19:27.110,2012-02-15 00:29:27.110,0.0024691056460142136,600.0,0.015255941078066826,39250.0
Case0013,W_Afhandelen leads,Role 1,2012-02-15 10:08:37.110,2012-02-15 10:08:37.110,0.0,0.0,0.01350705698132515,34750.0
Case0014,W_Completeren aanvraag,Role 1,2012-02-15 00:19:27.110,2012-02-15 00:29:27.110,0.0024691056460142136,600.0,0.015255941078066826,39250.0
Case0014,W_Completeren aanvraag,Role 1,2012-02-15 10:08:37.110,2012-02-15 10:08:37.110,0.0,0.0,0.01350705698132515,34750.0
Case0014,W_Completeren aanvraag,Role 1,2012-02-16 03:22:31.110,2012-02-16 03:22:31.110,0.0,0.0,0.02411188930273056,62034.0
Case0014,W_Nabellen offertes,Role 1,2012-02-16 23:49:02.110,2012-02-16 23:49:02.110,0.0,0.0,0.028604062274098396,73591.0
Case0014,W_Nabellen offertes,Role 1,2012-02-17 22:02:56.110,2012-02-17 22:02:56.110,0.0,0.0,0.03110833652317524,80034.0
Case0014,W_Nabellen offertes,Role 1,2012-02-18 19:53:42.110,2012-02-18 19:53:42.110,0.0,0.0,0.0305690448731184,78646.0
Case0014,W_Nabellen offertes,Role 1,2012-02-19 17:06:46.110,2012-02-19 17:06:46.110,0.0,0.0,0.02968967892229557,76384.0
Case0014,W_Nabellen offertes,Role 1,2012-02-20 13:37:10.110,2012-02-20 13:37:10.110,0.0,0.0,0.028694719076156616,73824.0
Case0014,W_Completeren aanvraag,Role 1,2012-02-21 09:27:28.110,2012-02-21 09:27:28.110,0.0,0.0,0.027759673073887825,71418.0
Case0014,W_Valideren aanvraag,Role 1,2012-02-22 01:56:51.110,2012-02-22 01:56:51.110,0.0,0.0,0.023073894903063774,59363.0
Case0014,W_Completeren aanvraag,Role 2,2012-02-22 17:01:54.110,2012-02-22 17:01:54.110,0.0,0.0,0.021106893196702003,54303.0
Case0014,W_Nabellen offertes,Role 2,2012-02-23 07:30:23.110,2012-02-23 07:30:23.110,0.0,0.0,0.02025430276989937,52109.0
Case0014,W_Nabellen offertes,Role 1,2012-02-23 23:24:53.110,2012-02-23 23:24:53.110,0.0,0.0,0.022260455414652824,57270.0
Case0015,W_Completeren aanvraag,Role 1,2012-02-15 00:19:27.110,2012-02-15 00:29:27.110,0.0024691056460142136,600.0,0.015255941078066826,39250.0
