caseid,task,role,start_timestamp,end_timestamp,dur_raw,dur,wait_raw,wait
Case00,Lapping,Role 1,2012-03-13 00:47:25,2012-03-13 03:40:43,0.12558454,10398.0,0.00057556387,2845.0
Case00,Round Grinding,Role 2,2012-03-13 04:33:45,2012-03-13 06:35:57,0.08854747,7332.0,0.0006438666,3182.0
Case00,Round Grinding,Role 2,2012-03-13 07:41:16,2012-03-13 09:34:39,0.0821663,6803.0,0.0007928475,3919.0
Case00,Round Grinding,Role 2,2012-03-13 10:54:26,2012-03-13 12:57:15,0.08900144,7369.0,0.0009685836,4787.0
Case00,Round Grinding,Role 3,2012-03-13 14:00:21,2012-03-13 16:06:17,0.091258585,7556.0,0.0007660128,3786.0
Case00,Round Grinding,Role 2,2012-03-13 18:21:11,2012-03-13 20:09:21,0.078383386,6490.0,0.0016376929,8094.0
Case00,Lapping,Role 5,2012-03-13 21:03:14,2012-03-13 23:03:24,0.087074265,7210.0,0.00065416936,3233.0
Case00,Round Grinding,Role 5,2012-03-14 01:37:15,2012-03-14 03:22:27,0.07623373,6312.0,0.0018677034,9231.0
Case00,Round Grinding,Role 3,2012-03-14 04:27:39,2012-03-14 06:18:44,0.08049831,6665.0,0.0007914166,3912.0
Case00,Final Inspection Q.C.,Role 2,2012-03-14 08:05:47,2012-03-14 09:38:48,0.06740545,5581.0,0.001299609,6423.0
Case00,Packing,Role 2,2012-03-14 11:51:37,2012-03-14 13:17:22,0.062136106,5145.0,0.0016123441,7969.0
Case00,Round Grinding,Role 5,2012-03-14 16:36:08,2012-03-14 17:42:39,0.048195455,3991.0,0.002413016,11926.0
Case00,Round Grinding,Role 7,2012-03-14 19:14:43,2012-03-14 20:36:08,0.058999225,4885.0,0.0011175957,5524.0
Case00,Round Grinding,Role 2,2012-03-14 21:13:14,2012-03-14 22:49:56,0.070070386,5802.0,0.0004504593,2226.0
Case00,Round Grinding,Role 3,2012-03-14 23:39:41,2012-03-15 01:28:02,0.07851274,6501.0,0.00060386886,2985.0
