caseid,task,role,start_timestamp,end_timestamp
Case000,start,start,2011-06-20 02:33:00,2011-06-20 02:33:00
Case000,Create Purchase Requisition,Role 1,2011-06-20 07:35:15,2011-06-20 07:59:05
Case000,Create Request for Quotation,Role 4,2011-06-20 12:39:34,2011-06-20 13:01:56
Case000,Create Request for Quotation,Role 4,2011-06-20 17:41:44,2011-06-20 18:01:40
Case000,Analyze Request for Quotation,Role 3,2011-06-20 22:50:26,2011-06-20 23:08:17
Case000,Amend Request for Quotation,Role 4,2011-06-21 04:08:27,2011-06-21 04:24:54
Case000,Analyze Request for Quotation,Role 3,2011-06-21 10:58:11,2011-06-21 11:12:30
Case000,end,Role 1,2011-06-21 18:14:34,2011-06-21 18:28:43
Case001,start,start,2011-06-21 18:14:34,2011-06-21 18:14:34
Case001,Create Purchase Requisition,Role 1,2011-06-22 01:56:38,2011-06-22 02:15:00
Case001,Analyze Purchase Requisition,Role 4,2011-06-22 09:09:18,2011-06-22 09:30:30
Case001,Create Request for Quotation,Role 4,2011-06-22 16:06:51,2011-06-22 16:28:59
Case001,Analyze Request for Quotation,Role 3,2011-06-22 22:56:04,2011-06-22 23:18:44
Case001,Send Request for Quotation to Supplier,Role 3,2011-06-23 05:43:30,2011-06-23 06:06:33
Case001,Create Quotation comparison Map,Role 3,2011-06-23 12:24:36,2011-06-23 12:47:23
Case001,Analyze Quotation Comparison Map,Role 1,2011-06-23 19:31:58,2011-06-23 19:52:26
Case001,Choose best option,Role 1,2011-06-24 03:10:35,2011-06-24 03:29:06
Case001,Settle Conditions With Supplier,Role 3,2011-06-24 11:32:45,2011-06-24 11:51:02
Case001,Create Purchase Order,Role 3,2011-06-24 20:16:51,2011-06-24 20:31:58
Case001,Confirm Purchase Order,Role 2,2011-06-25 05:22:39,2011-06-25 05:38:06
Case001,Deliver Goods Services,Role 2,2011-06-25 14:08:41,2011-06-25 14:22:57
Case001,Release Purchase Order,Role 1,2011-06-25 22:12:31,2011-06-25 22:24:58
Case001,Approve Purchase Order for payment,Role 3,2011-06-26 05:42:54,2011-06-26 05:54:06
Case001,Send Invoice,Role 2,2011-06-26 13:30:33,2011-06-26 13:41:56
Case001,Release Supplier's Invoice,Role 5,2011-06-26 20:29:55,2011-06-26 20:39:11
Case001,Authorize Supplier's Invoice payment,Role 5,2011-06-27 03:03:54,2011-06-27 03:12:18
Case001,Pay Invoice,Role 5,2011-06-27 09:46:11,2011-06-27 09:56:45
Case001,end,end,2011-06-27 16:36:13,2011-06-27 16:48:25
Case002,start,start,2011-06-27 16:36:13,2011-06-27 16:36:13
Case002,Create Purchase Requisition,Role 1,2011-06-27 22:09:44,2011-06-27 22:31:40
Case002,Create Request for Quotation,Role 4,2011-06-28 03:50:35,2011-06-28 04:11:11
Case002,Create Request for Quotation,Role 4,2011-06-28 10:53:45,2011-06-28 11:11:05
Case002,Analyze Request for Quotation,Role 3,2011-06-28 18:13:04,2011-06-28 18:29:31
Case002,Send Request for Quotation to Supplier,end,2011-06-29 01:40:11,2011-06-29 01:56:23
Case002,Create Quotation comparison Map,Role 3,2011-06-29 08:31:32,2011-06-29 08:49:45
Case002,Analyze Quotation Comparison Map,Role 1,2011-06-29 15:32:13,2011-06-29 15:50:39
Case002,Choose best option,Role 1,2011-06-29 22:51:17,2011-06-29 23:08:55
Case002,Settle Conditions With Supplier,Role 3,2011-06-30 06:29:20,2011-06-30 06:45:46
Case002,Create Purchase Order,Role 3,2011-06-30 14:08:35,2011-06-30 14:22:41
Case002,Confirm Purchase Order,Role 2,2011-06-30 21:41:01,2011-06-30 21:54:14
Case002,Deliver Goods Services,Role 2,2011-07-01 05:41:56,2011-07-01 05:58:01
Case002,Release Purchase Order,Role 1,2011-07-01 14:12:14,2011-07-01 14:28:28
Case002,Settle Dispute With Supplier,Role 3,2011-07-01 22:53:13,2011-07-01 23:08:19
Case002,Release Purchase Order,Role 2,2011-07-02 08:02:38,2011-07-02 08:18:22
Case002,Release Supplier's Invoice,Role 3,2011-07-02 16:52:08,2011-07-02 17:06:44
Case002,Authorize Supplier's Invoice payment,Role 1,2011-07-03 00:56:45,2011-07-03 01:09:28
Case002,Settle Dispute With Supplier,Role 5,2011-07-03 08:56:15,2011-07-03 09:08:31
Case002,Authorize Supplier's Invoice payment,Role 5,2011-07-03 17:02:35,2011-07-03 17:14:33
Case002,Pay Invoice,Role 5,2011-07-04 00:18:45,2011-07-04 00:28:25
Case002,end,end,2011-07-04 07:03:02,2011-07-04 07:13:10
Case003,start,start,2011-07-04 07:03:02,2011-07-04 07:03:02
Case003,Create Purchase Requisition,Role 1,2011-07-04 12:15:51,2011-07-04 12:39:02
Case003,Analyze Purchase Requisition,Role 4,2011-07-04 17:33:11,2011-07-04 17:54:55
Case003,Create Request for Quotation,Role 4,2011-07-04 22:48:06,2011-07-04 23:07:34
Case003,Analyze Request for Quotation,Role 3,2011-07-05 04:06:38,2011-07-05 04:24:17
Case003,Send Request for Quotation to Supplier,end,2011-07-05 10:57:37,2011-07-05 11:12:41
Case003,Create Quotation comparison Map,Role 3,2011-07-05 18:16:42,2011-07-05 18:31:23
Case003,Analyze Quotation Comparison Map,Role 1,2011-07-06 01:56:21,2011-07-06 02:11:03
Case003,Choose best option,Role 1,2011-07-06 09:08:31,2011-07-06 09:24:41
Case003,Settle Conditions With Supplier,Role 3,2011-07-06 16:30:47,2011-07-06 16:46:36
Case003,Create Purchase Order,Role 3,2011-07-07 00:06:30,2011-07-07 00:21:05
Case003,Confirm Purchase Order,Role 2,2011-07-07 07:37:32,2011-07-07 07:51:28
Case003,Deliver Goods Services,Role 2,2011-07-07 15:13:32,2011-07-07 15:26:18
Case003,Release Purchase Order,Role 1,2011-07-07 22:54:45,2011-07-07 23:07:21
Case003,Approve Purchase Order for payment,Role 3,2011-07-08 07:12:42,2011-07-08 07:28:27
Case003,Send Invoice,Role 2,2011-07-08 16:04:01,2011-07-08 16:20:09
Case003,Release Supplier's Invoice,Role 5,2011-07-09 01:05:13,2011-07-09 01:20:37
Case003,Authorize Supplier's Invoice payment,Role 5,2011-07-09 10:16:08,2011-07-09 10:33:01
Case003,Pay Invoice,Role 5,2011-07-09 19:00:26,2011-07-09 19:14:45
Case003,end,end,2011-07-10 03:14:11,2011-07-10 03:27:04
Case004,start,start,2011-07-10 03:14:11,2011-07-10 03:14:11
Case004,Create Purchase Requisition,Role 1,2011-07-10 09:56:13,2011-07-10 10:16:30
Case004,Create Request for Quotation,Role 1,2011-07-10 16:56:37,2011-07-10 17:16:25
Case004,Analyze Request for Quotation,Role 3,2011-07-10 23:52:26,2011-07-11 00:12:07
Case004,Send Request for Quotation to Supplier,Role 3,2011-07-11 06:44:39,2011-07-11 07:04:18
Case004,Create Quotation comparison Map,Role 3,2011-07-11 11:21:00,2011-07-11 11:46:51
Case004,Analyze Quotation Comparison Map,Role 1,2011-07-11 15:50:25,2011-07-11 16:16:35
Case004,Choose best option,Role 1,2011-07-11 21:09:14,2011-07-11 21:33:40
Case004,Settle Conditions With Supplier,Role 3,2011-07-12 03:31:51,2011-07-12 03:53:14
Case004,Create Purchase Order,Role 3,2011-07-12 11:59:38,2011-07-12 12:15:22
Case004,Confirm Purchase Order,Role 2,2011-07-12 20:10:36,2011-07-12 20:22:25
Case004,Deliver Goods Services,Role 2,2011-07-13 04:20:22,2011-07-13 04:31:28
Case004,Release Purchase Order,Role 1,2011-07-13 12:00:14,2011-07-13 12:11:25
Case004,Approve Purchase Order for payment,Role 3,2011-07-13 19:18:37,2011-07-13 19:29:43
Case004,Send Invoice,Role 2,2011-07-14 02:38:53,2011-07-14 02:53:11
Case004,Release Supplier's Invoice,Role 5,2011-07-14 10:02:37,2011-07-14 10:16:40
Case004,Settle Dispute With Supplier,Role 5,2011-07-14 17:36:05,2011-07-14 17:49:08
Case004,Authorize Supplier's Invoice payment,Role 5,2011-07-15 01:17:43,2011-07-15 01:30:33
Case004,Pay Invoice,Role 5,2011-07-15 09:38:35,2011-07-15 09:55:40
Case004,end,end,2011-07-15 18:30:16,2011-07-15 18:46:17
Case005,start,start,2011-07-15 18:30:16,2011-07-15 18:30:16
Case005,Create Purchase Requisition,Role 1,2011-07-16 01:47:32,2011-07-16 02:06:37
Case005,Analyze Purchase Requisition,Role 4,2011-07-16 09:07:10,2011-07-16 09:26:44
Case005,Create Request for Quotation,end,2011-07-16 16:11:13,2011-07-16 16:29:50
Case005,Analyze Request for Quotation,Role 3,2011-07-16 23:00:24,2011-07-16 23:17:58
Case005,Amend Request for Quotation,Role 1,2011-07-17 05:34:34,2011-07-17 05:50:59
Case005,Analyze Request for Quotation,Role 3,2011-07-17 12:02:23,2011-07-17 12:19:06
Case005,Send Request for Quotation to Supplier,Role 1,2011-07-17 18:41:44,2011-07-17 18:57:11
Case005,Create Quotation comparison Map,Role 3,2011-07-18 01:36:27,2011-07-18 01:50:49
Case005,Analyze Quotation Comparison Map,Role 1,2011-07-18 08:16:22,2011-07-18 08:33:36
Case005,Choose best option,Role 1,2011-07-18 15:12:11,2011-07-18 15:26:56
Case005,Settle Conditions With Supplier,Role 3,2011-07-18 22:02:10,2011-07-18 22:19:44
Case005,Create Purchase Order,Role 3,2011-07-19 05:36:50,2011-07-19 05:52:16
Case005,Confirm Purchase Order,Role 2,2011-07-19 14:04:10,2011-07-19 14:16:27
Case005,Deliver Goods Services,Role 2,2011-07-19 22:20:37,2011-07-19 22:32:07
Case005,Release Purchase Order,Role 1,2011-07-20 06:27:41,2011-07-20 06:39:08
Case005,Approve Purchase Order for payment,Role 3,2011-07-20 14:08:21,2011-07-20 14:20:19
Case005,Send Invoice,Role 2,2011-07-20 21:24:08,2011-07-20 21:36:07
Case005,Release Supplier's Invoice,Role 5,2011-07-21 04:22:11,2011-07-21 04:37:38
Case005,Authorize Supplier's Invoice payment,Role 5,2011-07-21 11:49:18,2011-07-21 12:04:22
Case005,Pay Invoice,Role 5,2011-07-21 19:33:28,2011-07-21 19:47:00
