caseid,task,role,start_timestamp,end_timestamp
Case000,start,start,2021-01-20 13:18:25.914,2021-01-20 13:18:25.914
Case000,A,Role 5,2021-01-20 13:20:11.914,2021-01-20 13:22:17.914
Case000,B,Role 5,2021-01-20 13:40:37.914,2021-01-20 13:46:49.914
Case000,G,Role 5,2021-01-20 13:59:15.914,2021-01-20 14:00:05.914
Case000,F,Role 5,2021-01-20 14:00:17.914,2021-01-20 14:00:17.914
Case000,D,Role 5,2021-01-20 14:00:23.914,2021-01-20 14:03:55.914
Case000,H,Role 5,2021-01-20 14:04:05.914,2021-01-20 14:08:15.914
Case000,C,Role 5,2021-01-20 14:08:24.914,2021-01-20 14:10:03.914
Case000,E,Role 5,2021-01-20 14:10:17.914,2021-01-20 14:11:50.914
Case000,I,Role 5,2021-01-20 15:04:06.914,2021-01-20 15:04:06.914
Case000,J,Role 5,2021-01-20 15:13:36.914,2021-01-20 15:14:49.914
Case000,K,Role 5,2021-01-20 15:28:50.914,2021-01-20 15:28:50.914
Case000,L,Role 5,2021-01-20 15:31:08.914,2021-01-20 15:32:00.914
Case000,O,Role 4,2021-01-20 15:32:02.914,2021-01-20 15:34:01.914
Case000,Y,Role 4,2021-01-20 15:34:08.914,2021-01-20 15:55:00.914
Case000,Z,Role 4,2021-01-20 15:55:00.914,2021-01-20 16:25:37.914
Case000,R,Role 2,2021-01-20 16:25:37.914,2021-01-20 16:46:55.914
Case000,S,Role 2,2021-01-20 16:46:55.914,2021-01-20 16:57:26.914
Case000,T,Role 2,2021-01-20 16:57:45.914,2021-01-20 16:59:52.914
Case000,end,Role 5,2021-01-20 17:00:32.914,2021-01-20 17:00:32.914
Case001,start,start,2021-01-20 17:00:32.914,2021-01-20 17:00:32.914
Case001,A,Role 5,2021-01-20 17:03:04.914,2021-01-20 17:05:19.914
Case001,B,Role 5,2021-01-20 17:30:53.914,2021-01-20 17:38:32.914
Case001,G,Role 5,2021-01-20 17:59:29.914,2021-01-20 18:00:31.914
Case001,F,Role 5,2021-01-20 18:00:44.914,2021-01-20 18:00:44.914
Case001,D,Role 5,2021-01-20 18:00:50.914,2021-01-20 18:04:36.914
Case001,H,Role 5,2021-01-20 18:04:46.914,2021-01-20 18:08:53.914
Case001,C,Role 5,2021-01-20 18:09:01.914,2021-01-20 18:10:40.914
Case001,E,Role 5,2021-01-20 18:10:53.914,2021-01-20 18:12:31.914
Case001,I,Role 5,2021-01-20 19:07:19.914,2021-01-20 19:07:19.914
Case001,J,Role 5,2021-01-20 19:18:50.914,2021-01-20 19:20:01.914
Case001,K,Role 5,2021-01-20 19:34:33.914,2021-01-20 19:34:33.914
Case001,N,Role 5,2021-01-20 19:36:41.914,2021-01-20 19:37:50.914
Case001,end,Role 4,2021-01-20 19:37:51.914,2021-01-20 19:39:54.914
Case002,start,start,2021-01-20 19:37:51.914,2021-01-20 19:37:51.914
Case002,A,Role 5,2021-01-20 19:41:15.914,2021-01-20 19:43:40.914
Case002,B,Role 5,2021-01-20 20:15:42.914,2021-01-20 20:24:33.914
Case002,G,Role 5,2021-01-20 20:55:03.914,2021-01-20 20:56:19.914
Case002,F,Role 5,2021-01-20 20:56:32.914,2021-01-20 20:56:32.914
Case002,D,Role 5,2021-01-20 20:56:37.914,2021-01-20 21:00:32.914
Case002,H,Role 5,2021-01-20 21:00:42.914,2021-01-20 21:04:45.914
Case002,C,Role 5,2021-01-20 21:04:53.914,2021-01-20 21:06:32.914
Case002,E,Role 5,2021-01-20 21:06:44.914,2021-01-20 21:08:25.914
