loss,sim_metric,n_size,l_size,lstm_act,dense_act,model_type,norm_method,scale_args,optim,output
3.294203281402588,val_loss,5,50,selu,linear,shared_cat_cx,max,"{'dur': {'max_value': 220595.218}, 'wait': {'max_value': 405534.85}}",Nadam,output_files/20210208_215EA975_AB61_4418_9ED7_E414252D9ADB/20210208_8A538426_95B1_4CC9_B528_E90B3FAF5984
3.003690004348755,val_loss,5,100,tanh,linear,concatenated_cx,lognorm,"{'dur': {'max_value': 12.304089241502265, 'min_value': 0.0}, 'wait': {'max_value': 12.912964558000873, 'min_value': 0.0}}",Nadam,output_files/20210208_215EA975_AB61_4418_9ED7_E414252D9ADB/20210208_886EB3B8_6BCA_411F_951B_A4665CF4B8F2
2.1766765117645264,val_loss,5,50,tanh,linear,concatenated_cx,max,"{'dur': {'max_value': 220595.218}, 'wait': {'max_value': 405534.85}}",Nadam,output_files/20210208_215EA975_AB61_4418_9ED7_E414252D9ADB/20210208_8326BEA5_BAB1_4F50_A69B_9A9EFC14FD2C
1.9308910369873047,val_loss,5,50,tanh,linear,concatenated_cx,lognorm,"{'dur': {'max_value': 12.304089241502265, 'min_value': 0.0}, 'wait': {'max_value': 12.912964558000873, 'min_value': 0.0}}",Nadam,output_files/20210208_215EA975_AB61_4418_9ED7_E414252D9ADB/20210208_D7B11A8A_8531_497C_8778_AC06906FEF95
3.394989490509033,val_loss,5,50,tanh,linear,shared_cat_cx,max,"{'dur': {'max_value': 220595.218}, 'wait': {'max_value': 405534.85}}",Nadam,output_files/20210208_215EA975_AB61_4418_9ED7_E414252D9ADB/20210208_3A44B660_0E1D_4E89_8050_C88C9EB13C81
1.5222395658493042,val_loss,5,50,selu,linear,concatenated_cx,lognorm,"{'dur': {'max_value': 12.304089241502265, 'min_value': 0.0}, 'wait': {'max_value': 12.912964558000873, 'min_value': 0.0}}",Nadam,output_files/20210208_215EA975_AB61_4418_9ED7_E414252D9ADB/20210208_6FD1DB05_9C63_4B89_86B1_39F11C1F7FFD
3.471205711364746,val_loss,10,50,selu,linear,shared_cat_cx,max,"{'dur': {'max_value': 220595.218}, 'wait': {'max_value': 405534.85}}",Nadam,output_files/20210208_215EA975_AB61_4418_9ED7_E414252D9ADB/20210208_299F760C_D5C9_44E1_9195_1A91B30B56EF
4.7025957107543945,val_loss,5,100,selu,linear,shared_cat_cx,max,"{'dur': {'max_value': 220595.218}, 'wait': {'max_value': 405534.85}}",Nadam,output_files/20210208_215EA975_AB61_4418_9ED7_E414252D9ADB/20210208_8D59F8EC_1120_476E_8D0F_F5C1621EE6E2
4.770198345184326,val_loss,5,100,tanh,linear,shared_cat_cx,lognorm,"{'dur': {'max_value': 12.304089241502265, 'min_value': 0.0}, 'wait': {'max_value': 12.912964558000873, 'min_value': 0.0}}",Nadam,output_files/20210208_215EA975_AB61_4418_9ED7_E414252D9ADB/20210208_4D529145_D298_4950_92C8_22CB14E937B4
2.5543594360351562,val_loss,5,100,selu,linear,concatenated_cx,max,"{'dur': {'max_value': 220595.218}, 'wait': {'max_value': 405534.85}}",Nadam,output_files/20210208_215EA975_AB61_4418_9ED7_E414252D9ADB/20210208_6AEB9CFD_6455_4E50_8D8D_4E079C882750
