caseid,task,role,start_timestamp,end_timestamp
Case0000,start,start,2019-05-14 09:32:45.254000,2019-05-14 09:32:45.254000
Case0000,Prescription received,Role 2,2019-05-14 09:32:45.254000,2019-05-14 09:32:45.254000
Case0000,Process drop-off,Role 1,2019-05-15 06:14:42.635817,2019-05-15 06:16:12.683490
Case0000,Enter prescription details,Role 1,2019-05-16 03:11:08.854847,2019-05-16 03:13:39.291987
Case0000,Check DUR,Role 3,2019-05-16 03:13:39.393467,2019-05-16 03:13:39.422662
Case0000,Check if refill is allowed,Role 3,2019-05-16 03:13:39.518568,2019-05-16 03:13:39.530553
Case0000,Resolve DUR manually,Role 4,2019-05-16 03:13:39.745622,2019-05-16 03:13:39.812503
Case0000,Check Insurance,Role 3,2019-05-16 03:13:40.032996,2019-05-16 03:13:40.079003
Case0000,Pack the drugs (Production),Role 1,2019-05-17 07:34:18.829167,2019-05-17 07:37:29.937313
Case0000,Check for Quality Assurance,Role 4,2019-05-17 07:37:30.114699,2019-05-17 07:38:37.637656
Case0000,Pick-up,Role 1,2019-05-20 10:20:04.627171,2019-05-20 10:22:51.593327
Case0000,Prescription fulfilled,Role 2,2019-05-20 10:22:51.709320,2019-05-20 10:22:51.762200
Case0000,end,end,2019-05-20 10:22:51.883119,2019-05-20 10:22:51.928168
Case0001,start,start,2019-05-20 10:22:51.883119,2019-05-20 10:22:51.883119
Case0001,Prescription received,Role 2,2019-05-20 10:22:51.892105,2019-05-20 10:22:51.892105
Case0001,Process drop-off,Role 1,2019-05-21 07:30:15.240358,2019-05-21 07:31:45.764259
Case0001,Enter prescription details,Role 1,2019-05-22 03:39:35.951679,2019-05-22 03:42:06.090249
Case0001,Check if refill is allowed,Role 3,2019-05-22 03:42:06.197769,2019-05-22 03:42:06.226641
Case0001,Check Insurance,Role 3,2019-05-22 03:42:06.336087,2019-05-22 03:42:06.352799
Case0001,Check Insurance,Role 4,2019-05-22 03:42:06.580202,2019-05-22 03:42:06.662800
Case0001,Check Insurance,Role 3,2019-05-22 04:36:38.790796,2019-05-22 04:37:17.041232
Case0001,Pack the drugs (Production),Role 4,2019-05-22 04:40:16.412626,2019-05-22 04:44:43.934572
Case0001,Check for Quality Assurance,Role 4,2019-05-22 04:44:44.220678,2019-05-22 04:45:39.902723
Case0001,Pick-up,Role 1,2019-05-22 15:37:57.111452,2019-05-22 15:40:43.477732
Case0001,Prescription fulfilled,Role 2,2019-05-22 15:40:43.605595,2019-05-22 15:40:43.657151
Case0001,end,end,2019-05-22 15:40:43.783453,2019-05-22 15:40:43.829488
Case0002,start,start,2019-05-22 15:40:43.783453,2019-05-22 15:40:43.783453
Case0002,Prescription received,Role 2,2019-05-22 15:40:43.797955,2019-05-22 15:40:43.797955
Case0002,Process drop-off,Role 1,2019-05-23 13:29:17.313144,2019-05-23 13:30:48.153399
Case0002,Enter prescription details,Role 1,2019-05-24 15:18:25.505309,2019-05-24 15:20:56.746381
Case0002,Check Insurance,Role 3,2019-05-24 15:20:56.877901,2019-05-24 15:20:56.902648
Case0002,Check if refill is allowed,Role 3,2019-05-24 15:20:57.003861,2019-05-24 15:20:57.018250
Case0002,Check if refill is allowed,Role 3,2019-05-24 15:20:57.230614,2019-05-24 15:20:57.298605
Case0002,Pack the drugs (Production),Role 1,2019-05-28 06:35:12.190452,2019-05-28 06:38:29.358194
Case0002,Check for Quality Assurance,Role 2,2019-05-28 06:38:29.523116,2019-05-28 06:39:33.013659
Case0002,Pick-up,Role 1,2019-05-29 20:40:58.482678,2019-05-29 20:43:43.885629
Case0002,Prescription fulfilled,Role 2,2019-05-29 20:43:44.007974,2019-05-29 20:43:44.065686
Case0002,end,end,2019-05-29 20:43:44.192097,2019-05-29 20:43:44.239884
Case0003,start,start,2019-05-29 20:43:44.192097,2019-05-29 20:43:44.192097
Case0003,Prescription received,Role 2,2019-05-29 20:43:44.210693,2019-05-29 20:43:44.210693
Case0003,Process drop-off,Role 1,2019-05-30 19:13:28.806210,2019-05-30 19:14:59.828939
Case0003,Enter prescription details,Role 1,2019-05-31 23:01:43.513701,2019-05-31 23:04:14.740036
Case0003,Check DUR,Role 3,2019-05-31 23:04:14.873393,2019-05-31 23:04:14.896038
