caseid,task,start:timestamp,time:timestamp,role,st_wip,st_tsk_wip,queue
1,W_Afhandelen leads,2012-02-13 20:45:55,2012-02-13 20:48:46,Role 1,290,1.517955278238281,0
2,W_Beoordelen fraude,2012-02-13 21:03:36,2012-02-13 21:06:23,Role 6,290,1.001501168300547,0
3,W_Completeren aanvraag,2012-02-13 21:08:14,2012-02-13 21:11:02,Role 1,291,2.0151291657420343,0
4,W_Completeren aanvraag,2012-02-13 21:09:58,2012-02-13 21:12:44,Role 1,292,3.0151291657420343,0
5,W_Afhandelen leads,2012-02-13 21:23:46,2012-02-13 21:26:36,Role 1,293,1.517955278238281,0
6,W_Beoordelen fraude,2012-02-13 21:33:12,2012-02-13 21:35:59,Role 6,293,1.001501168300547,0
2,W_Afhandelen leads,2012-02-13 21:40:53,2012-02-13 21:43:14,Role 1,290,1.517955278238281,0
7,W_Afhandelen leads,2012-02-13 21:51:58,2012-02-13 21:54:48,Role 1,294,1.517955278238281,0
8,W_Completeren aanvraag,2012-02-13 22:08:16,2012-02-13 22:11:03,Role 1,294,2.0151291657420343,0
6,W_Afhandelen leads,2012-02-13 22:10:29,2012-02-13 22:12:49,Role 1,293,1.517955278238281,0
9,W_Completeren aanvraag,2012-02-13 22:15:51,2012-02-13 22:18:38,Role 1,294,2.0151291657420343,0
2,W_Completeren aanvraag,2012-02-13 22:24:42,2012-02-13 22:27:00,Role 1,293,2.0151291657420343,0
10,W_Afhandelen leads,2012-02-13 22:34:02,2012-02-13 22:36:52,Role 1,295,1.517955278238281,0
11,W_Afhandelen leads,2012-02-13 22:40:29,2012-02-13 22:43:19,Role 1,295,1.517955278238281,0
3,W_Completeren aanvraag,2012-02-13 22:49:22,2012-02-13 22:51:53,Role 1,292,2.0151291657420343,0
4,W_Completeren aanvraag,2012-02-13 23:07:18,2012-02-13 23:09:47,Role 1,292,2.0151291657420343,0
12,W_Beoordelen fraude,2012-02-13 23:08:27,2012-02-13 23:11:14,Role 6,296,1.001501168300547,0
13,W_Completeren aanvraag,2012-02-13 23:30:56,2012-02-13 23:33:43,Role 1,297,2.0151291657420343,0
12,W_Afhandelen leads,2012-02-13 23:45:43,2012-02-13 23:48:02,Role 1,296,1.517955278238281,0
8,W_Completeren aanvraag,2012-02-13 23:49:35,2012-02-13 23:52:05,Role 1,294,2.0151291657420343,0
11,W_Completeren aanvraag,2012-02-14 00:12:24,2012-02-14 00:14:58,Role 1,295,2.0151291657420343,0
9,W_Completeren aanvraag,2012-02-14 00:12:34,2012-02-14 00:15:07,Role 1,294,3.0151291657420343,0
2,W_Nabellen offertes,2012-02-14 00:18:49,2012-02-14 00:21:05,Role 1,294,1.4965995274583261,0
14,W_Afhandelen leads,2012-02-14 00:21:13,2012-02-14 00:24:04,Role 1,298,1.517955278238281,0
15,W_Afhandelen leads,2012-02-14 00:24:34,2012-02-14 00:27:25,Role 1,299,1.517955278238281,0
12,W_Completeren aanvraag,2012-02-14 00:29:30,2012-02-14 00:31:54,Role 1,297,2.0151291657420343,0
16,W_Beoordelen fraude,2012-02-14 00:48:08,2012-02-14 00:50:54,Role 6,300,1.001501168300547,0
3,W_Completeren aanvraag,2012-02-14 01:03:03,2012-02-14 01:05:27,Role 1,295,2.0151291657420343,0
17,W_Completeren aanvraag,2012-02-14 01:21:25,2012-02-14 01:24:14,Role 1,301,2.0151291657420343,0
16,W_Afhandelen leads,2012-02-14 01:25:36,2012-02-14 01:28:06,Role 1,300,1.517955278238281,0
2,W_Valideren aanvraag,2012-02-14 01:37:21,2012-02-14 01:42:10,Role 2,297,2.288837834662629,0
14,W_Completeren aanvraag,2012-02-14 01:45:03,2012-02-14 01:47:40,Role 1,298,2.0151291657420343,0
15,W_Completeren aanvraag,2012-02-14 01:48:30,2012-02-14 01:51:07,Role 1,299,2.0151291657420343,0
18,W_Completeren aanvraag,2012-02-14 01:55:48,2012-02-14 01:58:37,Role 1,300,2.0151291657420343,0
8,W_Completeren aanvraag,2012-02-14 02:03:45,2012-02-14 02:06:08,Role 1,297,2.0151291657420343,0
12,W_Nabellen offertes,2012-02-14 02:09:53,2012-02-14 02:12:10,Role 1,299,1.4965995274583261,0
19,W_Afhandelen leads,2012-02-14 02:48:04,2012-02-14 02:50:55,Role 1,301,1.517955278238281,0
20,W_Beoordelen fraude,2012-02-14 03:02:54,2012-02-14 03:05:40,Role 6,301,1.001501168300547,0
21,W_Afhandelen leads,2012-02-14 03:11:45,2012-02-14 03:14:36,Role 1,302,1.517955278238281,0
20,W_Afhandelen leads,2012-02-14 03:40:21,2012-02-14 03:42:50,Role 1,301,1.517955278238281,0
12,W_Valideren aanvraag,2012-02-14 03:38:20,2012-02-14 03:43:05,Role 2,300,2.288837834662629,0
22,W_Beoordelen fraude,2012-02-14 03:42:07,2012-02-14 03:44:53,Role 6,302,1.001501168300547,0
22,W_Afhandelen leads,2012-02-14 04:19:34,2012-02-14 04:22:02,Role 1,301,1.517955278238281,0
23,W_Afhandelen leads,2012-02-14 04:22:46,2012-02-14 04:25:36,Role 1,301,1.517955278238281,0
20,W_Completeren aanvraag,2012-02-14 04:24:15,2012-02-14 04:26:44,Role 1,302,2.0151291657420343,0
24,W_Completeren aanvraag,2012-02-14 04:33:00,2012-02-14 04:35:48,Role 1,302,2.0151291657420343,0
25,W_Afhandelen leads,2012-02-14 05:04:11,2012-02-14 05:07:01,Role 1,303,1.517955278238281,0
26,W_Completeren aanvraag,2012-02-14 05:20:19,2012-02-14 05:23:07,Role 1,303,2.0151291657420343,0
20,W_Completeren aanvraag,2012-02-14 05:29:57,2012-02-14 05:32:21,Role 1,301,2.0151291657420343,0
27,W_Beoordelen fraude,2012-02-14 05:30:24,2012-02-14 05:33:10,Role 6,304,1.001501168300547,0
28,W_Afhandelen leads,2012-02-14 05:30:49,2012-02-14 05:33:39,Role 1,305,1.517955278238281,0
23,W_Completeren aanvraag,2012-02-14 05:45:02,2012-02-14 05:47:36,Role 1,301,2.0151291657420343,0
29,W_Afhandelen leads,2012-02-14 05:51:17,2012-02-14 05:54:07,Role 1,306,1.517955278238281,0
27,W_Afhandelen leads,2012-02-14 06:07:40,2012-02-14 06:10:07,Role 1,305,1.517955278238281,0
30,W_Beoordelen fraude,2012-02-14 06:18:19,2012-02-14 06:21:05,Role 6,306,1.001501168300547,0
31,W_Afhandelen leads,2012-02-14 06:20:14,2012-02-14 06:23:04,Role 1,307,1.517955278238281,0
32,W_Afhandelen leads,2012-02-14 06:22:03,2012-02-14 06:24:51,Role 1,308,2.517955278238281,0
20,W_Completeren aanvraag,2012-02-14 06:37:46,2012-02-14 06:40:03,Role 1,305,2.0151291657420343,0
28,W_Completeren aanvraag,2012-02-14 06:55:00,2012-02-14 06:57:33,Role 1,305,2.0151291657420343,0
30,W_Afhandelen leads,2012-02-14 06:55:34,2012-02-14 06:58:01,Role 1,307,1.517955278238281,0
17,W_Completeren aanvraag,2012-02-14 07:02:24,2012-02-14 07:04:58,Role 1,301,2.0151291657420343,0
29,W_Completeren aanvraag,2012-02-14 07:15:50,2012-02-14 07:18:23,Role 1,306,2.0151291657420343,0
33,W_Beoordelen fraude,2012-02-14 07:34:37,2012-02-14 07:37:23,Role 6,307,1.001501168300547,0
18,W_Completeren aanvraag,2012-02-14 07:35:49,2012-02-14 07:38:23,Role 1,300,2.0151291657420343,0
30,W_Completeren aanvraag,2012-02-14 07:39:25,2012-02-14 07:41:51,Role 1,306,2.0151291657420343,0
34,W_Beoordelen fraude,2012-02-14 08:09:28,2012-02-14 08:12:14,Role 6,308,1.001501168300547,0
35,W_Afhandelen leads,2012-02-14 08:10:58,2012-02-14 08:13:47,Role 1,309,1.517955278238281,0
33,W_Afhandelen leads,2012-02-14 08:11:52,2012-02-14 08:14:19,Role 1,307,2.517955278238281,0
20,W_Nabellen offertes,2012-02-14 08:22:28,2012-02-14 08:24:36,Role 1,306,1.4965995274583261,0
34,W_Afhandelen leads,2012-02-14 08:46:34,2012-02-14 08:48:59,Role 1,309,1.517955278238281,0
36,W_Afhandelen leads,2012-02-14 08:47:17,2012-02-14 08:50:05,Role 1,309,2.517955278238281,0
37,W_Completeren aanvraag,2012-02-14 08:51:34,2012-02-14 08:54:21,Role 1,309,2.0151291657420343,0
30,W_Nabellen offertes,2012-02-14 09:05:56,2012-02-14 09:08:13,Role 1,307,1.4965995274583261,0
38,W_Beoordelen fraude,2012-02-14 09:05:43,2012-02-14 09:08:29,Role 6,310,1.001501168300547,0
28,W_Completeren aanvraag,2012-02-14 09:06:23,2012-02-14 09:08:45,Role 1,306,2.0151291657420343,0
39,W_Afhandelen leads,2012-02-14 09:09:43,2012-02-14 09:12:32,Role 1,311,1.517955278238281,0
34,W_Completeren aanvraag,2012-02-14 09:30:23,2012-02-14 09:32:47,Role 1,309,2.0151291657420343,0
35,W_Completeren aanvraag,2012-02-14 09:33:56,2012-02-14 09:36:28,Role 1,309,2.0151291657420343,0
40,W_Completeren aanvraag,2012-02-14 09:38:30,2012-02-14 09:41:17,Role 1,312,2.0151291657420343,0
38,W_Afhandelen leads,2012-02-14 09:42:58,2012-02-14 09:45:22,Role 1,310,1.517955278238281,0
41,W_Beoordelen fraude,2012-02-14 09:47:01,2012-02-14 09:49:47,Role 6,312,1.001501168300547,0
29,W_Completeren aanvraag,2012-02-14 09:47:43,2012-02-14 09:50:06,Role 1,306,2.0151291657420343,0
42,W_Afhandelen leads,2012-02-14 09:54:02,2012-02-14 09:56:51,Role 1,313,1.517955278238281,0
43,W_Afhandelen leads,2012-02-14 09:55:38,2012-02-14 09:58:26,Role 1,314,2.517955278238281,0
44,W_Afhandelen leads,2012-02-14 10:09:40,2012-02-14 10:12:29,Role 1,313,1.517955278238281,0
45,W_Beoordelen fraude,2012-02-14 10:15:44,2012-02-14 10:18:30,Role 6,314,1.001501168300547,0
46,W_Beoordelen fraude,2012-02-14 10:18:30,2012-02-14 10:21:16,Role 6,315,1.001501168300547,0
41,W_Afhandelen leads,2012-02-14 10:24:16,2012-02-14 10:26:40,Role 1,312,1.517955278238281,0
39,W_Completeren aanvraag,2012-02-14 10:34:43,2012-02-14 10:37:14,Role 1,311,2.0151291657420343,0
34,W_Completeren aanvraag,2012-02-14 10:34:59,2012-02-14 10:37:19,Role 1,311,3.0151291657420343,0
47,W_Afhandelen leads,2012-02-14 10:35:19,2012-02-14 10:38:08,Role 1,316,1.517955278238281,0
48,W_Afhandelen leads,2012-02-14 10:37:24,2012-02-14 10:40:11,Role 1,317,2.517955278238281,0
30,W_Valideren aanvraag,2012-02-14 10:47:50,2012-02-14 10:52:19,Role 2,310,2.288837834662629,0
45,W_Afhandelen leads,2012-02-14 10:53:09,2012-02-14 10:55:32,Role 1,315,1.517955278238281,0
49,W_Afhandelen leads,2012-02-14 10:56:26,2012-02-14 10:59:15,Role 1,317,1.517955278238281,0
46,W_Afhandelen leads,2012-02-14 10:57:47,2012-02-14 11:00:12,Role 1,315,2.517955278238281,0
26,W_Completeren aanvraag,2012-02-14 11:03:13,2012-02-14 11:05:44,Role 1,303,2.0151291657420343,0
