caseid,task,start:timestamp,time:timestamp,role,st_wip,st_tsk_wip,queue
1,W_Afhandelen leads,2012-02-13 20:46:31,2012-02-13 20:49:10,Role 1,290,1.517955278238281,0
2,W_Afhandelen leads,2012-02-13 20:48:28,2012-02-13 20:51:07,Role 1,291,2.517955278238281,0
3,W_Completeren aanvraag,2012-02-13 20:50:52,2012-02-13 20:53:29,Role 1,291,2.0151291657420343,0
4,W_Afhandelen leads,2012-02-13 20:53:52,2012-02-13 20:56:31,Role 1,292,1.517955278238281,0
3,W_Nabellen offertes,2012-02-13 21:04:19,2012-02-13 21:06:30,Role 1,291,1.4965995274583261,0
5,W_Completeren aanvraag,2012-02-13 21:21:05,2012-02-13 21:23:41,Role 1,293,2.0151291657420343,0
2,W_Completeren aanvraag,2012-02-13 21:35:43,2012-02-13 21:38:11,Role 1,291,2.0151291657420343,0
4,W_Completeren aanvraag,2012-02-13 21:41:24,2012-02-13 21:43:52,Role 1,292,2.0151291657420343,0
7,W_Beoordelen fraude,2012-02-13 21:51:18,2012-02-13 21:52:15,Role 3,295,1.001501168300547,0
6,W_Completeren aanvraag,2012-02-13 21:50:57,2012-02-13 21:53:32,Role 1,294,2.0151291657420343,0
4,W_Nabellen offertes,2012-02-13 21:59:38,2012-02-13 22:01:37,Role 1,293,1.4965995274583261,0
5,W_Completeren aanvraag,2012-02-13 22:09:01,2012-02-13 22:11:29,Role 1,293,2.0151291657420343,0
2,W_Completeren aanvraag,2012-02-13 22:25:13,2012-02-13 22:27:33,Role 1,293,2.0151291657420343,0
8,W_Beoordelen fraude,2012-02-13 22:27:08,2012-02-13 22:28:00,Role 3,296,1.001501168300547,0
7,W_Afhandelen leads,2012-02-13 22:34:10,2012-02-13 22:36:41,Role 1,295,1.517955278238281,0
5,W_Nabellen offertes,2012-02-13 22:39:21,2012-02-13 22:41:17,Role 1,295,1.4965995274583261,0
6,W_Completeren aanvraag,2012-02-13 22:39:23,2012-02-13 22:41:51,Role 1,295,2.0151291657420343,0
9,W_Beoordelen fraude,2012-02-13 23:08:17,2012-02-13 23:09:03,Role 3,296,1.001501168300547,0
8,W_Afhandelen leads,2012-02-13 23:10:16,2012-02-13 23:12:47,Role 1,296,1.517955278238281,0
2,W_Nabellen offertes,2012-02-13 23:22:25,2012-02-13 23:24:08,Role 1,296,1.4965995274583261,0
6,W_Completeren aanvraag,2012-02-13 23:32:42,2012-02-13 23:35:00,Role 1,295,2.0151291657420343,0
10,W_Beoordelen fraude,2012-02-13 23:37:01,2012-02-13 23:37:43,Role 3,297,1.001501168300547,0
11,W_Beoordelen fraude,2012-02-13 23:50:56,2012-02-13 23:51:35,Role 3,298,1.001501168300547,0
9,W_Afhandelen leads,2012-02-13 23:51:33,2012-02-13 23:54:04,Role 1,296,1.517955278238281,0
12,W_Completeren aanvraag,2012-02-13 23:52:14,2012-02-13 23:54:47,Role 1,299,2.0151291657420343,0
8,W_Completeren aanvraag,2012-02-14 00:00:59,2012-02-14 00:03:32,Role 1,296,2.0151291657420343,0
13,W_Beoordelen fraude,2012-02-14 00:08:36,2012-02-14 00:11:09,Role 3,299,1.001501168300547,0
14,W_Completeren aanvraag,2012-02-14 00:11:30,2012-02-14 00:14:16,Role 1,300,2.0151291657420343,0
10,W_Afhandelen leads,2012-02-14 00:20:32,2012-02-14 00:23:11,Role 1,297,1.517955278238281,0
15,W_Completeren aanvraag,2012-02-14 00:21:55,2012-02-14 00:24:41,Role 1,301,2.0151291657420343,0
11,W_Afhandelen leads,2012-02-14 00:34:29,2012-02-14 00:37:08,Role 1,298,1.517955278238281,0
13,W_Afhandelen leads,2012-02-14 00:39:27,2012-02-14 00:42:08,Role 1,299,1.517955278238281,0
8,W_Completeren aanvraag,2012-02-14 00:42:34,2012-02-14 00:45:00,Role 1,298,2.0151291657420343,0
12,W_Completeren aanvraag,2012-02-14 00:43:27,2012-02-14 00:46:07,Role 1,298,3.0151291657420343,0
14,W_Completeren aanvraag,2012-02-14 00:47:10,2012-02-14 00:49:51,Role 1,300,2.0151291657420343,0
15,W_Completeren aanvraag,2012-02-14 00:57:43,2012-02-14 01:00:24,Role 1,301,2.0151291657420343,0
10,W_Completeren aanvraag,2012-02-14 01:01:15,2012-02-14 01:03:48,Role 1,301,2.0151291657420343,0
8,W_Completeren aanvraag,2012-02-14 01:42:35,2012-02-14 01:44:53,Role 1,299,2.0151291657420343,0
15,W_Completeren aanvraag,2012-02-14 01:47:59,2012-02-14 01:50:35,Role 1,299,2.0151291657420343,0
6,W_Nabellen offertes,2012-02-14 02:19:51,2012-02-14 02:22:29,Role 1,296,1.4965995274583261,0
16,W_Completeren aanvraag,2012-02-14 03:03:52,2012-02-14 03:06:37,Role 1,300,2.0151291657420343,0
17,W_Beoordelen fraude,2012-02-14 03:20:24,2012-02-14 03:22:50,Role 3,301,1.001501168300547,0
18,W_Beoordelen fraude,2012-02-14 03:29:18,2012-02-14 03:31:43,Role 3,302,1.001501168300547,0
15,W_Completeren aanvraag,2012-02-14 03:42:24,2012-02-14 03:44:55,Role 1,299,2.0151291657420343,0
17,W_Afhandelen leads,2012-02-14 03:51:37,2012-02-14 03:54:17,Role 1,301,1.517955278238281,0
18,W_Afhandelen leads,2012-02-14 04:00:37,2012-02-14 04:03:17,Role 1,302,1.517955278238281,0
19,W_Completeren aanvraag,2012-02-14 04:29:12,2012-02-14 04:31:57,Role 1,301,2.0151291657420343,0
20,W_Beoordelen fraude,2012-02-14 04:34:00,2012-02-14 04:36:23,Role 3,302,1.001501168300547,0
21,W_Beoordelen fraude,2012-02-14 04:38:39,2012-02-14 04:41:02,Role 3,303,1.001501168300547,0
