caseid,task,start:timestamp,time:timestamp,role,st_wip,st_tsk_wip,queue
1,W_Beoordelen fraude,2012-02-13 20:40:12,2012-02-13 20:42:59,Role 6,290,1.001501168300547,0
2,W_Completeren aanvraag,2012-02-13 20:49:18,2012-02-13 20:52:06,Role 1,291,2.0151291657420343,0
3,W_Afhandelen leads,2012-02-13 21:16:21,2012-02-13 21:19:11,Role 1,292,1.517955278238281,0
1,W_Afhandelen leads,2012-02-13 21:17:29,2012-02-13 21:19:52,Role 1,290,2.517955278238281,0
4,W_Completeren aanvraag,2012-02-13 21:26:52,2012-02-13 21:29:40,Role 1,292,2.0151291657420343,0
5,W_Afhandelen leads,2012-02-13 21:34:48,2012-02-13 21:37:38,Role 1,293,1.517955278238281,0
6,W_Completeren aanvraag,2012-02-13 21:41:23,2012-02-13 21:44:10,Role 1,294,2.0151291657420343,0
7,W_Beoordelen fraude,2012-02-13 21:41:30,2012-02-13 21:44:17,Role 6,295,1.001501168300547,0
8,W_Beoordelen fraude,2012-02-13 21:45:05,2012-02-13 21:47:52,Role 6,296,1.001501168300547,0
9,W_Completeren aanvraag,2012-02-13 21:55:16,2012-02-13 21:58:03,Role 1,297,2.0151291657420343,0
1,W_Completeren aanvraag,2012-02-13 22:01:20,2012-02-13 22:03:38,Role 1,291,2.0151291657420343,0
10,W_Completeren aanvraag,2012-02-13 22:08:37,2012-02-13 22:11:24,Role 1,298,2.0151291657420343,0
7,W_Afhandelen leads,2012-02-13 22:18:46,2012-02-13 22:21:06,Role 1,295,1.517955278238281,0
8,W_Afhandelen leads,2012-02-13 22:22:21,2012-02-13 22:24:41,Role 1,296,1.517955278238281,0
11,W_Beoordelen fraude,2012-02-13 22:33:02,2012-02-13 22:35:49,Role 6,299,1.001501168300547,0
2,W_Completeren aanvraag,2012-02-13 22:45:33,2012-02-13 22:48:04,Role 1,291,2.0151291657420343,0
12,W_Beoordelen fraude,2012-02-13 22:50:43,2012-02-13 22:53:30,Role 6,300,1.001501168300547,0
13,W_Completeren aanvraag,2012-02-13 22:51:49,2012-02-13 22:54:36,Role 1,301,2.0151291657420343,0
14,W_Completeren aanvraag,2012-02-13 22:53:33,2012-02-13 22:56:19,Role 1,302,3.0151291657420343,0
7,W_Completeren aanvraag,2012-02-13 23:02:34,2012-02-13 23:04:51,Role 1,298,2.0151291657420343,0
8,W_Completeren aanvraag,2012-02-13 23:06:09,2012-02-13 23:08:26,Role 1,298,2.0151291657420343,0
5,W_Completeren aanvraag,2012-02-13 23:06:39,2012-02-13 23:09:10,Role 1,293,3.0151291657420343,0
11,W_Afhandelen leads,2012-02-13 23:10:18,2012-02-13 23:12:37,Role 1,299,1.517955278238281,0
15,W_Completeren aanvraag,2012-02-13 23:11:30,2012-02-13 23:14:17,Role 1,303,2.0151291657420343,0
1,W_Completeren aanvraag,2012-02-13 23:25:13,2012-02-13 23:27:26,Role 1,297,2.0151291657420343,0
12,W_Afhandelen leads,2012-02-13 23:27:59,2012-02-13 23:30:18,Role 1,301,1.517955278238281,0
9,W_Completeren aanvraag,2012-02-13 23:52:28,2012-02-13 23:54:58,Role 1,297,2.0151291657420343,0
10,W_Completeren aanvraag,2012-02-14 00:05:59,2012-02-14 00:08:33,Role 1,298,2.0151291657420343,0
12,W_Completeren aanvraag,2012-02-14 00:11:46,2012-02-14 00:14:10,Role 1,302,2.0151291657420343,0
8,W_Nabellen offertes,2012-02-14 00:45:24,2012-02-14 00:47:39,Role 1,302,1.4965995274583261,0
