caseid,task,start:timestamp,time:timestamp,role,st_wip,st_tsk_wip,queue
1,W_Completeren aanvraag,2012-02-13 20:41:36,2012-02-13 20:44:13,Role 1,290,2.0151291657420343,0
2,W_Completeren aanvraag,2012-02-13 20:45:41,2012-02-13 20:48:18,Role 1,291,2.0151291657420343,0
3,W_Afhandelen leads,2012-02-13 21:16:22,2012-02-13 21:19:01,Role 1,292,1.517955278238281,0
1,W_Completeren aanvraag,2012-02-13 21:27:54,2012-02-13 21:30:23,Role 1,290,2.0151291657420343,0
2,W_Completeren aanvraag,2012-02-13 21:32:15,2012-02-13 21:34:44,Role 1,291,2.0151291657420343,0
1,W_Nabellen offertes,2012-02-13 21:47:06,2012-02-13 21:49:06,Role 1,291,1.4965995274583261,0
2,W_Nabellen offertes,2012-02-13 21:52:16,2012-02-13 21:54:16,Role 1,291,1.4965995274583261,0
4,W_Afhandelen leads,2012-02-13 21:53:38,2012-02-13 21:56:17,Role 1,292,1.517955278238281,0
5,W_Afhandelen leads,2012-02-13 22:03:53,2012-02-13 22:06:32,Role 1,293,1.517955278238281,0
6,W_Afhandelen leads,2012-02-13 22:05:09,2012-02-13 22:07:48,Role 1,294,2.517955278238281,0
7,W_Beoordelen fraude,2012-02-13 22:31:57,2012-02-13 22:32:48,Role 3,295,1.001501168300547,0
4,W_Completeren aanvraag,2012-02-13 22:42:51,2012-02-13 22:45:18,Role 1,292,2.0151291657420343,0
5,W_Completeren aanvraag,2012-02-13 22:53:51,2012-02-13 22:56:18,Role 1,294,2.0151291657420343,0
6,W_Completeren aanvraag,2012-02-13 22:55:07,2012-02-13 22:57:34,Role 1,294,3.0151291657420343,0
7,W_Afhandelen leads,2012-02-13 23:14:58,2012-02-13 23:17:29,Role 1,295,1.517955278238281,0
8,W_Completeren aanvraag,2012-02-13 23:17:32,2012-02-13 23:20:06,Role 1,296,2.0151291657420343,0
5,W_Nabellen offertes,2012-02-13 23:23:09,2012-02-13 23:25:02,Role 1,295,1.4965995274583261,0
8,W_Nabellen offertes,2012-02-13 23:34:11,2012-02-13 23:36:12,Role 1,296,1.4965995274583261,0
4,W_Completeren aanvraag,2012-02-13 23:34:34,2012-02-13 23:36:52,Role 1,295,2.0151291657420343,0
6,W_Completeren aanvraag,2012-02-13 23:46:55,2012-02-13 23:49:12,Role 1,295,2.0151291657420343,0
7,W_Completeren aanvraag,2012-02-14 00:04:53,2012-02-14 00:07:26,Role 1,295,2.0151291657420343,0
4,W_Completeren aanvraag,2012-02-14 00:27:29,2012-02-14 00:29:56,Role 1,296,2.0151291657420343,0
9,W_Afhandelen leads,2012-02-14 00:37:18,2012-02-14 00:40:04,Role 1,297,1.517955278238281,0
10,W_Afhandelen leads,2012-02-14 00:57:52,2012-02-14 01:00:38,Role 1,298,1.517955278238281,0
11,W_Completeren aanvraag,2012-02-14 01:02:25,2012-02-14 01:05:11,Role 1,298,2.0151291657420343,0
9,W_Completeren aanvraag,2012-02-14 01:12:19,2012-02-14 01:14:59,Role 1,297,2.0151291657420343,0
12,W_Completeren aanvraag,2012-02-14 01:30:21,2012-02-14 01:33:07,Role 1,299,2.0151291657420343,0
6,W_Nabellen offertes,2012-02-14 01:52:14,2012-02-14 01:54:53,Role 1,296,1.4965995274583261,0
13,W_Beoordelen fraude,2012-02-14 01:54:23,2012-02-14 01:56:52,Role 3,300,1.001501168300547,0
12,W_Completeren aanvraag,2012-02-14 02:05:52,2012-02-14 02:08:32,Role 1,299,2.0151291657420343,0
13,W_Afhandelen leads,2012-02-14 02:25:27,2012-02-14 02:28:08,Role 1,300,1.517955278238281,0
14,W_Completeren aanvraag,2012-02-14 02:53:48,2012-02-14 02:56:33,Role 1,301,2.0151291657420343,0
12,W_Completeren aanvraag,2012-02-14 02:56:03,2012-02-14 02:58:39,Role 1,300,3.0151291657420343,0
13,W_Completeren aanvraag,2012-02-14 03:05:47,2012-02-14 03:08:22,Role 1,300,2.0151291657420343,0
15,W_Afhandelen leads,2012-02-14 03:55:40,2012-02-14 03:58:25,Role 1,302,1.517955278238281,0
16,W_Beoordelen fraude,2012-02-14 04:00:01,2012-02-14 04:02:25,Role 3,303,1.001501168300547,0
13,W_Completeren aanvraag,2012-02-14 04:18:43,2012-02-14 04:21:12,Role 1,301,2.0151291657420343,0
17,W_Afhandelen leads,2012-02-14 04:22:17,2012-02-14 04:25:02,Role 1,304,1.517955278238281,0
16,W_Afhandelen leads,2012-02-14 04:31:26,2012-02-14 04:34:06,Role 1,303,1.517955278238281,0
15,W_Completeren aanvraag,2012-02-14 04:31:47,2012-02-14 04:34:26,Role 1,302,2.0151291657420343,0
17,W_Completeren aanvraag,2012-02-14 04:58:40,2012-02-14 05:01:19,Role 1,304,2.0151291657420343,0
18,W_Beoordelen fraude,2012-02-14 05:03:45,2012-02-14 05:06:06,Role 3,304,1.001501168300547,0
19,W_Completeren aanvraag,2012-02-14 05:05:02,2012-02-14 05:07:47,Role 1,305,2.0151291657420343,0
15,W_Completeren aanvraag,2012-02-14 05:17:54,2012-02-14 05:20:28,Role 1,303,2.0151291657420343,0
18,W_Afhandelen leads,2012-02-14 05:35:19,2012-02-14 05:37:59,Role 1,305,1.517955278238281,0
19,W_Completeren aanvraag,2012-02-14 05:41:45,2012-02-14 05:44:24,Role 1,305,2.0151291657420343,0
19,W_Completeren aanvraag,2012-02-14 06:33:02,2012-02-14 06:35:35,Role 1,304,2.0151291657420343,0
20,W_Afhandelen leads,2012-02-14 06:49:59,2012-02-14 06:52:44,Role 1,305,1.517955278238281,0
11,W_Nabellen offertes,2012-02-14 07:31:39,2012-02-14 07:34:22,Role 1,298,1.4965995274583261,0
21,W_Beoordelen fraude,2012-02-14 08:36:23,2012-02-14 08:38:33,Role 3,305,1.001501168300547,0
22,W_Completeren aanvraag,2012-02-14 09:00:30,2012-02-14 09:03:13,Role 1,306,2.0151291657420343,0
7,W_Nabellen offertes,2012-02-14 09:06:22,2012-02-14 09:08:51,Role 1,296,1.4965995274583261,0
