caseid,timestamp
Case1,2016-10-24 09:14:25
Case2,2016-10-24 09:15:18
Case3,2016-10-24 09:27:26
Case4,2016-10-24 09:28:03
Case5,2016-10-24 09:45:17
Case6,2016-10-24 09:56:00
Case7,2016-10-24 09:58:17
Case8,2016-10-24 10:00:31
Case9,2016-10-24 10:03:03
Case10,2016-10-24 10:06:29
Case11,2016-10-24 10:13:47
Case12,2016-10-24 10:15:10
Case13,2016-10-24 10:32:13
Case14,2016-10-24 10:41:05
Case15,2016-10-24 10:50:41
Case16,2016-10-24 10:53:04
Case17,2016-10-24 10:58:10
Case18,2016-10-24 11:00:45
Case19,2016-10-24 11:07:11
Case20,2016-10-24 11:07:46
Case21,2016-10-24 11:20:44
Case22,2016-10-24 11:37:57
Case23,2016-10-24 11:47:56
Case24,2016-10-24 11:57:50
Case25,2016-10-24 12:02:24
Case26,2016-10-24 12:18:32
Case27,2016-10-24 12:22:06
Case28,2016-10-24 12:22:30
Case29,2016-10-24 12:26:35
Case30,2016-10-24 12:30:15
Case31,2016-10-24 12:46:38
Case32,2016-10-24 12:50:05
Case33,2016-10-24 12:50:52
Case34,2016-10-24 13:06:57
Case35,2016-10-24 13:07:05
Case36,2016-10-24 13:09:32
Case37,2016-10-24 13:12:06
Case38,2016-10-24 13:24:43
Case39,2016-10-24 13:27:42
Case40,2016-10-24 13:28:54
Case41,2016-10-24 13:29:59
Case42,2016-10-24 13:32:42
Case43,2016-10-24 13:37:17
Case44,2016-10-24 13:42:55
Case45,2016-10-24 13:52:31
Case46,2016-10-24 13:53:22
Case47,2016-10-24 14:02:47
Case48,2016-10-24 14:02:57
Case49,2016-10-24 14:08:01
Case50,2016-10-24 14:09:37
Case51,2016-10-24 14:14:40
Case52,2016-10-24 14:15:35
Case53,2016-10-24 14:22:35
Case54,2016-10-24 14:42:01
Case55,2016-10-24 14:43:16
Case56,2016-10-24 14:44:46
Case57,2016-10-24 14:47:12
Case58,2016-10-24 14:47:56
Case59,2016-10-24 14:53:48
Case60,2016-10-24 15:02:46
Case61,2016-10-24 15:06:52
Case62,2016-10-24 15:14:03
Case63,2016-10-24 15:19:37
Case64,2016-10-24 15:37:45
Case65,2016-10-24 15:40:53
Case66,2016-10-24 15:41:00
Case67,2016-10-24 15:52:20
Case68,2016-10-24 15:56:19
Case69,2016-10-24 16:06:08
Case70,2016-10-24 16:17:53
Case71,2016-10-24 16:36:42
Case72,2016-10-24 16:41:25
Case73,2016-10-24 16:59:31
Case74,2016-10-24 17:19:10
Case75,2016-10-24 17:34:48
Case76,2016-10-24 17:38:20
Case77,2016-10-24 17:47:29
Case78,2016-10-24 17:54:11
Case79,2016-10-24 17:55:57
Case80,2016-10-24 17:57:50
Case81,2016-10-24 18:01:07
Case82,2016-10-24 18:09:38
Case83,2016-10-24 18:14:10
Case84,2016-10-24 18:35:30
Case85,2016-10-24 18:40:39
Case86,2016-10-24 18:48:14
Case87,2016-10-24 19:13:32
Case88,2016-10-24 19:45:42
Case89,2016-10-24 19:46:30
Case90,2016-10-24 19:55:57
Case91,2016-10-24 20:10:37
Case92,2016-10-24 20:43:29
Case93,2016-10-24 20:44:34
Case94,2016-10-24 21:00:32
Case95,2016-10-24 21:02:12
Case96,2016-10-24 21:16:24
Case97,2016-10-24 21:18:41
Case98,2016-10-24 21:50:13
Case99,2016-10-24 21:58:36
Case100,2016-10-24 22:20:30
Case101,2016-10-24 22:22:33
Case102,2016-10-24 22:40:50
Case103,2016-10-24 22:51:33
Case104,2016-10-24 23:38:31
Case105,2016-10-24 23:51:33
Case106,2016-10-25 00:36:37
Case107,2016-10-25 00:50:06
Case108,2016-10-25 01:07:09
Case109,2016-10-25 01:33:49
Case110,2016-10-25 01:40:05
Case111,2016-10-25 01:46:45
Case112,2016-10-25 02:01:01
Case113,2016-10-25 02:26:53
Case114,2016-10-25 04:49:55
Case115,2016-10-25 05:00:52
Case116,2016-10-25 05:02:01
Case117,2016-10-25 06:13:30
Case118,2016-10-25 06:44:26
Case119,2016-10-25 06:56:05
Case120,2016-10-25 07:02:25
Case121,2016-10-25 07:08:47
Case122,2016-10-25 07:12:08
Case123,2016-10-25 07:13:42
Case124,2016-10-25 07:19:13
Case125,2016-10-25 07:19:55
Case126,2016-10-25 07:21:15
Case127,2016-10-25 07:21:36
Case128,2016-10-25 07:22:15
Case129,2016-10-25 07:49:51
Case130,2016-10-25 08:00:50
Case131,2016-10-25 08:11:30
Case132,2016-10-25 08:12:09
Case133,2016-10-25 08:16:51
Case134,2016-10-25 08:23:36
Case135,2016-10-25 08:46:41
Case136,2016-10-25 08:49:48
Case137,2016-10-25 08:51:51
Case138,2016-10-25 08:55:57
Case139,2016-10-25 09:04:33
Case140,2016-10-25 09:06:49
Case141,2016-10-25 09:12:37
Case142,2016-10-25 09:20:29
Case143,2016-10-25 09:30:44
Case144,2016-10-25 09:32:42
Case145,2016-10-25 09:33:47
Case146,2016-10-25 09:40:00
Case147,2016-10-25 09:59:25
Case148,2016-10-25 10:05:24
Case149,2016-10-25 10:09:27
Case150,2016-10-25 10:09:38
Case151,2016-10-25 10:11:14
Case152,2016-10-25 10:15:11
Case153,2016-10-25 10:17:37
Case154,2016-10-25 10:20:30
Case155,2016-10-25 10:27:19
Case156,2016-10-25 10:27:35
Case157,2016-10-25 10:28:35
Case158,2016-10-25 10:31:04
Case159,2016-10-25 10:31:33
Case160,2016-10-25 10:37:55
Case161,2016-10-25 10:52:17
Case162,2016-10-25 11:11:51
Case163,2016-10-25 11:12:09
Case164,2016-10-25 11:18:19
Case165,2016-10-25 11:18:48
Case166,2016-10-25 11:43:51
Case167,2016-10-25 11:49:16
Case168,2016-10-25 11:54:39
Case169,2016-10-25 11:54:46
Case170,2016-10-25 12:00:17
Case171,2016-10-25 12:07:43
Case172,2016-10-25 12:08:32
Case173,2016-10-25 12:10:16
Case174,2016-10-25 12:10:29
Case175,2016-10-25 12:13:05
Case176,2016-10-25 12:18:18
Case177,2016-10-25 12:28:45
Case178,2016-10-25 12:34:27
Case179,2016-10-25 12:38:58
Case180,2016-10-25 12:40:18
Case181,2016-10-25 12:41:40
Case182,2016-10-25 12:43:23
Case183,2016-10-25 13:17:05
Case184,2016-10-25 13:17:14
Case185,2016-10-25 13:25:48
Case186,2016-10-25 13:29:05
Case187,2016-10-25 13:30:15
Case188,2016-10-25 13:34:27
Case189,2016-10-25 13:36:26
Case190,2016-10-25 13:55:44
Case191,2016-10-25 14:00:23
Case192,2016-10-25 14:01:25
Case193,2016-10-25 14:35:36
Case194,2016-10-25 14:36:35
Case195,2016-10-25 14:46:25
Case196,2016-10-25 14:53:48
Case197,2016-10-25 14:56:33
Case198,2016-10-25 15:04:56
Case199,2016-10-25 15:07:30
Case200,2016-10-25 16:02:48
Case201,2016-10-25 16:19:19
Case202,2016-10-25 16:55:54
Case203,2016-10-25 17:19:16
Case204,2016-10-25 17:50:47
Case205,2016-10-25 19:01:59
Case206,2016-10-25 20:34:07
Case207,2016-10-25 20:42:06
Case208,2016-10-25 21:00:12
Case209,2016-10-25 22:14:23
Case210,2016-10-25 22:22:10
Case211,2016-10-26 01:18:58
Case212,2016-10-26 02:00:13
Case213,2016-10-26 03:29:46
Case214,2016-10-26 03:49:30
Case215,2016-10-26 04:05:56
Case216,2016-10-26 05:37:54
Case217,2016-10-26 05:44:24
Case218,2016-10-26 05:57:40
Case219,2016-10-26 06:25:02
Case220,2016-10-26 07:23:04
Case221,2016-10-26 07:35:21
Case222,2016-10-26 07:43:46
Case223,2016-10-26 07:44:54
Case224,2016-10-26 07:46:50
Case225,2016-10-26 07:55:07
Case226,2016-10-26 07:59:33
Case227,2016-10-26 08:07:55
Case228,2016-10-26 08:10:06
Case229,2016-10-26 08:13:01
Case230,2016-10-26 08:16:31
Case231,2016-10-26 08:18:49
Case232,2016-10-26 08:18:53
Case233,2016-10-26 08:28:23
Case234,2016-10-26 08:30:10
Case235,2016-10-26 08:51:25
Case236,2016-10-26 09:07:12
Case237,2016-10-26 09:12:09
Case238,2016-10-26 09:14:05
Case239,2016-10-26 09:17:33
Case240,2016-10-26 09:21:58
Case241,2016-10-26 09:33:46
Case242,2016-10-26 09:34:06
Case243,2016-10-26 09:34:20
Case244,2016-10-26 09:40:53
Case245,2016-10-26 09:44:32
Case246,2016-10-26 09:54:03
Case247,2016-10-26 10:21:06
Case248,2016-10-26 10:24:49
Case249,2016-10-26 10:32:22
Case250,2016-10-26 10:39:51
