caseid,task,start:timestamp,time:timestamp,role,st_wip,st_tsk_wip,queue
1,W_Handle leads,2016-10-24 09:12:55,2016-10-24 09:13:05,Role 1,1030,1.0447971031033731,0
1,W_Complete application,2016-10-24 09:13:10,2016-10-24 09:15:36,Role 1,1030,2.498928708536092,0
2,W_Handle leads,2016-10-24 09:16:33,2016-10-24 09:16:44,Role 1,1031,1.0447971031033731,0
3,W_Handle leads,2016-10-24 09:18:25,2016-10-24 09:18:36,Role 1,1032,1.0447971031033731,0
2,W_Complete application,2016-10-24 09:16:49,2016-10-24 09:19:15,Role 1,1031,2.498928708536092,0
4,W_Handle leads,2016-10-24 09:19:21,2016-10-24 09:19:32,Role 1,1033,1.0447971031033731,0
3,W_Complete application,2016-10-24 09:18:41,2016-10-24 09:21:08,Role 1,1032,3.498928708536092,0
4,W_Complete application,2016-10-24 09:19:37,2016-10-24 09:22:03,Role 1,1033,3.498928708536092,0
5,W_Handle leads,2016-10-24 09:22:02,2016-10-24 09:22:13,Role 1,1034,1.0447971031033731,0
5,W_Complete application,2016-10-24 09:22:18,2016-10-24 09:24:43,Role 1,1034,2.498928708536092,0
6,W_Complete application,2016-10-24 09:28:57,2016-10-24 09:31:08,Role 1,1035,2.498928708536092,0
7,W_Handle leads,2016-10-24 09:33:12,2016-10-24 09:33:24,Role 1,1036,1.0447971031033731,0
8,W_Complete application,2016-10-24 09:33:26,2016-10-24 09:35:37,Role 1,1037,2.498928708536092,0
7,W_Complete application,2016-10-24 09:33:29,2016-10-24 09:35:54,Role 1,1036,3.498928708536092,0
9,W_Handle leads,2016-10-24 09:53:32,2016-10-24 09:53:44,Role 1,1038,1.0447971031033731,0
9,W_Complete application,2016-10-24 09:53:49,2016-10-24 09:56:12,Role 1,1038,2.498928708536092,0
10,W_Handle leads,2016-10-24 10:02:14,2016-10-24 10:02:27,Role 1,1039,1.0447971031033731,0
10,W_Complete application,2016-10-24 10:02:32,2016-10-24 10:04:55,Role 1,1039,2.498928708536092,0
11,W_Handle leads,2016-10-24 10:30:00,2016-10-24 10:30:13,Role 1,1040,1.0447971031033731,0
12,W_Handle leads,2016-10-24 10:31:51,2016-10-24 10:32:04,Role 1,1041,1.0447971031033731,0
