caseid,task,start:timestamp,time:timestamp,role,st_wip,st_tsk_wip,queue
1,W_Handle leads,2016-10-24 09:10:44,2016-10-24 09:10:54,Role 1,1030,1.0447971031033731,0
1,W_Complete application,2016-10-24 09:10:59,2016-10-24 09:13:25,Role 1,1030,2.498928708536092,0
2,W_Complete application,2016-10-24 09:17:30,2016-10-24 09:19:42,Role 1,1031,2.498928708536092,0
3,W_Complete application,2016-10-24 09:17:48,2016-10-24 09:20:00,Role 1,1032,3.498928708536092,0
4,W_Complete application,2016-10-24 09:18:14,2016-10-24 09:20:26,Role 1,1033,4.498928708536091,0
6,W_Handle leads,2016-10-24 09:30:10,2016-10-24 09:30:22,Role 1,1035,1.0447971031033731,0
5,W_Complete application,2016-10-24 09:28:59,2016-10-24 09:31:11,Role 1,1034,2.498928708536092,0
7,W_Handle leads,2016-10-24 09:31:20,2016-10-24 09:31:32,Role 1,1036,1.0447971031033731,0
6,W_Complete application,2016-10-24 09:30:27,2016-10-24 09:32:53,Role 1,1035,3.498928708536092,0
7,W_Complete application,2016-10-24 09:31:37,2016-10-24 09:34:02,Role 1,1036,3.498928708536092,0
8,W_Complete application,2016-10-24 09:59:29,2016-10-24 10:01:40,Role 1,1037,2.498928708536092,0
9,W_Complete application,2016-10-24 10:03:08,2016-10-24 10:05:18,Role 1,1038,2.498928708536092,0
10,W_Complete application,2016-10-24 10:04:18,2016-10-24 10:06:28,Role 1,1039,3.498928708536092,0
11,W_Handle leads,2016-10-24 10:23:43,2016-10-24 10:23:56,Role 1,1040,1.0447971031033731,0
11,W_Complete application,2016-10-24 10:24:01,2016-10-24 10:26:23,Role 1,1040,2.498928708536092,0
12,W_Complete application,2016-10-24 10:25:21,2016-10-24 10:27:31,Role 1,1041,3.498928708536092,0
13,W_Complete application,2016-10-24 10:38:03,2016-10-24 10:40:12,Role 1,1042,2.498928708536092,0
14,W_Complete application,2016-10-24 10:39:41,2016-10-24 10:41:50,Role 1,1043,3.498928708536092,0
15,W_Handle leads,2016-10-24 10:42:58,2016-10-24 10:43:12,Role 1,1044,1.0447971031033731,0
15,W_Complete application,2016-10-24 10:43:17,2016-10-24 10:45:37,Role 1,1044,2.498928708536092,0
16,W_Complete application,2016-10-24 10:45:01,2016-10-24 10:47:09,Role 1,1045,3.498928708536092,0
17,W_Complete application,2016-10-24 10:48:40,2016-10-24 10:50:48,Role 1,1046,2.498928708536092,0
18,W_Handle leads,2016-10-24 10:56:00,2016-10-24 10:56:15,Role 1,1047,1.0447971031033731,0
18,W_Complete application,2016-10-24 10:56:20,2016-10-24 10:58:39,Role 1,1047,2.498928708536092,0
19,W_Complete application,2016-10-24 10:57:28,2016-10-24 10:59:36,Role 1,1048,3.498928708536092,0
20,W_Complete application,2016-10-24 11:03:02,2016-10-24 11:05:09,Role 1,1049,2.498928708536092,0
21,W_Complete application,2016-10-24 11:19:31,2016-10-24 11:21:38,Role 1,1050,2.498928708536092,0
23,W_Handle leads,2016-10-24 11:32:37,2016-10-24 11:32:54,Role 1,1052,1.0447971031033731,0
22,W_Complete application,2016-10-24 11:32:17,2016-10-24 11:34:23,Role 1,1051,2.498928708536092,0
24,W_Handle leads,2016-10-24 11:34:36,2016-10-24 11:34:53,Role 1,1053,1.0447971031033731,0
23,W_Complete application,2016-10-24 11:32:59,2016-10-24 11:35:17,Role 1,1052,3.498928708536092,0
24,W_Complete application,2016-10-24 11:34:58,2016-10-24 11:37:16,Role 1,1053,3.498928708536092,0
25,W_Complete application,2016-10-24 11:36:53,2016-10-24 11:38:59,Role 1,1054,3.498928708536092,0
26,W_Handle leads,2016-10-24 11:42:05,2016-10-24 11:42:23,Role 1,1055,1.0447971031033731,0
26,W_Complete application,2016-10-24 11:42:28,2016-10-24 11:44:43,Role 1,1055,2.498928708536092,0
27,W_Handle leads,2016-10-24 11:49:38,2016-10-24 11:49:56,Role 1,1056,1.0447971031033731,0
27,W_Complete application,2016-10-24 11:50:01,2016-10-24 11:52:16,Role 1,1056,2.498928708536092,0
28,W_Complete application,2016-10-24 11:51:48,2016-10-24 11:53:53,Role 1,1057,3.498928708536092,0
29,W_Complete application,2016-10-24 12:02:53,2016-10-24 12:04:57,Role 1,1058,2.498928708536092,0
31,W_Handle leads,2016-10-24 12:15:40,2016-10-24 12:16:00,Role 1,1060,1.0447971031033731,0
30,W_Complete application,2016-10-24 12:14:26,2016-10-24 12:16:30,Role 1,1059,2.498928708536092,0
31,W_Complete application,2016-10-24 12:16:05,2016-10-24 12:18:20,Role 1,1060,3.498928708536092,0
32,W_Complete application,2016-10-24 12:22:59,2016-10-24 12:25:03,Role 1,1061,2.498928708536092,0
33,W_Handle leads,2016-10-24 12:26:21,2016-10-24 12:26:41,Role 1,1062,1.0447971031033731,0
34,W_Handle leads,2016-10-24 12:27:26,2016-10-24 12:27:47,Role 1,1063,1.0447971031033731,0
33,W_Complete application,2016-10-24 12:26:46,2016-10-24 12:28:58,Role 1,1062,2.498928708536092,0
34,W_Complete application,2016-10-24 12:27:52,2016-10-24 12:30:05,Role 1,1063,3.498928708536092,0
35,W_Handle leads,2016-10-24 12:29:57,2016-10-24 12:30:18,Role 1,1064,1.0447971031033731,0
35,W_Complete application,2016-10-24 12:30:23,2016-10-24 12:32:34,Role 1,1064,2.498928708536092,0
36,W_Handle leads,2016-10-24 12:36:43,2016-10-24 12:37:05,Role 1,1065,1.0447971031033731,0
37,W_Handle leads,2016-10-24 12:37:00,2016-10-24 12:37:23,Role 1,1066,2.044797103103373,0
36,W_Complete application,2016-10-24 12:37:10,2016-10-24 12:39:21,Role 1,1066,2.498928708536092,0
38,W_Handle leads,2016-10-24 12:39:05,2016-10-24 12:39:27,Role 1,1067,1.0447971031033731,0
