caseid,task,start:timestamp,time:timestamp,role,st_wip,st_tsk_wip,queue
1,W_Call after offers,2016-10-24 09:12:55,2016-10-24 09:15:15,Role 1,599,1.5266522787404846,0
2,W_Complete application,2016-10-24 09:16:33,2016-10-24 09:18:52,Role 1,600,1.7868811009472552,0
3,W_Call after offers,2016-10-24 09:18:25,2016-10-24 09:20:43,Role 1,601,1.5266522787404846,0
4,W_Call after offers,2016-10-24 09:19:21,2016-10-24 09:21:37,Role 1,602,2.5266522787404844,0
5,W_Complete application,2016-10-24 09:22:02,2016-10-24 09:24:20,Role 1,602,1.7868811009472552,0
6,W_Complete application,2016-10-24 09:28:57,2016-10-24 09:31:14,Role 1,603,1.7868811009472552,0
7,W_Complete application,2016-10-24 09:33:12,2016-10-24 09:35:28,Role 1,604,1.7868811009472552,0
8,W_Complete application,2016-10-24 09:33:26,2016-10-24 09:35:40,Role 1,605,2.786881100947255,0
9,W_Call after offers,2016-10-24 09:53:32,2016-10-24 09:55:46,Role 1,606,1.5266522787404846,0
10,W_Complete application,2016-10-24 10:02:14,2016-10-24 10:04:28,Role 1,607,1.7868811009472552,0
11,W_Complete application,2016-10-24 10:30:00,2016-10-24 10:32:13,Role 1,608,1.7868811009472552,0
13,W_Complete application,2016-10-24 10:31:53,2016-10-24 10:34:01,Role 1,610,3.786881100947255,0
12,W_Complete application,2016-10-24 10:31:51,2016-10-24 10:34:02,Role 1,609,2.786881100947255,0
14,W_Call after offers,2016-10-24 10:45:38,2016-10-24 10:47:47,Role 1,611,1.5266522787404846,0
15,W_Complete application,2016-10-24 10:49:23,2016-10-24 10:51:33,Role 1,612,1.7868811009472552,0
16,W_Call after offers,2016-10-24 11:01:33,2016-10-24 11:03:41,Role 1,613,1.5266522787404846,0
17,W_Complete application,2016-10-24 11:10:25,2016-10-24 11:12:34,Role 1,613,1.7868811009472552,0
18,W_Complete application,2016-10-24 11:11:01,2016-10-24 11:13:08,Role 1,614,2.786881100947255,0
19,W_Complete application,2016-10-24 11:22:57,2016-10-24 11:25:04,Role 1,615,1.7868811009472552,0
20,W_Call after offers,2016-10-24 11:23:58,2016-10-24 11:26:03,Role 1,616,1.5266522787404846,0
21,W_Complete application,2016-10-24 11:26:50,2016-10-24 11:28:56,Role 1,617,1.7868811009472552,0
22,W_Complete application,2016-10-24 11:28:10,2016-10-24 11:30:13,Role 1,618,2.786881100947255,0
23,W_Complete application,2016-10-24 11:29:23,2016-10-24 11:31:26,Role 1,619,2.786881100947255,0
24,W_Complete application,2016-10-24 11:31:29,2016-10-24 11:33:32,Role 1,620,1.7868811009472552,0
25,W_Complete application,2016-10-24 11:32:00,2016-10-24 11:34:01,Role 1,621,2.786881100947255,0
26,W_Call after offers,2016-10-24 11:34:59,2016-10-24 11:36:59,Role 1,622,1.5266522787404846,0
27,W_Complete application,2016-10-24 11:43:57,2016-10-24 11:45:59,Role 1,622,1.7868811009472552,0
28,W_Complete application,2016-10-24 12:00:09,2016-10-24 12:02:10,Role 1,623,1.7868811009472552,0
29,W_Complete application,2016-10-24 12:03:02,2016-10-24 12:05:02,Role 1,624,1.7868811009472552,0
30,W_Complete application,2016-10-24 12:03:31,2016-10-24 12:05:29,Role 1,625,2.786881100947255,0
31,W_Call after offers,2016-10-24 12:09:12,2016-10-24 12:11:09,Role 1,626,1.5266522787404846,0
32,W_Complete application,2016-10-24 12:22:07,2016-10-24 12:24:06,Role 1,626,1.7868811009472552,0
33,W_Complete application,2016-10-24 12:23:42,2016-10-24 12:25:39,Role 1,627,2.786881100947255,0
34,W_Call after offers,2016-10-24 12:23:49,2016-10-24 12:25:45,Role 1,628,1.5266522787404846,0
35,W_Complete application,2016-10-24 12:29:52,2016-10-24 12:31:49,Role 1,629,1.7868811009472552,0
36,W_Complete application,2016-10-24 12:47:26,2016-10-24 12:49:22,Role 1,630,1.7868811009472552,0
37,W_Complete application,2016-10-24 12:50:05,2016-10-24 12:52:00,Role 1,631,1.7868811009472552,0
38,W_Complete application,2016-10-24 13:01:59,2016-10-24 13:03:53,Role 1,632,1.7868811009472552,0
39,W_Complete application,2016-10-24 13:04:56,2016-10-24 13:06:50,Role 1,633,1.7868811009472552,0
40,W_Complete application,2016-10-24 13:06:49,2016-10-24 13:08:40,Role 1,634,2.786881100947255,0
41,W_Complete application,2016-10-24 13:08:40,2016-10-24 13:10:32,Role 1,635,1.7868811009472552,0
42,W_Call after offers,2016-10-24 13:13:49,2016-10-24 13:15:39,Role 1,636,1.5266522787404846,0
