caseid,task,start:timestamp,time:timestamp,role,st_wip,st_tsk_wip,queue
1,W_Complete application,2016-10-24 09:10:44,2016-10-24 09:13:04,Role 1,599,1.7868811009472552,0
2,W_Complete application,2016-10-24 09:11:40,2016-10-24 09:13:58,Role 1,600,2.786881100947255,0
3,W_Call after offers,2016-10-24 09:15:34,2016-10-24 09:17:52,Role 1,601,1.5266522787404846,0
4,W_Call after offers,2016-10-24 09:20:40,2016-10-24 09:22:58,Role 1,601,1.5266522787404846,0
5,W_Complete application,2016-10-24 09:37:06,2016-10-24 09:39:24,Role 1,602,1.7868811009472552,0
6,W_Complete application,2016-10-24 09:40:35,2016-10-24 09:42:52,Role 1,603,1.7868811009472552,0
7,W_Complete application,2016-10-24 09:44:42,2016-10-24 09:46:58,Role 1,604,1.7868811009472552,0
8,W_Call after offers,2016-10-24 09:49:48,2016-10-24 09:52:02,Role 1,605,1.5266522787404846,0
9,W_Call after offers,2016-10-24 09:55:53,2016-10-24 09:58:07,Role 1,606,1.5266522787404846,0
10,W_Complete application,2016-10-24 09:56:16,2016-10-24 09:58:30,Role 1,607,1.7868811009472552,0
11,W_Complete application,2016-10-24 09:59:15,2016-10-24 10:01:29,Role 1,607,1.7868811009472552,0
12,W_Complete application,2016-10-24 10:08:48,2016-10-24 10:11:01,Role 1,608,1.7868811009472552,0
13,W_Complete application,2016-10-24 10:13:17,2016-10-24 10:15:29,Role 1,609,1.7868811009472552,0
14,W_Complete application,2016-10-24 10:25:14,2016-10-24 10:27:25,Role 1,610,1.7868811009472552,0
15,W_Call after offers,2016-10-24 10:41:19,2016-10-24 10:43:28,Role 1,611,1.5266522787404846,0
16,W_Complete application,2016-10-24 10:54:31,2016-10-24 10:56:41,Role 1,612,1.7868811009472552,0
17,W_Complete application,2016-10-24 10:56:53,2016-10-24 10:59:02,Role 1,613,1.7868811009472552,0
18,W_Complete application,2016-10-24 11:03:35,2016-10-24 11:05:43,Role 1,614,1.7868811009472552,0
19,W_Complete application,2016-10-24 11:05:42,2016-10-24 11:07:48,Role 1,615,2.786881100947255,0
20,W_Complete application,2016-10-24 11:11:26,2016-10-24 11:13:32,Role 1,616,1.7868811009472552,0
21,W_Complete application,2016-10-24 11:22:13,2016-10-24 11:24:19,Role 1,617,1.7868811009472552,0
22,W_Complete application,2016-10-24 11:29:11,2016-10-24 11:31:16,Role 1,618,1.7868811009472552,0
23,W_Call after offers,2016-10-24 11:40:02,2016-10-24 11:42:05,Role 1,619,1.5266522787404846,0
24,W_Complete application,2016-10-24 11:40:08,2016-10-24 11:42:11,Role 1,620,1.7868811009472552,0
25,W_Call after offers,2016-10-24 11:46:29,2016-10-24 11:48:30,Role 1,621,1.5266522787404846,0
26,W_Complete application,2016-10-24 12:01:24,2016-10-24 12:03:27,Role 1,621,1.7868811009472552,0
27,W_Call after offers,2016-10-24 12:14:31,2016-10-24 12:16:31,Role 1,622,1.5266522787404846,0
28,W_Complete application,2016-10-24 12:17:34,2016-10-24 12:19:36,Role 1,622,1.7868811009472552,0
29,W_Complete application,2016-10-24 12:20:00,2016-10-24 12:22:01,Role 1,623,1.7868811009472552,0
30,W_Complete application,2016-10-24 12:26:05,2016-10-24 12:28:05,Role 1,624,1.7868811009472552,0
31,W_Complete application,2016-10-24 12:30:45,2016-10-24 12:32:44,Role 1,625,1.7868811009472552,0
32,W_Complete application,2016-10-24 12:41:46,2016-10-24 12:43:45,Role 1,626,1.7868811009472552,0
33,W_Call after offers,2016-10-24 12:43:20,2016-10-24 12:45:16,Role 1,627,1.5266522787404846,0
35,W_Complete application,2016-10-24 12:45:59,2016-10-24 12:47:54,Role 1,629,2.786881100947255,0
34,W_Complete application,2016-10-24 12:45:58,2016-10-24 12:47:55,Role 1,628,1.7868811009472552,0
36,W_Complete application,2016-10-24 12:47:12,2016-10-24 12:49:05,Role 1,630,3.786881100947255,0
37,W_Complete application,2016-10-24 12:53:57,2016-10-24 12:55:52,Role 1,631,1.7868811009472552,0
38,W_Call after offers,2016-10-24 13:01:54,2016-10-24 13:03:47,Role 1,632,1.5266522787404846,0
39,W_Call after offers,2016-10-24 13:05:27,2016-10-24 13:07:19,Role 1,633,1.5266522787404846,0
40,W_Complete application,2016-10-24 13:06:21,2016-10-24 13:08:14,Role 1,634,1.7868811009472552,0
41,W_Call after offers,2016-10-24 13:19:15,2016-10-24 13:21:05,Role 1,635,1.5266522787404846,0
42,W_Complete application,2016-10-24 13:19:30,2016-10-24 13:21:21,Role 1,636,1.7868811009472552,0
43,W_Complete application,2016-10-24 13:20:31,2016-10-24 13:22:20,Role 1,637,2.786881100947255,0
44,W_Complete application,2016-10-24 13:31:22,2016-10-24 13:33:12,Role 1,638,1.7868811009472552,0
45,W_Complete application,2016-10-24 13:38:47,2016-10-24 13:40:36,Role 1,639,1.7868811009472552,0
46,W_Complete application,2016-10-24 13:40:55,2016-10-24 13:42:44,Role 1,640,1.7868811009472552,0
47,W_Complete application,2016-10-24 13:45:39,2016-10-24 13:47:27,Role 1,641,1.7868811009472552,0
48,W_Complete application,2016-10-24 13:47:37,2016-10-24 13:49:24,Role 1,642,1.7868811009472552,0
49,W_Complete application,2016-10-24 13:47:43,2016-10-24 13:49:28,Role 1,643,2.786881100947255,0
50,W_Complete application,2016-10-24 13:53:48,2016-10-24 13:55:34,Role 1,644,1.7868811009472552,0
51,W_Complete application,2016-10-24 14:05:49,2016-10-24 14:07:35,Role 1,645,1.7868811009472552,0
52,W_Complete application,2016-10-24 14:06:26,2016-10-24 14:08:10,Role 1,646,2.786881100947255,0
53,W_Call after offers,2016-10-24 14:15:08,2016-10-24 14:16:50,Role 1,647,1.5266522787404846,0
54,W_Complete application,2016-10-24 14:21:12,2016-10-24 14:22:56,Role 1,647,1.7868811009472552,0
55,W_Complete application,2016-10-24 14:36:12,2016-10-24 14:37:56,Role 1,648,1.7868811009472552,0
56,W_Complete application,2016-10-24 14:36:16,2016-10-24 14:37:58,Role 1,649,2.786881100947255,0
57,W_Complete application,2016-10-24 14:41:14,2016-10-24 14:42:56,Role 1,650,1.7868811009472552,0
58,W_Complete application,2016-10-24 14:43:41,2016-10-24 14:45:23,Role 1,651,1.7868811009472552,0
59,W_Call after offers,2016-10-24 14:50:50,2016-10-24 14:52:29,Role 1,652,1.5266522787404846,0
60,W_Complete application,2016-10-24 15:05:10,2016-10-24 15:06:51,Role 1,653,1.7868811009472552,0
61,W_Call after offers,2016-10-24 15:29:16,2016-10-24 15:30:54,Role 1,654,1.5266522787404846,0
62,W_Call after offers,2016-10-24 15:31:44,2016-10-24 15:33:22,Role 1,654,1.5266522787404846,0
63,W_Complete application,2016-10-24 15:34:28,2016-10-24 15:36:08,Role 1,654,1.7868811009472552,0
64,W_Call after offers,2016-10-24 15:37:16,2016-10-24 15:38:54,Role 1,655,1.5266522787404846,0
65,W_Call after offers,2016-10-24 15:48:20,2016-10-24 15:49:57,Role 1,656,1.5266522787404846,0
66,W_Complete application,2016-10-24 15:50:26,2016-10-24 15:52:04,Role 1,657,1.7868811009472552,0
67,W_Complete application,2016-10-24 16:06:04,2016-10-24 16:07:42,Role 1,658,1.7868811009472552,0
68,W_Complete application,2016-10-24 16:08:43,2016-10-24 16:10:20,Role 1,659,1.7868811009472552,0
69,W_Complete application,2016-10-24 16:30:57,2016-10-24 16:32:34,Role 1,660,1.7868811009472552,0
70,W_Call after offers,2016-10-24 16:37:05,2016-10-24 16:38:39,Role 1,661,1.5266522787404846,0
71,W_Complete application,2016-10-24 16:41:31,2016-10-24 16:43:07,Role 1,661,1.7868811009472552,0
72,W_Complete application,2016-10-24 16:43:51,2016-10-24 16:45:27,Role 1,662,1.7868811009472552,0
73,W_Call after offers,2016-10-24 16:44:21,2016-10-24 16:45:55,Role 1,663,1.5266522787404846,0
74,W_Call after offers,2016-10-24 16:52:13,2016-10-24 16:53:46,Role 1,664,1.5266522787404846,0
75,W_Complete application,2016-10-24 16:55:31,2016-10-24 16:57:06,Role 1,665,1.7868811009472552,0
76,W_Complete application,2016-10-24 16:58:36,2016-10-24 17:00:10,Role 1,666,1.7868811009472552,0
77,W_Complete application,2016-10-24 17:04:22,2016-10-24 17:05:56,Role 1,667,1.7868811009472552,0
78,W_Complete application,2016-10-24 17:16:07,2016-10-24 17:17:40,Role 1,668,1.7868811009472552,0
79,W_Complete application,2016-10-24 17:23:41,2016-10-24 17:25:14,Role 1,669,1.7868811009472552,0
80,W_Complete application,2016-10-24 17:25:21,2016-10-24 17:26:54,Role 1,670,1.7868811009472552,0
81,W_Complete application,2016-10-24 17:32:23,2016-10-24 17:33:55,Role 1,671,1.7868811009472552,0
82,W_Complete application,2016-10-24 17:43:37,2016-10-24 17:45:09,Role 1,672,1.7868811009472552,0
83,W_Call after offers,2016-10-24 17:45:18,2016-10-24 17:46:48,Role 1,673,1.5266522787404846,0
84,W_Call after offers,2016-10-24 17:45:44,2016-10-24 17:47:12,Role 1,674,2.5266522787404844,0
85,W_Complete application,2016-10-24 18:08:04,2016-10-24 18:09:35,Role 1,673,1.7868811009472552,0
86,W_Complete application,2016-10-24 18:15:01,2016-10-24 18:16:32,Role 1,674,1.7868811009472552,0
87,W_Call after offers,2016-10-24 18:49:24,2016-10-24 18:50:53,Role 1,675,1.5266522787404846,0
88,W_Complete application,2016-10-24 18:58:15,2016-10-24 18:59:45,Role 1,675,1.7868811009472552,0
89,W_Complete application,2016-10-24 19:37:38,2016-10-24 19:39:08,Role 1,676,1.7868811009472552,0
90,W_Call after offers,2016-10-24 19:39:41,2016-10-24 19:41:09,Role 1,677,1.5266522787404846,0
91,W_Complete application,2016-10-24 19:41:07,2016-10-24 19:42:36,Role 1,678,1.7868811009472552,0
92,W_Call after offers,2016-10-24 19:53:56,2016-10-24 19:55:23,Role 1,678,1.5266522787404846,0
93,W_Complete application,2016-10-24 20:09:34,2016-10-24 20:11:02,Role 1,679,1.7868811009472552,0
94,W_Complete application,2016-10-24 20:23:37,2016-10-24 20:25:05,Role 1,680,1.7868811009472552,0
95,W_Complete application,2016-10-24 20:51:39,2016-10-24 20:53:06,Role 1,681,1.7868811009472552,0
96,W_Complete application,2016-10-24 21:12:12,2016-10-24 21:13:39,Role 1,682,1.7868811009472552,0
97,W_Complete application,2016-10-24 21:20:40,2016-10-24 21:22:07,Role 1,683,1.7868811009472552,0
98,W_Complete application,2016-10-24 21:21:47,2016-10-24 21:23:12,Role 1,684,2.786881100947255,0
99,W_Complete application,2016-10-24 21:53:26,2016-10-24 21:54:52,Role 1,685,1.7868811009472552,0
100,W_Complete application,2016-10-24 21:59:49,2016-10-24 22:01:14,Role 1,686,1.7868811009472552,0
101,W_Complete application,2016-10-24 22:04:21,2016-10-24 22:05:46,Role 1,687,1.7868811009472552,0
102,W_Complete application,2016-10-24 22:20:23,2016-10-24 22:21:48,Role 1,688,1.7868811009472552,0
103,W_Complete application,2016-10-24 23:18:05,2016-10-24 23:19:29,Role 1,689,1.7868811009472552,0
104,W_Complete application,2016-10-24 23:52:33,2016-10-24 23:53:56,Role 1,690,1.7868811009472552,0
105,W_Call after offers,2016-10-25 00:21:16,2016-10-25 00:22:41,Role 1,691,1.5266522787404846,0
106,W_Complete application,2016-10-25 01:12:37,2016-10-25 01:14:03,Role 1,691,1.7868811009472552,0
107,W_Complete application,2016-10-25 01:23:14,2016-10-25 01:24:40,Role 1,692,1.7868811009472552,0
108,W_Call after offers,2016-10-25 02:27:25,2016-10-25 02:28:50,Role 1,693,1.5266522787404846,0
109,W_Call after offers,2016-10-25 02:51:44,2016-10-25 02:53:09,Role 1,693,1.5266522787404846,0
110,W_Complete application,2016-10-25 02:53:55,2016-10-25 02:55:21,Role 1,693,1.7868811009472552,0
111,W_Complete application,2016-10-25 03:02:27,2016-10-25 03:03:53,Role 1,694,1.7868811009472552,0
112,W_Complete application,2016-10-25 05:15:18,2016-10-25 05:16:44,Role 1,695,1.7868811009472552,0
113,W_Complete application,2016-10-25 05:47:17,2016-10-25 05:48:43,Role 1,696,1.7868811009472552,0
114,W_Complete application,2016-10-25 05:51:33,2016-10-25 05:52:59,Role 1,697,1.7868811009472552,0
115,W_Complete application,2016-10-25 05:54:02,2016-10-25 05:55:28,Role 1,698,1.7868811009472552,0
116,W_Call after offers,2016-10-25 05:59:15,2016-10-25 06:00:39,Role 1,699,1.5266522787404846,0
117,W_Complete application,2016-10-25 06:24:56,2016-10-25 06:26:21,Role 1,699,1.7868811009472552,0
118,W_Complete application,2016-10-25 06:49:08,2016-10-25 06:50:33,Role 1,700,1.7868811009472552,0
119,W_Complete application,2016-10-25 06:51:26,2016-10-25 06:52:51,Role 1,701,1.7868811009472552,0
120,W_Complete application,2016-10-25 07:05:03,2016-10-25 07:06:28,Role 1,702,1.7868811009472552,0
121,W_Complete application,2016-10-25 07:11:29,2016-10-25 07:12:54,Role 1,703,1.7868811009472552,0
122,W_Complete application,2016-10-25 07:11:55,2016-10-25 07:13:19,Role 1,704,2.786881100947255,0
123,W_Complete application,2016-10-25 07:14:15,2016-10-25 07:15:39,Role 1,705,1.7868811009472552,0
124,W_Complete application,2016-10-25 07:25:59,2016-10-25 07:27:23,Role 1,706,1.7868811009472552,0
125,W_Complete application,2016-10-25 07:31:46,2016-10-25 07:33:10,Role 1,707,1.7868811009472552,0
126,W_Complete application,2016-10-25 07:35:38,2016-10-25 07:37:02,Role 1,708,1.7868811009472552,0
127,W_Complete application,2016-10-25 07:37:31,2016-10-25 07:38:55,Role 1,709,1.7868811009472552,0
128,W_Complete application,2016-10-25 07:43:27,2016-10-25 07:44:50,Role 1,710,1.7868811009472552,0
129,W_Complete application,2016-10-25 07:52:46,2016-10-25 07:54:09,Role 1,711,1.7868811009472552,0
130,W_Call after offers,2016-10-25 07:55:22,2016-10-25 07:56:44,Role 1,712,1.5266522787404846,0
131,W_Call after offers,2016-10-25 07:55:30,2016-10-25 07:56:50,Role 1,713,2.5266522787404844,0
132,W_Complete application,2016-10-25 08:14:28,2016-10-25 08:15:51,Role 1,713,1.7868811009472552,0
133,W_Complete application,2016-10-25 08:20:45,2016-10-25 08:22:08,Role 1,714,1.7868811009472552,0
134,W_Call after offers,2016-10-25 08:33:30,2016-10-25 08:34:51,Role 1,715,1.5266522787404846,0
135,W_Complete application,2016-10-25 08:39:31,2016-10-25 08:40:53,Role 1,716,1.7868811009472552,0
136,W_Complete application,2016-10-25 08:44:41,2016-10-25 08:46:03,Role 1,717,1.7868811009472552,0
137,W_Complete application,2016-10-25 08:55:43,2016-10-25 08:57:05,Role 1,718,1.7868811009472552,0
138,W_Complete application,2016-10-25 09:16:49,2016-10-25 09:18:10,Role 1,719,1.7868811009472552,0
139,W_Complete application,2016-10-25 09:16:51,2016-10-25 09:18:11,Role 1,720,2.786881100947255,0
140,W_Complete application,2016-10-25 09:18:05,2016-10-25 09:19:24,Role 1,721,3.786881100947255,0
141,W_Call after offers,2016-10-25 09:28:45,2016-10-25 09:30:04,Role 1,722,1.5266522787404846,0
142,W_Call after offers,2016-10-25 09:30:10,2016-10-25 09:31:29,Role 1,722,1.5266522787404846,0
143,W_Complete application,2016-10-25 09:33:33,2016-10-25 09:34:53,Role 1,723,1.7868811009472552,0
144,W_Complete application,2016-10-25 10:01:35,2016-10-25 10:02:55,Role 1,724,1.7868811009472552,0
145,W_Complete application,2016-10-25 10:13:10,2016-10-25 10:14:30,Role 1,725,1.7868811009472552,0
146,W_Complete application,2016-10-25 10:13:23,2016-10-25 10:14:42,Role 1,726,2.786881100947255,0
147,W_Call after offers,2016-10-25 10:17:48,2016-10-25 10:19:06,Role 1,727,1.5266522787404846,0
148,W_Call after offers,2016-10-25 10:18:00,2016-10-25 10:19:17,Role 1,728,2.5266522787404844,0
149,W_Complete application,2016-10-25 10:19:27,2016-10-25 10:20:46,Role 1,728,1.7868811009472552,0
41,W_Validate application,2016-10-27 05:38:53,2016-10-27 05:39:58,Role 1,637,3.3279137808038577,0
150,W_Complete application,2016-10-27 05:39:58,2016-10-27 05:41:10,Role 1,729,1.7868811009472552,1
151,W_Complete application,2016-10-27 05:41:10,2016-10-27 05:42:22,Role 1,730,1.7868811009472552,2
152,W_Call after offers,2016-10-27 05:42:22,2016-10-27 05:43:33,Role 1,731,1.5266522787404846,3
153,W_Complete application,2016-10-27 05:43:33,2016-10-27 05:44:45,Role 1,732,1.7868811009472552,4
154,W_Call after offers,2016-10-27 05:44:45,2016-10-27 05:45:56,Role 1,733,1.5266522787404846,5
155,W_Complete application,2016-10-27 05:45:56,2016-10-27 05:47:08,Role 1,734,1.7868811009472552,6
156,W_Call after offers,2016-10-27 05:47:08,2016-10-27 05:48:19,Role 1,735,1.5266522787404846,7
157,W_Complete application,2016-10-27 05:48:19,2016-10-27 05:49:31,Role 1,736,1.7868811009472552,8
158,W_Call after offers,2016-10-27 05:49:31,2016-10-27 05:50:42,Role 1,737,1.5266522787404846,9
159,W_Call after offers,2016-10-27 05:50:42,2016-10-27 05:51:53,Role 1,738,1.5266522787404846,10
160,W_Complete application,2016-10-27 05:51:53,2016-10-27 05:53:05,Role 1,739,1.7868811009472552,11
161,W_Complete application,2016-10-27 05:53:05,2016-10-27 05:54:17,Role 1,740,1.7868811009472552,12
162,W_Call after offers,2016-10-27 05:54:17,2016-10-27 05:55:28,Role 1,741,1.5266522787404846,13
163,W_Complete application,2016-10-27 05:55:28,2016-10-27 05:56:40,Role 1,742,1.7868811009472552,14
164,W_Complete application,2016-10-27 05:56:40,2016-10-27 05:57:52,Role 1,743,1.7868811009472552,15
165,W_Complete application,2016-10-27 05:57:52,2016-10-27 05:59:04,Role 1,744,1.7868811009472552,16
166,W_Complete application,2016-10-27 05:59:04,2016-10-27 06:00:16,Role 1,745,1.7868811009472552,17
167,W_Complete application,2016-10-27 06:00:16,2016-10-27 06:01:28,Role 1,746,1.7868811009472552,18
59,W_Validate application,2016-10-27 06:01:29,2016-10-27 06:02:34,Role 1,652,3.3279137808038577,0
168,W_Complete application,2016-10-27 06:01:28,2016-10-27 06:02:40,Role 1,747,1.7868811009472552,19
169,W_Complete application,2016-10-27 06:02:34,2016-10-27 06:03:45,Role 1,748,2.786881100947255,20
170,W_Call after offers,2016-10-27 06:02:40,2016-10-27 06:03:51,Role 1,749,1.5266522787404846,21
171,W_Complete application,2016-10-27 06:03:45,2016-10-27 06:04:57,Role 1,750,1.7868811009472552,22
172,W_Complete application,2016-10-27 06:03:51,2016-10-27 06:05:02,Role 1,751,2.786881100947255,23
173,W_Complete application,2016-10-27 06:04:57,2016-10-27 06:06:08,Role 1,752,2.786881100947255,24
174,W_Call after offers,2016-10-27 06:05:02,2016-10-27 06:06:13,Role 1,753,1.5266522787404846,25
39,W_Validate application,2016-10-27 06:05:11,2016-10-27 06:06:16,Role 1,634,3.3279137808038577,0
175,W_Call after offers,2016-10-27 06:06:08,2016-10-27 06:07:19,Role 1,754,2.5266522787404844,26
176,W_Complete application,2016-10-27 06:06:13,2016-10-27 06:07:25,Role 1,755,1.7868811009472552,27
177,W_Complete application,2016-10-27 06:06:16,2016-10-27 06:07:27,Role 1,756,2.786881100947255,28
178,W_Call after offers,2016-10-27 06:07:19,2016-10-27 06:08:30,Role 1,757,1.5266522787404846,29
179,W_Complete application,2016-10-27 06:07:25,2016-10-27 06:08:36,Role 1,758,2.786881100947255,30
180,W_Complete application,2016-10-27 06:07:27,2016-10-27 06:08:38,Role 1,759,2.786881100947255,31
181,W_Complete application,2016-10-27 06:08:30,2016-10-27 06:09:41,Role 1,760,3.786881100947255,32
182,W_Complete application,2016-10-27 06:08:36,2016-10-27 06:09:47,Role 1,761,3.786881100947255,33
183,W_Complete application,2016-10-27 06:08:38,2016-10-27 06:09:49,Role 1,762,3.786881100947255,34
184,W_Call after offers,2016-10-27 06:09:41,2016-10-27 06:10:52,Role 1,763,1.5266522787404846,35
185,W_Complete application,2016-10-27 06:09:47,2016-10-27 06:10:58,Role 1,764,2.786881100947255,36
186,W_Call after offers,2016-10-27 06:09:49,2016-10-27 06:11:00,Role 1,765,2.5266522787404844,37
187,W_Complete application,2016-10-27 06:10:52,2016-10-27 06:12:03,Role 1,766,2.786881100947255,38
188,W_Complete application,2016-10-27 06:10:58,2016-10-27 06:12:09,Role 1,767,2.786881100947255,39
189,W_Call after offers,2016-10-27 06:11:00,2016-10-27 06:12:11,Role 1,768,1.5266522787404846,40
190,W_Complete application,2016-10-27 06:12:03,2016-10-27 06:13:14,Role 1,769,2.786881100947255,41
191,W_Complete application,2016-10-27 06:12:09,2016-10-27 06:13:20,Role 1,770,2.786881100947255,42
192,W_Call after offers,2016-10-27 06:12:11,2016-10-27 06:13:22,Role 1,771,1.5266522787404846,43
193,W_Complete application,2016-10-27 06:13:14,2016-10-27 06:14:25,Role 1,772,2.786881100947255,44
