caseid,task,start:timestamp,time:timestamp,role,st_wip,st_tsk_wip,queue
1,Traer informacion estudiante - banner,2016-05-18 22:53:02,2016-05-18 22:53:21,Role 1,43,1.0,0
2,Traer informacion estudiante - banner,2016-05-18 23:15:16,2016-05-18 23:15:35,Role 1,44,1.0,0
1,Radicar Solicitud Homologacion,2016-05-19 00:32:46,2016-05-19 00:35:46,Role 1,43,1.1023185483870968,0
2,Radicar Solicitud Homologacion,2016-05-19 00:52:34,2016-05-19 00:55:34,Role 1,44,1.1023185483870968,0
3,Traer informacion estudiante - banner,2016-05-19 01:38:35,2016-05-19 01:39:03,Role 1,45,1.0,0
4,Traer informacion estudiante - banner,2016-05-19 02:04:00,2016-05-19 02:04:28,Role 1,46,1.0,0
5,Traer informacion estudiante - banner,2016-05-19 03:49:07,2016-05-19 03:49:34,Role 1,47,1.0,0
6,Traer informacion estudiante - banner,2016-05-19 04:30:04,2016-05-19 04:30:30,Role 1,48,1.0,0
7,Traer informacion estudiante - banner,2016-05-19 05:23:33,2016-05-19 05:23:59,Role 1,49,1.0,0
8,Traer informacion estudiante - banner,2016-05-19 06:15:04,2016-05-19 06:15:30,Role 1,50,1.0,0
1,Cancelar Solicitud,2016-05-19 07:06:16,2016-05-19 07:06:51,Role 2,44,1.2653729838709677,0
2,Cancelar Solicitud,2016-05-19 07:21:24,2016-05-19 07:21:58,Role 2,44,1.2653729838709677,0
9,Traer informacion estudiante - banner,2016-05-19 11:17:32,2016-05-19 11:17:55,Role 1,51,1.0,0
10,Traer informacion estudiante - banner,2016-05-19 12:43:11,2016-05-19 12:43:34,Role 1,52,1.0,0
11,Traer informacion estudiante - banner,2016-05-19 13:25:26,2016-05-19 13:25:49,Role 1,53,1.0,0
12,Traer informacion estudiante - banner,2016-05-19 14:05:43,2016-05-19 14:06:06,Role 1,54,1.0,0
13,Traer informacion estudiante - banner,2016-05-19 15:11:58,2016-05-19 15:12:21,Role 1,55,1.0,0
3,Radicar Solicitud Homologacion,2016-05-19 15:32:07,2016-05-19 15:36:49,Role 1,45,1.1023185483870968,0
4,Radicar Solicitud Homologacion,2016-05-19 15:38:10,2016-05-19 15:42:53,Role 1,46,1.1023185483870968,0
14,Traer informacion estudiante - banner,2016-05-19 16:23:50,2016-05-19 16:24:13,Role 1,56,1.0,0
5,Radicar Solicitud Homologacion,2016-05-19 17:04:13,2016-05-19 17:08:46,Role 1,47,1.1023185483870968,0
15,Traer informacion estudiante - banner,2016-05-19 17:14:48,2016-05-19 17:15:12,Role 1,57,1.0,0
6,Radicar Solicitud Homologacion,2016-05-19 17:26:24,2016-05-19 17:30:57,Role 1,48,1.1023185483870968,0
7,Radicar Solicitud Homologacion,2016-05-19 18:01:27,2016-05-19 18:05:57,Role 1,49,1.1023185483870968,0
16,Traer informacion estudiante - banner,2016-05-19 18:29:47,2016-05-19 18:30:11,Role 1,58,1.0,0
8,Radicar Solicitud Homologacion,2016-05-19 18:34:49,2016-05-19 18:39:17,Role 1,50,1.1023185483870968,0
17,Traer informacion estudiante - banner,2016-05-19 19:25:22,2016-05-19 19:25:46,Role 1,59,1.0,0
18,Traer informacion estudiante - banner,2016-05-19 20:58:57,2016-05-19 20:59:21,Role 1,60,1.0,0
19,Traer informacion estudiante - banner,2016-05-19 21:15:02,2016-05-19 21:15:27,Role 1,61,1.0,0
20,Traer informacion estudiante - banner,2016-05-19 22:08:33,2016-05-19 22:08:58,Role 1,62,1.0,0
9,Radicar Solicitud Homologacion,2016-05-19 23:19:24,2016-05-19 23:23:26,Role 1,51,1.1023185483870968,0
21,Traer informacion estudiante - banner,2016-05-19 23:40:29,2016-05-19 23:40:54,Role 1,63,1.0,0
10,Radicar Solicitud Homologacion,2016-05-20 00:27:30,2016-05-20 00:33:38,Role 1,52,1.1023185483870968,0
11,Radicar Solicitud Homologacion,2016-05-20 00:52:29,2016-05-20 00:58:34,Role 1,53,1.1023185483870968,0
12,Radicar Solicitud Homologacion,2016-05-20 01:15:48,2016-05-20 01:21:50,Role 1,54,1.1023185483870968,0
22,Traer informacion estudiante - banner,2016-05-20 01:21:22,2016-05-20 01:22:25,Role 1,64,1.0,0
13,Radicar Solicitud Homologacion,2016-05-20 02:05:22,2016-05-20 02:11:19,Role 1,55,1.1023185483870968,0
23,Traer informacion estudiante - banner,2016-05-20 02:16:39,2016-05-20 02:17:41,Role 1,65,1.0,0
14,Radicar Solicitud Homologacion,2016-05-20 03:00:50,2016-05-20 03:06:40,Role 1,56,1.1023185483870968,0
22,Radicar Solicitud Homologacion,2016-05-20 03:09:33,2016-05-20 03:18:24,Role 1,64,1.1023185483870968,0
15,Radicar Solicitud Homologacion,2016-05-20 03:35:42,2016-05-20 03:41:27,Role 1,57,1.1023185483870968,0
23,Radicar Solicitud Homologacion,2016-05-20 04:00:28,2016-05-20 04:09:10,Role 1,65,1.1023185483870968,0
16,Radicar Solicitud Homologacion,2016-05-20 04:34:51,2016-05-20 04:40:28,Role 1,58,1.1023185483870968,0
17,Radicar Solicitud Homologacion,2016-05-20 05:14:52,2016-05-20 05:20:24,Role 1,59,1.1023185483870968,0
18,Radicar Solicitud Homologacion,2016-05-20 06:33:09,2016-05-20 06:38:29,Role 1,60,1.1023185483870968,0
19,Radicar Solicitud Homologacion,2016-05-20 06:34:14,2016-05-20 06:38:44,Role 1,61,2.102318548387097,0
24,Traer informacion estudiante - banner,2016-05-20 06:40:38,2016-05-20 06:41:34,Role 1,66,1.0,0
20,Radicar Solicitud Homologacion,2016-05-20 07:12:59,2016-05-20 07:18:18,Role 1,62,1.1023185483870968,0
25,Traer informacion estudiante - banner,2016-05-20 08:07:28,2016-05-20 08:08:23,Role 1,67,1.0,0
24,Radicar Solicitud Homologacion,2016-05-20 08:20:58,2016-05-20 08:28:43,Role 1,66,1.1023185483870968,0
21,Radicar Solicitud Homologacion,2016-05-20 08:30:25,2016-05-20 08:35:36,Role 1,63,1.1023185483870968,0
25,Radicar Solicitud Homologacion,2016-05-20 09:44:30,2016-05-20 09:51:59,Role 1,67,1.1023185483870968,0
22,Validar solicitud,2016-05-20 09:49:58,2016-05-20 10:04:13,Role 2,65,1.2416834677419355,0
26,Traer informacion estudiante - banner,2016-05-20 10:42:53,2016-05-20 10:43:48,Role 1,68,1.0,0
23,Validar solicitud,2016-05-20 10:34:55,2016-05-20 10:48:38,Role 2,65,1.2416834677419355,0
11,Validar solicitud,2016-05-20 10:49:00,2016-05-20 11:04:42,Role 2,63,1.2416834677419355,0
27,Traer informacion estudiante - banner,2016-05-20 11:23:58,2016-05-20 11:24:50,Role 1,69,1.0,0
13,Validar solicitud,2016-05-20 11:25:27,2016-05-20 11:40:34,Role 2,64,1.2416834677419355,0
26,Radicar Solicitud Homologacion,2016-05-20 12:07:09,2016-05-20 12:14:21,Role 1,68,1.1023185483870968,0
14,Validar solicitud,2016-05-20 11:59:55,2016-05-20 12:14:35,Role 2,65,1.2416834677419355,0
27,Radicar Solicitud Homologacion,2016-05-20 12:54:34,2016-05-20 13:01:32,Role 1,69,1.1023185483870968,0
28,Traer informacion estudiante - banner,2016-05-20 13:06:40,2016-05-20 13:07:33,Role 1,70,1.0,0
16,Validar solicitud,2016-05-20 13:06:30,2016-05-20 13:20:13,Role 2,65,1.2416834677419355,0
17,Validar solicitud,2016-05-20 13:33:14,2016-05-20 13:46:36,Role 2,65,1.2416834677419355,0
28,Radicar Solicitud Homologacion,2016-05-20 14:25:00,2016-05-20 14:31:36,Role 1,70,1.1023185483870968,0
10,Cancelar Solicitud,2016-05-20 14:31:05,2016-05-20 14:31:59,Role 2,63,1.2653729838709677,0
19,Validar solicitud,2016-05-20 14:25:57,2016-05-20 14:35:59,Role 2,65,1.2416834677419355,0
12,Cancelar Solicitud,2016-05-20 14:39:45,2016-05-20 14:40:34,Role 2,64,1.2653729838709677,0
18,Validar solicitud,2016-05-20 14:39:43,2016-05-20 14:52:21,Role 2,65,1.2416834677419355,0
20,Validar solicitud,2016-05-20 14:47:05,2016-05-20 14:58:45,Role 2,66,2.2416834677419355,0
29,Traer informacion estudiante - banner,2016-05-20 15:45:25,2016-05-20 15:46:14,Role 1,71,1.0,0
21,Validar solicitud,2016-05-20 15:46:27,2016-05-20 15:58:19,Role 2,67,1.2416834677419355,0
25,Validar solicitud,2016-05-20 15:50:02,2016-05-20 16:00:17,Role 2,67,2.2416834677419355,0
15,Cancelar Solicitud,2016-05-20 16:03:13,2016-05-20 16:03:49,Role 2,65,1.2653729838709677,0
4,Validar solicitud,2016-05-20 16:03:08,2016-05-20 16:18:23,Role 2,55,1.2416834677419355,0
6,Validar solicitud,2016-05-20 16:22:58,2016-05-20 16:37:39,Role 2,57,1.2416834677419355,0
7,Validar solicitud,2016-05-20 16:28:20,2016-05-20 16:41:54,Role 2,57,2.2416834677419355,0
30,Traer informacion estudiante - banner,2016-05-20 16:41:24,2016-05-20 16:42:15,Role 1,72,1.0,0
5,Validar solicitud,2016-05-20 16:44:23,2016-05-20 16:59:05,Role 2,56,1.2416834677419355,0
11,Recepcion de documentos,2016-05-20 17:14:41,2016-05-20 17:15:28,Role 2,68,1.0148689516129032,0
29,Radicar Solicitud Homologacion,2016-05-20 17:09:51,2016-05-20 17:16:10,Role 1,71,1.1023185483870968,0
22,Recepcion de documentos,2016-05-20 17:24:24,2016-05-20 17:25:20,Role 2,67,1.0148689516129032,0
13,Recepcion de documentos,2016-05-20 17:25:22,2016-05-20 17:26:04,Role 2,69,1.0148689516129032,0
31,Traer informacion estudiante - banner,2016-05-20 17:37:41,2016-05-20 17:38:29,Role 1,73,1.0,0
14,Homologacion por grupo de cursos,2016-05-20 17:56:23,2016-05-20 17:56:25,Role 3,69,1.5632560483870968,0
23,Recepcion de documentos,2016-05-20 17:57:46,2016-05-20 17:58:38,Role 2,68,1.0148689516129032,0
30,Radicar Solicitud Homologacion,2016-05-20 17:57:46,2016-05-20 18:04:07,Role 1,72,1.1023185483870968,0
32,Traer informacion estudiante - banner,2016-05-20 18:32:44,2016-05-20 18:33:32,Role 1,74,1.0,0
16,Homologacion por grupo de cursos,2016-05-20 18:42:18,2016-05-20 18:42:18,Role 3,70,1.5632560483870968,0
1,Notificacion estudiante cancelacion soli,2016-05-20 18:46:05,2016-05-20 18:46:05,Role 2,50,1.0,0
17,Homologacion por grupo de cursos,2016-05-20 19:01:27,2016-05-20 19:01:27,Role 3,70,1.5632560483870968,0
31,Radicar Solicitud Homologacion,2016-05-20 18:56:16,2016-05-20 19:02:23,Role 1,73,1.1023185483870968,0
2,Notificacion estudiante cancelacion soli,2016-05-20 19:02:46,2016-05-20 19:02:46,Role 2,50,1.0,0
33,Traer informacion estudiante - banner,2016-05-20 19:04:18,2016-05-20 19:05:05,Role 1,72,1.0,0
22,Homologacion por grupo de cursos,2016-05-20 19:15:31,2016-05-20 19:16:18,Role 3,72,1.5632560483870968,0
27,Validar solicitud,2016-05-20 19:11:17,2016-05-20 19:20:50,Role 2,69,1.2416834677419355,0
13,Homologacion por grupo de cursos,2016-05-20 19:30:49,2016-05-20 19:31:18,Role 3,72,1.5632560483870968,0
11,Homologacion por grupo de cursos,2016-05-20 19:35:55,2016-05-20 19:36:27,Role 3,72,1.5632560483870968,0
23,Homologacion por grupo de cursos,2016-05-20 19:36:01,2016-05-20 19:36:38,Role 3,73,2.563256048387097,0
19,Homologacion por grupo de cursos,2016-05-20 19:36:43,2016-05-20 19:36:43,Role 3,70,1.5632560483870968,0
11,Revisar curso,2016-05-20 19:36:31,2016-05-20 19:37:00,Role 2,70,1.047883064516129,0
11,Homologacion por grupo de cursos,2016-05-20 19:37:04,2016-05-20 19:37:23,Role 3,69,1.5632560483870968,0
14,Revisar curso,2016-05-20 19:39:05,2016-05-20 19:39:43,Role 2,73,1.047883064516129,0
14,Homologacion por grupo de cursos,2016-05-20 19:39:47,2016-05-20 19:39:57,Role 3,68,1.5632560483870968,0
20,Recepcion de documentos,2016-05-20 19:41:40,2016-05-20 19:41:41,Role 2,70,1.0148689516129032,0
18,Homologacion por grupo de cursos,2016-05-20 19:47:36,2016-05-20 19:47:36,Role 3,70,1.5632560483870968,0
32,Radicar Solicitud Homologacion,2016-05-20 19:48:29,2016-05-20 19:54:31,Role 1,74,1.1023185483870968,0
9,Validar solicitud,2016-05-20 19:46:09,2016-05-20 19:58:56,Role 2,62,1.2416834677419355,0
16,Revisar curso,2016-05-20 20:09:24,2016-05-20 20:09:57,Role 2,74,1.047883064516129,0
