caseid,timestamp
Case1,2012-03-13 00:46:15
Case2,2012-03-13 01:55:36
Case3,2012-03-13 02:47:12
Case4,2012-03-13 03:27:58
Case5,2012-03-13 04:36:50
Case6,2012-03-13 05:21:47
Case7,2012-03-13 06:21:24
Case8,2012-03-13 07:46:50
Case9,2012-03-13 08:47:38
Case10,2012-03-13 09:12:11
Case11,2012-03-13 10:40:09
Case12,2012-03-13 11:24:16
Case13,2012-03-13 13:10:34
Case14,2012-03-13 14:41:53
Case15,2012-03-13 15:13:44
Case16,2012-03-13 16:03:36
Case17,2012-03-13 18:51:47
Case18,2012-03-13 20:01:57
Case19,2012-03-13 21:28:11
Case20,2012-03-13 23:27:31
Case21,2012-03-14 02:23:44
Case22,2012-03-14 04:40:53
Case23,2012-03-14 06:19:18
Case24,2012-03-14 07:20:19
Case25,2012-03-14 09:53:43
Case26,2012-03-14 13:47:04
Case27,2012-03-14 14:14:03
Case28,2012-03-14 16:47:59
Case29,2012-03-14 17:21:09
Case30,2012-03-14 19:03:28
Case31,2012-03-14 21:48:14
Case32,2012-03-14 22:48:05
Case33,2012-03-14 23:29:59
Case34,2012-03-15 00:56:51
Case35,2012-03-15 02:26:52
Case36,2012-03-15 06:41:25
Case37,2012-03-15 08:02:45
Case38,2012-03-15 12:43:44
Case39,2012-03-15 13:18:12
Case40,2012-03-15 14:49:40
Case41,2012-03-15 15:13:32
Case42,2012-03-15 18:06:46
Case43,2012-03-15 22:02:19
Case44,2012-03-16 01:44:41
Case45,2012-03-16 03:11:30
