caseid,task,start:timestamp,time:timestamp,role,st_wip,st_tsk_wip,queue
1,Turning & Milling,2012-03-13 00:08:12,2012-03-13 04:28:33,Role 1,12,1.649190439475713,0
2,Rework Milling,2012-03-13 01:27:33,2012-03-13 05:54:10,SYSTEM,13,1,0
3,Rework Milling,2012-03-13 02:06:55,2012-03-13 06:25:56,SYSTEM,14,2,0
4,Rework Milling,2012-03-13 03:05:45,2012-03-13 07:17:09,SYSTEM,15,3,0
5,Turning,2012-03-13 04:11:27,2012-03-13 08:26:22,SYSTEM,16,1,0
6,Turning & Milling,2012-03-13 05:20:30,2012-03-13 09:20:44,Role 1,17,1.649190439475713,0
1,Laser Marking,2012-03-13 08:15:18,2012-03-13 11:04:25,Role 4,16,1.0609097918272938,0
7,Turning & Milling,2012-03-13 07:29:57,2012-03-13 11:09:38,Role 1,18,2.649190439475713,0
8,Turning,2012-03-13 08:30:30,2012-03-13 12:30:44,SYSTEM,19,1,0
2,Turning,2012-03-13 09:51:54,2012-03-13 13:14:10,SYSTEM,17,2,0
3,Change Version,2012-03-13 10:23:28,2012-03-13 13:43:49,SYSTEM,17,1,0
4,Turning & Milling,2012-03-13 11:10:22,2012-03-13 14:14:54,Role 1,17,1.649190439475713,0
9,Rework Milling,2012-03-13 10:53:11,2012-03-13 14:45:42,SYSTEM,20,1,0
6,Turning & Milling Q.C.,2012-03-13 12:59:40,2012-03-13 15:24:55,Role 3,19,1.174248265227448,0
5,Turning Q.C.,2012-03-13 12:21:17,2012-03-13 15:32:40,SYSTEM,18,1,0
10,Turning & Milling,2012-03-13 12:37:30,2012-03-13 16:02:20,Role 1,21,2.649190439475713,0
1,Flat Grinding,2012-03-13 15:10:53,2012-03-13 16:32:48,Role 4,20,1.0246723207401696,0
11,Turning,2012-03-13 13:03:14,2012-03-13 16:44:46,SYSTEM,22,2,0
7,Laser Marking,2012-03-13 14:53:23,2012-03-13 17:06:55,Role 4,20,1.0609097918272938,0
12,Rework Milling,2012-03-13 14:27:52,2012-03-13 18:05:30,SYSTEM,23,2,0
13,Turning & Milling Q.C.,2012-03-13 15:31:06,2012-03-13 18:24:35,Role 3,24,1.174248265227448,0
8,Turning Q.C.,2012-03-13 16:24:10,2012-03-13 19:16:00,SYSTEM,20,1,0
3,Final Inspection Q.C.,2012-03-13 17:51:59,2012-03-13 19:22:28,Role 3,22,1.202775636083269,0
2,Turning Q.C.,2012-03-13 17:22:34,2012-03-13 19:28:09,SYSTEM,22,2,0
14,Turning & Milling,2012-03-13 16:16:44,2012-03-13 19:43:40,Role 1,25,1.649190439475713,0
4,Laser Marking,2012-03-13 18:23:12,2012-03-13 20:04:43,Role 4,22,1.0609097918272938,0
15,Turning & Milling,2012-03-13 17:12:16,2012-03-13 20:24:32,Role 1,26,2.649190439475713,0
9,Turning & Milling,2012-03-13 18:31:43,2012-03-13 20:48:40,Role 1,23,3.649190439475713,0
6,Flat Grinding,2012-03-13 19:43:36,2012-03-13 20:52:39,Role 4,23,1.0246723207401696,0
5,Turning & Milling,2012-03-13 19:40:08,2012-03-13 21:17:20,Role 1,24,4.6491904394757135,0
16,Rework Milling,2012-03-13 18:07:51,2012-03-13 21:38:51,SYSTEM,27,1,0
10,Milling,2012-03-13 19:46:19,2012-03-13 22:11:09,SYSTEM,24,1,0
1,Lapping,2012-03-13 21:03:07,2012-03-13 22:18:02,Role 4,25,1.123361603700848,0
7,Lapping,2012-03-13 21:17:28,2012-03-13 22:31:07,Role 4,25,2.123361603700848,0
11,Turning Q.C.,2012-03-13 20:31:45,2012-03-13 23:03:24,SYSTEM,25,1,0
13,Turning & Milling,2012-03-13 21:55:29,2012-03-13 23:47:50,Role 1,27,2.649190439475713,0
12,Change Version,2012-03-13 21:53:37,2012-03-14 00:20:32,SYSTEM,26,1,0
17,Turning & Milling,2012-03-13 21:31:16,2012-03-14 00:44:52,Role 1,28,1.649190439475713,0
8,Turning & Milling,2012-03-13 23:28:12,2012-03-14 00:58:16,Role 1,27,4.6491904394757135,0
3,Grinding Rework,2012-03-13 23:50:31,2012-03-14 00:58:47,Role 2,27,1.012336160370085,0
2,Turning & Milling,2012-03-13 23:47:32,2012-03-14 01:00:50,Role 1,27,5.6491904394757135,0
14,Milling,2012-03-13 23:24:52,2012-03-14 01:42:50,SYSTEM,27,1,0
15,Turning & Milling Q.C.,2012-03-13 23:56:27,2012-03-14 01:43:11,Role 3,27,1.174248265227448,0
18,Turning & Milling,2012-03-13 23:07:23,2012-03-14 01:55:46,Role 1,29,3.649190439475713,0
4,Round Grinding,2012-03-14 00:26:31,2012-03-14 02:17:53,Role 2,27,1.4379336931380107,0
6,Lapping,2012-03-14 01:38:16,2012-03-14 03:10:18,Role 4,27,1.123361603700848,0
5,Laser Marking,2012-03-14 01:53:33,2012-03-14 03:19:28,Role 4,27,1.0609097918272938,0
9,Turning,2012-03-14 01:04:17,2012-03-14 03:26:33,SYSTEM,27,1,0
1,Turning Rework,2012-03-14 02:37:17,2012-03-14 04:12:58,SYSTEM,28,1,0
16,Turning & Milling,2012-03-14 01:21:22,2012-03-14 04:25:02,Role 1,28,3.649190439475713,0
7,Turning Rework,2012-03-14 02:53:01,2012-03-14 04:29:57,SYSTEM,28,2,0
10,Final Inspection Q.C.,2012-03-14 02:25:59,2012-03-14 04:36:06,Role 3,28,1.202775636083269,0
19,Turning & Milling,2012-03-14 01:02:33,2012-03-14 05:22:02,Role 1,30,2.649190439475713,0
11,Turning & Milling,2012-03-14 03:24:11,2012-03-14 05:39:17,Role 1,28,3.649190439475713,0
13,Milling,2012-03-14 04:06:39,2012-03-14 06:10:53,SYSTEM,29,1,0
17,Turning & Milling Q.C.,2012-03-14 04:22:21,2012-03-14 06:44:32,Role 3,29,1.174248265227448,0
