caseid,timestamp
Case1,2011-06-20 23:39:18
Case2,2011-06-20 23:54:17
Case3,2011-06-21 02:30:07
Case4,2011-06-21 03:05:07
Case5,2011-06-21 08:38:26
Case6,2011-06-21 09:15:42
Case7,2011-06-21 10:41:34
Case8,2011-06-21 11:41:48
Case9,2011-06-21 15:24:44
Case10,2011-06-21 16:34:16
Case11,2011-06-21 17:30:49
Case12,2011-06-21 18:06:39
Case13,2011-06-21 19:31:06
Case14,2011-06-21 20:05:58
Case15,2011-06-21 21:20:49
Case16,2011-06-21 22:23:25
Case17,2011-06-22 01:44:31
Case18,2011-06-22 03:55:14
Case19,2011-06-22 04:49:44
Case20,2011-06-22 06:20:57
Case21,2011-06-22 07:33:22
Case22,2011-06-22 10:54:23
Case23,2011-06-22 12:32:54
Case24,2011-06-22 13:10:45
Case25,2011-06-22 16:38:26
Case26,2011-06-22 23:04:43
Case27,2011-06-23 00:11:48
Case28,2011-06-23 02:13:52
Case29,2011-06-23 03:39:52
Case30,2011-06-23 05:42:46
Case31,2011-06-23 06:43:59
Case32,2011-06-23 08:29:19
Case33,2011-06-23 09:15:59
Case34,2011-06-23 09:53:58
Case35,2011-06-23 13:27:18
Case36,2011-06-23 15:29:10
Case37,2011-06-23 17:01:31
Case38,2011-06-23 19:58:52
Case39,2011-06-23 21:23:01
Case40,2011-06-24 02:02:53
Case41,2011-06-24 03:36:47
Case42,2011-06-24 03:49:42
Case43,2011-06-24 05:35:31
Case44,2011-06-24 09:22:35
Case45,2011-06-24 11:24:06
Case46,2011-06-24 11:49:25
Case47,2011-06-24 13:25:18
Case48,2011-06-24 18:48:28
Case49,2011-06-25 03:30:01
Case50,2011-06-25 04:43:27
Case51,2011-06-25 06:21:20
Case52,2011-06-25 07:47:27
Case53,2011-06-25 09:11:10
Case54,2011-06-25 10:25:32
Case55,2011-06-25 11:14:39
Case56,2011-06-25 12:08:36
Case57,2011-06-25 14:17:22
Case58,2011-06-25 14:52:54
Case59,2011-06-25 17:32:04
Case60,2011-06-25 21:33:19
Case61,2011-06-25 22:00:11
Case62,2011-06-25 23:32:00
Case63,2011-06-26 00:22:01
Case64,2011-06-26 07:37:29
Case65,2011-06-26 09:12:15
Case66,2011-06-26 10:53:07
Case67,2011-06-26 17:06:12
Case68,2011-06-26 18:00:04
Case69,2011-06-26 18:58:30
Case70,2011-06-26 21:09:26
Case71,2011-06-27 01:14:12
Case72,2011-06-27 02:26:41
Case73,2011-06-27 05:43:42
Case74,2011-06-27 06:13:28
Case75,2011-06-27 09:10:32
Case76,2011-06-27 10:57:13
Case77,2011-06-27 12:29:08
Case78,2011-06-27 13:05:36
Case79,2011-06-27 14:04:35
Case80,2011-06-27 15:18:28
Case81,2011-06-27 18:03:51
Case82,2011-06-27 20:11:57
Case83,2011-06-27 21:16:04
Case84,2011-06-27 22:22:24
Case85,2011-06-28 00:08:53
Case86,2011-06-28 03:09:56
Case87,2011-06-28 05:29:51
Case88,2011-06-28 06:00:31
Case89,2011-06-28 07:38:33
Case90,2011-06-28 11:43:07
Case91,2011-06-28 12:23:00
Case92,2011-06-28 13:24:18
Case93,2011-06-28 14:40:19
Case94,2011-06-28 15:00:07
Case95,2011-06-28 18:36:05
Case96,2011-06-28 18:55:34
Case97,2011-06-28 20:32:52
Case98,2011-06-28 21:35:29
Case99,2011-06-29 00:37:36
Case100,2011-06-29 00:47:00
Case101,2011-06-29 02:32:10
