caseid,task,start:timestamp,time:timestamp,role,st_wip,st_tsk_wip,queue
1,Create Purchase Requisition,2011-06-20 19:40:34,2011-06-20 19:48:47,Role 1,41,1.1258027956176804,0
2,Create Purchase Requisition,2011-06-21 03:35:21,2011-06-21 03:44:17,Role 1,42,1.1258027956176804,0
3,Create Purchase Requisition,2011-06-21 05:26:05,2011-06-21 05:34:59,Role 1,43,1.1258027956176804,0
4,Create Purchase Requisition,2011-06-21 08:14:55,2011-06-21 08:23:46,Role 1,44,1.1258027956176804,0
5,Create Purchase Requisition,2011-06-21 12:40:25,2011-06-21 12:49:12,Role 1,45,1.1258027956176804,0
2,Create Request for Quotation,2011-06-21 14:01:52,2011-06-21 14:13:40,Role 3,42,1.047317718171515,0
6,Create Purchase Requisition,2011-06-21 15:29:27,2011-06-21 15:38:12,Role 1,46,1.1258027956176804,0
3,Create Request for Quotation,2011-06-21 15:59:54,2011-06-21 16:11:47,Role 3,43,1.047317718171515,0
7,Create Purchase Requisition,2011-06-21 16:51:28,2011-06-21 17:00:12,Role 1,47,1.1258027956176804,0
1,Analyze Purchase Requisition,2011-06-21 17:17:12,2011-06-21 17:21:32,Role 3,41,1.0333396297695505,0
1,Create Request for Quotation,2011-06-21 17:48:14,2011-06-21 18:07:09,Role 3,47,1.047317718171515,0
8,Create Purchase Requisition,2011-06-21 18:40:01,2011-06-21 18:48:43,Role 1,48,1.1258027956176804,0
4,Create Request for Quotation,2011-06-21 18:56:04,2011-06-21 19:08:03,Role 3,44,1.047317718171515,0
9,Create Purchase Requisition,2011-06-21 20:34:40,2011-06-21 20:43:21,Role 1,49,1.1258027956176804,0
10,Create Purchase Requisition,2011-06-21 21:39:35,2011-06-21 21:48:15,Role 1,50,1.1258027956176804,0
11,Create Purchase Requisition,2011-06-21 21:45:32,2011-06-21 21:54:03,Role 1,51,2.1258027956176804,0
12,Create Purchase Requisition,2011-06-21 23:02:07,2011-06-21 23:10:47,Role 1,52,1.1258027956176804,0
5,Create Request for Quotation,2011-06-21 23:28:54,2011-06-21 23:41:01,Role 3,45,1.047317718171515,0
13,Create Purchase Requisition,2011-06-22 00:34:19,2011-06-22 00:43:12,Role 1,53,1.1258027956176804,0
14,Create Purchase Requisition,2011-06-22 00:55:59,2011-06-22 01:04:51,Role 1,54,1.1258027956176804,0
15,Create Purchase Requisition,2011-06-22 01:51:18,2011-06-22 02:00:08,Role 1,55,1.1258027956176804,0
16,Create Purchase Requisition,2011-06-22 03:36:41,2011-06-22 03:45:29,Role 1,56,1.1258027956176804,0
17,Create Purchase Requisition,2011-06-22 03:57:49,2011-06-22 04:06:36,Role 1,57,1.1258027956176804,0
7,Create Request for Quotation,2011-06-22 03:54:50,2011-06-22 04:07:09,Role 3,47,1.047317718171515,0
18,Create Purchase Requisition,2011-06-22 05:21:41,2011-06-22 05:30:26,Role 1,58,1.1258027956176804,0
19,Create Purchase Requisition,2011-06-22 08:27:19,2011-06-22 08:36:01,Role 1,59,1.1258027956176804,0
20,Create Purchase Requisition,2011-06-22 10:41:39,2011-06-22 10:50:18,Role 1,60,1.1258027956176804,0
21,Create Purchase Requisition,2011-06-22 11:37:54,2011-06-22 11:46:32,Role 1,61,1.1258027956176804,0
22,Create Purchase Requisition,2011-06-22 13:16:53,2011-06-22 13:25:30,Role 1,62,1.1258027956176804,0
23,Create Purchase Requisition,2011-06-22 14:57:38,2011-06-22 15:06:13,Role 1,63,1.1258027956176804,0
6,Analyze Purchase Requisition,2011-06-22 16:35:19,2011-06-22 16:39:33,Role 3,46,1.0333396297695505,0
6,Create Request for Quotation,2011-06-22 17:02:49,2011-06-22 17:22:59,Role 3,63,1.047317718171515,0
24,Create Purchase Requisition,2011-06-22 18:28:15,2011-06-22 18:36:47,Role 1,64,1.1258027956176804,0
8,Analyze Purchase Requisition,2011-06-22 20:04:06,2011-06-22 20:08:20,Role 3,48,1.0333396297695505,0
25,Create Purchase Requisition,2011-06-22 20:57:22,2011-06-22 21:05:52,Role 1,65,1.1258027956176804,0
9,Analyze Purchase Requisition,2011-06-22 22:08:03,2011-06-22 22:12:17,Role 3,49,1.0333396297695505,0
26,Create Purchase Requisition,2011-06-22 22:18:51,2011-06-22 22:27:20,Role 1,66,1.1258027956176804,0
9,Create Request for Quotation,2011-06-22 22:36:04,2011-06-22 22:56:28,Role 3,65,1.047317718171515,0
14,Create Request for Quotation,2011-06-22 22:48:01,2011-06-22 22:57:09,Role 3,54,2.0473177181715148,0
27,Create Purchase Requisition,2011-06-22 22:50:06,2011-06-22 22:58:35,Role 1,67,1.1258027956176804,0
11,Analyze Purchase Requisition,2011-06-22 23:17:28,2011-06-22 23:22:10,Role 3,51,1.0333396297695505,0
2,Analyze Request for Quotation,2011-06-22 23:15:02,2011-06-22 23:28:36,Role 4,45,1.177465054778995,0
10,Analyze Purchase Requisition,2011-06-22 23:25:40,2011-06-22 23:29:53,Role 3,51,1.0333396297695505,0
12,Analyze Purchase Requisition,2011-06-23 01:04:18,2011-06-23 01:09:57,Role 3,52,1.0333396297695505,0
2,Amend Request for Quotation,2011-06-23 01:20:28,2011-06-23 01:40:56,Role 1,66,1.0573290517567058,0
3,Analyze Request for Quotation,2011-06-23 01:33:21,2011-06-23 01:47:48,Role 4,46,1.177465054778995,0
28,Create Purchase Requisition,2011-06-23 02:29:36,2011-06-23 02:38:16,Role 1,67,1.1258027956176804,0
29,Create Purchase Requisition,2011-06-23 03:40:29,2011-06-23 03:49:08,Role 1,68,1.1258027956176804,0
4,Analyze Request for Quotation,2011-06-23 05:05:34,2011-06-23 05:19:59,Role 4,48,1.177465054778995,0
18,Create Request for Quotation,2011-06-23 05:42:26,2011-06-23 05:55:06,Role 3,58,1.047317718171515,0
30,Create Purchase Requisition,2011-06-23 05:50:26,2011-06-23 05:59:04,Role 1,69,1.1258027956176804,0
8,Amend Purchase Requisition,2011-06-23 06:09:44,2011-06-23 06:30:19,Role 1,64,1.0017944843218738,0
31,Create Purchase Requisition,2011-06-23 06:58:38,2011-06-23 07:07:16,Role 1,70,1.1258027956176804,0
32,Create Purchase Requisition,2011-06-23 08:12:51,2011-06-23 08:21:28,Role 1,71,1.1258027956176804,0
33,Create Purchase Requisition,2011-06-23 09:16:58,2011-06-23 09:25:35,Role 1,72,1.1258027956176804,0
