caseid,timestamp
Case1,2022-07-05 14:55:22
Case2,2022-07-05 15:12:06
Case3,2022-07-05 16:08:13
Case4,2022-07-05 17:21:56
Case5,2022-07-05 18:00:47
Case6,2022-07-05 19:46:42
Case7,2022-07-05 20:47:11
Case8,2022-07-05 21:40:35
Case9,2022-07-05 22:11:14
Case10,2022-07-05 23:23:10
Case11,2022-07-06 00:34:14
Case12,2022-07-06 01:03:55
Case13,2022-07-06 02:59:17
Case14,2022-07-06 03:16:36
Case15,2022-07-06 04:21:31
Case16,2022-07-06 05:41:39
Case17,2022-07-06 06:45:46
Case18,2022-07-06 07:19:36
Case19,2022-07-06 08:54:16
Case20,2022-07-06 09:22:03
Case21,2022-07-06 11:58:30
Case22,2022-07-06 12:56:57
Case23,2022-07-06 13:24:17
Case24,2022-07-06 15:08:20
Case25,2022-07-06 16:01:26
Case26,2022-07-06 17:33:56
Case27,2022-07-06 18:45:23
Case28,2022-07-06 19:21:04
Case29,2022-07-06 21:57:01
Case30,2022-07-06 23:52:40
Case31,2022-07-07 00:51:54
Case32,2022-07-07 01:51:52
Case33,2022-07-07 02:45:37
Case34,2022-07-07 03:28:54
Case35,2022-07-07 04:25:54
Case36,2022-07-07 05:43:52
Case37,2022-07-07 06:40:34
Case38,2022-07-07 07:09:17
Case39,2022-07-07 08:08:41
Case40,2022-07-07 09:39:59
Case41,2022-07-07 10:47:21
Case42,2022-07-07 12:27:24
Case43,2022-07-07 13:51:30
Case44,2022-07-07 14:53:03
Case45,2022-07-07 15:56:39
Case46,2022-07-07 16:43:06
Case47,2022-07-07 17:25:44
Case48,2022-07-07 18:12:30
Case49,2022-07-07 19:03:09
Case50,2022-07-07 20:44:48
Case51,2022-07-07 23:42:35
Case52,2022-07-08 00:03:23
Case53,2022-07-08 01:10:02
Case54,2022-07-08 03:25:08
Case55,2022-07-08 04:35:52
Case56,2022-07-08 05:10:17
Case57,2022-07-08 06:17:52
Case58,2022-07-08 07:46:48
Case59,2022-07-08 08:32:33
Case60,2022-07-08 09:10:13
Case61,2022-07-08 10:36:14
Case62,2022-07-08 11:53:30
Case63,2022-07-08 12:46:33
Case64,2022-07-08 13:04:28
Case65,2022-07-08 15:55:11
Case66,2022-07-08 16:51:14
Case67,2022-07-08 18:30:31
Case68,2022-07-08 19:27:07
Case69,2022-07-08 21:33:14
Case70,2022-07-08 22:17:11
Case71,2022-07-08 23:41:58
Case72,2022-07-09 00:32:38
Case73,2022-07-09 01:27:19
Case74,2022-07-09 02:23:24
Case75,2022-07-09 03:28:15
Case76,2022-07-09 04:57:01
Case77,2022-07-09 05:20:04
Case78,2022-07-09 06:29:47
Case79,2022-07-09 07:38:17
Case80,2022-07-09 08:40:53
Case81,2022-07-09 09:27:56
Case82,2022-07-09 11:38:31
Case83,2022-07-09 12:47:47
Case84,2022-07-09 13:17:46
Case85,2022-07-09 13:59:39
Case86,2022-07-09 15:07:17
Case87,2022-07-09 16:21:56
Case88,2022-07-09 17:27:20
Case89,2022-07-09 18:48:57
Case90,2022-07-09 19:04:30
Case91,2022-07-09 20:05:13
Case92,2022-07-09 21:31:36
Case93,2022-07-09 22:23:54
Case94,2022-07-09 23:24:49
Case95,2022-07-10 00:40:04
Case96,2022-07-10 01:20:28
Case97,2022-07-10 02:20:20
Case98,2022-07-10 04:12:55
Case99,2022-07-10 05:26:28
Case100,2022-07-10 06:11:44
Case101,2022-07-10 07:40:49
Case102,2022-07-10 08:21:21
Case103,2022-07-10 10:32:21
Case104,2022-07-10 11:50:49
Case105,2022-07-10 12:48:50
Case106,2022-07-10 14:53:24
Case107,2022-07-10 15:23:51
Case108,2022-07-10 16:12:37
Case109,2022-07-10 17:11:42
Case110,2022-07-10 18:51:27
