caseid,task,start:timestamp,time:timestamp,role,st_wip,st_tsk_wip,queue
1,A_SUBMITTED,2022-07-05 14:15:39,2022-07-05 14:51:25,Role 1,101,1.1719995445228877,0
2,A_SUBMITTED,2022-07-05 16:00:56,2022-07-05 16:36:36,Role 1,102,1.1719995445228877,0
3,A_SUBMITTED,2022-07-05 17:02:01,2022-07-05 17:37:38,Role 1,103,1.1719995445228877,0
1,A_PARTLYSUBMITTED,2022-07-05 18:19:49,2022-07-05 18:39:07,Role 1,101,1.1182817125939422,0
4,A_SUBMITTED,2022-07-05 18:35:53,2022-07-05 19:11:28,Role 1,104,1.1719995445228877,0
5,A_SUBMITTED,2022-07-05 19:52:26,2022-07-05 20:27:55,Role 1,105,1.1719995445228877,0
2,A_PARTLYSUBMITTED,2022-07-05 20:08:25,2022-07-05 20:28:05,Role 1,102,1.1182817125939422,0
6,A_SUBMITTED,2022-07-05 20:27:55,2022-07-05 21:03:26,Role 1,106,1.1719995445228877,0
3,A_PARTLYSUBMITTED,2022-07-05 21:12:54,2022-07-05 21:32:12,Role 1,103,1.1182817125939422,0
4,A_PARTLYSUBMITTED,2022-07-05 22:48:59,2022-07-05 23:08:37,Role 1,104,1.1182817125939422,0
7,A_SUBMITTED,2022-07-05 22:41:26,2022-07-05 23:16:46,Role 1,107,1.1719995445228877,0
8,A_SUBMITTED,2022-07-06 00:09:47,2022-07-06 00:48:38,Role 1,108,1.1719995445228877,0
5,A_PARTLYSUBMITTED,2022-07-06 00:20:55,2022-07-06 00:50:07,Role 1,106,1.1182817125939422,1
6,A_PARTLYSUBMITTED,2022-07-06 00:49:01,2022-07-06 01:19:11,Role 1,106,2.118281712593942,0
9,A_SUBMITTED,2022-07-06 01:40:29,2022-07-06 02:19:14,Role 1,109,1.1719995445228877,0
10,A_SUBMITTED,2022-07-06 02:27:22,2022-07-06 03:06:04,Role 1,110,1.1719995445228877,0
7,A_PARTLYSUBMITTED,2022-07-06 03:06:02,2022-07-06 03:35:10,Role 1,107,1.1182817125939422,0
11,A_SUBMITTED,2022-07-06 03:35:08,2022-07-06 04:13:23,Role 1,111,1.1719995445228877,0
8,A_PARTLYSUBMITTED,2022-07-06 03:57:38,2022-07-06 04:23:17,Role 1,108,1.1182817125939422,0
12,A_SUBMITTED,2022-07-06 04:13:23,2022-07-06 04:51:36,Role 1,112,1.1719995445228877,0
9,A_PARTLYSUBMITTED,2022-07-06 05:18:03,2022-07-06 05:42:18,Role 1,109,1.1182817125939422,0
13,A_SUBMITTED,2022-07-06 05:34:19,2022-07-06 06:12:29,Role 1,113,1.1719995445228877,0
14,A_SUBMITTED,2022-07-06 06:07:02,2022-07-06 06:44:39,Role 1,114,2.1719995445228877,0
10,A_PARTLYSUBMITTED,2022-07-06 06:21:55,2022-07-06 06:47:27,Role 1,110,1.1182817125939422,0
15,A_SUBMITTED,2022-07-06 07:17:42,2022-07-06 07:56:09,Role 1,115,1.1719995445228877,0
11,A_PARTLYSUBMITTED,2022-07-06 07:38:29,2022-07-06 08:03:40,Role 1,112,1.1182817125939422,1
12,A_PARTLYSUBMITTED,2022-07-06 08:13:39,2022-07-06 08:38:49,Role 1,112,1.1182817125939422,0
16,A_SUBMITTED,2022-07-06 08:00:53,2022-07-06 08:38:58,Role 1,116,1.1719995445228877,0
17,A_SUBMITTED,2022-07-06 09:01:06,2022-07-06 09:39:28,Role 1,117,1.1719995445228877,0
13,A_PARTLYSUBMITTED,2022-07-06 09:44:41,2022-07-06 10:08:31,Role 1,114,1.1182817125939422,0
