caseid,task,start:timestamp,time:timestamp,role,st_wip,st_tsk_wip,queue
1,A_SUBMITTED,2022-07-05 14:55:22,2022-07-05 15:31:36,Role 1,101,1.1719995445228877,0
2,A_SUBMITTED,2022-07-05 15:12:06,2022-07-05 15:47:48,Role 1,102,2.1719995445228877,0
1,A_PARTLYSUBMITTED,2022-07-05 15:31:36,2022-07-05 15:50:24,Role 1,102,1.1182817125939422,0
2,A_PARTLYSUBMITTED,2022-07-05 15:47:48,2022-07-05 16:06:48,Role 1,102,2.118281712593942,0
3,A_SUBMITTED,2022-07-05 16:08:13,2022-07-05 16:44:32,Role 1,103,1.1719995445228877,0
3,A_PARTLYSUBMITTED,2022-07-05 16:44:32,2022-07-05 17:03:35,Role 1,103,1.1182817125939422,0
4,A_SUBMITTED,2022-07-05 17:21:56,2022-07-05 17:58:14,Role 1,104,1.1719995445228877,0
4,A_PARTLYSUBMITTED,2022-07-05 17:58:14,2022-07-05 18:17:17,Role 1,104,1.1182817125939422,0
5,A_SUBMITTED,2022-07-05 18:00:47,2022-07-05 18:36:50,Role 1,105,1.1719995445228877,0
5,A_PARTLYSUBMITTED,2022-07-05 18:36:50,2022-07-05 18:56:01,Role 1,105,1.1182817125939422,0
6,A_SUBMITTED,2022-07-05 19:46:42,2022-07-05 20:22:57,Role 1,106,1.1719995445228877,0
6,A_PARTLYSUBMITTED,2022-07-05 20:22:57,2022-07-05 20:42:01,Role 1,106,1.1182817125939422,0
7,A_SUBMITTED,2022-07-05 20:47:11,2022-07-05 21:23:25,Role 1,107,1.1719995445228877,0
7,A_PARTLYSUBMITTED,2022-07-05 21:23:25,2022-07-05 21:42:29,Role 1,107,1.1182817125939422,0
8,A_SUBMITTED,2022-07-05 21:40:35,2022-07-05 22:16:34,Role 1,108,1.1719995445228877,0
8,A_PARTLYSUBMITTED,2022-07-05 22:16:34,2022-07-05 22:35:52,Role 1,109,1.1182817125939422,0
9,A_SUBMITTED,2022-07-05 22:11:14,2022-07-05 22:47:05,Role 1,109,2.1719995445228877,0
