caseid,task,start:timestamp,time:timestamp,role,st_wip,st_tsk_wip,queue
1,A,2020-08-17 15:02:34,2020-08-17 15:08:01,Role 5,6,1.0431617264690587,0
1,B,2020-08-17 15:32:58,2020-08-17 15:37:11,Role 5,6,1.0436817472698907,0
1,E,2020-08-17 15:37:11,2020-08-17 15:40:43,Role 5,6,1.0422256890275612,0
1,F,2020-08-17 15:40:43,2020-08-17 15:44:37,Role 5,6,1.03733749349974,0
1,C,2020-08-17 15:44:37,2020-08-17 15:51:30,Role 5,6,1.0390015600624025,0
1,D,2020-08-17 15:51:30,2020-08-17 16:00:44,Role 5,6,1.040665626625065,0
1,H,2020-08-17 16:00:44,2020-08-17 16:05:09,Role 5,6,1.0451378055122205,0
2,A,2020-08-17 16:19:23,2020-08-17 16:24:50,Role 5,7,1.0431617264690587,0
2,B,2020-08-17 16:50:30,2020-08-17 16:54:42,Role 5,7,1.0436817472698907,0
2,E,2020-08-17 16:54:42,2020-08-17 16:58:14,Role 5,7,1.0422256890275612,0
2,F,2020-08-17 16:58:14,2020-08-17 17:02:08,Role 5,7,1.03733749349974,0
2,C,2020-08-17 17:02:08,2020-08-17 17:09:01,Role 5,7,1.0390015600624025,0
2,D,2020-08-17 17:09:01,2020-08-17 17:18:21,Role 5,7,1.040665626625065,0
2,H,2020-08-17 17:18:21,2020-08-17 17:22:45,Role 5,7,1.0451378055122205,0
1,G,2020-08-17 17:26:37,2020-08-17 17:27:42,Role 5,6,1.0420176807072283,0
3,A,2020-08-17 17:38:35,2020-08-17 17:44:02,Role 5,8,1.0431617264690587,0
1,I,2020-08-17 17:55:00,2020-08-17 18:02:14,Role 5,7,1.0636505460218408,0
3,B,2020-08-17 18:10:25,2020-08-17 18:14:37,Role 5,8,1.0436817472698907,0
1,J,2020-08-17 18:14:37,2020-08-17 18:17:29,Role 5,8,1.3449817992719708,0
3,E,2020-08-17 18:17:29,2020-08-17 18:21:01,Role 5,8,1.0422256890275612,1
3,F,2020-08-17 18:21:01,2020-08-17 18:24:54,Role 5,8,1.03733749349974,0
3,C,2020-08-17 18:24:54,2020-08-17 18:31:48,Role 5,8,1.0390015600624025,0
1,K,2020-08-17 18:31:48,2020-08-17 18:34:43,Role 5,8,1.0498179927197089,1
3,D,2020-08-17 18:34:43,2020-08-17 18:44:08,Role 5,8,1.040665626625065,1
4,A,2020-08-17 18:44:08,2020-08-17 18:49:35,Role 5,9,1.0431617264690587,0
3,H,2020-08-17 18:49:35,2020-08-17 18:53:59,Role 5,9,1.0451378055122205,1
2,G,2020-08-17 18:53:59,2020-08-17 18:55:02,Role 5,7,1.0420176807072283,0
1,N,2020-08-17 18:55:02,2020-08-17 18:58:00,Role 5,8,1.0142485699427977,1
5,A,2020-08-17 19:17:29,2020-08-17 19:22:55,Role 5,10,1.0431617264690587,0
4,B,2020-08-17 19:22:55,2020-08-17 19:27:06,Role 5,9,1.0436817472698907,3
2,I,2020-08-17 19:27:06,2020-08-17 19:34:07,Role 5,9,1.0636505460218408,1
4,E,2020-08-17 19:34:07,2020-08-17 19:37:39,Role 5,10,1.0422256890275612,1
4,F,2020-08-17 19:37:39,2020-08-17 19:41:28,Role 5,10,1.03733749349974,0
4,C,2020-08-17 19:41:28,2020-08-17 19:48:00,Role 5,10,1.0390015600624025,0
