caseid,task,start:timestamp,time:timestamp,role,st_wip,st_tsk_wip,queue
1,A,2020-08-17 14:44:34,2020-08-17 14:51:07,Role 5,5,2.008450704225352,0
1,B,2020-08-17 15:17:02,2020-08-17 15:19:59,Role 5,5,2.028169014084507,0
1,E,2020-08-17 15:20:19,2020-08-17 15:22:33,Role 5,5,2.0140845070422535,0
1,F,2020-08-17 15:22:48,2020-08-17 15:25:39,Role 5,5,2.0253521126760563,0
1,C,2020-08-17 15:25:56,2020-08-17 15:32:37,Role 5,5,2.0140845070422535,0
1,D,2020-08-17 15:32:54,2020-08-17 15:41:57,Role 5,5,2.0225352112676056,0
1,H,2020-08-17 15:42:21,2020-08-17 15:45:43,Role 5,5,2.028169014084507,0
1,G,2020-08-17 16:48:56,2020-08-17 16:49:29,Role 5,5,2.0338028169014084,0
2,A,2020-08-17 16:49:29,2020-08-17 16:56:00,Role 5,6,2.008450704225352,1
3,A,2020-08-17 16:56:00,2020-08-17 17:02:31,Role 5,7,2.008450704225352,2
1,I,2020-08-17 17:14:41,2020-08-17 17:23:20,Role 5,7,2.0405405405405403,2
2,B,2020-08-17 17:23:20,2020-08-17 17:26:11,Role 5,7,2.028169014084507,2
3,B,2020-08-17 17:29:21,2020-08-17 17:32:12,Role 5,7,2.028169014084507,2
1,J,2020-08-17 17:34:28,2020-08-17 17:34:28,Role 5,7,2.0367504835589942,2
2,E,2020-08-17 17:34:28,2020-08-17 17:36:39,Role 5,7,2.0140845070422535,2
3,E,2020-08-17 17:36:39,2020-08-17 17:38:50,Role 5,7,2.0140845070422535,2
4,A,2020-08-17 17:38:50,2020-08-17 17:45:21,Role 5,8,2.008450704225352,3
1,K,2020-08-17 17:45:21,2020-08-17 17:54:48,Role 5,8,2.025974025974026,3
2,F,2020-08-17 17:54:48,2020-08-17 17:57:39,Role 5,8,2.0253521126760563,3
3,F,2020-08-17 17:57:39,2020-08-17 18:00:30,Role 5,8,2.0253521126760563,3
4,B,2020-08-17 18:13:24,2020-08-17 18:16:12,Role 5,8,2.028169014084507,3
1,N,2020-08-17 18:16:12,2020-08-17 18:23:25,Role 5,8,2.052631578947368,3
2,C,2020-08-17 18:23:25,2020-08-17 18:30:20,Role 5,8,2.0140845070422535,3
