caseid,timestamp
Case1,2021-01-20 13:03:46
Case2,2021-01-20 13:30:01
Case3,2021-01-20 14:51:48
Case4,2021-01-20 15:59:17
Case5,2021-01-20 16:41:27
Case6,2021-01-20 17:34:25
Case7,2021-01-20 18:29:28
Case8,2021-01-20 19:26:49
Case9,2021-01-20 20:58:11
Case10,2021-01-20 21:57:05
Case11,2021-01-20 22:44:58
Case12,2021-01-21 03:44:15
Case13,2021-01-21 04:37:10
Case14,2021-01-21 05:54:05
Case15,2021-01-21 06:54:08
Case16,2021-01-21 07:43:58
Case17,2021-01-21 09:29:46
Case18,2021-01-21 11:43:19
Case19,2021-01-21 13:11:52
Case20,2021-01-21 13:35:06
Case21,2021-01-21 14:56:13
Case22,2021-01-21 16:11:54
Case23,2021-01-21 16:29:13
Case24,2021-01-21 17:37:08
Case25,2021-01-21 18:36:01
Case26,2021-01-21 20:00:07
Case27,2021-01-21 20:16:33
Case28,2021-01-21 22:05:22
Case29,2021-01-21 23:37:45
Case30,2021-01-22 00:45:35
Case31,2021-01-22 03:58:49
Case32,2021-01-22 04:21:38
Case33,2021-01-22 06:03:58
Case34,2021-01-22 06:16:03
Case35,2021-01-22 07:28:41
Case36,2021-01-22 09:34:28
Case37,2021-01-22 12:02:38
Case38,2021-01-22 12:24:19
Case39,2021-01-22 14:01:55
Case40,2021-01-22 14:30:22
Case41,2021-01-22 15:16:53
Case42,2021-01-22 16:52:11
Case43,2021-01-22 17:15:49
Case44,2021-01-22 18:14:11
Case45,2021-01-22 19:43:56
Case46,2021-01-22 20:41:21
Case47,2021-01-22 21:34:43
Case48,2021-01-22 22:40:56
Case49,2021-01-22 23:45:42
Case50,2021-01-23 03:07:52
Case51,2021-01-23 04:42:47
Case52,2021-01-23 05:18:40
Case53,2021-01-23 08:27:37
Case54,2021-01-23 09:40:08
Case55,2021-01-23 10:45:09
Case56,2021-01-23 11:26:20
Case57,2021-01-23 12:21:26
Case58,2021-01-23 13:14:49
Case59,2021-01-23 15:23:13
Case60,2021-01-23 17:11:43
Case61,2021-01-23 18:09:46
Case62,2021-01-23 20:04:14
Case63,2021-01-23 21:51:21
Case64,2021-01-24 12:46:33
Case65,2021-01-24 13:28:54
Case66,2021-01-24 14:43:32
Case67,2021-01-24 17:08:29
Case68,2021-01-24 17:45:24
Case69,2021-01-24 19:10:55
Case70,2021-01-24 19:17:05
Case71,2021-01-24 20:35:38
Case72,2021-01-25 01:10:31
Case73,2021-01-25 07:24:45
Case74,2021-01-25 09:41:52
Case75,2021-01-25 10:13:22
Case76,2021-01-25 11:40:36
Case77,2021-01-25 13:08:02
Case78,2021-01-25 13:29:24
Case79,2021-01-25 14:30:35
Case80,2021-01-25 15:56:46
Case81,2021-01-25 16:14:44
Case82,2021-01-25 17:53:02
Case83,2021-01-25 19:05:59
Case84,2021-01-25 19:54:46
Case85,2021-01-25 20:53:10
Case86,2021-01-25 23:04:13
Case87,2021-01-26 00:17:51
Case88,2021-01-26 02:03:46
Case89,2021-01-26 04:19:17
Case90,2021-01-26 10:03:34
Case91,2021-01-26 10:49:20
Case92,2021-01-26 11:58:26
Case93,2021-01-26 12:18:42
Case94,2021-01-26 13:37:06
Case95,2021-01-26 14:28:35
Case96,2021-01-26 15:24:47
Case97,2021-01-26 16:36:05
Case98,2021-01-26 17:44:19
Case99,2021-01-26 18:20:30
Case100,2021-01-26 19:38:04
Case101,2021-01-26 22:01:20
Case102,2021-01-26 22:43:54
Case103,2021-01-27 01:50:43
Case104,2021-01-27 02:48:45
Case105,2021-01-27 06:52:53
Case106,2021-01-27 08:06:32
Case107,2021-01-27 08:20:25
Case108,2021-01-27 09:12:34
Case109,2021-01-27 11:09:04
Case110,2021-01-27 11:51:44
Case111,2021-01-27 12:46:30
Case112,2021-01-27 13:50:25
Case113,2021-01-27 15:11:32
Case114,2021-01-27 16:02:30
Case115,2021-01-27 16:16:53
Case116,2021-01-27 17:32:36
Case117,2021-01-27 18:49:28
Case118,2021-01-27 19:14:29
Case119,2021-01-27 20:49:46
Case120,2021-01-27 22:05:16
Case121,2021-01-27 22:39:25
Case122,2021-01-27 23:48:20
Case123,2021-01-28 00:46:19
Case124,2021-01-28 01:59:48
Case125,2021-01-28 02:21:03
Case126,2021-01-28 04:01:51
Case127,2021-01-28 04:28:51
Case128,2021-01-28 05:30:41
Case129,2021-01-28 06:19:45
Case130,2021-01-28 09:01:14
Case131,2021-01-28 09:32:22
Case132,2021-01-28 11:50:44
Case133,2021-01-28 13:02:37
Case134,2021-01-28 13:24:48
Case135,2021-01-28 14:14:04
Case136,2021-01-28 15:13:23
Case137,2021-01-28 16:24:00
Case138,2021-01-28 18:23:28
