caseid,timestamp
Case1,2019-05-14 09:34:07
Case2,2019-05-14 09:36:35
Case3,2019-05-14 09:37:39
Case4,2019-05-14 09:37:48
Case5,2019-05-14 09:39:05
Case6,2019-05-14 09:39:39
Case7,2019-05-14 09:40:53
Case8,2019-05-14 09:50:24
Case9,2019-05-14 09:50:31
Case10,2019-05-14 09:53:19
Case11,2019-05-14 09:55:12
Case12,2019-05-14 09:58:22
Case13,2019-05-14 10:04:13
Case14,2019-05-14 10:06:50
Case15,2019-05-14 10:25:57
Case16,2019-05-14 10:28:27
Case17,2019-05-14 10:31:53
Case18,2019-05-14 10:40:11
Case19,2019-05-14 10:44:31
Case20,2019-05-14 10:46:38
Case21,2019-05-14 10:49:02
Case22,2019-05-14 10:55:13
Case23,2019-05-14 10:55:48
Case24,2019-05-14 10:55:53
Case25,2019-05-14 11:14:10
Case26,2019-05-14 11:14:32
Case27,2019-05-14 11:15:25
Case28,2019-05-14 11:15:35
Case29,2019-05-14 11:20:34
Case30,2019-05-14 11:24:13
Case31,2019-05-14 11:24:17
Case32,2019-05-14 11:24:42
Case33,2019-05-14 11:26:43
Case34,2019-05-14 11:29:21
Case35,2019-05-14 11:33:48
Case36,2019-05-14 11:38:16
Case37,2019-05-14 11:39:25
Case38,2019-05-14 11:39:31
Case39,2019-05-14 11:40:15
Case40,2019-05-14 11:44:42
Case41,2019-05-14 11:48:44
Case42,2019-05-14 11:54:54
Case43,2019-05-14 12:02:07
Case44,2019-05-14 12:05:56
Case45,2019-05-14 12:11:28
Case46,2019-05-14 12:12:17
Case47,2019-05-14 12:13:56
Case48,2019-05-14 12:16:04
Case49,2019-05-14 12:23:04
Case50,2019-05-14 12:26:23
Case51,2019-05-14 12:33:13
Case52,2019-05-14 12:37:56
Case53,2019-05-14 12:54:49
Case54,2019-05-14 12:57:20
Case55,2019-05-14 13:00:37
Case56,2019-05-14 13:01:24
Case57,2019-05-14 13:04:57
Case58,2019-05-14 13:08:35
Case59,2019-05-14 13:12:17
Case60,2019-05-14 13:20:50
Case61,2019-05-14 13:22:34
Case62,2019-05-14 13:24:30
Case63,2019-05-14 13:26:15
Case64,2019-05-14 13:31:59
Case65,2019-05-14 13:41:00
Case66,2019-05-14 13:43:19
Case67,2019-05-14 13:44:09
Case68,2019-05-14 13:59:17
Case69,2019-05-14 14:02:12
Case70,2019-05-14 14:05:26
Case71,2019-05-14 14:05:41
Case72,2019-05-14 14:08:02
Case73,2019-05-14 14:08:55
Case74,2019-05-14 14:09:28
Case75,2019-05-14 14:10:14
Case76,2019-05-14 14:14:04
Case77,2019-05-14 14:15:13
Case78,2019-05-14 14:17:48
Case79,2019-05-14 14:25:02
Case80,2019-05-14 14:25:18
Case81,2019-05-14 14:39:14
Case82,2019-05-14 14:41:07
Case83,2019-05-14 14:43:31
Case84,2019-05-14 14:46:36
Case85,2019-05-14 14:55:15
Case86,2019-05-14 14:56:56
Case87,2019-05-14 14:57:36
Case88,2019-05-14 14:59:44
Case89,2019-05-14 15:00:53
Case90,2019-05-14 15:01:20
Case91,2019-05-14 15:05:43
Case92,2019-05-14 15:07:45
Case93,2019-05-14 15:12:08
Case94,2019-05-14 15:21:29
Case95,2019-05-14 15:24:45
Case96,2019-05-14 15:28:24
Case97,2019-05-14 15:32:21
Case98,2019-05-14 15:34:14
Case99,2019-05-14 15:34:27
Case100,2019-05-14 15:36:22
Case101,2019-05-14 15:38:39
Case102,2019-05-14 15:44:49
Case103,2019-05-14 15:48:27
Case104,2019-05-14 15:49:17
Case105,2019-05-14 15:49:32
Case106,2019-05-14 15:49:59
Case107,2019-05-14 15:50:04
Case108,2019-05-14 15:50:28
Case109,2019-05-14 15:51:13
Case110,2019-05-14 15:52:11
Case111,2019-05-14 15:52:36
Case112,2019-05-14 15:58:03
Case113,2019-05-14 16:01:47
Case114,2019-05-14 16:12:03
Case115,2019-05-14 16:15:15
Case116,2019-05-14 16:17:18
Case117,2019-05-14 16:20:21
Case118,2019-05-14 16:20:47
Case119,2019-05-14 16:25:33
Case120,2019-05-14 16:32:03
Case121,2019-05-14 16:33:51
Case122,2019-05-14 16:38:19
Case123,2019-05-14 16:42:41
Case124,2019-05-14 16:42:48
Case125,2019-05-14 16:43:27
Case126,2019-05-14 16:44:58
Case127,2019-05-14 16:45:55
Case128,2019-05-14 16:49:05
Case129,2019-05-14 16:54:14
Case130,2019-05-14 16:55:36
Case131,2019-05-14 17:01:50
Case132,2019-05-14 17:03:59
Case133,2019-05-14 17:07:02
Case134,2019-05-14 17:13:17
Case135,2019-05-14 17:23:12
Case136,2019-05-14 17:25:15
Case137,2019-05-14 17:41:02
Case138,2019-05-14 17:42:27
Case139,2019-05-14 17:42:32
Case140,2019-05-14 17:44:14
Case141,2019-05-14 17:44:38
Case142,2019-05-14 17:45:44
Case143,2019-05-14 17:49:11
Case144,2019-05-14 17:49:41
Case145,2019-05-14 17:56:07
Case146,2019-05-14 18:08:11
Case147,2019-05-14 18:13:16
Case148,2019-05-14 18:13:42
Case149,2019-05-14 18:16:05
Case150,2019-05-14 18:18:49
Case151,2019-05-14 18:19:42
Case152,2019-05-14 18:20:45
Case153,2019-05-14 18:22:48
Case154,2019-05-14 18:26:44
Case155,2019-05-14 18:31:29
Case156,2019-05-14 18:32:48
Case157,2019-05-14 18:36:39
Case158,2019-05-14 18:37:33
Case159,2019-05-14 18:41:17
Case160,2019-05-14 18:49:40
Case161,2019-05-14 18:59:30
Case162,2019-05-14 19:03:47
Case163,2019-05-14 19:04:44
Case164,2019-05-14 19:18:30
Case165,2019-05-14 19:19:18
Case166,2019-05-14 19:22:07
Case167,2019-05-14 19:42:39
Case168,2019-05-14 19:44:45
Case169,2019-05-14 19:45:26
Case170,2019-05-14 19:56:08
Case171,2019-05-14 20:01:17
Case172,2019-05-14 20:05:43
Case173,2019-05-14 20:16:22
Case174,2019-05-14 20:23:06
Case175,2019-05-14 20:27:05
Case176,2019-05-14 20:28:00
Case177,2019-05-14 20:30:31
Case178,2019-05-14 20:40:43
Case179,2019-05-14 20:42:14
Case180,2019-05-14 20:46:47
Case181,2019-05-14 21:00:27
Case182,2019-05-14 21:06:31
Case183,2019-05-14 21:07:18
Case184,2019-05-14 21:13:54
Case185,2019-05-14 21:29:50
Case186,2019-05-14 22:42:34
Case187,2019-05-14 23:21:38
Case188,2019-05-14 23:31:36
Case189,2019-05-15 00:18:42
Case190,2019-05-15 00:38:20
Case191,2019-05-15 00:42:25
Case192,2019-05-15 01:20:16
Case193,2019-05-15 01:22:19
Case194,2019-05-15 01:24:48
Case195,2019-05-15 01:51:36
Case196,2019-05-15 02:42:24
Case197,2019-05-15 02:50:18
Case198,2019-05-15 03:14:57
Case199,2019-05-15 03:25:45
Case200,2019-05-15 03:25:47
Case201,2019-05-15 03:30:20
Case202,2019-05-15 03:35:39
Case203,2019-05-15 03:41:18
Case204,2019-05-15 03:57:39
Case205,2019-05-15 04:05:57
Case206,2019-05-15 04:08:37
Case207,2019-05-15 04:23:24
Case208,2019-05-15 05:11:55
Case209,2019-05-15 07:12:05
Case210,2019-05-15 07:33:36
Case211,2019-05-15 07:50:34
Case212,2019-05-15 07:55:26
Case213,2019-05-15 07:56:57
Case214,2019-05-15 08:00:46
Case215,2019-05-15 08:00:48
Case216,2019-05-15 08:03:33
Case217,2019-05-15 08:07:23
Case218,2019-05-15 08:23:02
Case219,2019-05-15 08:31:25
Case220,2019-05-15 08:36:24
Case221,2019-05-15 08:38:22
Case222,2019-05-15 08:46:18
Case223,2019-05-15 08:49:40
Case224,2019-05-15 08:53:30
Case225,2019-05-15 08:57:59
Case226,2019-05-15 09:03:48
Case227,2019-05-15 09:05:25
Case228,2019-05-15 09:05:35
Case229,2019-05-15 09:05:42
Case230,2019-05-15 09:12:24
Case231,2019-05-15 09:13:00
Case232,2019-05-15 09:22:35
Case233,2019-05-15 09:30:55
Case234,2019-05-15 09:32:38
Case235,2019-05-15 09:36:05
Case236,2019-05-15 09:37:23
Case237,2019-05-15 09:45:34
Case238,2019-05-15 10:02:55
Case239,2019-05-15 10:05:57
Case240,2019-05-15 10:08:22
Case241,2019-05-15 10:08:58
Case242,2019-05-15 10:15:30
Case243,2019-05-15 10:18:21
Case244,2019-05-15 10:22:04
Case245,2019-05-15 10:28:07
Case246,2019-05-15 10:29:17
Case247,2019-05-15 10:32:33
Case248,2019-05-15 10:42:55
Case249,2019-05-15 10:43:20
Case250,2019-05-15 10:50:22
Case251,2019-05-15 10:50:22
Case252,2019-05-15 10:56:58
Case253,2019-05-15 10:58:05
Case254,2019-05-15 11:08:34
Case255,2019-05-15 11:09:08
Case256,2019-05-15 11:11:12
Case257,2019-05-15 11:13:40
Case258,2019-05-15 11:16:35
Case259,2019-05-15 11:20:57
Case260,2019-05-15 11:22:26
Case261,2019-05-15 11:31:24
Case262,2019-05-15 11:33:23
Case263,2019-05-15 11:34:48
Case264,2019-05-15 11:36:55
Case265,2019-05-15 11:37:45
Case266,2019-05-15 11:37:47
Case267,2019-05-15 11:38:05
Case268,2019-05-15 11:38:41
Case269,2019-05-15 11:42:47
Case270,2019-05-15 11:43:54
Case271,2019-05-15 11:44:10
Case272,2019-05-15 11:54:18
Case273,2019-05-15 11:55:25
Case274,2019-05-15 11:56:08
Case275,2019-05-15 12:02:29
Case276,2019-05-15 12:04:16
Case277,2019-05-15 12:07:07
Case278,2019-05-15 12:07:31
Case279,2019-05-15 12:08:07
Case280,2019-05-15 12:13:57
Case281,2019-05-15 12:23:38
Case282,2019-05-15 12:26:42
Case283,2019-05-15 12:34:51
Case284,2019-05-15 12:41:52
Case285,2019-05-15 12:42:42
Case286,2019-05-15 12:44:41
Case287,2019-05-15 12:45:01
Case288,2019-05-15 12:45:57
Case289,2019-05-15 12:46:37
Case290,2019-05-15 12:49:16
Case291,2019-05-15 12:55:36
Case292,2019-05-15 13:01:07
Case293,2019-05-15 13:01:54
Case294,2019-05-15 13:12:50
Case295,2019-05-15 13:13:40
Case296,2019-05-15 13:14:44
Case297,2019-05-15 13:18:11
Case298,2019-05-15 13:18:23
Case299,2019-05-15 13:21:41
Case300,2019-05-15 13:22:00
Case301,2019-05-15 13:22:48
Case302,2019-05-15 13:32:48
Case303,2019-05-15 13:37:11
Case304,2019-05-15 13:39:05
Case305,2019-05-15 13:45:46
Case306,2019-05-15 13:46:59
Case307,2019-05-15 13:55:14
Case308,2019-05-15 13:58:19
Case309,2019-05-15 13:58:26
Case310,2019-05-15 14:03:08
Case311,2019-05-15 14:06:54
Case312,2019-05-15 14:08:58
Case313,2019-05-15 14:11:15
Case314,2019-05-15 14:19:22
Case315,2019-05-15 14:22:38
Case316,2019-05-15 14:26:33
Case317,2019-05-15 14:29:19
Case318,2019-05-15 14:31:27
Case319,2019-05-15 14:34:47
Case320,2019-05-15 14:36:35
Case321,2019-05-15 14:37:24
Case322,2019-05-15 14:38:11
Case323,2019-05-15 14:43:35
Case324,2019-05-15 14:45:26
Case325,2019-05-15 14:46:58
Case326,2019-05-15 14:51:12
Case327,2019-05-15 14:57:39
Case328,2019-05-15 14:58:05
Case329,2019-05-15 15:00:38
Case330,2019-05-15 15:08:23
Case331,2019-05-15 15:11:35
Case332,2019-05-15 15:13:07
Case333,2019-05-15 15:14:06
Case334,2019-05-15 15:18:03
Case335,2019-05-15 15:20:05
Case336,2019-05-15 15:20:35
Case337,2019-05-15 15:22:46
Case338,2019-05-15 15:28:39
Case339,2019-05-15 15:32:48
Case340,2019-05-15 15:35:26
Case341,2019-05-15 15:38:56
Case342,2019-05-15 15:44:23
Case343,2019-05-15 15:45:47
Case344,2019-05-15 15:48:04
Case345,2019-05-15 15:51:11
Case346,2019-05-15 15:55:19
Case347,2019-05-15 15:55:47
Case348,2019-05-15 15:59:51
Case349,2019-05-15 16:04:45
Case350,2019-05-15 16:05:00
Case351,2019-05-15 16:05:58
Case352,2019-05-15 16:09:11
Case353,2019-05-15 16:11:05
Case354,2019-05-15 16:19:28
Case355,2019-05-15 16:19:55
Case356,2019-05-15 16:25:58
Case357,2019-05-15 16:30:23
Case358,2019-05-15 16:31:22
Case359,2019-05-15 16:31:24
Case360,2019-05-15 16:44:03
Case361,2019-05-15 16:47:40
Case362,2019-05-15 16:48:31
Case363,2019-05-15 17:00:14
Case364,2019-05-15 17:00:56
Case365,2019-05-15 17:06:58
Case366,2019-05-15 17:08:08
Case367,2019-05-15 17:09:20
Case368,2019-05-15 17:10:58
Case369,2019-05-15 17:11:22
Case370,2019-05-15 17:13:39
Case371,2019-05-15 17:14:22
Case372,2019-05-15 17:22:36
Case373,2019-05-15 17:26:26
Case374,2019-05-15 17:28:28
Case375,2019-05-15 17:29:32
Case376,2019-05-15 17:35:48
Case377,2019-05-15 17:35:56
Case378,2019-05-15 17:41:00
Case379,2019-05-15 17:45:53
Case380,2019-05-15 17:50:22
Case381,2019-05-15 17:55:48
Case382,2019-05-15 18:08:31
Case383,2019-05-15 18:08:56
Case384,2019-05-15 18:21:52
Case385,2019-05-15 18:23:55
Case386,2019-05-15 18:26:43
Case387,2019-05-15 18:28:49
Case388,2019-05-15 18:29:02
Case389,2019-05-15 18:39:19
Case390,2019-05-15 18:41:30
Case391,2019-05-15 18:49:29
Case392,2019-05-15 18:52:43
Case393,2019-05-15 18:52:44
Case394,2019-05-15 18:53:48
Case395,2019-05-15 18:54:38
Case396,2019-05-15 18:56:02
Case397,2019-05-15 19:12:38
Case398,2019-05-15 19:17:41
Case399,2019-05-15 19:18:50
Case400,2019-05-15 19:21:02
Case401,2019-05-15 19:25:35
Case402,2019-05-15 19:30:28
