caseid,task,start:timestamp,time:timestamp,role,st_wip,st_tsk_wip,queue
1,Prescription received,2019-05-14 09:34:07,2019-05-14 09:35:38,Role 1,568,1.0,0
2,Process drop-off,2019-05-14 09:36:35,2019-05-14 09:38:09,Role 1,569,1.3384859656166734,0
3,Prescription received,2019-05-14 09:37:39,2019-05-14 09:39:10,Role 1,570,1.0,0
4,Prescription received,2019-05-14 09:37:48,2019-05-14 09:39:19,Role 1,571,2.0,0
5,Prescription received,2019-05-14 09:39:05,2019-05-14 09:40:37,Role 1,572,3.0,0
6,Prescription received,2019-05-14 09:39:39,2019-05-14 09:41:10,Role 1,573,2.0,0
7,Prescription received,2019-05-14 09:40:53,2019-05-14 09:42:24,Role 1,574,2.0,0
8,Process drop-off,2019-05-14 09:50:24,2019-05-14 09:51:58,Role 1,575,1.3384859656166734,0
9,Process drop-off,2019-05-14 09:50:31,2019-05-14 09:52:05,Role 1,576,2.338485965616673,0
10,Process drop-off,2019-05-14 09:53:19,2019-05-14 09:54:53,Role 1,577,1.3384859656166734,0
11,Prescription received,2019-05-14 09:55:12,2019-05-14 09:56:43,Role 1,578,1.0,0
12,Prescription received,2019-05-14 09:58:22,2019-05-14 09:59:53,Role 1,579,1.0,0
13,Process drop-off,2019-05-14 10:04:13,2019-05-14 10:05:47,Role 1,580,1.3384859656166734,0
14,Prescription received,2019-05-14 10:06:50,2019-05-14 10:08:21,Role 1,581,1.0,0
15,Prescription received,2019-05-14 10:25:57,2019-05-14 10:27:28,Role 1,582,1.0,0
16,Prescription received,2019-05-14 10:28:27,2019-05-14 10:29:58,Role 1,583,1.0,0
17,Process drop-off,2019-05-14 10:31:53,2019-05-14 10:33:27,Role 1,584,1.3384859656166734,0
18,Process drop-off,2019-05-14 10:40:11,2019-05-14 10:41:45,Role 1,585,1.3384859656166734,0
19,Prescription received,2019-05-14 10:44:31,2019-05-14 10:46:02,Role 1,586,1.0,0
20,Prescription received,2019-05-14 10:46:38,2019-05-14 10:48:09,Role 1,587,1.0,0
21,Prescription received,2019-05-14 10:49:02,2019-05-14 10:50:33,Role 1,588,1.0,0
22,Process drop-off,2019-05-14 10:55:13,2019-05-14 10:56:47,Role 1,589,1.3384859656166734,0
23,Process drop-off,2019-05-14 10:55:48,2019-05-14 10:57:22,Role 1,590,2.338485965616673,0
24,Prescription received,2019-05-14 10:55:53,2019-05-14 10:57:24,Role 1,591,1.0,0
