caseid,task,start:timestamp,time:timestamp,role,st_wip,st_tsk_wip,queue
1,Prescription received,2019-05-14 09:35:38,2019-05-14 09:37:10,Role 2,150,2.0,0
2,Prescription received,2019-05-14 09:37:10,2019-05-14 09:38:42,Role 2,151,2.0,1
3,Prescription received,2019-05-14 09:38:42,2019-05-14 09:40:14,Role 2,152,2.0,2
5,Process drop-off,2019-05-14 09:44:17,2019-05-14 09:45:52,Role 1,154,2.067489114658926,0
3,Prescription received,2019-05-14 17:27:59,2019-05-14 17:30:29,Role 2,152,2.0,0
5,Enter prescription details,2019-05-14 17:29:13,2019-05-14 17:31:44,Role 1,154,2.1088534107402035,0
5,Check if refill is allowed,2019-05-14 17:31:44,2019-05-14 17:31:44,Role 3,294,2.0,0
5,Check DUR,2019-05-14 17:31:44,2019-05-14 17:31:44,Role 3,294,2.0,0
5,Check Insurance,2019-05-14 17:31:44,2019-05-14 17:31:51,Role 3,294,2.0,0
4,Prescription received,2019-05-14 17:30:29,2019-05-14 17:32:01,Role 2,153,2.0,1
8,Process drop-off,2019-05-14 17:31:44,2019-05-14 17:33:20,Role 1,157,2.067489114658926,1
6,Prescription received,2019-05-14 17:32:01,2019-05-14 17:33:33,Role 2,155,2.0,2
1,Process drop-off,2019-05-14 17:32:12,2019-05-14 17:34:44,Role 1,152,3.067489114658926,0
9,Process drop-off,2019-05-14 17:33:20,2019-05-14 17:34:55,Role 1,158,3.067489114658926,2
7,Prescription received,2019-05-14 17:33:33,2019-05-14 17:35:05,Role 2,156,2.0,3
11,Process drop-off,2019-05-14 17:34:44,2019-05-14 17:36:19,Role 1,160,4.067489114658926,3
2,Process drop-off,2019-05-14 17:33:51,2019-05-14 17:36:23,Role 1,152,4.067489114658926,0
12,Process drop-off,2019-05-14 17:34:55,2019-05-14 17:36:30,Role 1,161,4.067489114658926,4
10,Prescription received,2019-05-14 17:35:05,2019-05-14 17:36:37,Role 2,159,2.0,4
18,Process drop-off,2019-05-14 17:36:19,2019-05-14 17:37:54,Role 1,167,4.067489114658926,5
26,Process drop-off,2019-05-14 17:36:23,2019-05-14 17:37:58,Role 1,175,4.067489114658926,6
28,Process drop-off,2019-05-14 17:36:30,2019-05-14 17:38:05,Role 1,177,4.067489114658926,7
13,Prescription received,2019-05-14 17:36:37,2019-05-14 17:38:09,Role 2,162,2.0,5
30,Process drop-off,2019-05-14 17:37:54,2019-05-14 17:39:29,Role 1,179,4.067489114658926,8
36,Process drop-off,2019-05-14 17:37:58,2019-05-14 17:39:33,Role 1,185,4.067489114658926,9
39,Process drop-off,2019-05-14 17:38:05,2019-05-14 17:39:40,Role 1,188,4.067489114658926,10
14,Prescription received,2019-05-14 17:38:09,2019-05-14 17:39:41,Role 2,163,2.0,6
46,Process drop-off,2019-05-14 17:39:29,2019-05-14 17:41:04,Role 1,195,4.067489114658926,11
50,Process drop-off,2019-05-14 17:39:33,2019-05-14 17:41:08,Role 1,199,4.067489114658926,12
15,Prescription received,2019-05-14 17:39:41,2019-05-14 17:41:13,Role 2,164,2.0,7
55,Process drop-off,2019-05-14 17:39:40,2019-05-14 17:41:15,Role 1,204,4.067489114658926,13
61,Process drop-off,2019-05-14 17:41:04,2019-05-14 17:42:39,Role 1,210,4.067489114658926,14
65,Process drop-off,2019-05-14 17:41:08,2019-05-14 17:42:43,Role 1,214,4.067489114658926,15
16,Prescription received,2019-05-14 17:41:13,2019-05-14 17:42:45,Role 2,165,2.0,8
68,Process drop-off,2019-05-14 17:41:15,2019-05-14 17:42:50,Role 1,217,4.067489114658926,16
72,Process drop-off,2019-05-14 17:42:39,2019-05-14 17:44:14,Role 1,221,4.067489114658926,17
17,Prescription received,2019-05-14 17:42:45,2019-05-14 17:44:17,Role 2,166,2.0,9
76,Process drop-off,2019-05-14 17:42:43,2019-05-14 17:44:18,Role 1,225,4.067489114658926,18
79,Process drop-off,2019-05-14 17:42:50,2019-05-14 17:44:25,Role 1,228,4.067489114658926,19
85,Process drop-off,2019-05-14 17:44:14,2019-05-14 17:45:49,Role 1,234,4.067489114658926,20
19,Prescription received,2019-05-14 17:44:17,2019-05-14 17:45:49,Role 2,168,2.0,10
101,Process drop-off,2019-05-14 17:44:18,2019-05-14 17:45:53,Role 1,250,4.067489114658926,21
105,Process drop-off,2019-05-14 17:44:25,2019-05-14 17:46:00,Role 1,254,4.067489114658926,22
20,Prescription received,2019-05-14 17:45:49,2019-05-14 17:47:21,Role 2,169,2.0,11
108,Process drop-off,2019-05-14 17:45:49,2019-05-14 17:47:24,Role 1,257,4.067489114658926,23
111,Process drop-off,2019-05-14 17:45:53,2019-05-14 17:47:28,Role 1,260,4.067489114658926,24
120,Process drop-off,2019-05-14 17:46:00,2019-05-14 17:47:35,Role 1,269,4.067489114658926,25
