caseid,task,start:timestamp,time:timestamp,role,st_wip,st_tsk_wip,queue
1,W_Completeren aanvraag,2012-02-13 20:42:08,2012-02-13 20:44:56,Role 1,290,2.0151291657420343,-1
2,W_Afhandelen leads,2012-02-13 21:41:51,2012-02-13 21:44:41,Role 1,291,1.517955278238281,-1
1,W_Completeren aanvraag,2012-02-13 22:38:13,2012-02-13 22:40:44,Role 1,290,2.0151291657420343,-1
3,W_Completeren aanvraag,2012-02-13 23:39:54,2012-02-13 23:42:41,Role 1,291,2.0151291657420343,-1
4,W_Afhandelen leads,2012-02-14 00:25:37,2012-02-14 00:28:28,Role 1,292,1.517955278238281,-1
5,W_Afhandelen leads,2012-02-14 00:26:52,2012-02-14 00:29:42,Role 1,293,2.517955278238281,-1
6,W_Completeren aanvraag,2012-02-14 00:33:00,2012-02-14 00:35:49,Role 1,292,2.0151291657420343,-1
7,W_Completeren aanvraag,2012-02-14 00:38:16,2012-02-14 00:41:05,Role 1,293,2.0151291657420343,-1
1,W_Completeren aanvraag,2012-02-14 00:54:00,2012-02-14 00:56:24,Role 1,290,2.0151291657420343,-1
3,W_Completeren aanvraag,2012-02-14 01:36:08,2012-02-14 01:38:41,Role 1,291,2.0151291657420343,-1
8,W_Beoordelen fraude,2012-02-14 01:46:25,2012-02-14 01:49:11,Role 6,294,1.001501168300547,-1
9,W_Completeren aanvraag,2012-02-14 01:46:53,2012-02-14 01:49:42,Role 1,295,2.0151291657420343,-1
10,W_Completeren aanvraag,2012-02-14 02:01:36,2012-02-14 02:04:25,Role 1,296,2.0151291657420343,-1
8,W_Afhandelen leads,2012-02-14 02:23:42,2012-02-14 02:26:12,Role 1,295,1.517955278238281,-1
8,W_Completeren aanvraag,2012-02-14 03:07:36,2012-02-14 03:10:05,Role 1,296,2.0151291657420343,-1
11,W_Beoordelen fraude,2012-02-14 03:11:30,2012-02-14 03:14:16,Role 6,297,1.001501168300547,-1
12,W_Beoordelen fraude,2012-02-14 03:39:44,2012-02-14 03:42:30,Role 6,298,1.001501168300547,-1
11,W_Afhandelen leads,2012-02-14 03:48:58,2012-02-14 03:51:27,Role 1,297,1.517955278238281,-1
8,W_Completeren aanvraag,2012-02-14 04:12:10,2012-02-14 04:14:35,Role 1,296,2.0151291657420343,-1
12,W_Afhandelen leads,2012-02-14 04:17:12,2012-02-14 04:19:40,Role 1,298,1.517955278238281,-1
12,W_Completeren aanvraag,2012-02-14 05:01:05,2012-02-14 05:03:33,Role 1,297,2.0151291657420343,-1
8,W_Completeren aanvraag,2012-02-14 05:22:38,2012-02-14 05:24:57,Role 1,297,2.0151291657420343,-1
13,W_Beoordelen fraude,2012-02-14 05:46:24,2012-02-14 05:49:10,Role 6,298,1.001501168300547,-1
6,W_Completeren aanvraag,2012-02-14 06:05:26,2012-02-14 06:08:01,Role 1,292,2.0151291657420343,-1
12,W_Completeren aanvraag,2012-02-14 06:06:42,2012-02-14 06:09:07,Role 1,297,3.0151291657420343,-1
7,W_Completeren aanvraag,2012-02-14 06:11:38,2012-02-14 06:14:13,Role 1,293,2.0151291657420343,-1
13,W_Afhandelen leads,2012-02-14 06:23:52,2012-02-14 06:26:19,Role 1,298,1.517955278238281,-1
8,W_Completeren aanvraag,2012-02-14 06:44:44,2012-02-14 06:46:59,Role 1,297,2.0151291657420343,-1
12,W_Nabellen offertes,2012-02-14 07:37:55,2012-02-14 07:40:06,Role 1,298,1.4965995274583261,-1
8,W_Completeren aanvraag,2012-02-14 08:09:11,2012-02-14 08:11:22,Role 1,297,2.0151291657420343,-1
14,W_Afhandelen leads,2012-02-14 08:38:22,2012-02-14 08:41:11,Role 1,298,1.517955278238281,-1
15,W_Completeren aanvraag,2012-02-14 08:59:47,2012-02-14 09:02:34,Role 1,299,2.0151291657420343,-1
16,W_Afhandelen leads,2012-02-14 09:00:52,2012-02-14 09:03:42,Role 1,300,1.517955278238281,-1
17,W_Afhandelen leads,2012-02-14 09:18:55,2012-02-14 09:21:44,Role 1,300,1.517955278238281,-1
18,W_Afhandelen leads,2012-02-14 09:20:44,2012-02-14 09:23:32,Role 1,301,2.517955278238281,-1
19,W_Completeren aanvraag,2012-02-14 09:28:30,2012-02-14 09:31:17,Role 1,300,2.0151291657420343,-1
20,W_Afhandelen leads,2012-02-14 09:34:54,2012-02-14 09:37:43,Role 1,301,1.517955278238281,-1
8,W_Nabellen offertes,2012-02-14 09:48:23,2012-02-14 09:50:26,Role 1,297,1.4965995274583261,-1
21,W_Afhandelen leads,2012-02-14 09:51:37,2012-02-14 09:54:26,Role 1,301,1.517955278238281,-1
12,W_Valideren aanvraag,2012-02-14 09:53:21,2012-02-14 09:58:05,Role 2,297,2.288837834662629,-1
22,W_Afhandelen leads,2012-02-14 09:55:40,2012-02-14 09:58:29,Role 1,301,1.517955278238281,-1
23,W_Afhandelen leads,2012-02-14 10:00:45,2012-02-14 10:03:34,Role 1,301,1.517955278238281,-1
14,W_Completeren aanvraag,2012-02-14 10:02:10,2012-02-14 10:04:41,Role 1,298,2.0151291657420343,-1
24,W_Afhandelen leads,2012-02-14 10:12:59,2012-02-14 10:15:48,Role 1,302,1.517955278238281,-1
25,W_Completeren aanvraag,2012-02-14 10:17:45,2012-02-14 10:20:31,Role 1,302,2.0151291657420343,-1
26,W_Afhandelen leads,2012-02-14 10:24:16,2012-02-14 10:27:05,Role 1,303,1.517955278238281,-1
27,W_Afhandelen leads,2012-02-14 10:36:35,2012-02-14 10:39:24,Role 1,303,1.517955278238281,-1
28,W_Afhandelen leads,2012-02-14 10:36:42,2012-02-14 10:39:29,Role 1,304,2.517955278238281,-1
29,W_Completeren aanvraag,2012-02-14 10:39:07,2012-02-14 10:41:54,Role 1,305,2.0151291657420343,-1
12,W_Nabellen incomplete dossiers,2012-02-14 10:41:57,2012-02-14 10:44:09,Role 1,301,1.560940906183508,-1
30,W_Beoordelen fraude,2012-02-14 10:42:43,2012-02-14 10:45:29,Role 6,305,1.001501168300547,-1
7,W_Completeren aanvraag,2012-02-14 10:43:07,2012-02-14 10:45:29,Role 1,298,2.0151291657420343,-1
31,W_Afhandelen leads,2012-02-14 11:16:31,2012-02-14 11:19:20,Role 1,306,1.517955278238281,-1
32,W_Afhandelen leads,2012-02-14 11:18:23,2012-02-14 11:21:10,Role 1,307,2.517955278238281,-1
30,W_Afhandelen leads,2012-02-14 11:19:59,2012-02-14 11:22:24,Role 1,305,2.517955278238281,-1
23,W_Completeren aanvraag,2012-02-14 11:23:00,2012-02-14 11:25:31,Role 1,301,2.0151291657420343,-1
33,W_Beoordelen fraude,2012-02-14 11:28:56,2012-02-14 11:31:42,Role 6,306,1.001501168300547,-1
12,W_Valideren aanvraag,2012-02-14 11:35:05,2012-02-14 11:40:29,Role 2,305,2.288837834662629,-1
34,W_Completeren aanvraag,2012-02-14 11:40:43,2012-02-14 11:43:29,Role 1,306,2.0151291657420343,-1
35,W_Beoordelen fraude,2012-02-14 11:42:41,2012-02-14 11:45:27,Role 6,307,1.001501168300547,-1
36,W_Afhandelen leads,2012-02-14 11:52:38,2012-02-14 11:55:27,Role 1,308,1.517955278238281,-1
27,W_Completeren aanvraag,2012-02-14 11:57:41,2012-02-14 12:00:12,Role 1,305,2.0151291657420343,-1
37,W_Beoordelen fraude,2012-02-14 12:00:50,2012-02-14 12:03:36,Role 6,309,1.001501168300547,-1
33,W_Afhandelen leads,2012-02-14 12:06:23,2012-02-14 12:08:45,Role 1,306,1.517955278238281,-1
38,W_Afhandelen leads,2012-02-14 12:18:06,2012-02-14 12:20:54,Role 1,309,1.517955278238281,-1
39,W_Completeren aanvraag,2012-02-14 12:18:22,2012-02-14 12:21:08,Role 1,310,2.0151291657420343,-1
35,W_Afhandelen leads,2012-02-14 12:20:07,2012-02-14 12:22:31,Role 1,307,2.517955278238281,-1
40,W_Beoordelen fraude,2012-02-14 12:23:37,2012-02-14 12:26:23,Role 6,309,1.001501168300547,-1
41,W_Beoordelen fraude,2012-02-14 12:27:31,2012-02-14 12:30:17,Role 6,310,1.001501168300547,-1
42,W_Beoordelen fraude,2012-02-14 12:34:04,2012-02-14 12:36:50,Role 6,311,1.001501168300547,-1
37,W_Afhandelen leads,2012-02-14 12:38:16,2012-02-14 12:40:40,Role 1,309,2.517955278238281,-1
43,W_Afhandelen leads,2012-02-14 12:38:13,2012-02-14 12:41:01,Role 1,312,1.517955278238281,-1
31,W_Completeren aanvraag,2012-02-14 12:39:17,2012-02-14 12:41:46,Role 1,307,2.0151291657420343,-1
44,W_Completeren aanvraag,2012-02-14 12:43:10,2012-02-14 12:45:56,Role 1,312,2.0151291657420343,-1
45,W_Beoordelen fraude,2012-02-14 12:59:04,2012-02-14 13:01:50,Role 6,313,1.001501168300547,-1
40,W_Afhandelen leads,2012-02-14 13:01:03,2012-02-14 13:03:24,Role 1,309,1.517955278238281,-1
41,W_Afhandelen leads,2012-02-14 13:04:57,2012-02-14 13:07:18,Role 1,310,1.517955278238281,-1
42,W_Afhandelen leads,2012-02-14 13:11:30,2012-02-14 13:13:51,Role 1,311,1.517955278238281,-1
46,W_Completeren aanvraag,2012-02-14 13:12:01,2012-02-14 13:14:47,Role 1,313,2.0151291657420343,-1
36,W_Completeren aanvraag,2012-02-14 13:17:21,2012-02-14 13:19:51,Role 1,308,2.0151291657420343,-1
37,W_Completeren aanvraag,2012-02-14 13:22:04,2012-02-14 13:24:24,Role 1,312,2.0151291657420343,-1
47,W_Completeren aanvraag,2012-02-14 13:30:42,2012-02-14 13:33:27,Role 1,314,2.0151291657420343,-1
45,W_Afhandelen leads,2012-02-14 13:36:19,2012-02-14 13:38:40,Role 1,313,1.517955278238281,-1
48,W_Afhandelen leads,2012-02-14 13:39:23,2012-02-14 13:42:11,Role 1,315,1.517955278238281,-1
49,W_Beoordelen fraude,2012-02-14 13:45:19,2012-02-14 13:48:05,Role 6,316,1.001501168300547,-1
50,W_Afhandelen leads,2012-02-14 13:47:52,2012-02-14 13:50:40,Role 1,317,1.517955278238281,-1
41,W_Completeren aanvraag,2012-02-14 13:48:43,2012-02-14 13:51:03,Role 1,312,2.0151291657420343,-1
23,W_Completeren aanvraag,2012-02-14 13:50:43,2012-02-14 13:53:02,Role 1,305,3.0151291657420343,-1
51,W_Afhandelen leads,2012-02-14 13:51:53,2012-02-14 13:54:41,Role 1,318,1.517955278238281,-1
52,W_Beoordelen fraude,2012-02-14 13:54:13,2012-02-14 13:56:59,Role 6,319,1.001501168300547,-1
42,W_Completeren aanvraag,2012-02-14 13:55:15,2012-02-14 13:57:35,Role 1,313,2.0151291657420343,-1
53,W_Beoordelen fraude,2012-02-14 14:09:24,2012-02-14 14:12:10,Role 6,320,1.001501168300547,-1
45,W_Completeren aanvraag,2012-02-14 14:20:05,2012-02-14 14:22:24,Role 1,314,2.0151291657420343,-1
49,W_Afhandelen leads,2012-02-14 14:22:33,2012-02-14 14:24:53,Role 1,317,1.517955278238281,-1
27,W_Completeren aanvraag,2012-02-14 14:24:02,2012-02-14 14:26:20,Role 1,308,2.0151291657420343,-1
37,W_Completeren aanvraag,2012-02-14 14:29:24,2012-02-14 14:31:39,Role 1,313,2.0151291657420343,-1
52,W_Afhandelen leads,2012-02-14 14:31:27,2012-02-14 14:33:48,Role 1,319,1.517955278238281,-1
54,W_Afhandelen leads,2012-02-14 14:32:27,2012-02-14 14:35:13,Role 1,320,2.517955278238281,-1
53,W_Afhandelen leads,2012-02-14 14:46:48,2012-02-14 14:49:10,Role 1,320,2.517955278238281,-1
55,W_Afhandelen leads,2012-02-14 14:46:43,2012-02-14 14:49:31,Role 1,320,1.517955278238281,-1
41,W_Completeren aanvraag,2012-02-14 14:50:24,2012-02-14 14:52:38,Role 1,317,2.0151291657420343,-1
56,W_Afhandelen leads,2012-02-14 14:57:02,2012-02-14 14:59:50,Role 1,320,1.517955278238281,-1
48,W_Completeren aanvraag,2012-02-14 15:04:44,2012-02-14 15:07:12,Role 1,315,2.0151291657420343,-1
57,W_Afhandelen leads,2012-02-14 15:05:32,2012-02-14 15:08:20,Role 1,321,1.517955278238281,-1
31,W_Completeren aanvraag,2012-02-14 15:08:30,2012-02-14 15:10:47,Role 1,311,3.0151291657420343,-1
19,W_Completeren aanvraag,2012-02-14 15:08:29,2012-02-14 15:10:57,Role 1,300,2.0151291657420343,-1
50,W_Completeren aanvraag,2012-02-14 15:11:32,2012-02-14 15:14:00,Role 1,317,2.0151291657420343,-1
52,W_Completeren aanvraag,2012-02-14 15:15:12,2012-02-14 15:17:31,Role 1,320,2.0151291657420343,-1
51,W_Completeren aanvraag,2012-02-14 15:17:11,2012-02-14 15:19:38,Role 1,319,3.0151291657420343,-1
45,W_Completeren aanvraag,2012-02-14 15:24:53,2012-02-14 15:27:06,Role 1,320,2.0151291657420343,-1
42,W_Nabellen offertes,2012-02-14 15:25:42,2012-02-14 15:27:50,Role 1,319,1.4965995274583261,-1
37,W_Nabellen offertes,2012-02-14 15:53:39,2012-02-14 15:55:38,Role 1,319,1.4965995274583261,-1
41,W_Completeren aanvraag,2012-02-14 15:59:54,2012-02-14 16:01:59,Role 1,319,2.0151291657420343,-1
58,W_Beoordelen fraude,2012-02-14 16:09:52,2012-02-14 16:12:38,Role 6,322,1.001501168300547,-1
59,W_Afhandelen leads,2012-02-14 16:11:33,2012-02-14 16:14:20,Role 1,323,1.517955278238281,-1
55,W_Completeren aanvraag,2012-02-14 16:12:28,2012-02-14 16:14:55,Role 1,319,2.0151291657420343,-1
60,W_Completeren aanvraag,2012-02-14 16:13:30,2012-02-14 16:16:14,Role 1,324,3.0151291657420343,-1
61,W_Afhandelen leads,2012-02-14 16:18:12,2012-02-14 16:20:59,Role 1,325,1.517955278238281,-1
56,W_Completeren aanvraag,2012-02-14 16:22:51,2012-02-14 16:25:18,Role 1,320,2.0151291657420343,-1
62,W_Beoordelen fraude,2012-02-14 16:25:29,2012-02-14 16:28:16,Role 6,326,1.001501168300547,-1
45,W_Completeren aanvraag,2012-02-14 16:31:15,2012-02-14 16:33:21,Role 1,321,3.0151291657420343,-1
57,W_Completeren aanvraag,2012-02-14 16:31:01,2012-02-14 16:33:28,Role 1,321,2.0151291657420343,-1
52,W_Nabellen offertes,2012-02-14 16:32:10,2012-02-14 16:34:17,Role 1,321,1.4965995274583261,-1
58,W_Afhandelen leads,2012-02-14 16:46:56,2012-02-14 16:49:14,Role 1,323,1.517955278238281,-1
23,W_Completeren aanvraag,2012-02-14 16:53:58,2012-02-14 16:56:07,Role 1,318,2.0151291657420343,-1
63,W_Completeren aanvraag,2012-02-14 17:00:24,2012-02-14 17:03:08,Role 1,326,2.0151291657420343,-1
62,W_Afhandelen leads,2012-02-14 17:02:53,2012-02-14 17:05:11,Role 1,326,1.517955278238281,-1
42,W_Valideren aanvraag,2012-02-14 17:08:44,2012-02-14 17:12:53,Role 2,321,2.288837834662629,-1
64,W_Afhandelen leads,2012-02-14 17:18:45,2012-02-14 17:21:32,Role 1,326,1.517955278238281,-1
48,W_Completeren aanvraag,2012-02-14 17:21:08,2012-02-14 17:23:23,Role 1,321,2.0151291657420343,-1
65,W_Beoordelen fraude,2012-02-14 17:25:01,2012-02-14 17:27:48,Role 6,327,1.001501168300547,-1
34,W_Completeren aanvraag,2012-02-14 17:26:54,2012-02-14 17:29:20,Role 1,307,2.0151291657420343,-1
