caseid,task,start:timestamp,time:timestamp,role,st_wip,st_tsk_wip,queue
1,W_Completeren aanvraag,2012-02-13 20:38:27,2012-02-13 20:41:15,Role 1,290,2.0151291657420343,0
2,W_Beoordelen fraude,2012-02-13 20:54:30,2012-02-13 20:57:17,Role 6,291,1.001501168300547,0
3,W_Afhandelen leads,2012-02-13 20:56:06,2012-02-13 20:58:57,Role 1,292,1.517955278238281,0
4,W_Completeren aanvraag,2012-02-13 21:04:07,2012-02-13 21:06:55,Role 1,292,2.0151291657420343,0
5,W_Afhandelen leads,2012-02-13 21:14:48,2012-02-13 21:17:38,Role 1,293,1.517955278238281,0
6,W_Completeren aanvraag,2012-02-13 21:20:09,2012-02-13 21:22:57,Role 1,293,2.0151291657420343,0
2,W_Afhandelen leads,2012-02-13 21:31:47,2012-02-13 21:34:08,Role 1,292,1.517955278238281,0
7,W_Beoordelen fraude,2012-02-13 21:55:56,2012-02-13 21:58:43,Role 6,293,1.001501168300547,0
8,W_Beoordelen fraude,2012-02-13 22:00:47,2012-02-13 22:03:34,Role 6,294,1.001501168300547,0
9,W_Afhandelen leads,2012-02-13 22:02:59,2012-02-13 22:05:49,Role 1,295,1.517955278238281,0
10,W_Afhandelen leads,2012-02-13 22:05:26,2012-02-13 22:08:15,Role 1,296,2.517955278238281,0
11,W_Completeren aanvraag,2012-02-13 22:05:29,2012-02-13 22:08:17,Role 1,297,2.0151291657420343,0
12,W_Completeren aanvraag,2012-02-13 22:10:40,2012-02-13 22:13:27,Role 1,297,2.0151291657420343,0
13,W_Beoordelen fraude,2012-02-13 22:28:38,2012-02-13 22:31:25,Role 6,298,1.001501168300547,0
7,W_Afhandelen leads,2012-02-13 22:33:13,2012-02-13 22:35:33,Role 1,293,1.517955278238281,0
1,W_Completeren aanvraag,2012-02-13 22:34:32,2012-02-13 22:37:03,Role 1,290,2.0151291657420343,0
8,W_Afhandelen leads,2012-02-13 22:38:04,2012-02-13 22:40:24,Role 1,295,1.517955278238281,0
4,W_Completeren aanvraag,2012-02-13 23:00:32,2012-02-13 23:03:03,Role 1,292,2.0151291657420343,0
13,W_Afhandelen leads,2012-02-13 23:05:54,2012-02-13 23:08:13,Role 1,298,1.517955278238281,0
7,W_Completeren aanvraag,2012-02-13 23:17:01,2012-02-13 23:19:18,Role 1,298,2.0151291657420343,0
14,W_Beoordelen fraude,2012-02-13 23:18:32,2012-02-13 23:21:19,Role 6,297,1.001501168300547,0
9,W_Completeren aanvraag,2012-02-13 23:29:44,2012-02-13 23:32:16,Role 1,297,2.0151291657420343,0
15,W_Completeren aanvraag,2012-02-13 23:35:34,2012-02-13 23:38:21,Role 1,298,2.0151291657420343,0
14,W_Afhandelen leads,2012-02-13 23:55:48,2012-02-13 23:58:06,Role 1,297,1.517955278238281,0
11,W_Completeren aanvraag,2012-02-14 00:05:32,2012-02-14 00:08:05,Role 1,296,2.0151291657420343,0
7,W_Completeren aanvraag,2012-02-14 00:40:42,2012-02-14 00:43:02,Role 1,297,2.0151291657420343,0
1,W_Completeren aanvraag,2012-02-14 00:51:11,2012-02-14 00:53:35,Role 1,298,2.0151291657420343,0
4,W_Completeren aanvraag,2012-02-14 01:17:21,2012-02-14 01:19:45,Role 1,297,2.0151291657420343,0
7,W_Nabellen offertes,2012-02-14 02:03:48,2012-02-14 02:05:57,Role 1,297,1.4965995274583261,0
16,W_Afhandelen leads,2012-02-14 02:41:28,2012-02-14 02:44:19,Role 1,298,1.517955278238281,0
17,W_Completeren aanvraag,2012-02-14 03:40:31,2012-02-14 03:43:19,Role 1,299,2.0151291657420343,0
7,W_Valideren aanvraag,2012-02-14 03:49:40,2012-02-14 03:54:38,Role 2,297,2.288837834662629,0
18,W_Beoordelen fraude,2012-02-14 03:53:08,2012-02-14 03:55:54,Role 6,300,1.001501168300547,0
16,W_Completeren aanvraag,2012-02-14 04:05:18,2012-02-14 04:07:53,Role 1,298,2.0151291657420343,0
19,W_Afhandelen leads,2012-02-14 04:28:15,2012-02-14 04:31:05,Role 1,301,1.517955278238281,0
18,W_Afhandelen leads,2012-02-14 04:30:36,2012-02-14 04:33:06,Role 1,300,2.517955278238281,0
20,W_Beoordelen fraude,2012-02-14 04:33:21,2012-02-14 04:36:07,Role 6,301,1.001501168300547,0
7,W_Nabellen incomplete dossiers,2012-02-14 04:39:13,2012-02-14 04:41:31,Role 1,300,1.560940906183508,0
21,W_Afhandelen leads,2012-02-14 04:52:10,2012-02-14 04:55:00,Role 1,302,1.517955278238281,0
20,W_Afhandelen leads,2012-02-14 05:10:48,2012-02-14 05:13:16,Role 1,301,1.517955278238281,0
11,W_Completeren aanvraag,2012-02-14 05:14:42,2012-02-14 05:17:05,Role 1,297,2.0151291657420343,0
22,W_Completeren aanvraag,2012-02-14 05:23:21,2012-02-14 05:26:09,Role 1,303,2.0151291657420343,0
23,W_Completeren aanvraag,2012-02-14 05:24:47,2012-02-14 05:27:34,Role 1,304,3.0151291657420343,0
24,W_Afhandelen leads,2012-02-14 05:25:50,2012-02-14 05:28:40,Role 1,305,1.517955278238281,0
7,W_Valideren aanvraag,2012-02-14 05:32:30,2012-02-14 05:38:01,Role 2,301,2.288837834662629,0
1,W_Completeren aanvraag,2012-02-14 05:47:35,2012-02-14 05:49:51,Role 1,297,2.0151291657420343,0
19,W_Completeren aanvraag,2012-02-14 05:50:31,2012-02-14 05:53:05,Role 1,301,2.0151291657420343,0
20,W_Completeren aanvraag,2012-02-14 05:54:41,2012-02-14 05:57:08,Role 1,302,2.0151291657420343,0
4,W_Completeren aanvraag,2012-02-14 06:13:51,2012-02-14 06:16:07,Role 1,297,2.0151291657420343,0
21,W_Completeren aanvraag,2012-02-14 06:16:21,2012-02-14 06:18:55,Role 1,302,2.0151291657420343,0
24,W_Completeren aanvraag,2012-02-14 06:50:34,2012-02-14 06:53:07,Role 1,305,2.0151291657420343,0
