caseid,task,start:timestamp,time:timestamp,role,st_wip,st_tsk_wip,queue
1,W_Beoordelen fraude,2012-02-13 20:42:08,2012-02-13 20:43:15,Role 3,290,1.001501168300547,0
1,W_Afhandelen leads,2012-02-13 21:24:22,2012-02-13 21:26:54,Role 1,290,1.517955278238281,0
2,W_Beoordelen fraude,2012-02-13 21:41:51,2012-02-13 21:42:49,Role 3,290,1.001501168300547,0
2,W_Afhandelen leads,2012-02-13 22:23:56,2012-02-13 22:26:27,Role 1,290,1.517955278238281,0
3,W_Afhandelen leads,2012-02-13 23:39:54,2012-02-13 23:42:31,Role 1,290,1.517955278238281,0
4,W_Beoordelen fraude,2012-02-14 00:25:37,2012-02-14 00:28:09,Role 3,290,1.001501168300547,0
5,W_Afhandelen leads,2012-02-14 00:26:52,2012-02-14 00:29:38,Role 1,291,1.517955278238281,0
6,W_Completeren aanvraag,2012-02-14 00:33:00,2012-02-14 00:35:46,Role 1,292,2.0151291657420343,0
7,W_Completeren aanvraag,2012-02-14 00:38:16,2012-02-14 00:41:02,Role 1,293,2.0151291657420343,0
4,W_Afhandelen leads,2012-02-14 00:54:11,2012-02-14 00:56:52,Role 1,291,1.517955278238281,0
5,W_Completeren aanvraag,2012-02-14 00:59:02,2012-02-14 01:01:43,Role 1,291,2.0151291657420343,0
8,W_Beoordelen fraude,2012-02-14 01:46:25,2012-02-14 01:48:54,Role 3,293,1.001501168300547,0
9,W_Beoordelen fraude,2012-02-14 01:46:53,2012-02-14 01:49:23,Role 3,294,2.001501168300547,0
10,W_Afhandelen leads,2012-02-14 02:01:36,2012-02-14 02:04:22,Role 1,295,1.517955278238281,0
8,W_Afhandelen leads,2012-02-14 02:15:35,2012-02-14 02:18:16,Role 1,294,1.517955278238281,0
9,W_Afhandelen leads,2012-02-14 02:16:13,2012-02-14 02:18:54,Role 1,294,2.517955278238281,0
10,W_Completeren aanvraag,2012-02-14 02:34:30,2012-02-14 02:37:10,Role 1,295,2.0151291657420343,0
9,W_Completeren aanvraag,2012-02-14 02:53:21,2012-02-14 02:55:56,Role 1,294,2.0151291657420343,0
6,W_Nabellen offertes,2012-02-14 02:56:40,2012-02-14 02:59:28,Role 1,292,1.4965995274583261,0
7,W_Nabellen offertes,2012-02-14 03:07:53,2012-02-14 03:10:41,Role 1,293,1.4965995274583261,0
11,W_Completeren aanvraag,2012-02-14 03:11:30,2012-02-14 03:14:15,Role 1,295,2.0151291657420343,0
10,W_Completeren aanvraag,2012-02-14 03:13:31,2012-02-14 03:16:06,Role 1,294,3.0151291657420343,0
12,W_Completeren aanvraag,2012-02-14 03:39:44,2012-02-14 03:42:29,Role 1,296,2.0151291657420343,0
9,W_Completeren aanvraag,2012-02-14 03:46:19,2012-02-14 03:48:48,Role 1,294,2.0151291657420343,0
12,W_Completeren aanvraag,2012-02-14 04:13:52,2012-02-14 04:16:32,Role 1,296,2.0151291657420343,0
13,W_Beoordelen fraude,2012-02-14 05:46:24,2012-02-14 05:48:43,Role 3,297,1.001501168300547,0
9,W_Completeren aanvraag,2012-02-14 05:49:30,2012-02-14 05:51:51,Role 1,296,2.0151291657420343,0
13,W_Afhandelen leads,2012-02-14 06:16:13,2012-02-14 06:18:52,Role 1,297,1.517955278238281,0
13,W_Completeren aanvraag,2012-02-14 06:54:52,2012-02-14 06:57:24,Role 1,297,2.0151291657420343,0
5,W_Nabellen offertes,2012-02-14 07:13:53,2012-02-14 07:16:34,Role 1,292,1.4965995274583261,0
11,W_Nabellen offertes,2012-02-14 07:22:01,2012-02-14 07:24:44,Role 1,295,1.4965995274583261,0
13,W_Completeren aanvraag,2012-02-14 07:59:28,2012-02-14 08:01:53,Role 1,297,2.0151291657420343,0
14,W_Completeren aanvraag,2012-02-14 08:38:22,2012-02-14 08:41:05,Role 1,298,2.0151291657420343,0
15,W_Beoordelen fraude,2012-02-14 08:59:47,2012-02-14 09:01:55,Role 3,299,1.001501168300547,0
16,W_Afhandelen leads,2012-02-14 09:00:52,2012-02-14 09:03:36,Role 1,300,1.517955278238281,0
14,W_Completeren aanvraag,2012-02-14 09:13:41,2012-02-14 09:16:18,Role 1,298,2.0151291657420343,0
17,W_Beoordelen fraude,2012-02-14 09:18:55,2012-02-14 09:21:02,Role 3,301,1.001501168300547,0
18,W_Beoordelen fraude,2012-02-14 09:20:44,2012-02-14 09:22:53,Role 3,302,2.001501168300547,0
19,W_Beoordelen fraude,2012-02-14 09:28:30,2012-02-14 09:30:37,Role 3,303,1.001501168300547,0
15,W_Afhandelen leads,2012-02-14 09:30:18,2012-02-14 09:32:56,Role 1,300,1.517955278238281,0
20,W_Afhandelen leads,2012-02-14 09:34:54,2012-02-14 09:37:38,Role 1,304,1.517955278238281,0
16,W_Completeren aanvraag,2012-02-14 09:36:15,2012-02-14 09:38:52,Role 1,300,2.0151291657420343,0
17,W_Afhandelen leads,2012-02-14 09:49:51,2012-02-14 09:52:29,Role 1,302,1.517955278238281,0
21,W_Completeren aanvraag,2012-02-14 09:51:37,2012-02-14 09:54:20,Role 1,304,2.0151291657420343,0
18,W_Afhandelen leads,2012-02-14 09:51:48,2012-02-14 09:54:26,Role 1,302,2.517955278238281,0
22,W_Afhandelen leads,2012-02-14 09:55:40,2012-02-14 09:58:24,Role 1,304,1.517955278238281,0
19,W_Afhandelen leads,2012-02-14 09:59:23,2012-02-14 10:02:01,Role 1,303,1.517955278238281,0
23,W_Completeren aanvraag,2012-02-14 10:00:45,2012-02-14 10:03:28,Role 1,305,2.0151291657420343,0
14,W_Completeren aanvraag,2012-02-14 10:03:31,2012-02-14 10:06:02,Role 1,300,2.0151291657420343,0
15,W_Completeren aanvraag,2012-02-14 10:10:32,2012-02-14 10:13:02,Role 1,303,2.0151291657420343,0
24,W_Afhandelen leads,2012-02-14 10:12:59,2012-02-14 10:15:43,Role 1,306,1.517955278238281,0
25,W_Afhandelen leads,2012-02-14 10:17:45,2012-02-14 10:20:29,Role 1,306,1.517955278238281,0
13,W_Completeren aanvraag,2012-02-14 10:19:50,2012-02-14 10:22:05,Role 1,297,2.0151291657420343,0
26,W_Completeren aanvraag,2012-02-14 10:24:16,2012-02-14 10:26:59,Role 1,306,2.0151291657420343,0
21,W_Completeren aanvraag,2012-02-14 10:27:48,2012-02-14 10:30:24,Role 1,304,2.0151291657420343,0
17,W_Completeren aanvraag,2012-02-14 10:30:12,2012-02-14 10:32:42,Role 1,304,3.0151291657420343,0
22,W_Completeren aanvraag,2012-02-14 10:31:40,2012-02-14 10:34:16,Role 1,304,3.0151291657420343,0
27,W_Afhandelen leads,2012-02-14 10:36:35,2012-02-14 10:39:18,Role 1,307,1.517955278238281,0
28,W_Afhandelen leads,2012-02-14 10:36:42,2012-02-14 10:39:26,Role 1,308,2.517955278238281,0
23,W_Completeren aanvraag,2012-02-14 10:37:04,2012-02-14 10:39:40,Role 1,305,2.0151291657420343,0
29,W_Afhandelen leads,2012-02-14 10:39:07,2012-02-14 10:41:51,Role 1,309,3.517955278238281,0
19,W_Completeren aanvraag,2012-02-14 10:39:57,2012-02-14 10:42:27,Role 1,305,2.0151291657420343,0
30,W_Beoordelen fraude,2012-02-14 10:42:43,2012-02-14 10:44:45,Role 3,307,1.001501168300547,0
26,W_Completeren aanvraag,2012-02-14 11:00:43,2012-02-14 11:03:19,Role 1,306,2.0151291657420343,0
30,W_Afhandelen leads,2012-02-14 11:13:58,2012-02-14 11:16:35,Role 1,307,1.517955278238281,0
22,W_Completeren aanvraag,2012-02-14 11:16:41,2012-02-14 11:19:11,Role 1,306,2.0151291657420343,0
31,W_Afhandelen leads,2012-02-14 11:16:31,2012-02-14 11:19:14,Role 1,308,2.517955278238281,0
21,W_Completeren aanvraag,2012-02-14 11:17:34,2012-02-14 11:20:04,Role 1,306,3.0151291657420343,0
32,W_Beoordelen fraude,2012-02-14 11:18:23,2012-02-14 11:20:22,Role 3,308,1.001501168300547,0
15,W_Completeren aanvraag,2012-02-14 11:20:24,2012-02-14 11:22:46,Role 1,306,2.0151291657420343,0
23,W_Completeren aanvraag,2012-02-14 11:26:47,2012-02-14 11:29:17,Role 1,307,2.0151291657420343,0
33,W_Afhandelen leads,2012-02-14 11:28:56,2012-02-14 11:31:39,Role 1,308,1.517955278238281,0
34,W_Completeren aanvraag,2012-02-14 11:40:43,2012-02-14 11:43:25,Role 1,309,2.0151291657420343,0
17,W_Completeren aanvraag,2012-02-14 11:41:04,2012-02-14 11:43:26,Role 1,306,3.0151291657420343,0
35,W_Completeren aanvraag,2012-02-14 11:42:41,2012-02-14 11:45:23,Role 1,310,4.015129165742034,0
32,W_Afhandelen leads,2012-02-14 11:49:36,2012-02-14 11:52:13,Role 1,307,1.517955278238281,0
19,W_Completeren aanvraag,2012-02-14 11:51:29,2012-02-14 11:53:50,Role 1,306,2.0151291657420343,0
36,W_Beoordelen fraude,2012-02-14 11:52:38,2012-02-14 11:54:34,Role 3,311,1.001501168300547,0
14,W_Completeren aanvraag,2012-02-14 11:53:43,2012-02-14 11:56:07,Role 1,305,3.0151291657420343,0
