caseid,task,start:timestamp,time:timestamp,role,st_wip,st_tsk_wip,queue
1,W_Completeren aanvraag,2012-02-13 20:38:27,2012-02-13 20:41:04,Role 1,1408,2.840464044758927,0
2,Start,2012-02-13 20:54:30,2012-02-13 20:54:30,SYSTEM,1409,1.0,0
3,Start,2012-02-13 20:56:06,2012-02-13 20:56:06,SYSTEM,1410,1.0,0
3,End,2012-02-13 20:56:06,2012-02-13 20:56:06,SYSTEM,1410,1.0,0
2,W_Nabellen offertes,2012-02-13 20:54:30,2012-02-13 20:56:48,Role 1,1409,2.676140912730184,0
4,Start,2012-02-13 21:04:07,2012-02-13 21:04:07,SYSTEM,1410,1.0,0
4,W_Nabellen offertes,2012-02-13 21:04:07,2012-02-13 21:06:25,Role 1,1410,2.676140912730184,0
5,Start,2012-02-13 21:14:48,2012-02-13 21:14:48,SYSTEM,1411,1.0,0
5,End,2012-02-13 21:14:48,2012-02-13 21:14:48,SYSTEM,1411,1.0,0
1,W_Nabellen offertes,2012-02-13 21:13:23,2012-02-13 21:15:35,Role 1,1408,2.676140912730184,0
6,Start,2012-02-13 21:20:09,2012-02-13 21:20:09,SYSTEM,1411,1.0,0
6,W_Nabellen offertes,2012-02-13 21:20:09,2012-02-13 21:22:26,Role 1,1411,2.676140912730184,0
7,W_Completeren aanvraag,2012-02-13 21:55:56,2012-02-13 21:58:32,Role 1,1412,2.840464044758927,0
8,Start,2012-02-13 22:00:47,2012-02-13 22:00:47,SYSTEM,1413,1.0,0
8,End,2012-02-13 22:00:47,2012-02-13 22:00:47,SYSTEM,1413,1.0,0
9,Start,2012-02-13 22:02:59,2012-02-13 22:02:59,SYSTEM,1413,1.0,0
9,W_Nabellen offertes,2012-02-13 22:02:59,2012-02-13 22:05:13,Role 1,1413,2.676140912730184,0
10,Start,2012-02-13 22:05:26,2012-02-13 22:05:26,SYSTEM,1414,1.0,0
11,Start,2012-02-13 22:05:29,2012-02-13 22:05:29,SYSTEM,1415,1.0,0
10,W_Nabellen offertes,2012-02-13 22:05:26,2012-02-13 22:07:40,Role 1,1414,2.676140912730184,0
11,W_Nabellen offertes,2012-02-13 22:05:29,2012-02-13 22:07:44,Role 1,1415,3.676140912730184,0
12,Start,2012-02-13 22:10:40,2012-02-13 22:10:40,SYSTEM,1416,1.0,0
12,End,2012-02-13 22:10:40,2012-02-13 22:10:40,SYSTEM,1416,1.0,0
13,W_Completeren aanvraag,2012-02-13 22:28:38,2012-02-13 22:31:13,Role 1,1416,2.840464044758927,0
7,W_Nabellen offertes,2012-02-13 22:45:17,2012-02-13 22:47:23,Role 1,1412,2.676140912730184,0
13,Start,2012-02-13 22:52:40,2012-02-13 22:52:40,SYSTEM,1416,1.0,0
14,Start,2012-02-13 23:18:32,2012-02-13 23:18:32,SYSTEM,1417,1.0,0
14,W_Nabellen offertes,2012-02-13 23:18:32,2012-02-13 23:20:41,Role 1,1417,2.676140912730184,0
