caseid,task,start:timestamp,time:timestamp,role,st_wip,st_tsk_wip,queue
1,W_Completeren aanvraag,2012-02-13 20:36:52,2012-02-13 20:39:40,Role 1,290,2.0151291657420343,0
2,W_Afhandelen leads,2012-02-13 21:18:05,2012-02-13 21:20:55,Role 1,291,1.517955278238281,0
3,W_Afhandelen leads,2012-02-13 21:55:36,2012-02-13 21:58:26,Role 1,292,1.517955278238281,0
4,W_Completeren aanvraag,2012-02-13 21:57:35,2012-02-13 22:00:23,Role 1,293,2.0151291657420343,0
1,W_Completeren aanvraag,2012-02-13 22:32:57,2012-02-13 22:35:28,Role 1,290,2.0151291657420343,0
5,W_Completeren aanvraag,2012-02-13 22:43:56,2012-02-13 22:46:43,Role 1,294,2.0151291657420343,0
6,W_Completeren aanvraag,2012-02-13 22:45:19,2012-02-13 22:48:05,Role 1,295,3.0151291657420343,0
2,W_Completeren aanvraag,2012-02-13 22:49:52,2012-02-13 22:52:24,Role 1,291,2.0151291657420343,0
7,W_Afhandelen leads,2012-02-13 23:21:48,2012-02-13 23:24:38,Role 1,296,1.517955278238281,0
3,W_Completeren aanvraag,2012-02-13 23:24:52,2012-02-13 23:27:24,Role 1,293,2.0151291657420343,0
8,W_Afhandelen leads,2012-02-13 23:26:08,2012-02-13 23:28:58,Role 1,296,1.517955278238281,0
9,W_Beoordelen fraude,2012-02-13 23:27:39,2012-02-13 23:30:26,Role 6,297,1.001501168300547,0
9,W_Afhandelen leads,2012-02-14 00:04:55,2012-02-14 00:07:22,Role 1,297,1.517955278238281,0
10,W_Afhandelen leads,2012-02-14 00:08:25,2012-02-14 00:11:16,Role 1,298,1.517955278238281,0
11,W_Afhandelen leads,2012-02-14 00:14:45,2012-02-14 00:17:36,Role 1,298,1.517955278238281,0
12,W_Completeren aanvraag,2012-02-14 00:18:55,2012-02-14 00:21:44,Role 1,298,2.0151291657420343,0
5,W_Completeren aanvraag,2012-02-14 00:25:18,2012-02-14 00:27:51,Role 1,295,2.0151291657420343,0
6,W_Completeren aanvraag,2012-02-14 00:43:07,2012-02-14 00:45:39,Role 1,295,2.0151291657420343,0
9,W_Completeren aanvraag,2012-02-14 00:48:46,2012-02-14 00:51:13,Role 1,297,2.0151291657420343,0
8,W_Completeren aanvraag,2012-02-14 01:00:20,2012-02-14 01:02:54,Role 1,297,2.0151291657420343,0
13,W_Afhandelen leads,2012-02-14 01:49:08,2012-02-14 01:51:59,Role 1,299,1.517955278238281,0
9,W_Completeren aanvraag,2012-02-14 01:53:56,2012-02-14 01:56:20,Role 1,298,2.0151291657420343,0
14,W_Completeren aanvraag,2012-02-14 02:01:18,2012-02-14 02:04:07,Role 1,299,2.0151291657420343,0
15,W_Beoordelen fraude,2012-02-14 02:25:04,2012-02-14 02:27:50,Role 6,300,1.001501168300547,0
16,W_Afhandelen leads,2012-02-14 02:33:56,2012-02-14 02:36:47,Role 1,301,1.517955278238281,0
15,W_Afhandelen leads,2012-02-14 03:02:32,2012-02-14 03:05:01,Role 1,300,1.517955278238281,0
9,W_Nabellen offertes,2012-02-14 03:19:42,2012-02-14 03:21:57,Role 1,298,1.4965995274583261,0
17,W_Completeren aanvraag,2012-02-14 03:37:34,2012-02-14 03:40:22,Role 1,301,2.0151291657420343,0
8,W_Completeren aanvraag,2012-02-14 03:39:58,2012-02-14 03:42:22,Role 1,298,3.0151291657420343,0
15,W_Completeren aanvraag,2012-02-14 03:46:26,2012-02-14 03:48:55,Role 1,300,2.0151291657420343,0
18,W_Completeren aanvraag,2012-02-14 03:49:01,2012-02-14 03:51:49,Role 1,302,2.0151291657420343,0
19,W_Beoordelen fraude,2012-02-14 04:19:21,2012-02-14 04:22:07,Role 6,303,1.001501168300547,0
15,W_Completeren aanvraag,2012-02-14 04:52:08,2012-02-14 04:54:33,Role 1,301,2.0151291657420343,0
19,W_Afhandelen leads,2012-02-14 04:56:48,2012-02-14 04:59:16,Role 1,303,1.517955278238281,0
5,W_Completeren aanvraag,2012-02-14 05:31:40,2012-02-14 05:34:03,Role 1,298,2.0151291657420343,0
9,W_Valideren aanvraag,2012-02-14 05:32:31,2012-02-14 05:37:26,Role 2,300,2.288837834662629,0
12,W_Completeren aanvraag,2012-02-14 05:57:01,2012-02-14 05:59:36,Role 1,298,2.0151291657420343,0
15,W_Completeren aanvraag,2012-02-14 06:04:36,2012-02-14 06:06:54,Role 1,303,2.0151291657420343,0
17,W_Completeren aanvraag,2012-02-14 06:04:38,2012-02-14 06:07:11,Role 1,301,3.0151291657420343,0
20,W_Beoordelen fraude,2012-02-14 06:17:15,2012-02-14 06:20:01,Role 6,303,1.001501168300547,0
9,W_Nabellen incomplete dossiers,2012-02-14 06:22:24,2012-02-14 06:24:43,Role 1,302,1.560940906183508,0
21,W_Beoordelen fraude,2012-02-14 06:29:46,2012-02-14 06:32:32,Role 6,304,1.001501168300547,0
22,W_Beoordelen fraude,2012-02-14 06:49:42,2012-02-14 06:52:28,Role 6,305,1.001501168300547,0
20,W_Afhandelen leads,2012-02-14 06:54:42,2012-02-14 06:57:09,Role 1,303,1.517955278238281,0
21,W_Afhandelen leads,2012-02-14 07:07:13,2012-02-14 07:09:39,Role 1,304,1.517955278238281,0
9,W_Valideren aanvraag,2012-02-14 07:16:35,2012-02-14 07:22:03,Role 2,303,2.288837834662629,0
23,W_Beoordelen fraude,2012-02-14 07:22:20,2012-02-14 07:25:06,Role 6,304,1.001501168300547,0
