caseid,task,start:timestamp,time:timestamp,role,st_wip,st_tsk_wip,queue
1,W_Completeren aanvraag,2012-02-13 20:55:33,2012-02-13 20:58:09,Role 1,290,2.0151291657420343,0
2,W_Afhandelen leads,2012-02-13 21:05:17,2012-02-13 21:07:56,Role 1,291,1.517955278238281,0
3,W_Beoordelen fraude,2012-02-13 21:07:09,2012-02-13 21:08:12,Role 3,292,1.001501168300547,0
1,W_Nabellen offertes,2012-02-13 21:08:46,2012-02-13 21:10:56,Role 1,290,1.4965995274583261,0
4,W_Afhandelen leads,2012-02-13 21:15:58,2012-02-13 21:18:37,Role 1,293,1.517955278238281,0
5,W_Beoordelen fraude,2012-02-13 21:19:38,2012-02-13 21:20:40,Role 3,293,1.001501168300547,0
6,W_Afhandelen leads,2012-02-13 21:20:33,2012-02-13 21:23:12,Role 1,294,1.517955278238281,0
7,W_Completeren aanvraag,2012-02-13 21:31:41,2012-02-13 21:34:17,Role 1,294,2.0151291657420343,0
3,W_Afhandelen leads,2012-02-13 21:49:32,2012-02-13 21:52:04,Role 1,292,1.517955278238281,0
8,W_Afhandelen leads,2012-02-13 21:53:03,2012-02-13 21:55:42,Role 1,295,1.517955278238281,0
2,W_Completeren aanvraag,2012-02-13 21:53:14,2012-02-13 21:55:42,Role 1,292,2.0151291657420343,0
5,W_Afhandelen leads,2012-02-13 22:02:32,2012-02-13 22:05:04,Role 1,294,1.517955278238281,0
2,W_Nabellen offertes,2012-02-13 22:10:17,2012-02-13 22:12:15,Role 1,294,1.4965995274583261,0
9,W_Afhandelen leads,2012-02-13 22:17:26,2012-02-13 22:20:04,Role 1,294,1.517955278238281,0
7,W_Completeren aanvraag,2012-02-13 22:19:52,2012-02-13 22:22:20,Role 1,294,2.0151291657420343,0
3,W_Completeren aanvraag,2012-02-13 22:38:08,2012-02-13 22:40:26,Role 1,294,2.0151291657420343,0
7,W_Nabellen offertes,2012-02-13 22:51:26,2012-02-13 22:53:21,Role 1,294,1.4965995274583261,0
9,W_Completeren aanvraag,2012-02-13 23:07:23,2012-02-13 23:09:49,Role 1,294,2.0151291657420343,0
10,W_Beoordelen fraude,2012-02-13 23:33:18,2012-02-13 23:34:00,Role 3,295,1.001501168300547,0
3,W_Nabellen offertes,2012-02-13 23:42:15,2012-02-13 23:43:55,Role 1,294,1.4965995274583261,0
9,W_Completeren aanvraag,2012-02-13 23:59:37,2012-02-14 00:01:54,Role 1,294,2.0151291657420343,0
10,W_Afhandelen leads,2012-02-14 00:16:25,2012-02-14 00:19:04,Role 1,295,1.517955278238281,0
