caseid,timestamp
Case1,2016-10-24 09:11:22
Case2,2016-10-24 09:11:26
Case3,2016-10-24 09:12:23
Case4,2016-10-24 09:22:48
Case5,2016-10-24 09:31:32
Case6,2016-10-24 09:38:03
Case7,2016-10-24 09:49:15
Case8,2016-10-24 09:49:32
Case9,2016-10-24 10:12:13
Case10,2016-10-24 10:15:06
Case11,2016-10-24 10:42:36
Case12,2016-10-24 10:44:32
Case13,2016-10-24 10:49:00
Case14,2016-10-24 10:53:00
Case15,2016-10-24 10:54:38
Case16,2016-10-24 10:54:53
Case17,2016-10-24 10:57:01
Case18,2016-10-24 10:57:40
Case19,2016-10-24 11:01:05
Case20,2016-10-24 11:02:42
Case21,2016-10-24 11:03:31
Case22,2016-10-24 11:09:04
Case23,2016-10-24 11:11:05
Case24,2016-10-24 11:12:24
Case25,2016-10-24 11:20:04
Case26,2016-10-24 11:28:59
Case27,2016-10-24 11:38:35
Case28,2016-10-24 11:39:07
Case29,2016-10-24 11:40:52
Case30,2016-10-24 11:44:35
Case31,2016-10-24 11:51:24
Case32,2016-10-24 11:58:34
Case33,2016-10-24 12:11:00
Case34,2016-10-24 12:11:09
Case35,2016-10-24 12:12:26
Case36,2016-10-24 12:13:34
Case37,2016-10-24 12:35:37
Case38,2016-10-24 12:44:07
Case39,2016-10-24 12:48:02
Case40,2016-10-24 12:48:44
Case41,2016-10-24 13:02:43
Case42,2016-10-24 13:07:17
Case43,2016-10-24 13:10:03
Case44,2016-10-24 13:21:44
Case45,2016-10-24 13:27:43
Case46,2016-10-24 13:32:42
Case47,2016-10-24 13:33:04
Case48,2016-10-24 13:39:46
Case49,2016-10-24 14:01:04
Case50,2016-10-24 14:04:40
Case51,2016-10-24 14:07:57
Case52,2016-10-24 14:13:52
Case53,2016-10-24 14:16:03
Case54,2016-10-24 14:30:42
Case55,2016-10-24 14:35:51
Case56,2016-10-24 14:36:28
Case57,2016-10-24 14:36:40
Case58,2016-10-24 14:43:50
Case59,2016-10-24 14:44:08
Case60,2016-10-24 14:44:43
Case61,2016-10-24 14:53:27
Case62,2016-10-24 15:00:35
Case63,2016-10-24 15:13:03
Case64,2016-10-24 15:16:10
Case65,2016-10-24 15:35:49
Case66,2016-10-24 15:47:18
Case67,2016-10-24 15:49:26
Case68,2016-10-24 15:56:26
Case69,2016-10-24 15:58:05
Case70,2016-10-24 16:03:12
Case71,2016-10-24 16:33:28
Case72,2016-10-24 16:37:10
Case73,2016-10-24 16:42:06
Case74,2016-10-24 16:44:15
