caseid,task,start:timestamp,time:timestamp,role,st_wip,st_tsk_wip,queue
1,W_Handle leads,2016-10-24 09:09:56,2016-10-24 09:10:06,Role 1,1030,1.0447971031033731,0
1,W_Complete application,2016-10-24 09:10:11,2016-10-24 09:12:37,Role 1,1030,2.498928708536092,0
2,W_Handle leads,2016-10-24 09:15:31,2016-10-24 09:15:42,Role 1,1031,1.0447971031033731,0
2,W_Complete application,2016-10-24 09:15:47,2016-10-24 09:18:13,Role 1,1031,2.498928708536092,0
3,W_Handle leads,2016-10-24 09:18:13,2016-10-24 09:18:24,Role 1,1032,1.0447971031033731,0
3,W_Complete application,2016-10-24 09:18:29,2016-10-24 09:20:55,Role 1,1032,2.498928708536092,0
4,W_Handle leads,2016-10-24 09:23:48,2016-10-24 09:23:59,Role 1,1033,1.0447971031033731,0
5,W_Handle leads,2016-10-24 09:26:07,2016-10-24 09:26:18,Role 1,1034,1.0447971031033731,0
4,W_Complete application,2016-10-24 09:24:04,2016-10-24 09:26:29,Role 1,1033,2.498928708536092,0
6,W_Complete application,2016-10-24 09:26:12,2016-10-24 09:28:23,Role 1,1035,3.498928708536092,0
5,W_Complete application,2016-10-24 09:26:23,2016-10-24 09:28:50,Role 1,1035,4.498928708536091,0
8,W_Handle leads,2016-10-24 09:33:29,2016-10-24 09:33:41,Role 1,1037,1.0447971031033731,0
7,W_Complete application,2016-10-24 09:33:28,2016-10-24 09:35:39,Role 1,1036,2.498928708536092,0
8,W_Complete application,2016-10-24 09:33:46,2016-10-24 09:36:11,Role 1,1037,3.498928708536092,0
9,W_Complete application,2016-10-24 09:39:40,2016-10-24 09:41:50,Role 1,1038,2.498928708536092,0
10,W_Complete application,2016-10-24 09:43:01,2016-10-24 09:45:11,Role 1,1039,2.498928708536092,0
11,W_Complete application,2016-10-24 09:43:44,2016-10-24 09:45:54,Role 1,1040,3.498928708536092,0
12,W_Handle leads,2016-10-24 10:26:30,2016-10-24 10:26:43,Role 1,1041,1.0447971031033731,0
12,W_Complete application,2016-10-24 10:26:48,2016-10-24 10:29:10,Role 1,1041,2.498928708536092,0
13,W_Complete application,2016-10-24 10:29:01,2016-10-24 10:31:10,Role 1,1042,3.498928708536092,0
14,W_Handle leads,2016-10-24 10:35:11,2016-10-24 10:35:25,Role 1,1043,1.0447971031033731,0
15,W_Handle leads,2016-10-24 10:35:43,2016-10-24 10:35:57,Role 1,1044,1.0447971031033731,0
14,W_Complete application,2016-10-24 10:35:30,2016-10-24 10:37:51,Role 1,1043,2.498928708536092,0
16,W_Handle leads,2016-10-24 10:37:45,2016-10-24 10:37:59,Role 1,1045,1.0447971031033731,0
15,W_Complete application,2016-10-24 10:36:02,2016-10-24 10:38:24,Role 1,1044,3.498928708536092,0
16,W_Complete application,2016-10-24 10:38:04,2016-10-24 10:40:25,Role 1,1045,3.498928708536092,0
17,W_Handle leads,2016-10-24 10:42:28,2016-10-24 10:42:43,Role 1,1046,1.0447971031033731,0
17,W_Complete application,2016-10-24 10:42:48,2016-10-24 10:45:08,Role 1,1046,2.498928708536092,0
18,W_Complete application,2016-10-24 10:44:07,2016-10-24 10:46:15,Role 1,1047,3.498928708536092,0
19,W_Handle leads,2016-10-24 10:57:12,2016-10-24 10:57:27,Role 1,1048,1.0447971031033731,0
19,W_Complete application,2016-10-24 10:57:32,2016-10-24 10:59:51,Role 1,1048,2.498928708536092,0
20,W_Handle leads,2016-10-24 11:04:09,2016-10-24 11:04:25,Role 1,1049,1.0447971031033731,0
20,W_Complete application,2016-10-24 11:04:30,2016-10-24 11:06:48,Role 1,1049,2.498928708536092,0
21,W_Complete application,2016-10-24 11:10:24,2016-10-24 11:12:31,Role 1,1050,2.498928708536092,0
22,W_Handle leads,2016-10-24 11:18:25,2016-10-24 11:18:41,Role 1,1051,1.0447971031033731,0
23,W_Handle leads,2016-10-24 11:18:56,2016-10-24 11:19:13,Role 1,1052,1.0447971031033731,0
22,W_Complete application,2016-10-24 11:18:46,2016-10-24 11:21:03,Role 1,1051,2.498928708536092,0
23,W_Complete application,2016-10-24 11:19:18,2016-10-24 11:21:36,Role 1,1052,3.498928708536092,0
24,W_Handle leads,2016-10-24 11:21:40,2016-10-24 11:21:57,Role 1,1053,1.0447971031033731,0
25,W_Handle leads,2016-10-24 11:22:42,2016-10-24 11:23:00,Role 1,1054,1.0447971031033731,0
24,W_Complete application,2016-10-24 11:22:02,2016-10-24 11:24:18,Role 1,1053,2.498928708536092,0
25,W_Complete application,2016-10-24 11:23:05,2016-10-24 11:25:23,Role 1,1054,3.498928708536092,0
26,W_Handle leads,2016-10-24 11:34:39,2016-10-24 11:34:57,Role 1,1055,1.0447971031033731,0
26,W_Complete application,2016-10-24 11:35:02,2016-10-24 11:37:17,Role 1,1055,2.498928708536092,0
27,W_Handle leads,2016-10-24 11:37:32,2016-10-24 11:37:50,Role 1,1056,1.0447971031033731,0
27,W_Complete application,2016-10-24 11:37:55,2016-10-24 11:40:10,Role 1,1056,2.498928708536092,0
