caseid,task,start:timestamp,time:timestamp,role,st_wip,st_tsk_wip,queue
1,W_Complete application,2016-10-24 09:38:17,2016-10-24 09:40:37,Role 1,599,1.7868811009472552,0
2,W_Complete application,2016-10-24 09:39:15,2016-10-24 09:41:33,Role 1,600,2.786881100947255,0
3,W_Complete application,2016-10-24 09:43:30,2016-10-24 09:45:49,Role 1,601,1.7868811009472552,0
4,W_Complete application,2016-10-24 09:48:06,2016-10-24 09:50:24,Role 1,602,1.7868811009472552,0
5,W_Complete application,2016-10-24 09:49:58,2016-10-24 09:52:14,Role 1,603,2.786881100947255,0
6,W_Complete application,2016-10-24 09:50:38,2016-10-24 09:52:53,Role 1,604,2.786881100947255,0
7,W_Complete application,2016-10-24 09:51:45,2016-10-24 09:53:57,Role 1,605,3.786881100947255,0
8,W_Complete application,2016-10-24 10:03:41,2016-10-24 10:05:55,Role 1,606,1.7868811009472552,0
9,W_Call after offers,2016-10-24 10:05:39,2016-10-24 10:07:52,Role 1,607,1.5266522787404846,0
10,W_Complete application,2016-10-24 10:15:04,2016-10-24 10:17:17,Role 1,608,1.7868811009472552,0
11,W_Complete application,2016-10-24 10:18:57,2016-10-24 10:21:09,Role 1,609,1.7868811009472552,0
12,W_Complete application,2016-10-24 10:19:46,2016-10-24 10:21:56,Role 1,610,2.786881100947255,0
13,W_Complete application,2016-10-24 10:20:21,2016-10-24 10:22:29,Role 1,611,3.786881100947255,0
14,W_Complete application,2016-10-24 10:43:18,2016-10-24 10:45:28,Role 1,612,1.7868811009472552,0
15,W_Complete application,2016-10-24 10:43:43,2016-10-24 10:45:50,Role 1,613,2.786881100947255,0
16,W_Complete application,2016-10-24 10:48:12,2016-10-24 10:50:20,Role 1,614,1.7868811009472552,0
17,W_Complete application,2016-10-24 10:48:53,2016-10-24 10:50:59,Role 1,615,2.786881100947255,0
18,W_Call after offers,2016-10-24 11:05:20,2016-10-24 11:07:25,Role 1,616,1.5266522787404846,0
19,W_Complete application,2016-10-24 11:08:58,2016-10-24 11:11:04,Role 1,616,1.7868811009472552,0
20,W_Complete application,2016-10-24 11:10:46,2016-10-24 11:12:50,Role 1,617,2.786881100947255,0
21,W_Complete application,2016-10-24 11:17:33,2016-10-24 11:19:38,Role 1,618,1.7868811009472552,0
22,W_Complete application,2016-10-24 11:20:41,2016-10-24 11:22:45,Role 1,619,1.7868811009472552,0
23,W_Complete application,2016-10-24 11:21:22,2016-10-24 11:23:24,Role 1,620,2.786881100947255,0
25,W_Call after offers,2016-10-24 11:23:40,2016-10-24 11:25:40,Role 1,622,1.5266522787404846,0
24,W_Complete application,2016-10-24 11:23:39,2016-10-24 11:25:42,Role 1,621,1.7868811009472552,0
26,W_Complete application,2016-10-24 11:31:40,2016-10-24 11:33:42,Role 1,622,1.7868811009472552,0
27,W_Complete application,2016-10-24 11:32:36,2016-10-24 11:34:36,Role 1,623,2.786881100947255,0
28,W_Call after offers,2016-10-24 11:38:29,2016-10-24 11:40:28,Role 1,624,1.5266522787404846,0
29,W_Complete application,2016-10-24 11:40:52,2016-10-24 11:42:52,Role 1,625,1.7868811009472552,0
30,W_Complete application,2016-10-24 11:40:57,2016-10-24 11:42:54,Role 1,626,2.786881100947255,0
31,W_Complete application,2016-10-24 12:05:20,2016-10-24 12:07:18,Role 1,627,1.7868811009472552,0
32,W_Call after offers,2016-10-24 12:08:01,2016-10-24 12:09:57,Role 1,628,1.5266522787404846,0
33,W_Complete application,2016-10-24 12:16:01,2016-10-24 12:17:58,Role 1,629,1.7868811009472552,0
